Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Trea Turner","- - -",148,646,28,107,77,32,0.063467492,0.170278637,0.208403361,0.362255965,0.327731092,0.374613003,0.536134453,0.3861617553308143,0.363471616465726,142.50758213473318,7.594616990769282,42.552583709565184,6.8192912340164185,7.124414728577913,"Trea Turner",16252,607208
"Fernando Tatis Jr.","SDP",130,546,42,99,97,25,0.113553113,0.28021978,0.328451883,0.324041811,0.282426778,0.364468864,0.610878661,0.40267823228129634,0.4067112957989728,157.6987803343458,5.662660347297788,45.768399010836376,3.979867249727249,6.825681523832886,"Fernando Tatis Jr.",19709,665487
"Juan Soto","WSN",151,654,29,111,95,9,0.221712538,0.142201834,0.221115538,0.332467532,0.312749003,0.464831804,0.533864541,0.42023942209839255,0.4285381498790923,163.69397404985946,-3.1414334713481367,49.88877554232543,-4.147318601608276,6.7872915177606075,"Juan Soto",20123,665742
"Bryce Harper","PHI",141,599,35,101,84,13,0.166944908,0.223706176,0.305327869,0.359133126,0.309426229,0.42881072,0.614754098,0.4308981269751364,0.43139724338852115,170.48425745080436,-0.27390598598867655,53.474575024363546,-7.263370037078857,6.649333870128633,"Bryce Harper",11579,547180
"José Ramírez","CLE",152,636,36,111,103,27,0.113207547,0.136792452,0.271739131,0.255760368,0.266304347,0.355345911,0.538043478,0.37188066832554606,0.37458958021136385,139.77967140015403,5.645994995022193,36.62164036874696,5.732951171696186,6.431417802779524,"Jose Ramirez",13510,608070
"Bryan Reynolds","PIT",159,646,24,93,90,5,0.116099071,0.184210526,0.220035778,0.345238095,0.302325581,0.390092879,0.522361359,0.3850083169607764,0.3849686029389149,139.8216033903613,0.45845047011971474,33.207485256359924,8.313981771469116,6.337212647720259,"Bryan Reynolds",19326,668804
"Vladimir Guerrero Jr.","TOR",161,698,48,123,111,4,0.123209169,0.157593123,0.289735099,0.3125,0.311258278,0.401146131,0.600993377,0.4190476244334374,0.42227203901423965,165.70161871862166,-1.344972663326189,54.80293135808712,-15.726079225540161,6.3156761849960015,"Vladimir Guerrero Jr.",19611,665489
"Carlos Correa","HOU",148,640,26,104,92,0,0.1171875,0.18125,0.205405405,0.307875894,0.279279279,0.365625,0.484684684,0.36358570921757377,0.36978247472111336,132.95456314337574,-1.1542870874982327,24.668171493775272,16.12182092666626,6.288264865825572,"Carlos Correa",14162,621043
"Brandon Crawford","SFG",138,549,24,79,90,11,0.102003642,0.19125683,0.223602485,0.334261838,0.298136645,0.373406193,0.52173913,0.37713274529845237,0.35332389255474506,139.67776093736074,-1.615334156434983,26.11574335867547,17.330080032348633,6.203796395380322,"Brandon Crawford",5343,543063
"Cedric Mullins","BAL",159,675,30,91,59,30,0.087407407,0.185185185,0.227574751,0.32150776,0.290697674,0.359583952,0.518272425,0.3716875475734027,0.34218601966971784,135.59351174497044,2.4815821482334286,31.897111498092663,4.979646682739258,6.016069173486843,"Cedric Mullins",17929,656775
"Marcus Semien","TOR",162,724,45,115,102,15,0.09116022,0.201657458,0.273006135,0.275862068,0.265337423,0.334254143,0.538343558,0.367611065589262,0.3363314522637261,130.94209004165356,2.1251729810610414,29.552928422446524,4.925866365432739,5.943899766128049,"Marcus Semien",12533,543760
"Aaron Judge","NYY",148,633,39,89,98,6,0.118483412,0.249605055,0.256363636,0.332402234,0.287272727,0.372827804,0.543636363,0.38704453784199033,0.41814156919241713,149.9826024255484,0.14164294046349823,38.87852232129506,-5.823559761047363,5.4885913389823795,"Aaron Judge",15640,592450
"Nicky Lopez","KCR",151,565,2,78,43,22,0.086725663,0.130973451,0.078470825,0.346698113,0.299798792,0.365280289,0.378269617,0.3286870972372955,0.28598685886548914,104.47418016492274,5.311717387987301,8.406741042817426,26.743249893188477,5.465129657064789,"Nicky Lopez",19339,670032
"Tyler O'Neill","STL",138,537,34,89,80,15,0.0707635,0.312849162,0.273858922,0.366197183,0.286307053,0.351955307,0.560165975,0.3838341801082178,0.3865295069177723,142.66600104101735,2.7713942902628332,31.939180577356552,3.2760009765625,5.338089125251482,"Tyler O'Neill",15711,641933
"Buster Posey","SFG",113,454,18,68,56,0,0.123348017,0.191629955,0.194936709,0.349315068,0.303797468,0.389867841,0.498734177,0.37888653002231315,0.35756263647950304,140.81757252662743,-3.2600120089482516,20.33120088785448,17.514575481414795,5.3225977865080605,"Buster Posey",9166,457763
"Jose Altuve","HOU",146,678,31,117,83,5,0.097345132,0.134218289,0.211314476,0.280412371,0.277870216,0.350073855,0.489184692,0.35684171336694714,0.3332803652619042,128.39714090450926,1.2064282796345651,24.778967495122664,4.626828670501709,5.277219440267119,"Jose Altuve",5417,514888
"Starling Marte","- - -",120,526,12,89,55,47,0.081749049,0.188212927,0.147751606,0.371508379,0.310492505,0.382857142,0.458244111,0.36442603025564047,0.347944562339418,131.97125607507425,10.172667340142652,31.205119883196815,2.68128502368927,5.185320771369325,"Starling Marte",9241,516782
"Austin Riley","ATL",160,662,33,91,107,0,0.078549848,0.253776435,0.227118644,0.367758186,0.30338983,0.367069486,0.530508474,0.3794858197371165,0.3654944943873668,136.21561590172186,-0.5583635228686035,29.962801623058986,-1.4207104444503784,5.089537875282245,"Austin Riley",18360,663586
"Shohei Ohtani","LAA",158,639,46,103,100,26,0.150234741,0.295774647,0.33519553,0.302631578,0.25698324,0.372456964,0.59217877,0.39348932132967457,0.41024147591939786,150.46676504435462,2.28011812036857,41.7629579324399,-13.611179556697607,5.017529614262269,"Shohei Ohtani",19755,660271
"Matt Olson","OAK",156,673,39,101,111,4,0.1307578,0.167904903,0.269026548,0.268867924,0.27079646,0.371471025,0.539823008,0.3785553321174702,0.3781830849698019,146.75145649450036,-0.32182725612074137,38.200477820043616,-11.777785390615463,4.960915636422888,"Matt Olson",14344,621566
"Kyle Tucker","HOU",140,567,30,83,92,14,0.093474426,0.158730158,0.262845849,0.304347826,0.294466403,0.359292035,0.557312252,0.3825180579509054,0.39391967228480745,145.74856673743847,2.9443253874778748,34.70301743410319,-4.971826791763306,4.9286266440555835,"Kyle Tucker",18345,663656
"Bo Bichette","TOR",159,690,29,121,102,25,0.057971014,0.198550724,0.1859375,0.338912133,0.2984375,0.34347826,0.484375,0.3538593011489813,0.34948907639014876,121.6489946021056,4.856250773882493,23.145205277161658,1.696495532989502,4.860766538009555,"Bo Bichette",19612,666182
"Paul Goldschmidt","STL",158,679,31,102,99,12,0.098674521,0.20029455,0.220563847,0.331065759,0.293532338,0.365243004,0.514096185,0.3734484329885711,0.39572486651719674,135.91614470511175,1.4503728409763426,32.496449881706674,-7.031684875488281,4.838158955202952,"Paul Goldschmidt",9218,502671
"Freddie Freeman","ATL",159,695,31,120,83,8,0.122302158,0.153956834,0.203333333,0.321120689,0.3,0.392805755,0.503333333,0.3791464183260413,0.40974212781319036,135.99503371937433,1.3958349358290434,33.24328264770545,-9.913162589073181,4.677942926784798,"Freddie Freeman",5361,518692
"J.T. Realmuto","PHI",134,537,17,64,73,13,0.089385474,0.240223463,0.176470588,0.325301204,0.262605042,0.34264432,0.43907563,0.3356284449871321,0.32886978378869536,108.567030006476,2.999232283560559,8.85591662816987,19.366480827331543,4.63688553782809,"J.T. Realmuto",11739,592663
"Will Smith","LAD",130,501,25,71,76,3,0.115768463,0.201596806,0.236714976,0.274247491,0.258454106,0.365269461,0.495169082,0.363903539161567,0.3629383110184545,129.75325955024104,-1.6781018164474517,17.298547000795338,11.737677574157715,4.5973609580888475,"Will Smith",19197,669257
"Max Muncy","LAD",144,592,36,95,94,2,0.140202702,0.202702702,0.277665996,0.257309941,0.249496981,0.368243243,0.527162977,0.37869148877857084,0.4061954335269765,139.36417480433613,-1.2567954037804157,28.409963510636132,-3.344127655029297,4.505422125719774,"Max Muncy",13301,571970
