Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Bubba Chandler","PIT",47,0.29555556,0.67669173,0.47467609,0.64661654,0.84444444,0.77915633,0.46996466,19.98899371,"Bubba Chandler",29868,696149
"Wilber Dotel","PIT",7.2,0.24074074,0.67692308,0.4789916,0.53846154,0.86363636,0.78947368,0.54621849,19.98850575,"Wilber Dotel",28901,696062
"Jacob Latz","TEX",23.2,0.27835052,0.66486486,0.46701847,0.57407407,0.82926829,0.75141243,0.48812665,19.9862543,"Jacob Latz",21306,656641
"Tatsuya Imai","HOU",17.1,0.28095238,0.6442953,0.43175487,0.40677966,0.83333333,0.67096774,0.41504178,19.97080292,"Tatsuya Imai",37124,837227
"Hunter Gaddis","CLE",13.1,0.23893805,0.68421053,0.46255507,0.55555556,0.75641026,0.7047619,0.50220264,19.94578313,"Hunter Gaddis",25636,683769
"Jack Leiter","TEX",54.2,0.29559748,0.65783664,0.47204301,0.54609929,0.83557047,0.74259681,0.48709677,19.93333333,"Jack Leiter",30146,683004
"Sam Aldegheri","LAA",5.2,0.25454545,0.70212766,0.46078431,0.78571429,0.84848485,0.82978723,0.46078431,19.92105263,"Sam Aldegheri",26443,691951
"Mason Barnett","ATH",2,0.17857143,0.86666667,0.41860465,0.4,1,0.83333333,0.34883721,19.88235294,"Mason Barnett",31741,686930
"Max Meyer","MIA",60.2,0.33333333,0.65342163,0.48251029,0.43930636,0.87162162,0.71215352,0.46604938,19.87132867,"Max Meyer",27474,676974
"Kyle Freeland","COL",38.1,0.34670487,0.66268657,0.50146199,0.58677686,0.89189189,0.78425656,0.48976608,19.86973948,"Kyle Freeland",16256,607536
"Richard Lovelady","- - -",23,0.295,0.60752688,0.44559585,0.55932203,0.87610619,0.76744186,0.48186528,19.86111111,"Richard Lovelady",19337,663992
"Jesse Scholtens","TBR",36.1,0.29865772,0.68864469,0.48511384,0.66292135,0.88297872,0.81227437,0.47810858,19.85748792,"Jesse Scholtens",19205,669947
"Jacob Misiorowski","MIL",57,0.30733945,0.65010799,0.48387097,0.41791045,0.74418605,0.64367816,0.51501669,19.84407796,"Jacob Misiorowski",31623,694819
"Jimmy Herget","COL",16,0.32624113,0.69178082,0.51219512,0.60869565,0.78217822,0.72789116,0.5087108,19.8411215,"Jimmy Herget",17556,623474
"Yusei Kikuchi","LAA",31,0.27368421,0.69503546,0.48324515,0.6025641,0.8622449,0.78832117,0.4973545,19.82660333,"Yusei Kikuchi",20633,579328
"Mason Black","KCR",4.2,0.27777778,0.65217391,0.45,0.8,0.86666667,0.84444444,0.46,19.80769231,"Mason Black",30171,696131
"Juan Mejia","COL",24.1,0.35361217,0.62254902,0.47109208,0.48387097,0.8503937,0.69545455,0.43683084,19.79387187,"Juan Mejia",23237,675848
"Braydon Fisher","TOR",29.2,0.3153527,0.5890411,0.44565217,0.63157895,0.80620155,0.74146341,0.47608696,19.7877907,"Braydon Fisher",24609,680755
"Chris Paddack","- - -",40.2,0.33251834,0.69526627,0.49665328,0.67647059,0.88085106,0.80592992,0.45247657,19.76588022,"Chris Paddack",20099,663978
"Alex Lange","KCR",24,0.31168831,0.65405405,0.46394231,0.41666667,0.89256198,0.71502591,0.44471154,19.74522293,"Alex Lange",19883,656638
"Justin Bruihl","STL",22.2,0.24454148,0.61904762,0.4138756,0.66071429,0.93162393,0.84393064,0.45215311,19.73954984,"Justin Bruihl",23779,677865
"Ben Casparius","LAD",4.2,0.32786885,0.52631579,0.4040404,0.55,0.85,0.7,0.38383838,19.73333333,"Ben Casparius",30085,676508
"Nick Mears","KCR",18.2,0.30285714,0.62043796,0.44230769,0.64150943,0.94117647,0.82608696,0.43910256,19.71914894,"Nick Mears",25376,683232
"Jordan Romano","LAA",8,0.30701754,0.53846154,0.40104167,0.45714286,0.85714286,0.67532468,0.40625,19.71621622,"Jordan Romano",16122,605447
"Aaron Civale","ATH",51.2,0.29205607,0.60613208,0.44835681,0.688,0.89494163,0.82722513,0.49765258,19.71589085,"Aaron Civale",19479,650644
"Bradgley Rodriguez","SDP",25.1,0.30167598,0.70673077,0.51937984,0.61111111,0.7414966,0.70646766,0.5374677,19.71024735,"Bradgley Rodriguez",29107,699134
"Rico Garcia","BAL",21.1,0.25657895,0.70138889,0.47297297,0.41025641,0.68316832,0.60714286,0.48648649,19.70909091,"Rico Garcia",20023,670329
"Ryan Johnson","LAA",8.1,0.25882353,0.80952381,0.53254438,0.63636364,0.83823529,0.78888889,0.49704142,19.69672131,"Ryan Johnson",35325,696270
"Kyle Hurt","LAD",15,0.3373494,0.73786408,0.55913978,0.42857143,0.73684211,0.65384615,0.55376344,19.69047619,"Kyle Hurt",27514,669165
"Dietrich Enns","BAL",15,0.25170068,0.67424242,0.4516129,0.62162162,0.86516854,0.79365079,0.47311828,19.67605634,"Dietrich Enns",13932,608650
"Caleb Thielbar","CHC",10.2,0.34615385,0.77777778,0.54639175,0.66666667,0.85714286,0.79245283,0.46391753,19.67114094,"Caleb Thielbar",10078,573204
