Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,CG,ShO,TBF,H,ER,HR,BB,IBB,HBP,SO,QS,AVG,WHIP,ERA-,FIP-,K%,BB%,SIERA,K-BB%,WPA,Clutch,EV,Barrel%,HardHit%,K/BB,Contact% (sc),O-Swing% (mlb),NameASCII,PlayerId,MLBAMID
"Rico Garcia","BAL",3,0,3,25,0,23.1,10.414287133119737,3.4714290443732456,0.385714338263694,0.10869565217391304,0.95588235,0.44680851,0.058823529,95.5361828926282,0.771428676527388,2.2420762929917792,2.4771094458443668,2.942965716155078,0.7648484706878662,0,0,83,6,2,1,9,1,0,27,0,0.08108108108108109,0.64285723043949,19.077862972083565,60.50126984003409,0.3253012,0.10843373,2.800762930291294,0.21686747,1.3961560726165771,-0.08316195070724353,85.02127659574468,0.04255319,0.31914894,3,0.61688312,0.25146199,"Rico Garcia",20023,670329
"Robert Suarez","ATL",4,0,4,23,0,23.1,8.100000441414993,1.9285715336702365,0.38571430673404733,0.22580645161290322,0.96774194,0.467741935,0.045454545,98.8764561760355,0.7714286134680947,2.9060533620824733,2.4771094948904837,3.243847821160087,0.5398386120796204,0,0,89,15,2,1,5,0,0,21,0,0.17857142857142858,0.8571429038534385,19.018240909433707,62.65100551354297,0.23595506,0.05617978,3.0703691052108573,0.17977528,1.2193200588226318,0.22327124304298152,84.20327708760246,0.03174603,0.28571429,4.2,0.74731183,0.39130435,"Robert Suarez",30115,663158
"Riley O'Brien","STL",3,2,13,24,0,24.1,9.986302674476764,1.4794522480706316,0.3698630620176579,0.3114754098360656,0.6884058,0.6,0.09090909,,2.958904496141263,3.055719189250185,2.501766986671534,2.602257958114759,0.6718219518661499,0,0,98,20,8,1,4,0,5,27,0,0.2247191011235955,0.9863014987137545,74.9120925375307,63.35040794053607,0.2755102,0.04081633,2.077840246428549,0.23469388,0.9074519872665405,0.04589932844974959,87.0677966101695,0.03225806,0.38709677,6.75,0.72972973,0.3236715,"Riley O'Brien",20348,676617
"Casey Mize","DET",2,3,0,8,8,43.2,8.86259593600184,2.26717570455861,0.41221376446520186,0.2631578947368421,0.77669903,0.347826086,0.035087719,93.72409396701389,2.473282586791211,2.70597124463407,2.5274911749676217,3.764925582600211,1.500527262687683,0,0,171,32,12,2,11,0,1,43,5,0.20125786163522014,0.9847328817779821,60.13456175684851,61.30253057279893,0.25146199,0.06432749,3.559990461955062,0.1871345,0.9380561113357544,0.22488453221292892,87.12173913043478,0.06896552,0.34482759,3.90909091,0.74098361,0.31097561,"Casey Mize",20492,663554
"Taylor Rogers","MIN",1,1,2,23,0,20.1,7.081969648944859,2.6557386183543223,0,0.3880597014925373,0.75757576,0.265625,0,,3.5409848244724293,5.01219138601605,2.5361257349601587,4.607773539466675,0.5175002217292786,0,0,90,26,8,0,6,0,1,16,0,0.3132530120481928,1.5737710330988575,85.66226908637658,61.569695048473776,0.17777778,0.06666667,4.235791739666613,0.11111111,0.7136896252632141,0.731080615028476,86.6812515258789,0.07462687,0.29850746,2.66666667,0.84516129,0.26086957,"Taylor Rogers",13449,573124
"Bryan Baker","TBR",1,0,14,24,0,22.1,10.47761253684955,3.626865878140229,0.40298509757113654,0.22641509433962265,0.77669903,0.407407407,0.047619047,97.14161229395604,2.4179105854268195,2.757155164050235,2.5397960641597086,3.277995073756776,0.6866716742515564,0,0,89,13,6,1,9,0,0,26,0,0.1625,0.9850746829516671,58.4214024735174,60.611217182014755,0.29213483,0.1011236,3.0625944544808643,0.19101124,0.22806207835674286,-0.4525943521669675,85.98518880208333,0.07407407,0.31481481,2.88888889,0.67213115,0.35897436,"Bryan Baker",19804,641329
"Alex Hoppe","SEA",0,1,0,10,0,11.1,9.529412833877208,3.97058868078217,0,0.37142857142857144,0.52631579,0.4,0,97.53743043664383,6.352941889251472,4.666768268430166,2.5476977034836015,3.4149461422274103,0.17114867269992828,0,0,53,13,8,0,5,0,1,12,0,0.2765957446808511,1.588235472312868,165.63475186282034,64.57872574756772,0.22641509,0.09433962,3.5374091274215447,0.13207547,-0.1578420102596283,-0.5197859363713109,88.58857421875,0.02857143,0.42857143,2.4,0.76086957,0.29824561,"Alex Hoppe",31880,695380
"Enyel De Los Santos","HOU",0,1,3,20,0,21,7.714287115603332,1.7142860256896293,0.4285715064224073,0.296875,0.61946903,0.338461538,0.034482758,94.88494001116071,4.285715064224073,2.8653649089810926,2.553299908627171,3.8732703630535195,0.4307202994823456,0,0,87,20,10,1,4,0,0,18,0,0.24096385542168675,1.1428573504597528,105.06456766179562,62.27462759237659,0.20689655,0.04597701,3.513675274562908,0.16091954,0.5039880275726318,0.2503932756511408,89.04307391826923,0.04615385,0.38461538,4.5,0.74860335,0.34,"Enyel De Los Santos",18403,660853
"José A. Ferrer","SEA",0,1,3,27,0,25,7.920001208496278,1.080000164794947,0.360000054931649,0.34177215189873417,0.85889571,0.448717948,0.037037037,,1.800000274658245,2.3236854865185133,2.5571094482421755,3.5535552716077032,0.5901048183441162,0,0,108,28,5,1,3,0,3,22,0,0.27450980392156865,1.2400001892090133,46.929848256672024,64.81839505889863,0.2037037,0.02777778,3.1512819166755848,0.17592593,-0.1573859304189682,-0.3862116096078602,85.50641025641026,0.025,0.3375,7.33333333,0.77990431,0.34463277,"Jose A. Ferrer",24017,678606
"Dylan Cease","TOR",3,3,0,11,11,62,13.35483870967742,3.774193548387097,0.7258064516129032,0.3333333333333333,0.76056338,0.470588235,0.113636363,97.98174342105263,3.0483870967741935,3.087039253810721,2.5609804953298263,2.509063075050231,1.9439265727996826,0,0,258,49,21,5,26,0,3,92,4,0.21397379912663755,1.2096774193548387,74.75263526693996,61.28979086925672,0.35658915,0.10077519,2.7558804622483306,0.25581395,0.21125411987304688,-0.5500945765426352,87.11555266203703,0.05839416,0.37226277,3.53846154,0.663286,0.31553398,"Dylan Cease",18525,656302
