Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Luke Williams","ATL",1,1,0,1,0,1,0,1,0,0.14285714,0,,,,-0.005563769489526749,0.41956969418011897,0.3040356940814137,0.7025923728942871,363.2727264957781,"Luke Williams",19931,663897
"Wade Meckler","LAA",8,0.125,0.125,1,0.571428571,0.625,1,1.625,0.428571429,0.14285714,0.6,,,,-0.022255077958106995,3.260625820723748,2.336353819934106,0.6873377412557602,351.43605395530074,"Wade Meckler",31490,685133
"Thomas Troy","ARI",4,0,0,0,0.5,0.5,1,1.5,0.5,2.64285714,0.5,,,,0,1.4836814488662375,1.0215454484714164,0.6407043933868408,320.621074868144,"Thomas Troy",33279,694371
"Gabriel Gonzalez","MIN",4,0.5,0,2,0.5,0.75,0.5,1.25,0,1.60119047125,0.5,,,-0.07249719649553299,-0.016691308468580246,1.2809800846806974,0.8188440842858762,0.5762390792369843,276.2880694177319,"Gabriel Gonzalez",28833,694224
"Bryan Torres","STL",10,0.2,0.1,2,0.375,0.5,0.75,1.25,0.375,0.14285714,0.333333333,,,,-0.022255077958106995,2.840167851711455,1.6848278507244019,0.5301522731781005,248.49564251702265,"Bryan Torres",21464,663494
"Orlando Arcia","MIN",11,0,0.09090909,0,0.545454545,0.545454545,0.636363636,1.181818181,0.090909091,2.01385807499985,0.6,,,-0.00025434186682105064,-0.4308902509510517,3.083773194992733,1.812899193906975,0.5254787856882269,241.76197039889266,"Orlando Arcia",13185,606115
"Will Wilson","SEA",6,0.166666666,0.166666666,1,0.2,0.333333333,0.8,1.133333333,0.6,0.14285714,0,,,,-0.005563769489526749,1.4041877759331003,0.7109837753408683,0.4665645360946655,208.95855556850697,"Will Wilson",25434,669717
"Yordan Alvarez","HOU",229,0.148471615,0.165938864,0.894736842,0.3,0.414847161,0.594736842,1.009584003,0.294736842,2.054787454442395,0.304347826,,,-0.700518012046814,-0.14495370537042618,46.92015408756532,20.46286806496181,0.42949510748321945,177.80537619570003,"Yordan Alvarez",19556,670541
"Ben Rice","NYY",199,0.12562814,0.24120603,0.520833333,0.282352941,0.376884422,0.623529411,1.000413833,0.34117647,3.7698102504941886,0.296296296,,,-0.965624988079071,0.1385028399527073,40.11882678222669,17.12756076258434,0.4253106365349087,175.51052100334738,"Ben Rice",29576,700250
"Carlos Cortes","ATH",142,0.112676056,0.098591549,1.142857142,0.349593495,0.429577464,0.552845528,0.982422992,0.203252033,3.301641756833756,0.361904761,,,-1.364209771156311,-0.06149716302752495,29.23252480745811,12.826696793441956,0.43073078276405874,175.26067145787377,"Carlos Cortes",21842,666126
"Jordan Walker","STL",215,0.093023255,0.255813953,0.363636363,0.302083333,0.372093023,0.59375,0.965843023,0.291666667,4.351562815942117,0.349593495,,,0.8338098526000977,-0.10965774208307266,42.10162706047319,17.261817039251547,0.41795696713203606,172.1074991150284,"Jordan Walker",27475,691023
"Colt Emerson","SEA",24,0.083333333,0.25,0.333333333,0.285714285,0.375,0.571428571,0.946428571,0.285714286,1.30357142125,0.357142857,,,-0.00009833081276156008,-0.027818847447633743,4.581156775405213,1.8083407730362864,0.4116726890206337,171.62225952079817,"Colt Emerson",33575,806068
"Luis Campusano","SDP",58,0.086206896,0.258620689,0.333333333,0.288461538,0.362068965,0.596153846,0.958222811,0.307692308,1.72373949,0.352941176,,,0.2805875837802887,-0.061201464384794235,11.172884085444164,4.471912079719256,0.4139045035016948,170.94500232596312,"Luis Campusano",22217,669134
"Jordan Lawlar","ARI",20,0.05,0.3,0.166666666,0.333333333,0.4,0.555555555,0.955555555,0.222222222,5.51498420759207,0.454545454,,,-0.003897979622706771,0.16661738604307175,3.959773991871728,1.649093989897622,0.4207138866186142,170.84059856917,"Jordan Lawlar",29976,691783
"Corbin Carroll","ARI",208,0.134615384,0.23076923,0.583333333,0.301136363,0.399038461,0.579545454,0.978583915,0.278409091,7.175354341832765,0.373983739,,,2.3697237968444824,0.4909212924540043,41.02256551775365,16.991493497222947,0.41974093199928025,170.1781626829949,"Corbin Carroll",25878,682998
"Max Schuemann","NYY",19,0.263157894,0.210526315,1.25,0.285714285,0.47368421,0.428571428,0.902255638,0.142857143,5.134025307944135,0.4,,,0.23698554933071136,-0.4450891874730587,3.668837378663846,1.4736913767884454,0.4144906621230276,168.15099879004336,"Max Schuemann",24488,680474
"Ryan Jeffers","MIN",147,0.156462585,0.156462585,1,0.295081967,0.408163265,0.540983606,0.949146871,0.245901639,4.892278736824832,0.311827956,,,-0.896547794342041,-0.05036962404847145,28.488509939431264,11.505011924921584,0.4153845622425988,166.8781627149432,"Ryan Jeffers",24618,680777
"Griffin Conine","MIA",25,0.08,0.24,0.333333333,0.272727272,0.36,0.59090909,0.95090909,0.318181818,7.258769757263128,0.285714285,,,0.11369606107473373,0.366617389023304,4.789392082527051,1.9010420800594185,0.41255573511123655,164.9279936692077,"Griffin Conine",21626,665052
"Juan Soto","NYM",159,0.138364779,0.150943396,0.916666666,0.294117647,0.389937106,0.558823529,0.948760635,0.264705882,5.032093835005401,0.291262135,,,0.23850078880786896,0.3632502928376198,29.343144312555584,10.973238296861442,0.40361574950156276,163.50066783776114,"Juan Soto",20123,665742
"Nick Kurtz","ATH",239,0.213389121,0.288702928,0.739130434,0.29032258,0.447698744,0.489247311,0.936946055,0.198924731,5.064884512140724,0.422018348,,,-0.7948644161224365,0.3462632857263088,45.82443131458587,18.211805290995308,0.4127571618608139,163.0353872515002,"Nick Kurtz",35110,701762
"Drake Baldwin","ATL",216,0.111111111,0.203703703,0.545454545,0.303191489,0.388888888,0.542553191,0.931442079,0.239361702,2.707038339109114,0.333333333,,,-0.20921991765499115,-0.5591526478528976,40.433787714170776,15.478443692850437,0.4069810060567634,162.00580832388016,"Drake Baldwin",31539,686948
