Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Petey Halpin","CLE",14,24,25,2,2,0,0,0,3,1,1,0,6,0,0,0,0,2,0,0.083333333,"Petey Halpin",27931,690984
"Otto Kemp","PHI",13,25,27,2,2,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0.08,"Otto Kemp",31792,805249
"Austin Wynns","ATH",14,39,43,3,3,0,0,0,3,0,3,0,10,0,0,1,0,0,0,0.076923076,"Austin Wynns",15271,642851
"Sean Murphy","ATL",4,14,14,1,1,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0.071428571,"Sean Murphy",19352,669221
"César Salazar","HOU",6,14,16,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.071428571,"Cesar Salazar",21587,663967
"Christian Koss","SFG",10,14,15,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0.071428571,"Christian Koss",27653,683766
"Addison Barger","TOR",9,22,28,1,0,1,0,0,2,2,5,0,7,0,1,0,1,0,0,0.045454545,"Addison Barger",24598,680718
"Tommy Pham","NYM",9,13,14,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,"Tommy Pham",2967,502054
"Kenley Jansen","DET",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kenley Jansen",3096,445276
"Max Scherzer","TOR",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Max Scherzer",3137,453286
"Huascar Brazobán","NYM",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Huascar Brazoban",6107,623211
"Albert Suárez","BAL",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Albert Suarez",6175,544150
"Carlos Carrasco","ATL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Carlos Carrasco",6632,471911
"Craig Kimbrel","NYM",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Craig Kimbrel",6655,518886
"Martín Pérez","ATL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martin Perez",6902,527048
"Luis García","- - -",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luis Garcia",6984,472610
"Fernando Cruz","NYY",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fernando Cruz",7048,518585
"Justin Verlander","DET",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Justin Verlander",8700,434378
"Kirby Yates","LAA",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kirby Yates",9073,489446
"Nathan Eovaldi","TEX",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nathan Eovaldi",9132,543135
"Patrick Corbin","TOR",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patrick Corbin",9323,571578
"Miles Mikolas","WSN",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Miles Mikolas",9803,571945
"Brooks Raley","NYM",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brooks Raley",10061,548384
"Caleb Thielbar","CHC",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caleb Thielbar",10078,573204
"Aroldis Chapman","BOS",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aroldis Chapman",10233,547973
"Zack Wheeler","PHI",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zack Wheeler",10310,554430
"Chris Sale","ATL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chris Sale",10603,519242
"Jacob deGrom","TEX",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jacob deGrom",10954,594798
"Merrill Kelly","ARI",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merrill Kelly",11156,518876
"Vince Velasquez","CHC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vince Velasquez",11189,592826
"Jose Quintana","COL",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jose Quintana",11423,500779
"Drew Pomeranz","LAA",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Drew Pomeranz",11426,519141
"Robbie Ray","SFG",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Robbie Ray",11486,592662
"Jameson Taillon","CHC",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jameson Taillon",11674,592791
"Tyron Guerrero","BOS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tyron Guerrero",11691,594027
"Taijuan Walker","PHI",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Taijuan Walker",11836,592836
"Chris Martin","TEX",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chris Martin",11847,455119
"Jason Adam","SDP",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jason Adam",11861,592094
"Aaron Brooks","TBR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Brooks",12272,605156
"Chris Bassitt","BAL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chris Bassitt",12304,605135
"Colin Rea","CHC",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Colin Rea",12317,607067
"Seth Lugo","KCR",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Seth Lugo",12447,607625
"Blake Treinen","LAD",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blake Treinen",12572,595014
