Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Jedixson Paez","CHW",0,9.000002861023859,0,6.000001907349239,0,0.1875,-0.1875,0.3076923076923077,2.3333340750802596,0.18181818181818182,0.23809524,439.3324954025505,350.94359388055403,239.20113772834512,18.000005722047717,14.748534446293633,3.251471275754085,9.778479710138843,8.962949118375777,"Jedixson Paez",29114,699151
"Chase Lee","TOR",2.7000010299686545,10.800004119874618,0.25,5.400002059937309,0.06666667,0.26666667,-0.2,0.18181818181818182,1.8000006866457698,0,0.9375,199.40664132666137,334.84959094112384,199.6047939971475,8.100003089905965,13.881868190766951,-5.781865100860987,8.161211108137431,8.821691891831867,"Chase Lee",29574,695445
"Sammy Peralta","COL",13.500014081612017,27.000028163224034,0.5,0,0.14285714,0.28571429,-0.14285714,0.5,6.0000062584942295,0.6666666666666666,0.6,589.04183890264,319.37430931473807,438.9129365836927,27.000028163224034,13.581875023257236,13.418153139966797,17.740569560369615,8.709806883884685,"Sammy Peralta",25589,671111
"Carlos Cortes","ATH",0,9,0,0,0,0.2,-0.2,0.25,2,0.25,1,0,146.29607213967176,216.57460615061387,0,6.081864070892334,-6.081864070892334,8.854324203729629,8.524554118375779,"Carlos Cortes",21842,666126
"Zach Maxwell","CIN",9,18,0.5,18,0.125,0.25,-0.125,0.5,5,0.3333333333333333,0.45454545,851.4930029975507,779.1905400514174,278.17580180373415,36,33.08186407089234,2.918135929107663,11.240554270148277,8.488402243375779,"Zach Maxwell",31610,687209
"Kyle Nicolas","CIN",8.590910580532869,15.954548220989613,0.53846154,1.227272940076124,0.16666667,0.30952381,-0.14285714,0.27586206896551724,2.8636368601776225,0.3333333333333333,0.71428571,203.19722913059343,194.78871345074947,212.14382563312319,8.590910580532869,8.263683151213748,0.3272274293191213,8.570301031280554,8.4464777428661,"Kyle Nicolas",27775,693312
"George Klassen","LAA",11.571430147910819,19.2857169131847,0.6,1.9285716913184698,0.1875,0.3125,-0.125,0.3181818181818182,3.6428576391571097,0.4,0.64102564,279.86502562084854,234.81559275051592,191.49940405982795,11.571430147910819,9.724722118767064,1.8467080291437554,7.830155474779116,8.354090945250652,"George Klassen",33464,691946
"Victor Mederos","ATL",0,4.5,0,0,0,0.16666667,-0.16666667,0,0.5,0,1,0,115.76316166619,164.9344050349921,0,4.581864070892334,-4.581864070892334,6.661209170520306,8.320796327601556,"Victor Mederos",31533,682989
"Joey Wiemer","WSN",0,9,0,4.5,0,0.125,-0.125,0.5384615384615384,4.5,0.5,0.58139535,558.4371629797997,347.1700982883898,307.6800234614083,22.5,14.081864070892333,8.418135929107667,12.4336693033576,8.280964743375778,"Joey Wiemer",27690,686894
"César Salazar","HOU",0,0,0,9,0,0,0,0.25,1,0,1,221.49990014905154,395.3742734751952,177.06392195500038,9,16.081864070892333,-7.081864070892333,7.2405542701482775,8.163074118375778,"Cesar Salazar",21587,663967
"Ben Williamson","TBR",0,0,0,9,0,0,0,0.25,1,0,1,218.3093278846173,386.86896882731634,177.06392195500038,9,16.081864070892333,-7.081864070892333,7.2405542701482775,8.163074118375778,"Ben Williamson",33197,810938
"Brendan Beck","NYY",3,9,0.33333333,3,0.07692308,0.23076923,-0.15384615,0.2,1.6666666666666667,0.125,0.83333333,148.48980512124933,234.10096621199656,177.62581483060583,6,9.748530737559001,-3.748530737559001,7.263504159450532,8.161979441586837,"Brendan Beck",33043,694341
"Ian Hamilton","ATL",9,18,0.5,0,0.14285714,0.28571429,-0.14285714,0.4,4,0.5,0.25,666.8282929179319,178.80946101501218,209.61637876447608,27,7.081864070892334,19.918135929107667,8.468094137310981,7.985074114680064,"Ian Hamilton",19261,641656
"Braxton Garrett","MIA",10.384616146426286,16.615385834282055,0.625,0,0.17857143,0.28571429,-0.10714286,0.35,3.4615387154754282,0.4666666666666667,0.53333333,355.95862638125976,156.24958420810765,203.7787911566376,14.538462604996798,6.312633538669401,8.225829066327398,8.232029156055091,7.9707628441810385,"Braxton Garrett",21844,666129
"Nate Pearson","HOU",0,4.5,0,0,0,0.14285714,-0.14285714,0,0.5,0,1,0,112.4947560513315,145.9096852736486,0,4.581864070892334,-4.581864070892334,5.968094137310982,7.8711761435291665,"Nate Pearson",20160,663878
"Adam Frazier","LAA",0,9.000004827978817,0,4.500002413989408,0,0.14285714,-0.14285714,0.5833333333333334,4.500002413989408,0.5454545454545454,0.65789474,435.345769636748,303.8658753963777,216.57468196588968,18.000009655957633,12.581869167092197,5.418140488865436,8.854327300320211,7.535257778243533,"Adam Frazier",15223,624428
"Miguel Rojas","LAD",0,9,0,0,0,0.16666667,-0.16666667,0.25,2,0.25,0.66666667,224.48015004120393,218.39230013784393,259.07384235591485,9,9.081864070892333,-0.08186407089233327,10.468094137310981,7.5340185530540005,"Miguel Rojas",7802,500743
"Cristian Javier","HOU",3.8571433826369397,8.678572610933115,0.44444444,1.9285716913184698,0.08333333,0.1875,-0.10416667,0.35135135135135137,2.35714317827813,0.3548387096774194,0.51886792,308.5177600969595,210.00914217107956,195.37147533113946,12.535715993570054,8.546150529628,3.9895654639420552,7.988305917514815,7.518375748360613,"Cristian Javier",17606,664299
"Luis Morales","ATH",6.7500002299036375,11.571428965549092,0.58333333,4.821428735645456,0.12727273,0.21818182,-0.09090909,0.40476190476190477,3.107142962971516,0.4,0.65217391,344.26356690027313,306.31217003638477,202.64426027282607,14.464286206936366,12.724721542183246,1.7395646647531198,8.28535472624185,7.343648333547777,"Luis Morales",32227,806960
"Nick Raquet","BAL",3.3750008046628963,6.750001609325793,0.5,3.3750008046628963,0.07142857,0.14285714,-0.07142857,0.2727272727272727,1.8750004470349424,0.2222222222222222,0.65217391,251.37791674311904,260.48658275122824,215.87826905406573,10.125002413988689,10.581865859032103,-0.4568634450434139,8.825883089815145,7.199757783650178,"Nick Raquet",20333,675919
"Bennett Sousa","HOU",10.80000102996836,13.50000128746045,0.8,0,0.23529412,0.29411765,-0.05882353,0.25,2.400000228881858,0.375,0.625,199.3499291456371,127.25369232151054,167.38771857465048,8.10000077247627,5.18186427116396,2.9181365013123095,6.845340509507794,7.198260976570293,"Bennett Sousa",21345,656986
"Andre Granillo","WSN",2.892857832568197,7.714287553515192,0.375,1.928571888378798,0.06,0.16,-0.1,0.3170731707317073,2.250000536441931,0.3055555555555556,0.52083333,239.3302697664113,200.21750355895045,198.17228784635813,9.64285944189399,8.11757955721475,1.5252798846792395,8.005308944254743,7.150836918375778,"Andre Granillo",29542,701552
"Gerrit Cole","NYY",3,4.5,0.66666667,0,0.09090909,0.13636364,-0.04545455,0.10526315789473684,0.8333333333333334,0.11764705882352941,1,0,93.89611710452095,152.2138528684481,0,3.915197404225668,-3.915197404225668,6.225580848256747,7.110908835595431,"Gerrit Cole",13125,543037
