"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691406,"Caminero, Junior",317,0.9135446685878963,258,"79.965652429",0.8832807570977916,0.2713178294573643,0.22082018927444794,0.23255813953488372,0.1892744479495268,"8.572917539",4,2.282480567371028,,NaN,140,0.4416403785488959
519317,"Stanton, Giancarlo",155,0.9011627906976745,99,"79.335077806",0.9290322580645161,0.30303030303030304,0.1935483870967742,0.2222222222222222,0.14193548387096774,"8.440819226",3,-2.754823717733927,,NaN,58,0.3741935483870968
691023,"Walker, Jordan",366,0.9014778325123153,257,"78.842840164",0.8469945355191256,0.30739299610894943,0.21584699453551912,0.22957198443579765,0.16120218579234974,"8.276113716",7,12.070080658735025,,NaN,130,0.3551912568306011
665833,"Cruz, Oneil",375,0.9057971014492754,234,"78.437095893",0.7786666666666665,0.3547008547008547,0.22133333333333333,0.2564102564102564,0.16,"7.628343173",4,-2.267185071714758,,NaN,114,0.304
682634,"Alcántara, Kevin",2,1,1,"78.12017",1,0,0,0,0,"8.854445",0,-0.28530011297087277,,NaN,0,0
701762,"Kurtz, Nick",367,0.9061728395061729,247,"77.931995259",0.7874659400544959,0.2793522267206478,0.1880108991825613,0.22672064777327935,0.15258855585831063,"7.806570545",10,-1.96769101871002,,NaN,110,0.2997275204359673
703607,"Bolte, Henry",59,0.9076923076923077,41,"77.474289492",0.7796610169491526,0.3170731707317073,0.22033898305084745,0.24390243902439024,0.1694915254237288,"7.787836441",1,-0.7516358277646891,,NaN,23,0.3898305084745763
682987,"Jones, Spencer",63,0.9,41,"77.453343492",0.8412698412698413,0.21951219512195122,0.14285714285714285,0.14634146341463414,0.09523809523809523,"7.799483968",1,-3.511726972543497,,NaN,11,0.1746031746031746
666176,"Adell, Jo",422,0.9017094017094017,326,"77.35064455",0.7061611374407581,0.25153374233128833,0.1943127962085308,0.15030674846625766,0.11611374407582939,"8.002221066",9,-6.768841878368941,,NaN,144,0.3412322274881517
701358,"Smith, Cam",336,0.9032258064516129,235,"77.322697024",0.7440476190476191,0.25957446808510637,0.18154761904761904,0.14468085106382977,0.10119047619047619,"7.774321577",7,-13.589812417100076,,NaN,110,0.3273809523809524
672016,"Clarke, Denzel",88,0.9072164948453608,54,"77.159527614",0.7386363636363636,0.3333333333333333,0.20454545454545456,0.16666666666666666,0.10227272727272728,"7.621648523",1,-5.164777235970532,,NaN,27,0.3068181818181818
621550,"Wisdom, Patrick",27,0.9310344827586207,17,"76.95094037",0.7777777777777778,0.35294117647058826,0.2222222222222222,0.23529411764705882,0.14814814814814814,"7.843691111",0,-2.3114298079038362,,NaN,7,0.25925925925925924
669003,"Mitchell, Garrett",242,0.8996282527881041,155,"76.921870661",0.7685950413223139,0.27741935483870966,0.17768595041322313,0.2,0.128099173553719,"7.24907905",3,-8.746292369144872,,NaN,68,0.2809917355371901
656941,"Schwarber, Kyle",357,0.8992443324937027,256,"76.90099098",0.7422969187675069,0.23828125,0.17086834733893558,0.171875,0.12324929971988796,"7.45540493",18,7.681221749177864,,NaN,107,0.29971988795518206
641343,"Bauers, Jake",268,0.9084745762711864,208,"76.836748433",0.7313432835820894,0.375,0.291044776119403,0.22115384615384615,0.17164179104477612,"7.702174627",9,-1.125044442528039,,NaN,114,0.4253731343283582
694514,"Thompson, Sterlin",30,0.9090909090909091,26,"76.65612",0.6333333333333333,0.2692307692307692,0.23333333333333334,0.07692307692307693,0.06666666666666667,"6.992314667",0,-2.6203674277908253,,NaN,16,0.5333333333333333
695506,"Caglianone, Jac",272,0.9066666666666666,191,"76.636317757",0.6911764705882352,0.36649214659685864,0.25735294117647056,0.2670157068062827,0.1875,"7.906739743",7,-2.627944530959879,,NaN,100,0.36764705882352944
695578,"Wood, James",356,0.9012658227848102,256,"76.603530449",0.6713483146067415,0.33203125,0.23876404494382023,0.234375,0.16853932584269662,"7.403580281",15,-1.7153123490352193,,NaN,121,0.3398876404494382
677594,"Rodríguez, Julio",425,0.9081196581196581,315,"76.418569318",0.6541176470588235,0.25396825396825395,0.18823529411764706,0.1746031746031746,0.12941176470588237,"7.766597294",6,-4.499047123393632,,NaN,150,0.35294117647058826
805904,"Cole, Zach",84,0.9032258064516129,49,"76.33929369",0.6666666666666667,0.3469387755102041,0.20238095238095238,0.22448979591836735,0.13095238095238096,"7.367319643",1,-1.9175684677994713,,NaN,28,0.3333333333333333
672356,"Arias, Gabriel",49,0.9074074074074074,29,"76.286471837",0.6326530612244898,0.27586206896551724,0.16326530612244897,0.2413793103448276,0.14285714285714285,"7.513112449",2,-1.3139808856488224,,NaN,15,0.30612244897959184
668723,"Vilade, Ryan",138,0.9139072847682119,113,"76.282648406",0.6159420289855074,0.18584070796460178,0.15217391304347827,0.09734513274336283,0.07971014492753623,"7.223971739",2,-4.022527021715385,,NaN,44,0.3188405797101449
682674,"Bericoto, Victor",8,0.8888888888888888,8,"76.2489675",0.5000000000000001,0.125,0.125,0,0,"7.76032125",0,-0.7958312010775943,,NaN,2,0.25
665489,"Guerrero Jr., Vladimir",355,0.907928388746803,288,"76.221463887",0.6394366197183098,0.3055555555555556,0.24788732394366197,0.1840277777777778,0.14929577464788732,"7.49533693",1,-9.931837441057024,,NaN,158,0.4450704225352113
666624,"Morel, Christopher",95,0.9047619047619048,63,"76.217967263",0.631578947368421,0.31746031746031744,0.21052631578947367,0.15873015873015872,0.10526315789473684,"8.005336737",1,-6.348515404933284,,NaN,31,0.3263157894736842
695657,"Montgomery, Colson",357,0.8992443324937027,233,"76.114744342",0.6302521008403363,0.2532188841201717,0.16526610644257703,0.17167381974248927,0.11204481792717087,"7.813819832",14,-2.661802193281531,,NaN,118,0.33053221288515405
575929,"Contreras, Willson",342,0.9047619047619048,242,"76.041317632",0.652046783625731,0.26859504132231404,0.19005847953216373,0.18181818181818182,0.1286549707602339,"7.897137544",9,4.528256908215332,,NaN,124,0.36257309941520466
673357,"Robert Jr., Luis",158,0.9028571428571428,123,"76.022598481",0.6265822784810127,0.2926829268292683,0.22784810126582278,0.17886178861788618,0.13924050632911392,"7.702408291",3,-4.596120992328949,,NaN,63,0.3987341772151899
592450,"Judge, Aaron",383,0.9054373522458629,265,"76.008127441",0.6344647519582245,0.2943396226415094,0.20365535248041775,0.19245283018867926,0.13315926892950392,"8.104674726",12,7.927794597744781,,NaN,114,0.29765013054830286
682663,"Ramírez, Agustín",213,0.902542372881356,152,"75.922972066",0.6056338028169014,0.26973684210526316,0.19248826291079812,0.14473684210526316,0.10328638497652583,"7.624156714",7,-11.22807209025676,,NaN,79,0.37089201877934275
670541,"Alvarez, Yordan",341,0.9191374663072777,278,"75.87917915",0.6011730205278593,0.29856115107913667,0.2434017595307918,0.2014388489208633,0.16422287390029325,"7.645901261",3,5.569084678121571,,NaN,142,0.41642228739002934
660670,"Acuña Jr., Ronald",289,0.9003115264797508,220,"75.816884775",0.6089965397923875,0.29545454545454547,0.22491349480968859,0.16818181818181818,0.12802768166089964,"7.625034775",11,-11.509168672082204,,NaN,107,0.370242214532872
656305,"Chapman, Matt",322,0.9070422535211268,244,"75.804831863",0.5900621118012421,0.2336065573770492,0.17701863354037267,0.12704918032786885,0.09627329192546584,"7.305925",7,-11.45701253025797,,NaN,124,0.38509316770186336
680779,"Davis, Henry",187,0.9033816425120773,153,"75.653921283",0.5828877005347594,0.2875816993464052,0.23529411764705882,0.1568627450980392,0.12834224598930483,"7.349083209",5,-11.916124889959843,,NaN,78,0.41711229946524064
701350,"Anthony, Roman",176,0.9166666666666666,128,"75.598098068",0.5397727272727273,0.359375,0.26136363636363635,0.203125,0.14772727272727273,"7.5008275",4,-6.273807513888597,,NaN,65,0.3693181818181818
683079,"Martinez, Omar",4,0.8,4,"75.5701925",0.75,0.25,0.25,0,0,"9.3771",0,-0.1048512673123369,,NaN,2,0.5
