Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",13,6,0,32,32,192,9.9375,1.828125,0.9375,0.29191321499013806,0.71276596,0.41221374,0.0990099,95.9622281615497,3.609375,3.2143298599978976,3.1508736928304044,3.536170850632092,5.89959716796875,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",20,5,0,32,32,186.2,13.54821502403341,2.796428723821843,1.0607143435186301,0.3155216284987277,0.7025247,0.34057971,0.121546961,97.3760989010989,3.857143067340473,3.0838810214030925,2.853254623315771,2.9242724886054283,5.483891010284424,"Spencer Strider",27498,675911
"Sonny Gray","MIN",8,8,0,32,32,184,8.951086956521738,2.6902173913043477,0.391304347826087,0.2948207171314741,0.76773567,0.473267326,0.051948051,92.84131493506493,2.7880434782608696,3.6927458781955993,2.825692533410114,3.6442586753031483,5.389150142669678,"Sonny Gray",12768,543243
"Gerrit Cole","NYY",15,4,0,33,33,209,9.559808612440191,2.0669856459330145,0.861244019138756,0.26145038167938933,0.80434783,0.396296296,0.094339622,96.83374783737024,2.626794258373206,3.4461439049344644,3.1641312685879797,3.597196205609153,5.305351734161377,"Gerrit Cole",13125,543037
"Kevin Gausman","TOR",12,9,0,31,31,185,11.52972972972973,2.675675675675676,0.9243243243243243,0.3207126948775056,0.76646091,0.426406926,0.107344632,94.64582331730769,3.1621621621621623,3.8439379685503496,2.968553873010584,3.21527419976286,5.268610954284668,"Kevin Gausman",14107,592332
"Zac Gallen","ARI",17,9,0,34,34,210,9.428571428571429,2.0142857142857142,0.9428571428571428,0.3007246376811594,0.73135755,0.417832167,0.109452736,93.51585605360444,3.4714285714285715,4.201770647354367,3.26456416902088,3.485153228754089,5.155551433563232,"Zac Gallen",19291,668678
"Logan Webb","SFG",11,13,0,33,33,216,8.083333333333334,1.2916666666666667,0.8333333333333334,0.3016666666666667,0.73684211,0.621138211,0.153846153,92.66995644358407,3.25,3.6377484543635603,3.162447766904478,2.9538168780781606,4.935663223266602,"Logan Webb",17995,657277
"Zach Eflin","TBR",16,8,0,31,31,177.2,9.42213856703485,1.215759815101271,0.9624765202885062,0.2951167728237792,0.73232323,0.497925311,0.11728395,93.10002156047078,3.495309468416154,3.024544555264231,3.0073855823468114,3.124700686717677,4.888350963592529,"Zach Eflin",13774,621107
"Justin Steele","CHC",16,5,0,30,30,173.1,9.138461806618963,1.8692308240811517,0.7269230982537812,0.3167701863354037,0.73004202,0.493877551,0.098591549,,3.063461628355221,3.5260905483099805,3.0185018910176655,3.3229785291497724,4.823674201965332,"Justin Steele",17312,657006
"Pablo López","MIN",11,8,0,32,32,194,10.855670103092784,2.2268041237113403,1.1134020618556701,0.31275720164609055,0.76228686,0.452380952,0.13114754,94.87546964456106,3.6649484536082473,3.0116094268148195,3.3323599471259366,3.283717529460327,4.5907301902771,"Pablo Lopez",17085,641154
"Framber Valdez","HOU",12,11,0,31,31,198,9.090909090909092,2.590909090909091,0.8636363636363636,0.28160919540229884,0.7122093,0.542056074,0.139705882,95.66151646205357,3.4545454545454546,4.302081562090913,3.4974646019213127,3.3856254026143238,4.4309210777282715,"Framber Valdez",17295,664285
"George Kirby","SEA",13,10,0,31,31,190.2,8.11888155204301,0.8968531947024256,1.0384615938659665,0.29182156133828996,0.75057737,0.441651705,0.106796116,96.18561662946429,3.3513987802038008,3.8840712104042687,3.3442012034148556,3.630514826979142,4.230921745300293,"George Kirby",25436,669923
"Jordan Montgomery","- - -",10,11,0,32,32,188.2,7.918728021934806,2.2897526810413895,0.8586572553905212,0.29390018484288355,0.75564279,0.432432432,0.093264248,93.38051377333603,3.1961131172869397,3.9762887286408084,3.5624608583405903,4.013504443107919,4.211810350418091,"Jordan Montgomery",16511,656756
"Blake Snell","SDP",14,9,0,32,32,180,11.7,4.95,0.75,0.2557544757033248,0.86734694,0.444444444,0.108695652,95.6859080953926,2.25,3.769830996915642,3.4383736928304036,3.622610037525495,4.142751216888428,"Blake Snell",13543,605483
"Kyle Bradish","BAL",12,7,0,30,30,168.2,8.964427418127697,2.3478262285572535,0.747035618177308,0.2700228832951945,0.79075426,0.492204899,0.102189781,,2.8280634116712373,3.7595195556662357,3.2668980677221073,3.5307865636247486,3.8641855716705322,"Kyle Bradish",24586,680694
"Jesús Luzardo","MIA",10,10,0,32,32,178.2,10.47761253684955,2.770522545801564,1.1082090183206255,0.3111111111111111,0.74921956,0.401709401,0.115183246,96.79169394641418,3.576492740943837,3.9599904822610625,3.5516821674313794,3.7184182870242912,3.84861159324646,"Jesus Luzardo",19959,666200
"Aaron Nola","PHI",12,9,0,32,32,193.2,9.387263832145537,2.091222140824501,1.4870913001418673,0.28460038986354774,0.6640625,0.426199261,0.15609756,92.87470083424508,4.461273900425602,3.6997418644299445,4.02956707832096,3.631651960482608,3.8278045654296875,"Aaron Nola",16149,605400
"Dylan Cease","CHW",7,9,0,33,33,177,10.88135593220339,4.016949152542373,0.9661016949152542,0.3304535637149028,0.6940874,0.359832635,0.101604278,95.77544611150569,4.576271186440678,4.143714391443501,3.723966913169386,4.075248144743806,3.5765624046325684,"Dylan Cease",18525,656302
"Kodai Senga","NYM",12,7,0,29,29,166.1,10.929860053660178,4.1663327927318505,0.9198397074862527,0.27735368956743,0.80347448,0.44691358,0.115646258,95.87375968054211,2.9759519948084643,3.903409845658149,3.6337978861090567,3.7663191797245217,3.444807291030884,"Kodai Senga",31838,673540
"Corbin Burnes","MIL",10,8,0,32,32,193.2,9.294320625886671,3.0671258065426015,1.0223752688475338,0.24385245901639344,0.74918567,0.440944881,0.127906976,95.49458821614583,3.392427028448635,3.4157803510332596,3.812699597050271,3.8043166448685737,3.3964099884033203,"Corbin Burnes",19361,669203
"Justin Verlander","- - -",13,8,0,27,27,162.1,7.983572770205695,2.49486649068928,0.9979465962757119,0.2647702407002188,0.76923077,0.355179704,0.08490566,94.4487057171659,3.215605699110627,3.6204836561354354,3.846416120253048,4.56414037084129,3.368416428565979,"Justin Verlander",8700,434378
"Tarik Skubal","DET",7,3,0,15,15,80.1,11.427386615635195,1.5684648295969874,0.4481328084562821,0.2887700534759358,0.67723343,0.515957446,0.06779661,95.80672089041096,2.8008300528517633,2.3118256242772572,1.9977788691058345,2.564763388195744,3.309021472930908,"Tarik Skubal",22267,669373
"Luis Castillo","SEA",14,9,0,33,33,197,10.00507614213198,2.5583756345177666,1.2791878172588833,0.26720647773279355,0.77007701,0.389210019,0.127272727,96.40330313159747,3.33502538071066,3.8172409229205475,3.8083398518828577,3.807006785228168,3.2695794105529785,"Luis Castillo",15689,622491
"Mitch Keller","PIT",13,9,0,32,32,194.1,9.725557715952373,2.5471698779875265,1.1578044899943303,0.30975143403441685,0.71689498,0.436697247,0.135135135,95.25898389095416,4.214408343579362,4.179301723596134,3.8004949192277326,3.702056191852536,3.22461199760437,"Mitch Keller",17594,656605
"Tyler Glasnow","TBR",10,7,0,21,21,120,12.15,2.775,0.975,0.29411764705882354,0.70035461,0.512280701,0.144444444,96.49115234375,3.525,3.5527100930662954,2.9133736928304037,2.7450541749596598,3.210968255996704,"Tyler Glasnow",14374,607192
"Merrill Kelly","ARI",12,8,0,30,30,177.2,9.472796039562464,3.4953097686086094,1.0131332662633652,0.27828054298642535,0.7712766,0.451965065,0.128205128,92.30935244422572,3.2926831153559366,4.125459783415828,3.8460347648173663,3.8343436212749094,3.163715124130249,"Merrill Kelly",11156,518876
"Eduardo Rodriguez","DET",13,9,0,26,26,152.2,8.430131566085587,2.829694511693064,0.8842795349040825,0.27427184466019416,0.75949367,0.410071942,0.096774193,92.29422743055555,3.301310263641908,4.0275950530488736,3.6611539236752417,4.062482696239407,3.070185661315918,"Eduardo Rodriguez",13164,593958
"Braxton Garrett","MIA",9,7,0,31,30,159.2,8.793319975680228,1.6346556365046578,1.1273487148307986,0.30248306997742663,0.75903614,0.491341991,0.151515151,90.79427605706292,3.663883323200095,4.568719348939331,3.6809276517664835,3.4193979786620887,3.0588991940021515,"Braxton Garrett",21844,666129
"Tanner Bibee","CLE",10,4,0,25,25,142,8.93661971830986,2.852112676056338,0.823943661971831,0.28608923884514437,0.79973992,0.368286445,0.079754601,94.99791476234003,2.9788732394366195,3.7099103152135795,3.5156037397787605,4.2233244150877,3.036621332168579,"Tanner Bibee",30134,676440
"Sandy Alcantara","MIA",7,12,0,28,28,184.2,7.359206181561642,2.3393503093705883,1.0722022251281862,0.2873134328358209,0.6962664,0.519927536,0.129411764,98.08245923913043,4.142599506177083,4.290971000262207,4.02940863320076,4.0027107878935535,3.027388334274292,"Sandy Alcantara",18684,645261
"Miles Mikolas","STL",9,13,0,35,35,201.1,6.124172340144791,1.7433775274864733,1.1622516849909823,0.3076923076923077,0.68892646,0.388392857,0.098484848,93.52963878896882,4.783112703616735,5.4726683145761585,4.273252305749854,4.762415545141465,3.021503448486328,"Miles Mikolas",9803,571945
"Logan Gilbert","SEA",13,7,0,32,32,190.2,8.921329147303076,1.6993007899624906,1.3688811919142285,0.2723735408560311,0.75120192,0.414498141,0.133027522,95.76697066326531,3.729021177973243,3.6346633145239866,3.847697733774112,3.7607957135491796,3.012716054916382,"Logan Gilbert",22250,669302
"Freddy Peralta","MIL",12,10,0,30,30,165.2,11.408451404745085,2.9336017897915934,1.412474935825582,0.2734375,0.7373868,0.41728395,0.160493827,94.44566810344827,3.857143093985243,3.3481552681147106,3.8465896915949642,3.4231066724723918,3.0020368099212646,"Freddy Peralta",18679,642547
"José Berríos","TOR",11,12,0,32,32,189.2,8.731107673905555,2.467486951321135,1.1862918035197765,0.2890625,0.7638191,0.415730337,0.126262626,94.29500651041667,3.6537787548409115,4.503664881151951,3.9931774816871535,4.005639594563576,2.933680534362793,"Jose Berrios",14168,621244
"Bobby Miller","LAD",11,4,0,22,22,124.1,8.613941371148297,2.316353982157525,0.8686327433090718,0.2767857142857143,0.71315372,0.476744186,0.107142857,99.12943538346613,3.764075221005978,3.440093725221292,3.5124130241812397,3.74706769685627,2.9219915866851807,"Bobby Miller",27483,676272
"Seth Lugo","SDP",8,7,0,26,26,146.1,8.610478659192433,2.2141230837923396,1.1685649608904014,0.29802955665024633,0.76771654,0.451764705,0.132867132,93.70975066050198,3.567198301665436,4.412080695405299,3.8290722701098994,3.7568351433270974,2.8697376251220703,"Seth Lugo",12447,607625
"Tanner Scott","MIA",9,5,12,74,0,78,12.00000117375312,2.769231040096874,0.3461538800121092,0.29069767441860467,0.76822917,0.50867052,0.063829787,96.81874863417832,2.3076925334140617,2.5241608439262895,2.1652966631626525,2.6615471275440137,2.8487682342529297,"Tanner Scott",17586,656945
"Félix Bautista","BAL",8,2,33,56,0,61,16.229509211650235,3.836065813662783,0.5901639713327359,0.2736842105263158,0.83969466,0.357142857,0.085106382,100.04004923502605,1.4754099283318396,2.0925668190952207,1.8779910930540202,2.299426077370454,2.801534652709961,"Felix Bautista",20666,642585
"Kyle Hendricks","CHC",6,8,0,24,24,137,6.109489051094891,1.7737226277372262,0.8540145985401459,0.2834467120181406,0.66976127,0.46325167,0.08496732,87.78795816296729,3.7445255474452557,4.143732058905976,3.8097848850445155,4.422652172302678,2.7144367694854736,"Kyle Hendricks",12049,543294
"Marcus Stroman","CHC",10,9,0,27,25,136.2,7.836585949155181,3.424390498790499,0.5926829709445094,0.28316326530612246,0.658867,0.571072319,0.102272727,92.17854066328569,3.9512198062967294,4.27514706866269,3.5769916029731004,3.785491284450507,2.70581391453743,"Marcus Stroman",13431,573186
"Charlie Morton","ATL",14,12,0,30,30,163.1,10.083673783397247,4.573469530174708,0.7714285954511555,0.32075471698113206,0.77639752,0.43287037,0.093959731,94.99831882911393,3.636734807126876,4.635218340777781,3.8734077256920445,4.2673837257477585,2.668635368347168,"Charlie Morton",4676,450203
"Kyle Gibson","BAL",15,9,0,33,33,192,7.359375,2.578125,1.078125,0.30918727915194344,0.69664903,0.488850771,0.127071823,92.21206448655256,4.734375,4.726452333218512,4.130040359497071,4.131377169210465,2.661146879196167,"Kyle Gibson",10123,502043
"Michael Wacha","SDP",14,4,0,24,24,134.1,8.307692622246474,2.8808934093274066,1.004962817207235,0.266304347826087,0.79710145,0.344647519,0.09090909,92.28517978162651,3.2158810150631516,4.270952195443758,3.887794725886811,4.466973701179314,2.644108772277832,"Michael Wacha",14078,608379
"Chris Bassitt","TOR",16,8,0,33,33,200,8.37,2.655,1.26,0.2735674676524954,0.76515881,0.422735346,0.132075471,92.50811832740213,3.6,4.035282528318384,4.28004035949707,4.212593218684197,2.606567144393921,"Chris Bassitt",12304,605135
"Aaron Civale","- - -",7,5,0,23,23,122.1,8.534060034209416,2.4277929407664716,0.8828337966423533,0.2869822485207101,0.76804916,0.389534883,0.089552238,91.9251945249496,3.457765703515884,3.7299147623941757,3.565667065723084,4.1014910633578365,2.568132519721985,"Aaron Civale",19479,650644
"Yusei Kikuchi","TOR",11,6,0,32,32,167.2,9.715706354870433,2.576540911788844,1.4493042628812247,0.31363636363636366,0.77566964,0.397408207,0.152542372,95.0883408733281,3.864811367683266,4.273864370888987,4.119851545166936,3.771799399492592,2.5676779747009277,"Yusei Kikuchi",20633,579328
"Bailey Ober","MIN",8,6,0,26,26,144.1,9.103926417817304,1.8083141514842591,1.3718245287121966,0.2761394101876676,0.79109063,0.342710997,0.113402061,91.37707990357478,3.4295613217804912,3.584564997206123,3.961737843985172,4.2025016418436785,2.457449436187744,"Bailey Ober",21224,641927
"Clayton Kershaw","LAD",13,5,0,24,24,131.2,9.36455660027394,2.7341771095690337,1.298734127045291,0.25,0.89347079,0.475073313,0.168141592,90.86030456216578,2.4607593986121303,3.7148881690509894,4.029723873874963,3.572727042387137,2.44922137260437,"Clayton Kershaw",2036,477132
"Yu Darvish","SDP",8,10,0,24,24,136.1,9.30806880691897,2.838630912748338,1.1882641030109322,0.31868131868131866,0.71339174,0.415789473,0.135338345,94.84064421106558,4.555012394875241,3.803014435401261,4.025211537374527,3.9217576211092844,2.440768003463745,"Yu Darvish",13074,506433
"Kutter Crawford","BOS",6,8,0,31,23,129.1,9.394330266355938,2.505154737694917,1.1829897372448217,0.2694610778443114,0.71658615,0.348571428,0.098837209,93.77448424177832,4.036082632952922,3.276089535378571,3.8272053304520823,4.317229847244459,2.4288747012615204,"Kutter Crawford",20531,676710
"Reid Detmers","LAA",4,10,0,28,28,148.2,10.1704042833545,3.632287244055179,1.1502242939508067,0.3177083333333333,0.70971185,0.366583541,0.11728395,94.3347800925926,4.479820934334721,4.5660212507327484,4.129479881214058,4.269679335694564,2.4226717948913574,"Reid Detmers",27468,672282
"Taijuan Walker","PHI",15,6,0,31,31,172.2,7.193050616823329,3.7007724188004083,1.042471103887439,0.2721774193548387,0.71359223,0.446183953,0.106382978,93.09397367075664,4.378378636327243,4.398926298179847,4.534963214825536,4.829346222956277,2.4186887741088867,"Taijuan Walker",11836,592836
"Ranger Suarez","PHI",4,6,0,22,22,125,8.568000522949252,3.4560002109375128,0.9360000571289098,0.3240223463687151,0.74626866,0.485013623,0.115044247,93.44756645114943,4.176000254882828,4.375110547586321,3.903040399047854,4.0456703933242055,2.3822882175445557,"Ranger Suarez",17277,624133
"Nathan Eovaldi","TEX",12,5,0,25,25,144,8.25,2.9375,0.9375,0.27055702917771884,0.74496644,0.51025641,0.12,95.27142319277108,3.625,3.9490950188323497,3.8800403594970705,3.9610748681343266,2.338416576385498,"Nathan Eovaldi",9132,543135
"Joe Ryan","MIN",11,10,0,29,29,161.2,10.967010999353846,1.892783624253963,1.7814434110625537,0.3052109181141439,0.74567244,0.315545243,0.148837209,92.27838114754098,4.509278634252088,3.5580880659488443,4.133390930229302,3.7589824145010247,2.332017183303833,"Joe Ryan",21390,657746
"David Bednar","PIT",3,3,39,66,0,67.1,10.693070114669808,2.806930905100825,0.4009901293001178,0.29411764705882354,0.75549451,0.394117647,0.038461538,96.61663208007812,2.004950646500589,2.857055233243648,2.5273175322487083,3.863378575867528,2.3198275566101074,"David Bednar",19569,670280
"Shohei Ohtani","LAA",10,5,0,23,23,132,11.386363636363637,3.75,1.2272727272727273,0.2392857142857143,0.80286169,0.454545454,0.166666666,96.74740342565597,3.1363636363636362,3.753812919838971,3.9974646019213127,3.5774796733350467,2.2932345867156982,"Shohei Ohtani",19755,660271
"Patrick Sandoval","LAA",7,13,0,28,28,144.2,7.963134200496706,4.6036869596621575,0.7465438312965661,0.3064516129032258,0.64985451,0.46590909,0.09090909,93.00845670914542,4.105991072131114,4.671702110926429,4.181307705735403,4.611554958487364,2.2650258541107178,"Patrick Sandoval",19447,663776
"Michael King","NYY",4,8,6,49,9,104.2,10.920383624960296,2.751592724399445,0.8598727263748265,0.3035019455252918,0.81081081,0.428030303,0.106382978,94.83968698601974,2.751592724399445,3.4916352963219053,3.1308365212429288,3.373655644819456,2.2433258295059204,"Michael King",19853,650633
"Cole Ragans","- - -",7,5,0,29,12,96,10.593750841915675,3.843750305473829,0.6562500521540683,0.27510917030567683,0.70736434,0.44017094,0.082352941,96.55882064364208,3.468750275671504,3.3240949942225613,3.192540354530016,3.7085289276804385,2.216991662979126,"Cole Ragans",21846,666142
"Max Scherzer","- - -",13,6,0,27,27,152.2,10.257642092269865,2.6528384721387583,1.650655049330783,0.2648648648648649,0.81001473,0.331645569,0.145833333,93.86776843832745,3.7729258270417896,3.337969694538759,4.322725966802299,4.017770962323361,2.1651731729507446,"Max Scherzer",3137,453286
"Mike Clevinger","CHW",9,9,0,24,24,131.1,7.538071357923454,2.7411168574267104,1.0964467429706841,0.2807486631016043,0.77235772,0.30927835,0.082051282,94.64124969151037,3.769035678961727,4.109730051752436,4.282959181032087,5.154052555023584,2.156674861907959,"Mike Clevinger",12808,605182
"Andrew Abbott","CIN",8,6,0,21,21,109.1,9.878049240021554,3.6219513880079033,1.317073232002874,0.302158273381295,0.79934747,0.286206896,0.106666666,92.62959025580169,3.868902619008442,3.9300134418594195,4.197113574054682,4.562992521799875,2.1366748809814453,"Andrew Abbott",29911,671096
"Joe Musgrove","SDP",10,3,0,17,17,97.1,8.969178550886314,1.9417809233877585,0.9246575825655994,0.3053435114503817,0.80188679,0.450184501,0.11235955,93.16420395194986,3.051370022466478,3.1218089071181097,3.5221636611271325,3.6983448974045094,2.133458375930786,"Joe Musgrove",12970,605397
"Chris Sale","BOS",6,5,0,20,20,102.2,10.957792479225072,2.5422078551802167,1.3149350975070087,0.2903225806451613,0.69902913,0.373076923,0.132743362,94.08930886929461,4.295454651856228,3.6229868960286407,3.800494918462941,3.720904801520947,2.103240966796875,"Chris Sale",10603,519242
"Shane Bieber","CLE",6,6,0,21,21,128,7.5234375,2.390625,0.984375,0.29333333333333333,0.74257426,0.47150259,0.119658119,91.61087477189781,3.796875,4.894035073785782,3.8722278594970705,3.961619697092101,2.084268569946289,"Shane Bieber",19427,669456
"Matt Brash","SEA",9,4,4,78,0,70.2,13.627361923488886,3.693397156833436,0.3820755679482865,0.3803680981595092,0.77244259,0.46060606,0.052631578,98.18100142045455,3.056604543586292,3.2579856000652807,2.2644740722237353,3.046187240494761,2.0257933139801025,"Matt Brash",25756,666374
"Cristian Javier","HOU",10,5,0,31,31,162,8.833333333333334,3.4444444444444446,1.3888888888888888,0.271889400921659,0.71751412,0.256017505,0.098425196,92.81368906064209,4.555555555555555,4.486218141586723,4.576028013818058,5.162147430505281,2.0035417079925537,"Cristian Javier",17606,664299
"Matt Strahm","PHI",9,5,2,56,10,87.2,11.087453758031316,2.155893786283867,1.1292776975772638,0.27403846153846156,0.75718016,0.330232558,0.108910891,93.62510263236464,3.285171483861131,3.1876033556791157,3.2436335140669965,3.517266935350325,1.97476464509964,"Matt Strahm",13799,621381
"Steven Matz","STL",4,7,0,25,17,105,8.400000152587893,2.742857192681761,0.9428571599843554,0.3180327868852459,0.74451411,0.445859872,0.11,,3.8571429272087268,3.9158315767756733,3.750278463731277,3.962994423738281,1.958440750837326,"Steven Matz",13361,571927
"Dane Dunning","TEX",12,7,0,35,26,172.2,7.297297404775986,2.8667954090191374,1.0424710578251408,0.28772635814889336,0.775,0.463178294,0.117647058,90.73006015353732,3.7007722552792504,4.480011474320076,4.26855388793818,4.390579747871662,1.946678463369608,"Dane Dunning",19409,641540
"Hunter Greene","CIN",4,7,0,22,22,112,12.214285714285714,3.857142857142857,1.5267857142857142,0.33948339483394835,0.72649573,0.343859649,0.142857142,98.63376200848973,4.821428571428571,3.813698604471199,4.246111788068499,4.004109853027122,1.9298408031463623,"Hunter Greene",22182,668881
"Brady Singer","KCR",8,11,0,29,29,159.2,7.49686895362481,2.7620043513354564,1.1273487148307986,0.32926829268292684,0.6492891,0.495088408,0.128205128,92.51398111979167,5.524008702670913,4.930084491862229,4.2884433480919695,4.275434204984763,1.9247688055038452,"Brady Singer",25377,663903
"Camilo Doval","SFG",6,6,39,69,0,67.2,11.571430310995215,3.458128598688225,0.3990148383101798,0.3057324840764331,0.65594059,0.522012578,0.0625,,2.926108814274652,2.9231091837195224,2.7673555571179618,3.363821915598385,1.9235979318618774,"Camilo Doval",21992,666808
"Grayson Rodriguez","BAL",7,4,0,23,23,122,9.516394037740366,3.098360849496863,1.1803279426654718,0.3220858895705521,0.72230014,0.472140762,0.139130434,97.35171216475096,4.352459288578927,4.237084495983203,3.927171549070464,3.780740816177725,1.8984893560409546,"Grayson Rodriguez",24492,680570
