Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Fernando Tatis Jr.","SDP",59,257,17,50,45,11,0.105058365,0.237354085,0.294642857,0.306122448,0.276785714,0.365758754,0.571428571,0.392314494587481,0.42189180850982666,150.53988307876907,1.1749498234130442,17.770469404953552,6.849098205566406,3.3151066912713523,"Fernando Tatis Jr.",19709,665487
"José Ramírez","CLE",58,254,17,45,46,10,0.122047244,0.169291338,0.315068494,0.29375,0.292237442,0.385826771,0.607305936,0.41471267779042403,0.3729702493418818,166.7179308294453,0.9119986295700073,21.788530939080893,-0.9261355996131897,3.1102373704138433,"Jose Ramirez",13510,608070
"Freddie Freeman","ATL",60,262,13,51,53,2,0.171755725,0.141221374,0.29906542,0.365853658,0.341121495,0.461832061,0.640186915,0.45597684710633524,0.46374073178749387,186.39427662841916,-2.010988232214004,26.909775790829,-3.4903958439826965,2.9769770177766275,"Freddie Freeman",5361,518692
"José Abreu","CHW",60,262,19,43,60,0,0.06870229,0.225190839,0.3,0.349693251,0.316666666,0.370229007,0.616666666,0.41113404295910366,0.3986671126208543,163.85774101051985,-0.5870751766487956,20.023823061341666,-1.5662336349487305,2.910408561701711,"Jose Abreu",15676,547989
"Trea Turner","WSN",59,259,12,46,41,12,0.084942084,0.138996138,0.253218884,0.352941176,0.334763948,0.393822393,0.587982832,0.41259800559305315,0.3834129869937897,158.6972535170292,2.3042932697571814,21.72839942002533,-0.3867664337158203,2.7668952392255863,"Trea Turner",16252,607208
"Mookie Betts","LAD",55,246,16,47,39,10,0.097560975,0.154471544,0.269406393,0.289156626,0.292237442,0.365853658,0.561643835,0.38952024420913384,0.3624178411538709,146.62054031942432,2.3037142888642848,16.957030027376575,2.154090642929077,2.7399666997178125,"Mookie Betts",13611,605141
"Manny Machado","SDP",60,254,16,44,47,6,0.102362204,0.145669291,0.276785714,0.297142857,0.303571428,0.37007874,0.580357142,0.3914943823814392,0.38465798619281816,149.9983336597671,-1.0167618286795914,15.209285744494757,2.75101500749588,2.6567014515719927,"Manny Machado",11493,592518
"Marcell Ozuna","ATL",60,267,18,38,56,0,0.142322097,0.224719101,0.298245614,0.390728476,0.337719298,0.43071161,0.635964912,0.44367279292959155,0.4335582906549627,178.26946963043116,0.4302271530032158,27.131204001745477,-7.158269643783569,2.6551324906768903,"Marcell Ozuna",10324,542303
"Anthony Rendon","LAA",52,232,9,29,31,0,0.163793103,0.133620689,0.211640212,0.302013422,0.285714285,0.418103448,0.497354497,0.3952699199966762,0.38955202061015964,151.72320844910945,0.4941985746845603,15.276958307905932,2.0995028614997864,2.5211052137802357,"Anthony Rendon",12861,543685
"Juan Soto","WSN",47,196,13,39,37,6,0.209183673,0.142857142,0.344155844,0.362831858,0.35064935,0.489795918,0.694805194,0.47763117435185803,0.47478240469227667,201.64098060428358,-1.0388438352383673,24.41470931548625,-3.9794161319732666,2.5105985286285875,"Juan Soto",20123,665742
"Trent Grisham","SDP",59,252,10,42,26,10,0.123015873,0.253968253,0.204651163,0.309859154,0.25116279,0.352,0.455813953,0.3493687739372253,0.3628292699013987,122.18128788237009,1.3535435998928733,8.495394793573325,6.508127748966217,2.3619702489618657,"Trent Grisham",18564,663757
