Name,Team,PA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Nick Yorke","PIT",86,0.28823529,0.67948718,0.47546012,0.67346939,0.90566038,0.83225806,0.47852761,19.50209205,"Nick Yorke",27504,694377
"Marcus Semien","NYM",210,0.28212291,0.72513089,0.51081081,0.6039604,0.8700361,0.7989418,0.51621622,19.49431818,"Marcus Semien",12533,543760
"Christian Walker","HOU",219,0.29107981,0.74484536,0.50737101,0.45967742,0.8615917,0.7409201,0.47665848,19.49072513,"Christian Walker",13419,572233
"Yohel Pozo","STL",29,0.5,0.78431373,0.65263158,0.81818182,0.95,0.90322581,0.53684211,19.48484848,"Yohel Pozo",18848,650968
"Gavin Sheets","SDP",163,0.33870968,0.54952077,0.4350365,0.71428571,0.90116279,0.82214765,0.45693431,19.48455598,"Gavin Sheets",19901,657757
"Lourdes Gurriel Jr.","ARI",102,0.40465116,0.68484848,0.52631579,0.57471264,0.89380531,0.755,0.43421053,19.48175182,"Lourdes Gurriel Jr.",19238,666971
"Colson Montgomery","CHW",214,0.29976019,0.75067751,0.51145038,0.376,0.80144404,0.66915423,0.46946565,19.47810858,"Colson Montgomery",29712,695657
"Shea Langeliers","ATH",221,0.31924883,0.73297003,0.51071879,0.53676471,0.866171,0.75555556,0.4627995,19.47635727,"Shea Langeliers",25816,669127
"James McCann","ARI",62,0.45833333,0.59322034,0.52521008,0.50909091,0.87142857,0.712,0.49579832,19.47159091,"James McCann",12859,543510
"Ryan Kreidler","MIN",45,0.29268293,0.71764706,0.50898204,0.45833333,0.78688525,0.69411765,0.50898204,19.47107438,"Ryan Kreidler",25867,668952
"Gabriel Moreno","ARI",113,0.35907336,0.57466063,0.45833333,0.69892473,0.88976378,0.80909091,0.46041667,19.46027397,"Gabriel Moreno",22664,672515
"A.J. Ewing","NYM",50,0.25619835,0.52941176,0.38116592,0.64516129,0.85185185,0.77647059,0.4573991,19.44508671,"A.J. Ewing",33656,805999
"Harrison Bader","SFG",99,0.37967914,0.70056497,0.53571429,0.50704225,0.81451613,0.7025641,0.48626374,19.44486692,"Harrison Bader",18030,664056
"Trent Grisham","NYY",196,0.15422886,0.51421189,0.33079848,0.5483871,0.91959799,0.83141762,0.4904943,19.4334471,"Trent Grisham",18564,663757
"Kevin McGonigle","DET",228,0.18647541,0.66666667,0.41604278,0.73626374,0.92281879,0.87917738,0.47807487,19.43243243,"Kevin McGonigle",33572,805808
"Lane Thomas","KCR",108,0.22,0.62679426,0.40522876,0.72727273,0.84732824,0.81182796,0.45533769,19.43019943,"Lane Thomas",16939,657041
"Nolan Gorman","STL",192,0.30508475,0.70212766,0.49429658,0.44444444,0.76893939,0.66410256,0.4765526,19.42881356,"Nolan Gorman",22263,669357
"Tyler Soderstrom","ATH",214,0.30097087,0.69863014,0.48777349,0.58870968,0.87843137,0.78364116,0.46975547,19.42806394,"Tyler Soderstrom",27467,691016
