"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Schlittler, Cam","693645","165","10.7",31.5,"115.1","87.7","75.9","93.1","83.9","399","154","388","65",39.4,"11",6.7,4.3
"Lopez, Jacob","682052","164","20.9",32.9,"110.8","85.3","73","90.4","80.3","413","176","385","51",31.1,"8",4.9,3.5
"Liberatore, Matthew","669461","163","13.1",39.9,"112","91.4","80.9","95","88.7","423","178","395","72",44.2,"16",9.8,7.1
"Soriano, José","667755","163","7.9",33.7,"109","88.5","78.2","90.6","86.7","429","150","393","60",36.8,"14",8.6,5.3
"Fedde, Erick","607200","163","18.4",35,"114.5","89.2","78.5","92.4","86.7","412","184","388","65",39.9,"16",9.8,7.4
"Ashcraft, Braxton","677952","162","13.6",28.4,"112.2","89.7","79.5","93.1","87.4","415","151","391","60",37,"9",5.6,3.7
"Bassitt, Chris","605135","162","9.4",31.5,"114","87.9","76.5","92.1","86.2","422","148","403","60",37,"6",3.7,2.7
"Leahy, Kyle","681517","161","7.3",37.9,"113.5","92.1","81.9","95.7","89.4","435","165","395","81",50.3,"19",11.8,8.3
"Messick, Parker","800048","160","14.1",34.4,"110.4","87.1","76","89.6","85.1","429","154","384","52",32.5,"8",5,3.2
"Painter, Andrew","691725","160","16.1",28.7,"113","87.7","76","91.7","86.2","424","169","393","58",36.3,"13",8.1,6
"Martin, Davis","663436","160","11.4",35,"113.7","90.4","79.5","94.5","88.4","425","154","389","75",46.9,"12",7.5,5
"Vásquez, Randy","681190","160","15.7",38.8,"114.1","90.3","79.8","94.5","86.3","408","179","402","72",45,"20",12.5,8.9
"Burke, Sean","680732","159","17.2",35.2,"113.4","89.4","79.4","92","87.7","418","169","399","60",37.7,"10",6.3,4.5
"Woods Richardson, Simeon","680573","159","18.2",32.1,"112.6","91","80.6","93.6","90","414","176","392","72",45.3,"15",9.4,7.4
"Soroka, Michael","647336","158","14.2",38.6,"110.1","88.8","78.5","92.6","84.9","435","173","403","57",36.1,"14",8.9,6
"Cabrera, Edward","665795","158","12.5",34.2,"115.4","91.5","81.7","96","87.4","425","167","380","62",39.2,"19",12,8.4
"Mikolas, Miles","571945","158","10.3",31,"113.3","89.9","77.7","95.9","85.9","420","159","396","72",45.6,"19",12,9.4
"Rasmussen, Drew","656876","156","8.8",28.8,"111.3","87","75.3","93.5","84.1","425","139","389","51",32.7,"12",7.7,5.5
"Meyer, Max","676974","156","13.2",32.7,"112.1","90","79.7","94.6","85.8","418","161","401","66",42.3,"14",9,5.6
"Nola, Aaron","605400","155","14",37.4,"111.7","89.2","77.9","95.8","81.7","438","168","395","65",41.9,"14",9,6.3
"Pérez, Eury","691587","155","21.3",36.8,"113.4","89.4","77.4","96.5","83.2","449","186","402","68",43.9,"24",15.5,9.6
"Cantillo, Joey","676282","154","13.2",27.9,"111.7","88.3","76.9","91.8","85.9","425","155","399","60",39,"11",7.1,4.7
"Mahle, Tyler","641816","154","12.6",31.8,"110.5","89.3","79.1","91.9","87.5","442","164","399","55",35.7,"14",9.1,6.1
"Hancock, Emerson","676106","154","12",30.5,"113.1","90.6","79.9","94.5","89","443","162","402","68",44.2,"15",9.7,6.6
"Leiter, Jack","683004","153","12.4",38.6,"113","88","75.8","94.3","82.1","414","172","395","65",42.5,"18",11.8,7.6
"Cavalli, Cade","676917","153","9.2",35.9,"111.5","89.9","79.3","92.5","88.2","402","158","384","63",41.2,"13",8.5,5.3
"Skenes, Paul","694973","153","14.5",32,"110.4","87.4","76.1","92.5","83.7","401","160","389","53",34.6,"7",4.6,3
"Peterson, David","656849","153","7.5",34,"111.7","89.8","78.6","94.1","87.8","406","145","383","69",45.1,"8",5.2,3.6
"Mlodzinski, Carmen","669387","152","13.4",35.5,"109.4","92","82.5","94.1","92.1","414","159","407","78",51.3,"11",7.2,5.1
"Early, Connelly","813349","152","13.5",34.9,"113.3","90.8","80.6","94.6","86.9","419","178","397","65",42.8,"20",13.2,8.8
"Luzardo, Jesús","666200","152","7.6",37.5,"110.9","86.3","75.3","90.3","83.9","410","142","388","46",30.3,"9",5.9,3.8
"King, Michael","650633","152","13.4",31.6,"114.6","86.6","75","92.9","82.2","423","150","390","50",32.9,"14",9.2,5.6
"Holmes, Grant","656550","151","12.8",31.8,"111.3","89.9","79","95.2","86","439","160","388","67",44.4,"14",9.3,6.3
"Cameron, Noah","702070","150","16.9",42,"115.9","90.4","79.5","94.5","87","399","179","385","66",44,"16",10.7,7.6
"Holmes, Clay","605280","150","5.1",27.3,"111.1","89.8","79.4","92.6","88.7","419","136","400","66",44,"8",5.3,3.7
"Montero, Keider","672456","150","21.3",32.7,"111.8","90.8","81.7","93.8","90","405","191","382","65",43.3,"14",9.3,7.1
"Sale, Chris","519242","150","12.1",34,"113.2","87","75.8","90.1","84.8","413","161","390","47",31.3,"11",7.3,4.6
"Weathers, Ryan","677960","149","12.8",31.5,"114.6","89.1","77.2","93.8","85.6","445","168","408","60",40.3,"15",10.1,6.5
"Ryan, Joe","657746","147","18.3",29.3,"112.2","90","79.2","92.9","89.6","414","164","395","62",42.2,"15",10.2,6.7
"Webb, Logan","657277","147","2.8",31.3,"114.4","90.9","79.9","94.2","89.5","418","128","394","72",49,"10",6.8,4.8
"Kay, Anthony","641743","147","13.1",33.3,"113.4","88.9","76.9","93.7","85.7","437","156","409","59",40.1,"14",9.5,6.6
"Warren, Will","701542","144","11.5",32.6,"115","90.1","79.5","94.3","87.2","382","156","366","58",40.3,"9",6.3,4.1
"Burns, Chase","695505","144","17.3",25,"113.1","88.8","77.8","93.4","87.4","417","156","386","54",37.5,"11",7.6,4.8
"Gore, MacKenzie","669022","144","17.3",36.1,"113","88.9","76.3","94.7","82.2","422","185","385","61",42.4,"14",9.7,6
"Rogers, Trevor","669432","143","19.2",37.8,"116.8","89.3","78.9","92.3","87.5","408","169","391","53",37.1,"11",7.7,5.6
"McLean, Nolan","690997","143","10.5",37.8,"110.3","87.2","75.1","93.7","82.7","405","157","387","54",37.8,"9",6.3,3.8
"Ginn, J.T.","669372","143","8.6",28,"112.1","86.7","75.1","93.4","82.1","413","147","391","47",32.9,"9",6.3,4.1
"Castillo, Luis","622491","143","17.6",36.4,"112.3","92.5","83.2","95.6","89.3","422","177","395","73",51,"17",11.9,8
"Quintana, Jose","500779","143","18.7",35,"115.8","88.2","78.1","90.7","87.5","429","177","403","47",32.9,"12",8.4,6.6
"Irvin, Jake","663623","142","14.5",34.5,"114.9","89.7","78.2","94.3","86.1","451","176","414","65",45.8,"17",12,7.5
"Bradish, Kyle","680694","142","8.9",28.9,"114.2","88.2","76.5","93.6","86.3","439","146","406","56",39.4,"16",11.3,7
"Paddack, Chris","663978","142","14.6",34.5,"116.3","88.8","77.6","91.8","86","412","169","377","59",41.5,"11",7.7,5.7
"Buehler, Walker","621111","141","10.9",39,"110.8","90","80.6","92.4","88.9","425","162","399","56",39.7,"9",6.4,4.5
"Corbin, Patrick","571578","141","14.4",39,"114.6","89.8","78.4","94.5","86.2","419","169","390","61",43.3,"12",8.5,6.3
"deGrom, Jacob","594798","140","21.2",42.9,"114.9","91.6","81.9","94","88","422","208","390","64",45.7,"17",12.1,7.9
"Roupp, Landen","694738","140","7.3",33.6,"111.5","86.5","76.4","91.2","83.7","390","133","376","37",26.4,"3",2.1,1.3
"Sasaki, Roki","808963","137","13.2",35,"112.8","90.2","79.6","93.4","89.2","448","173","400","63",46,"16",11.7,7.9
"Bradley, Taj","671737","137","17.8",43.8,"112.7","92.1","83.1","94.6","90.5","450","184","415","61",44.5,"13",9.5,6
"Cease, Dylan","656302","137","11.8",31.4,"112.6","87","74.3","92.3","85","415","147","382","50",36.8,"7",5.1,2.7
"Kelly, Merrill","518876","136","15.3",47.1,"113.4","91.3","80.2","95.2","84.5","440","208","401","62",45.6,"25",18.4,13.8
"Rocker, Kumar","677958","136","9.3",27.9,"110.6","90.5","79.5","93.3","89.2","443","147","414","60",44.1,"10",7.4,5.2
"Flaherty, Jack","656427","136","21.4",38.2,"113.5","91.1","81.2","94.3","89.8","415","182","376","64",47.1,"13",9.6,5.8
"Gray, Sonny","543243","134","9.3",37.3,"111.1","88.1","77","94","84.1","403","158","394","46",34.3,"12",9,6.6
"Suarez, Ranger","624133","131","11.5",37.4,"111.1","87.8","76.6","92.2","85","434","148","415","45",34.4,"8",6.1,4.3
"Bubic, Kris","663460","129","12.5",38.8,"114.2","89.4","79","92.3","87.1","439","170","420","51",39.5,"10",7.8,4.8
"Chandler, Bubba","696149","129","19",31.8,"114.8","89.9","80.2","94.2","86.5","457","180","418","46",35.7,"12",9.3,5.7
"Pérez, Martín","527048","128","11",35.2,"116.9","89.3","78.7","94","85.6","436","156","406","52",40.6,"10",7.8,5.4
"Sheehan, Emmet","686218","127","16.5",36.2,"110.9","88.2","76.8","93","84.4","405","170","394","48",37.8,"13",10.2,6.7
"Freeland, Kyle","607536","127","14.7",33.1,"112.2","89.7","78.4","91.5","89.1","425","174","395","51",40.2,"9",7.1,5
"Dollander, Chase","801403","121","12.9",24,"111.3","90.6","79.8","96.3","87.3","438","157","406","63",52.1,"12",9.9,6.3
"Lowder, Rhett","695076","121","14.9",35.5,"112.8","90.9","81.5","93.7","89.6","407","171","396","49",40.5,"10",8.3,6
"Ohtani, Shohei","660271","120","13.6",23.3,"111.2","88","76.7","91.9","87.5","395","137","366","47",39.2,"4",3.3,2.1
"Young, Brandon","687064","120","17.4",33.3,"110.8","89.6","79","94.2","85.1","424","181","401","49",40.8,"10",8.3,6.2
"Patrick, Chad","694477","119","20.4",34.5,"116.1","89.8","79.1","91.9","89.8","409","177","405","50",42,"9",7.6,5.5
"Lauer, Eric","641778","119","23.7",40.3,"114.5","90.2","80.1","92.5","86.6","449","204","394","50",42,"15",12.6,9.3
"Sproat, Brandon","687075","118","14.2",33.1,"109.6","89.7","79.2","92.2","89","430","171","403","50",42.4,"10",8.5,5.1
"Matz, Steven","571927","117","16.1",41.9,"114.9","88.5","77.7","93.2","83.3","415","186","392","41",35,"13",11.1,7.8
"McClanahan, Shane","663556","117","10.9",34.2,"112.2","89.2","78.5","93","85.9","416","166","390","48",41,"11",9.4,6
"Mize, Casey","663554","116","18",29.3,"110.4","87.1","75.5","93.6","79.3","408","172","388","40",34.5,"8",6.9,4.7
"Skubal, Tarik","669373","114","8.3",36,"111.8","89.9","79.4","90.3","90.5","410","146","405","49",43,"6",5.3,3.6
"Misiorowski, Jacob","694819","113","12.5",36.3,"111.7","86.9","76.4","91.2","84.2","417","155","388","37",32.7,"3",2.7,1.3
"Scholtens, Jesse","669947","112","18.7",35.7,"109.4","87.4","76.3","92.3","84.3","427","172","390","38",33.9,"11",9.8,7.1
"Pfaadt, Brandon","694297","110","9",34.5,"111.5","88.8","77.2","94.3","86","419","150","402","44",40,"11",10,7.1
"Agnos, Zach","688642","109","16",37.6,"111","88","77.1","91.9","83.4","419","186","396","41",37.6,"10",9.2,6.9
"Schultz, Noah","702273","109","17.6",35.8,"110","88.8","78.2","91.4","89.9","401","173","397","42",38.5,"12",11,7.1
"Ureña, Walbert","700712","109","7.6",27.5,"111.2","86.8","75.2","92.8","82.9","392","136","362","36",33,"8",7.3,4.8
"Harrison, Kyle","690986","107","16.3",34.6,"111.5","88.2","77.8","91.4","86","419","165","390","30",28,"6",5.6,3.3
"Lambert, Peter","663567","106","13.8",30.2,"114.7","88.7","78.3","93.8","84.3","414","162","385","44",41.5,"6",5.7,3.6
"Lord, Brad","695418","106","5.8",23.6,"115.9","88.4","75.8","93.2","86.5","434","133","409","45",42.5,"6",5.7,4.1
"McCullers Jr., Lance","621121","105","12.9",38.1,"111.9","91.5","81.8","94.7","90.9","393","164","371","53",50.5,"9",8.6,5.2
"Arrighetti, Spencer","681293","104","18.8",37.5,"109.3","86.7","76.7","90.2","83","418","173","401","31",29.8,"6",5.8,3.4
"Brown, Ben","676962","101","4.8",28.7,"113.1","89.5","79.6","92.9","88.1","380","126","380","39",38.6,"4",4,2.6
"Manaea, Sean","640455","97","16.9",39.2,"114.6","89.2","77.8","91","90.4","411","171","400","38",39.2,"9",9.3,6.2
"Márquez, Germán","608566","96","21.1",33.3,"112.4","89.1","77.3","91.9","86.8","413","185","381","44",45.8,"10",10.4,7.8
"Watson, Ryan","670245","96","15.5",38.5,"114.3","89.8","78.9","95.8","85.8","449","170","406","37",38.5,"14",14.6,10.1
"Wheeler, Zack","554430","96","13.1",38.5,"110.2","88.2","77.1","93.6","83.7","406","155","363","36",37.5,"7",7.3,5
"Phillips, Tyler","663969","94","8.9",33,"111.6","87.3","77.3","91.6","83.5","381","155","365","31",33,"6",6.4,4.2
"Kikuchi, Yusei","579328","94","15.5",35.1,"116.2","90.2","78.7","94.9","90.4","456","170","401","40",42.6,"8",8.5,5.6
"López, Reynaldo","625643","94","15.6",37.2,"114.5","87","75.1","92.8","80.1","424","187","402","33",35.1,"7",7.4,5
"Blubaugh, AJ","805123","93","20.9",37.6,"111.8","89.9","80.8","93.9","87.6","403","198","384","33",35.5,"9",9.7,6.5
"Teng, Kai-Wei","678906","92","15.2",31.5,"111.4","90.7","81.7","93.8","88.5","426","159","380","35",38,"5",5.4,3.4
"Myers, Tobias","668964","91","20.7",24.2,"110.3","90.5","80.8","94.8","87.8","402","172","379","39",42.9,"6",6.6,5
"Tolle, Payton","801139","91","21.5",24.2,"111.7","88","76.5","91.4","86.6","421","173","386","33",36.3,"6",6.6,4.3
"Woodruff, Brandon","605540","88","22.9",29.5,"108.9","89.7","81.1","92.4","86.9","408","196","394","29",33,"7",8,5.8
"Marinaccio, Ron","676760","88","14.5",31.8,"113.2","87.7","76.3","93.7","85.3","434","156","414","33",37.5,"6",6.8,4.9
"Assad, Javier","665871","87","13.7",34.5,"111.5","91.6","82.1","94.4","90.2","446","173","416","47",54,"5",5.7,4.6
"Crochet, Garrett","676979","86","14.3",41.9,"112.8","89.6","78.2","91.5","86.9","438","186","417","39",45.3,"9",10.5,6.5
"Walker, Taijuan","592836","86","13.4",37.2,"108.8","87.5","76.1","91.4","82.9","437","175","402","31",36,"11",12.8,9.6
