Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Cade Povich","BAL",1,1,5.120689991963484,4,3,1,0,0,0,0,0,19.1,82,19,11,11,4,7,0,1,0,0,12,"Cade Povich",30055,700249
"Ty Madden","DET",0,0,2.3823530079996726,3,0,0,0,0,0,0,0,11.1,43,7,3,3,1,2,0,0,0,0,12,"Ty Madden",30140,680744
"Alex Hoppe","SEA",0,1,6.352941889251472,10,0,0,0,0,0,0,0,11.1,53,13,9,8,0,5,0,1,1,0,12,"Alex Hoppe",31880,695380
"Yuki Matsui","SDP",0,0,0,5,0,0,0,0,0,0,0,10,39,5,0,0,0,6,0,0,0,0,12,"Yuki Matsui",33826,673513
"Carl Edwards Jr.","NYM",0,0,1.500000238418617,2,0,0,0,0,0,0,0,6,25,3,1,1,1,4,0,0,0,0,11,"Carl Edwards Jr.",13607,605218
"Emilio Pagán","CIN",2,1,6.428571866483134,15,0,0,0,0,6,0,3,14,62,14,10,10,3,6,1,1,2,0,11,"Emilio Pagan",14771,641941
"Keegan Akin","BAL",0,0,12.656251885928494,12,2,0,0,0,0,0,0,10.2,54,18,15,15,3,4,0,0,0,0,11,"Keegan Akin",19362,669211
"Cole Sands","MIN",1,1,4.62857243752015,12,0,0,0,0,1,3,0,11.2,50,12,6,6,2,4,0,0,1,0,11,"Cole Sands",21461,663485
"Osvaldo Bido","- - -",2,0,6.267857676562043,11,0,0,0,0,1,0,0,18.2,81,15,13,13,3,10,0,4,4,0,11,"Osvaldo Bido",23150,674370
"Peyton Gray","TEX",0,0,2.0769233816474593,8,0,0,0,0,0,1,0,13,56,9,5,3,0,7,1,0,0,0,11,"Peyton Gray",25310,682608
"Matt Brash","SEA",3,0,0,16,0,0,0,0,0,5,1,13.1,47,6,1,0,0,2,1,1,0,0,11,"Matt Brash",25756,666374
"Gavin Collyer","TEX",1,1,2.70000045061119,15,0,0,0,0,0,0,0,13.1,57,7,5,4,0,8,0,4,1,0,11,"Gavin Collyer",26349,686560
"Nick Lodolo","CIN",0,1,7.200000457763701,3,3,0,0,0,0,0,0,15,67,14,12,12,4,9,0,3,0,0,11,"Nick Lodolo",26378,666157
"Daniel Palencia","CHC",1,0,1.8620692716909724,11,0,0,0,0,3,0,0,9.2,42,10,2,2,1,4,1,0,0,0,11,"Daniel Palencia",27914,694037
"Colton Gordon","HOU",0,0,11.571430147910819,4,1,0,0,0,0,0,0,9.1,50,21,12,12,6,3,1,1,1,0,11,"Colton Gordon",31312,676467
"Shane Smith","CHW",0,2,10.80000164794947,3,3,0,0,0,0,0,0,8.1,49,12,12,10,1,9,0,1,0,0,11,"Shane Smith",31687,681343
