Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jake Bennett","BOS",1,1,4.354838843648321,2,2,0,0,0,0,0,0,10.1,42,11,5,5,1,4,0,0,0,0,4,"Jake Bennett",31959,687562
"Trey Gibson","BAL",0,0,5.40000051498418,2,1,0,0,0,0,0,0,6.2,31,7,4,4,2,3,0,0,0,0,4,"Trey Gibson",33794,694346
"Yariel Rodríguez","TOR",0,1,10.384618431859657,5,0,0,0,0,0,0,1,4.1,21,4,6,5,2,4,0,1,1,0,4,"Yariel Rodriguez",33838,684320
"Tyron Guerrero","BOS",0,1,10.800004119874618,2,0,0,0,0,0,1,0,1.2,8,2,2,2,0,1,0,0,0,0,3,"Tyron Guerrero",11691,594027
"Chris Devenski","PIT",0,0,7.714289918240094,3,0,0,0,0,0,0,0,2.1,12,5,2,2,1,0,0,0,0,0,3,"Chris Devenski",12763,606965
"Lou Trivino","BAL",0,0,18.000005722047717,2,0,0,0,0,0,0,0,3,18,6,6,6,0,3,0,0,0,0,3,"Lou Trivino",15043,642152
"Brock Stewart","LAD",0,0,0,2,0,0,0,0,0,1,0,2,7,0,0,0,0,1,0,0,0,0,3,"Brock Stewart",16727,592779
"Tayler Saucedo","LAA",0,0,4.500004827981407,4,0,0,0,0,0,2,0,2,8,2,1,1,0,0,0,1,1,0,3,"Tayler Saucedo",17888,642048
"Cody Ponce","TOR",0,0,3.8571433826369397,1,1,0,0,0,0,0,0,2.1,10,1,1,1,0,1,0,0,1,1,3,"Cody Ponce",17920,664074
"Julian Fernández","WSN",0,0,2.25,3,0,0,0,0,0,0,0,4,18,3,3,1,1,2,0,0,1,0,3,"Julian Fernandez",18341,642759
"Joel Peguero","SFG",0,0,1.0000002119276707,8,0,0,0,0,0,0,0,9,33,5,2,1,0,2,0,2,1,0,3,"Joel Peguero",21951,666711
"Johan Oviedo","BOS",0,0,9.818183520608992,1,0,0,0,0,0,0,0,3.2,18,6,4,4,2,1,0,1,1,0,3,"Johan Oviedo",22487,670912
"Yovanny Cruz","NYY",0,0,0,2,0,0,0,0,0,0,0,2.1,9,1,0,0,0,0,0,1,0,0,3,"Yovanny Cruz",22622,672442
"Codi Heuer","CLE",0,0,3.3750008046628963,2,0,0,0,0,0,1,0,2.2,11,3,1,1,0,1,0,0,0,0,3,"Codi Heuer",23293,676051
"Ricky Vanasco","DET",0,1,14.538465804603518,4,0,0,0,0,0,1,1,4.1,29,10,8,7,2,4,0,0,1,0,3,"Ricky Vanasco",23391,676568
"Luis Curvelo","TEX",0,0,5.4,4,0,0,0,0,0,1,0,5,22,6,3,3,2,2,1,0,1,0,3,"Luis Curvelo",24710,681168
"Lazaro Estrada","TOR",0,0,0,1,0,0,0,0,0,0,0,4,14,0,0,0,0,2,0,0,0,0,3,"Lazaro Estrada",24914,681751
"Adam Macko","TOR",1,0,0,4,0,0,0,0,0,2,0,3.1,13,2,0,0,0,0,0,1,0,0,3,"Adam Macko",25590,671936
"Josh Simpson","SEA",0,0,7.714286765273879,3,0,0,0,0,0,0,0,2.1,10,2,2,2,2,1,0,0,0,0,3,"Josh Simpson",25957,681006
"Angel Chivilli","NYY",0,0,3.857144959120047,2,0,0,0,0,0,0,0,2.1,13,2,1,1,1,3,0,1,0,0,3,"Angel Chivilli",26790,683409
"Rolddy Muñoz","ATL",0,0,13.5,1,0,0,0,0,0,0,0,2,12,5,3,3,1,1,0,0,0,0,3,"Rolddy Munoz",27407,691548
"Mitch Spence","KCR",0,0,13.5,1,0,0,0,0,0,0,0,4,21,4,6,6,1,5,0,0,0,0,3,"Mitch Spence",27707,687765
"Dax Fulton","MIA",0,0,4.5,1,0,0,0,0,0,0,0,4,16,3,2,2,0,2,0,0,0,0,3,"Dax Fulton",27757,690978
"Andre Granillo","WSN",0,0,9.64285944189399,8,0,0,0,0,0,0,0,9.1,50,13,12,10,2,8,0,1,0,0,3,"Andre Granillo",29542,701552
"Alek Jacob","SDP",1,0,9,2,0,0,0,0,0,0,0,2,12,3,2,2,0,2,0,1,0,0,3,"Alek Jacob",29628,689690
"Chris Roycroft","STL",0,0,12.272729400761241,5,0,0,0,0,0,0,0,3.2,25,8,5,5,1,5,0,0,0,0,3,"Chris Roycroft",31261,688297
"Eduardo Rivera","BOS",0,0,0,1,0,0,0,0,0,0,0,3.1,10,1,0,0,0,0,0,0,0,0,3,"Eduardo Rivera",31280,700842
"Troy Melton","DET",1,0,1.588235472312868,1,1,0,0,0,0,0,0,5.2,22,2,1,1,0,3,0,0,1,0,3,"Troy Melton",31807,675512
"Logan VanWey","HOU",0,0,0,2,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,3,"Logan VanWey",31884,701121
"Zach Thornton","NYM",0,1,8.307692917141027,1,1,0,0,0,0,0,0,4.1,19,4,4,4,1,2,0,0,0,0,3,"Zach Thornton",33891,804267
"Carlos Carrasco","ATL",0,0,0,3,0,0,0,0,0,0,0,3.1,12,1,0,0,0,0,0,1,0,0,2,"Carlos Carrasco",6632,471911
"Joe Ross","ARI",0,0,19.636367041217984,3,0,0,0,0,0,1,0,3.2,22,7,8,8,1,4,0,0,1,0,2,"Joe Ross",12972,605452
"Gerrit Cole","NYY",0,0,0,1,1,1,0,0,0,0,0,6,22,2,0,0,0,3,0,0,0,0,2,"Gerrit Cole",13125,543037
"Ty Blach","CHC",0,0,0,1,0,0,0,0,0,0,0,3,9,1,0,0,0,0,0,0,0,0,2,"Ty Blach",14361,621389
"Yacksel Ríos","CHC",0,0,0,1,0,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,2,"Yacksel Rios",15007,605441
"Tyler Gilbert","CHW",0,0,20.250004827977378,2,0,0,0,0,0,0,0,2.2,15,4,6,6,2,3,0,0,0,0,2,"Tyler Gilbert",17964,656457
"Keegan Thompson","COL",0,0,0,1,0,0,0,0,0,0,0,2.2,13,3,0,0,0,2,0,0,1,0,2,"Keegan Thompson",19795,624522
"Charlie Barnes","- - -",0,0,5.4,3,0,0,0,0,0,0,0,5,25,5,4,3,0,4,0,1,0,0,2,"Charlie Barnes",19865,656212
"Brooks Kriske","ATH",0,0,0,2,0,0,0,0,0,0,0,2.2,11,2,0,0,0,1,0,0,0,0,2,"Brooks Kriske",21189,621139
"Kervin Castro","NYY",0,0,4.5,1,0,0,0,0,0,0,0,2,8,2,1,1,0,0,0,0,0,0,2,"Kervin Castro",21656,665645
"Nolan Hoffman","PHI",0,0,2.70000025749209,2,0,0,0,0,0,0,0,3.1,15,5,1,1,0,1,0,0,0,0,2,"Nolan Hoffman",23381,676510
"Yaramil Hiraldo","BAL",0,0,21.600008239749236,3,0,0,0,0,0,0,1,1.2,12,3,4,4,2,4,0,0,0,0,2,"Yaramil Hiraldo",25215,682274
"Jackson Rutledge","WSN",0,0,47.25001126528055,1,0,0,0,0,0,0,0,1.1,12,6,7,7,0,2,0,0,0,0,2,"Jackson Rutledge",26215,671131
"Alec Gamboa","BOS",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,"Alec Gamboa",26227,687941
"Sam Aldegheri","LAA",1,0,4.764706416938604,2,1,0,0,0,0,0,0,5.2,26,6,3,3,1,3,0,0,0,0,2,"Sam Aldegheri",26443,691951
"Jared Shuster","STL",0,0,2.3478262816575324,4,0,0,0,0,0,0,0,7.2,32,6,3,2,0,3,1,0,1,0,2,"Jared Shuster",27472,694363
"Tyler Uberstine","BOS",0,1,3.3750008046628963,1,0,0,0,0,0,0,0,2.2,11,3,1,1,1,1,0,0,0,0,2,"Tyler Uberstine",29961,700413
"Chase Petty","CIN",0,0,5.9062503520399545,2,2,0,0,0,0,0,0,10.2,45,10,7,7,2,3,0,1,0,0,2,"Chase Petty",30170,695534
"Robby Snelling","MIA",0,1,5.4,1,1,0,0,0,0,0,0,5,22,5,3,3,1,4,0,0,0,0,2,"Robby Snelling",31893,702281
"Jonah Tong","NYM",0,0,0,1,0,0,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,0,2,"Jonah Tong",32157,804636
"Justin Verlander","DET",0,1,12.272729400761241,1,1,0,0,0,0,0,0,3.2,19,6,5,5,1,2,0,0,1,0,1,"Justin Verlander",8700,434378
"Vince Velasquez","CHC",0,0,0,1,0,0,0,0,0,0,0,2.1,8,1,0,0,0,0,0,0,1,0,1,"Vince Velasquez",11189,592826
"Austin Voth","TOR",0,0,3.3750008046628963,1,0,0,0,0,0,0,0,2.2,12,3,1,1,0,1,0,0,2,0,1,"Austin Voth",15047,608723
"Jose Trevino","CIN",0,0,14.4,4,0,0,0,0,0,0,0,5,29,14,8,8,0,1,0,1,0,0,1,"Jose Trevino",16725,624431
"Jonathan Hernández","LAD",0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,"Jonathan Hernandez",17464,642546
"Daniel Duarte","NYM",0,0,0,1,0,0,0,0,0,0,0,2.1,7,1,0,0,0,0,0,0,0,0,1,"Daniel Duarte",17480,650960
"P.J. Higgins","CIN",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,"P.J. Higgins",18433,664731
"Ian Hamilton","ATL",0,0,27,1,0,0,0,0,0,0,0,1,7,2,3,3,0,2,0,0,0,0,1,"Ian Hamilton",19261,641656
"Jake Rogers","DET",0,0,0,2,0,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,1,"Jake Rogers",19452,668670
"Tyler Ferguson","ATH",0,0,27.00000643730317,1,0,0,0,0,0,0,0,1.1,8,4,4,4,2,0,0,0,0,0,1,"Tyler Ferguson",19481,621053
"Wyatt Mills","LAD",0,0,8.10000077247627,4,0,0,0,0,0,0,0,3.1,21,3,3,3,0,7,1,1,0,0,1,"Wyatt Mills",20010,670090
"Nick Raquet","BAL",0,0,10.125002413988689,3,0,0,0,0,0,0,0,2.2,14,3,3,3,1,2,0,1,0,0,1,"Nick Raquet",20333,675919
"Josh Fleming","TOR",0,0,12,1,0,0,0,0,0,0,0,3,18,6,4,4,1,2,0,1,0,0,1,"Josh Fleming",20418,676596
"Tristan Beck","SFG",0,0,0,2,0,0,0,0,0,0,0,3,11,2,0,0,0,0,0,0,0,0,1,"Tristan Beck",21584,663941
"Gregory Santos","SFG",0,0,3.6000006866456387,3,0,0,0,0,0,0,0,5,22,5,5,2,0,3,0,0,0,1,1,"Gregory Santos",21894,666619
"Easton McGee","MIL",0,0,0,2,0,0,0,0,0,0,0,2,6,1,0,0,0,1,0,0,0,0,1,"Easton McGee",22176,668834
"Hunter Stratton","ATL",0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,"Hunter Stratton",23455,676702
"Gavin Hollowell","CHC",0,0,10.800004119874618,1,0,0,0,0,0,0,0,1.2,11,2,2,2,1,4,0,0,0,0,1,"Gavin Hollowell",25427,668970
"Brady Basso","ATH",0,0,6.75000402331592,3,0,0,0,0,0,1,1,2.2,14,5,2,2,1,1,0,0,0,0,1,"Brady Basso",25582,669620
"Sammy Peralta","COL",0,1,27.000028163224034,1,1,0,0,0,0,0,0,0.2,7,2,2,2,0,2,0,1,0,0,1,"Sammy Peralta",25589,671111
"Ryan Gusto","MIA",0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,"Ryan Gusto",26440,687473
"Jake Eder","LAD",1,0,2.25,4,0,0,0,0,0,0,0,4,15,3,1,1,0,1,0,0,0,0,1,"Jake Eder",27590,671109
"Luke Little","CHC",0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,1,0,0,0,0,0,1,"Luke Little",28036,681432
"Javier Sanoja","MIA",0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,"Javier Sanoja",28253,691594
"Chase Lee","TOR",0,0,8.100003089905965,3,0,0,0,0,0,0,0,3.1,15,2,3,3,2,4,0,0,0,0,1,"Chase Lee",29574,695445
"Chayce McDermott","LAD",0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,"Chayce McDermott",29866,694646
"Doug Nikhazy","CHW",0,0,4.5,1,0,0,0,0,0,0,0,2,9,1,1,1,0,2,0,0,2,0,1,"Doug Nikhazy",30142,680951
"Franco Aleman","CLE",0,0,3.3750008046628963,2,0,0,0,0,0,1,0,2.2,10,3,1,1,1,1,0,0,0,0,1,"Franco Aleman",30195,680916
"Zach Maxwell","CIN",0,0,36,1,0,0,0,0,0,0,0,1,8,3,4,4,2,2,0,0,0,0,1,"Zach Maxwell",31610,687209
"William Kempner","MIA",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,"William Kempner",31615,687531
"Mason Barnett","ATH",0,0,0,1,0,0,0,0,0,0,0,2,9,1,0,0,0,2,0,0,0,0,1,"Mason Barnett",31741,686930
"Tyler Schweitzer","CHW",0,0,9.000002145767724,4,0,0,0,0,0,1,0,4,20,5,4,4,0,3,0,0,0,0,1,"Tyler Schweitzer",31920,805326
"Riley Cornelio","WSN",0,1,9,1,0,0,0,0,0,0,1,2,12,2,3,2,0,4,0,0,0,0,1,"Riley Cornelio",31953,683000
"John Klein","MIN",0,1,7.714286765273879,2,0,0,0,0,0,0,0,2.1,9,2,2,2,1,1,0,0,0,0,1,"John Klein",32155,804619
"Brendan Beck","NYY",0,0,6,1,0,0,0,0,0,0,0,3,13,2,2,2,1,3,0,0,0,0,1,"Brendan Beck",33043,694341
"Philip Abner","ARI",0,0,7.714286765273879,1,0,0,0,0,0,0,0,2.1,8,1,2,2,0,1,0,0,0,0,1,"Philip Abner",33821,691769
"Miguel Rojas","LAD",0,0,9,1,0,0,0,0,0,0,0,1,6,1,1,1,0,1,0,1,0,0,0,"Miguel Rojas",7802,500743
"Aaron Brooks","TBR",0,1,81.0000844896721,1,0,0,0,0,0,0,1,0.1,4,1,4,3,1,2,0,0,0,0,0,"Aaron Brooks",12272,605156
"James McCann","ARI",0,0,11.25,4,0,0,0,0,0,0,0,4,23,9,6,5,1,3,0,0,0,0,0,"James McCann",12859,543510
"Austin Hedges","CLE",0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,"Austin Hedges",12976,595978
"Tyler Heineman","TOR",0,0,15,2,0,0,0,0,0,0,0,3,17,7,5,5,1,1,0,0,0,0,0,"Tyler Heineman",13897,623168
"Carlos Estévez","KCR",0,1,162.0001689793442,1,0,0,0,0,0,0,1,0.1,7,4,6,6,1,2,0,0,0,0,0,"Carlos Estevez",14542,608032
"Adam Frazier","LAA",0,0,18.000009655957633,3,0,0,0,0,0,0,0,2,14,7,4,4,1,2,0,0,0,0,0,"Adam Frazier",15223,624428
"Reese McGuire","CHW",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Reese McGuire",15674,624512
"Jorge Mateo","ATL",0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,"Jorge Mateo",17273,622761
"Dylan Moore","PHI",0,0,5.400002059937309,2,0,0,0,0,0,0,0,1.2,8,1,1,1,0,1,0,1,0,0,0,"Dylan Moore",18042,664238
"Garrett Stubbs","PHI",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Garrett Stubbs",18067,596117
"Brett Sullivan","COL",0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,"Brett Sullivan",18217,664954
"Weston Wilson","BAL",0,0,15.428573530547759,3,0,0,0,0,0,0,0,2.1,13,6,4,4,2,0,0,0,0,0,0,"Weston Wilson",19358,642215
"Nate Pearson","HOU",0,0,0,2,0,0,0,0,1,0,0,2,7,0,0,0,0,1,0,0,0,0,0,"Nate Pearson",20160,663878
"Jose Espada","BAL",0,0,0,1,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,"Jose Espada",21131,664744
"César Salazar","HOU",0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,"Cesar Salazar",21587,663967
"Carlos Cortes","ATH",0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,"Carlos Cortes",21842,666126
"Jorbit Vivas","WSN",0,0,40.50004224483605,1,0,0,0,0,0,0,0,0.2,6,4,3,3,0,0,0,0,0,0,0,"Jorbit Vivas",23917,678391
"Tyler Tolbert","KCR",0,0,0,1,0,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,0,"Tyler Tolbert",25779,686475
"Anthony Molina","ATL",0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,"Anthony Molina",26952,683627
"Christian Koss","SFG",0,0,13.5,2,0,0,0,0,0,0,0,2,10,5,3,3,0,0,0,0,0,0,0,"Christian Koss",27653,683766
"Joey Wiemer","WSN",0,0,22.5,2,0,0,0,0,0,0,0,2,16,7,5,5,1,2,0,1,1,0,0,"Joey Wiemer",27690,686894
"Jedixson Paez","CHW",0,0,18.000005722047717,3,0,0,0,0,0,0,0,3,16,4,6,6,2,3,0,0,0,0,0,"Jedixson Paez",29114,699151
"Dylan Smith","SFG",0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,1,0,0,"Dylan Smith",30145,681916
"Victor Mederos","ATL",0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,"Victor Mederos",31533,682989
"Jonathan Cannon","CHW",0,0,9,1,0,0,0,0,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,"Jonathan Cannon",31730,686563
"Duncan Davitt","CHW",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,"Duncan Davitt",31886,701474
"Ben Williamson","TBR",0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,"Ben Williamson",33197,810938
"Jonathan Pintaro","NYM",0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Jonathan Pintaro",33980,702752
