Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Hank Thompson,1013012,123285,3B,NYG,4.959925390704639,,5.1,21.350396634820164,10.238545060157776,1.3937215215992182,,,,,125.6112313385946,0.3920686422383107,,,,,0.854194972,0.462890625,0.391304347,0.2890625,0.173828125,0.296296296,148,604,512,82,91,20,43,237,148,105,17,6,8,83,,60,0.099337748,0.137417218,,,,,,,,,9.0,,,,,,,,0.0
Vic Wertz,1013795,124102,OF,DET,4.88222915312606,,4.3,32.04880220438221,-5.160493850708008,-0.6544015754479915,,,,,136.1279227071,0.4240532804519758,,,,,0.941351692,0.533094812,0.40825688,0.307692307,0.225402505,0.303983228,149,657,559,99,123,27,68,298,172,104,37,4,0,91,,55,0.08371385,0.138508371,,,,,,,,,2.0,,,,,,,,0.0
Hoot Evers,1003875,113952,OF,DET,4.733849045838743,,4.67,29.85120873899011,-2.882716178894043,-3.1475868127308786,,,,,139.26325617730052,0.4293405781569774,,,,,0.958984708,0.551330798,0.40765391,0.323193916,0.228136882,0.320430107,143,610,526,100,103,21,67,290,170,103,35,11,5,71,,40,0.06557377,0.116393442,,,,,,,,,4.0,,,,,,,,0.0
Jerry Priddy,1010533,120764,2B,DET,4.731613222765268,,4.46,-2.8054056301110553,24.84567880630493,-2.918300189077854,,,,,100.11239928358152,0.3633181796560074,,,,,0.776992822,0.401294498,0.375698324,0.276699029,0.124595469,0.309803921,157,729,618,104,75,13,45,248,171,126,26,6,2,95,,95,0.1303155,0.1303155,,,,,,,,,20.0,,,,,,,,0.0
Andy Seminick,1011742,121998,C,PHI,4.650443547401483,,4.28,26.538516147211386,6.654321193695068,-0.156598862959072,,,,,144.30922215476775,0.4171239754117275,,,,,0.924601292,0.524173027,0.400428265,0.287531806,0.236641221,0.278996865,130,467,393,55,68,24,42,206,113,71,15,3,0,68,,50,0.107066381,0.145610278,,,,,,,,,-1.0,,,,,,,,0.0
Bob Elliott,1003733,113813,3B,BSN,4.446843933087529,,4.57,30.169249420550877,-3.308642029762268,0.2110013782512396,,,,,138.57439571507072,0.4050925193531144,,,,,0.898264348,0.512241054,0.386023294,0.305084745,0.207156309,0.313636363,142,602,531,94,107,24,57,272,162,105,28,5,2,68,,67,0.111295681,0.11295681,,,,,,,,,-5.0,,,,,,,,0.0
Roy Campanella,1001871,111915,C,BRO,4.443077823441689,,4.76,21.49726503345932,8.592592716217041,0.0628409988712519,,,,,133.63288168589662,0.4064028956870801,,,,,0.915859883,0.551487414,0.364372469,0.28146453,0.270022884,0.259154929,126,494,437,70,89,31,53,241,123,70,19,3,1,55,,51,0.103238866,0.111336032,,,,,,,,,1.0,,,,,,,,0.0
Alvin Dark,1002987,113052,SS,NYG,4.367146620431567,,5.15,0.4761290559106239,23.506173133850098,1.6358412187546492,,,,,98.60196369534458,0.3494203462253643,,,,,0.7702192,0.439522998,0.330696202,0.279386712,0.160136286,0.28962818,154,643,587,79,67,16,57,258,164,107,36,5,9,39,,60,0.093312597,0.060653188,,,,,,,,,14.0,,,,,,,,0.0
Dom DiMaggio,1003310,113375,OF,BOS,4.311823707871782,,3.88,16.88872241707083,3.1358025670051575,0.9925893123727292,,,,,116.94191267329327,0.4004827699781525,,,,,0.866327539,0.452380952,0.413946587,0.328231292,0.12414966,0.362573099,141,681,588,131,70,7,48,266,193,145,30,11,15,82,,68,0.099853157,0.12041116,,,,,,,,,4.0,,,,,,,,0.0
Vern Stephens,1012501,122749,SS,BOS,4.304376592188582,,3.73,10.654000972735602,9.01234531402588,0.0056014144793152,,,,,111.15242122394362,0.3907196091711091,,,,,0.871896856,0.511146496,0.36075036,0.294585987,0.216560509,0.279279279,149,693,628,125,144,30,70,321,185,115,34,6,1,65,,43,0.062049062,0.093795093,,,,,,,,,0.0,,,,,,,,0.0
