Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Roger Clemens,815,112388,TOR,10.698596954345703,,11.93,2.0454545454545454,,2.249363150741115,,,,0.27969349,0.0651341,0.21455939,264.0,34,34,,,,,0.3068181818181818,0.2941176470588235,0.80692704,,0,0.2116182572614107,1.0303030303030305,44.646635873455594,50.29155845338252,,,,6.025321960449219,0.2963712632337252,292,68,12,9,26,9,3
Pedro Martínez,200,118377,MON,8.531437873840332,,8.99,1.9019336214883868,,2.388217190842368,,,,0.32206969,0.07074974,0.25131996,241.1,31,31,,,,,0.5966850577218469,0.2581818181818182,0.79867675,,0,0.1814006888633754,0.9323204026903856,45.23178605131358,56.57388126844373,,,,6.203710079193115,-0.2394451322682584,305,67,9,16,25,13,4
Curt Schilling,73,121811,PHI,8.238532066345215,,6.3,2.972476945330541,,2.6216625069904107,,,,0.31615461,0.05748266,0.25867195,254.1,35,35,,,,,0.8846657575388515,0.3039867109634551,0.74152542,,0,0.2198731501057082,1.0458715178014866,69.30604150437235,61.42924508586896,,,,4.8723578453063965,0.6450748186542077,319,58,5,25,26,7,2
Greg Maddux,104,118120,ATL,8.02258586883545,,7.79,2.2048710119718313,,2.4258305617035933,,,,0.19820829,0.02239642,0.17581187,232.2,33,33,,,,,0.3481375282060786,0.2804698972099853,0.78725398,,0,0.2306805074971165,0.9455587185844112,52.96672083897306,57.555298349906515,,,,5.505119800567627,-0.1609886865943401,177,20,6,9,27,5,2
Andy Pettitte,840,120485,NYY,7.248295307159424,,8.36,2.883495206655541,,2.9552587890582074,,,,0.168357,0.06592292,0.10243408,240.1,35,35,,,,,0.2621359278777764,0.3033557046979865,0.73832418,,0,0.2538126361655773,1.2399445477393236,64.92796200118794,66.41983098180671,,,,3.282660007476806,-0.4265797905385984,166,65,3,7,24,4,1
Randy Johnson,60,116615,SEA,6.988232530653477,,8.0,2.2816901408450705,,2.8228266590637783,,,,0.34235294,0.09058824,0.25176471,213.0,30,29,,,,,0.8450704225352113,0.2809734513274336,0.84466019,,0,0.1926605504587156,1.051643192488263,49.70173253560245,61.90962795572371,,,,6.294213764369488,0.959008945688069,291,77,10,20,23,5,2
John Smoltz,115,122477,ATL,6.703956604003906,,4.78,3.0234375,,3.0428053855896,,,,0.23106424,0.06040268,0.17066155,256.0,35,35,,,,,0.73828125,0.2970711297071129,0.74832465,,0,0.2390194075587334,1.16015625,72.63081113002019,72.41352663934174,,,,2.7024199962615967,-0.8439045737383717,241,63,1,21,25,7,2
Kevin Brown,642,111554,FLA,6.471462249755859,,6.97,2.692415788037928,,2.940672306134956,,,,0.21004098,0.06762295,0.14241803,237.1,33,33,,,,,0.3792134912729475,0.2995594713656387,0.775,,0,0.2388392857142857,1.1797753061825036,66.61695524519085,70.33363778956837,,,,3.6117522716522217,-0.5903375115007852,205,66,14,10,27,6,2
Mike Mussina,837,119608,BAL,5.437664985656738,,5.52,3.2047479195862687,,3.492000970429071,,,,0.24088398,0.05966851,0.18121547,224.2,33,33,,,,,1.0816024228603656,0.2819237147595356,0.77243293,,0,0.2323113207547169,1.1172107330779908,71.5872575139655,77.10063491150773,,,,2.967996120452881,0.3994475991067459,218,54,3,27,25,4,1
Denny Neagle,441,119673,ATL,5.201296806335449,,4.49,2.9699998705182815,,3.3449259110275587,,,,0.18162619,0.05174234,0.12988384,233.1,34,34,,,,,0.6942856840172605,0.2649572649572649,0.73567151,,0,0.2286995515695067,1.0842856670146106,71.34710066002613,79.68931094056745,,,,2.523076057434082,-0.678409615874239,172,49,6,18,27,4,4
Kevin Appier,3,110293,KCR,5.166685104370117,,5.56,3.398868384918506,,3.762676968020873,,,,0.20164609,0.07613169,0.1255144,235.2,34,34,,,,,0.9165487779555525,0.2833827893175074,0.75944487,,0,0.2404921700223713,1.2263083186534938,73.64974976858926,81.47863221021578,,,,3.4268059730529785,0.15797688039765,196,74,4,24,19,4,1
Andy Benes,1144,110854,STL,5.106764316558838,,4.08,3.1016949152542375,,2.911471522595249,,,,0.24071527,0.08390646,0.1568088,177.0,26,26,,,,,0.4576271186440678,0.2935010482180293,0.74604743,,0,0.2254160363086233,1.1864406779661016,74.10185678807856,67.62840699383402,,,,1.5855461359024048,-0.6300361099192029,175,61,5,9,20,0,0
Jeff Fassero,279,114032,SEA,4.992703437805176,,4.5,3.610241899129331,,3.774929999968058,,,,0.18712871,0.08316832,0.1039604,234.1,35,35,,,,,0.8065434029969781,0.2875175315568022,0.72284908,,0,0.2448537378114842,1.3229018779315516,78.64138694699969,82.52801749393353,,,,2.6756222248077393,0.305970305910185,189,84,3,21,22,2,1
David Cone,1680,112552,NYY,4.908291816711426,,6.74,2.8153846153846156,,3.350237276615241,,,,0.2757764,0.1068323,0.1689441,195.0,29,29,,,,,0.7846153846153846,0.2899159663865546,0.80470163,,0,0.2167832167832167,1.235897435897436,63.394308721061165,75.19019236738383,,,,2.7503879070281982,-0.2901016534109017,222,86,4,17,21,1,0
Justin Thompson,8217,123294,DET,4.873132705688477,,7.73,3.022388128534303,,3.8345847864378326,,,,0.1694725,0.07407407,0.09539843,223.1,32,32,,,,,0.8059701676091474,0.2576687116564417,0.76315789,,0,0.2284325637910085,1.1373134587373526,65.48502962041542,81.79826866878896,,,,3.774435997009278,-0.0251055260114649,151,66,2,20,25,4,0
Brad Radke,748,120878,MIN,4.850727558135986,,4.6,3.8678717161666833,,3.814357611891833,,,,0.17593529,0.04853387,0.12740142,239.2,35,35,,,,,1.0514602723559916,0.2853260869565217,0.70056045,,0,0.2537313432835821,1.1933239598960856,82.70403550457334,84.45153531328255,,,,2.991218090057373,0.8913110589186188,174,48,3,28,20,4,1
Scott Erickson,137,113884,BAL,4.673330593854189,,4.0,3.6947371080292704,,3.758835742495845,,,,0.14208243,0.06616052,0.07592191,221.2,34,33,,,,,0.6496241069062453,0.2849083215796897,0.70336391,,0,0.2546728971962617,1.2586467071308505,82.53257461605335,82.93202251083798,,,,1.6577220484614372,-0.7946149366445818,131,61,5,16,22,3,2
Matt Morris,1172,119403,STL,4.6485276222229,,3.85,3.193548387096774,,3.5055249996448996,,,,0.16555556,0.07666667,0.08888889,217.0,33,33,,,,,0.4976958525345622,0.2956259426847662,0.73353293,,0,0.2524271844660194,1.2764976958525345,76.29630627519246,81.59949273632984,,,,1.6547720432281494,0.2167709009025129,149,69,7,12,22,3,0
John Burkett,179,111734,TEX,4.574983596801758,,2.35,4.563380036508263,,3.552873583583459,,,,0.1678744,0.03623188,0.13164251,189.1,30,30,,,,,0.9507041742725548,0.3464566929133858,0.68292683,,0,0.3022670025188917,1.426056261408832,95.53035094148528,77.20774786451005,,,,-0.4612041115760803,-0.7368013885355075,139,30,4,20,12,2,0
Tom Gordon,282,114971,BOS,4.433079123497009,,3.66,3.744525755974192,,3.4103065428682258,,,,0.20542636,0.10077519,0.10465116,182.2,42,25,,,,,0.4927007573650253,0.2767175572519084,0.68018018,,11,0.2236652236652236,1.2755475162894545,80.37202423025667,76.94301896321673,,,,1.5240060985088348,-0.9111876151425382,159,78,3,10,14,2,1
David Wells,855,124071,NYY,4.288788795471191,,4.26,4.211009469059198,,3.811046547099467,,,,0.1691974,0.04880694,0.12039046,218.0,32,32,,,,,0.9908257574256936,0.3111432706222865,0.70592824,,0,0.2743972445464983,1.3027523847634122,94.81973896216007,85.42230363239855,,,,1.6726661920547483,0.7259748644523243,156,45,6,24,17,5,2
Darryl Kile,1163,117046,HOU,4.032769203186035,,5.37,2.5697522304937324,,3.692001715260172,,,,0.19412879,0.08901515,0.10511364,255.2,34,34,,,,,0.668839621635355,0.2596153846153846,0.7883672,,0,0.2184873949579832,1.181225530607469,64.64515085645634,92.20956983147444,,,,3.580904006958008,0.6199364697867025,205,94,10,19,26,6,4
Bob Tewksbury,1012941,123213,MIN,4.007152557373047,,3.23,4.215415274000524,,3.5123737152408454,,,,0.12760055,0.04299584,0.08460472,168.2,26,26,,,,,0.6403162441519783,0.3213675213675214,0.69237918,,0,0.2902757619738751,1.3695652999917314,90.13531990481248,77.82799056449417,,,,0.4218761622905731,-0.5678992774353804,92,31,1,12,15,5,2
Ismael Valdez,1283,123595,LAD,3.88165831565857,,5.3,2.6542374254252508,,3.505821825595672,,,,0.17610063,0.0591195,0.11698113,196.2,30,30,,,,,0.7322034277035174,0.2631578947368421,0.77039275,,0,0.2295302013422819,1.108474633606714,67.76036860471876,84.54030959564616,,,,2.7500739097595215,0.1344840774444051,140,47,3,16,20,0,0
Wilson Alvarez,1193,110209,- - -,3.8279855847358704,,3.5300000000000002,3.481132075471698,,3.8686455978537513,,,,0.19977679,0.1015625,0.09821429,212.0,33,33,,,,,0.7641509433962265,0.2682119205298013,0.71257006,,0,0.2247191011235955,1.278301886792453,81.80576677575684,88.93023701175497,,,,1.8650401160120964,-0.5556723622886319,179,91,4,18,21,2,1
Pat Hentgen,145,115797,TOR,3.827293157577514,,5.75,3.6818181818181817,,4.309969211347175,,,,0.14746544,0.06543779,0.08202765,264.0,35,35,,,,,1.056818181818182,0.2720588235294117,0.74756606,,0,0.2512413108242304,1.2272727272727273,80.36394457222006,95.63716308298316,,,,2.038288116455078,0.108694203000949,160,71,7,31,20,9,3
Andy Ashby,637,110351,SDP,3.772007703781128,,2.51,4.126246056350559,,3.5826335864993863,,,,0.16921269,0.05757932,0.11163337,200.2,30,30,,,,,0.7624585104126033,0.2987421383647798,0.6450253,,0,0.2597239648682559,1.2757475729779506,104.41479113129216,86.42577169022434,,,,-0.022123958915472,-1.3228426662308967,144,49,5,17,17,2,0
Shawn Estes,873,113915,SFG,3.612387418746948,,3.83,3.1791044776119404,,3.696276312206515,,,,0.21319199,0.11778563,0.09540636,201.0,32,32,,,,,0.5373134328358209,0.2737226277372263,0.75039494,,0,0.2186234817813765,1.303482587064677,78.94322917658653,88.19232453986523,,,,1.913398027420044,-0.0159504092621709,181,100,8,12,20,3,2
Rick Reed,750,120999,NYM,3.598704904317856,,4.35,2.8943999381689465,,3.728411622362061,,,,0.13713592,0.03762136,0.09951456,208.1,33,31,,,,,0.8207999824658206,0.2545731707317073,0.74718526,,0,0.2360406091370558,1.041599977749024,71.60104928618011,89.67381111516545,,,,3.959029853343963,0.6032386740741265,113,31,5,19,22,2,0
