Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Rajai Davis,3708,434658,CF,- - -,0.7210319535475264,,1.02,-4.239889002378929,3.708140820264816,6.035336176166311,,,,,63.354926558813695,0.2721591224627835,,,,,0.61811582,0.345794392,0.272321428,0.242990654,0.102803738,0.28488372,113,226,214,30,19,3,12,74,52,40,5,4,29,8,0,40,0.17699115,0.03539823,0.34402332,,0.17102138,,-0.9121659696102142,0.0807815855042514,0.0,0.0,7.0,0.0,,0.51656442,0.64194915,0.6440678,0.9009901,0.5791411,,,497.2
Bill Hall,1605,407849,3B,MIL,0.6964398760181421,,0.13,-9.115070545483407,1.7182822674512863,2.422994688851759,,,,,79.4821710642423,0.3014754119883762,,,,,0.689104479,0.396039603,0.293064876,0.225247524,0.170792079,0.283582089,128,448,404,50,55,15,38,160,91,53,22,1,5,37,2,124,0.276785714,0.082589285,0.30564784,,0.25825472000000005,,-0.6098038554191589,0.4001217475316428,0.0,0.0,1.0,0.0,,0.45837838,0.60401267,0.56521739,0.82692308,0.51189189,,,931.1
Omar Infante,1609,408299,3B,ATL,0.6863539912128515,,1.98,-1.116917993970198,-3.170433774590492,-0.149623681558296,,,,,97.7856012949902,0.3289372836088025,,,,,0.754554074,0.416403785,0.338150289,0.293375394,0.123028391,0.327272727,96,348,317,45,40,3,30,132,93,63,24,3,0,22,2,44,0.126436781,0.06321839,0.25862069,,0.13754646999999998,,-0.551074206829071,-0.4996527032698656,0.0,0.0,10.0,0.0,,0.44536424,0.58746356,0.65185185,0.93300248,0.56788079,,,679.3
Edgar Gonzalez,2963,452989,2B,SDP,0.6857137546315573,,0.61,-4.78285430615902,0.3285486102104187,-3.2155550594907254,,,,,96.46284860980974,0.3169718623499978,,,,,0.713227282,0.384615384,0.328611898,0.273846153,0.110769231,0.337448559,111,353,325,38,33,7,22,125,89,67,15,0,1,25,1,76,0.21529745,0.070821529,0.17162872,,0.22970904000000003,,-0.420781672000885,-0.1623093521102847,0.0,0.0,-2.0,0.0,,0.48550186,0.71705426,0.41836735,0.83243243,0.57546468,,,621.5
Josh Anderson,6032,461811,CF,ATL,0.6853336481040776,,1.24,1.1226180370143235,1.0652455389499664,1.1814410397782922,,,,,99.67902532843117,0.331816432776151,,,,,0.764401622,0.426470588,0.337931034,0.294117647,0.132352941,0.37,40,146,136,21,12,3,11,58,40,29,7,1,10,8,2,33,0.226027397,0.05479452,0.40408163,,0.20895522,,0.0505201406776905,0.0325512076607006,0.0,0.0,6.0,0.0,,0.53280318,0.65503876,0.61616162,0.89349112,0.51292247,,,269.3
Daric Barton,5928,435558,1B,OAK,0.6654443672813267,,0.7,-5.529870238836198,-5.872481822967529,4.821986220078543,,,,,83.93253657021774,0.3027334159705788,,,,,0.674419512,0.347533632,0.32688588,0.226457399,0.121076233,0.269794721,140,523,446,59,47,9,31,155,101,70,17,5,2,65,5,99,0.189292543,0.124282982,0.13105077,,0.17402269999999997,,-1.020771622657776,0.316249706410625,0.0,0.0,4.0,0.0,,0.40666667,0.61831369,0.72972973,0.84164223,0.56564103,,,1123.2
Chris Iannetta,8267,455104,C,COL,0.6470062495409008,,3.15,14.441622929333906,-21.01798260211945,-0.5102756125852466,,,,,129.26701032404793,0.3914616799648897,,,,,0.89462796,0.504504504,0.390123456,0.264264264,0.24024024,0.311111111,104,407,333,50,65,18,42,168,88,46,22,2,0,56,0,92,0.226044226,0.137592137,0.17056396,,0.26243094,,2.360383987426758,0.5731465888452152,0.0,0.0,0.0,-27.010000228881836,,0.43640747,0.64377682,0.48387097,0.79,0.56178421,,,845.1
Aaron Hill,6104,431094,2B,TOR,0.6306269509568124,,0.55,-3.4217021725863015,1.8325562477111816,1.0030039513949305,,,,,84.3151735841644,0.3079097716013591,,,,,0.685420053,0.360975609,0.324444444,0.263414634,0.097560975,0.300578034,55,229,205,19,20,2,16,74,54,38,14,0,4,16,0,31,0.135371179,0.069868995,0.30461538,,0.18128655000000005,,-0.939763844013214,-0.3430325079686781,0.0,0.0,-1.0,0.0,,0.48033708,0.62790698,0.6969697,0.86831276,0.54353933,,,479.0
Brandon Moss,4467,461235,LF,- - -,0.6233454568801842,,-0.27,-4.960772185022439,2.5587650537490845,-1.4862969934474677,,,,,89.50586352539533,0.3184140684040448,,,,,0.740623186,0.436440677,0.304182509,0.245762711,0.190677966,0.306748466,79,263,236,19,34,8,26,103,58,32,15,3,1,21,1,70,0.266159695,0.079847908,0.27967807,,0.26096032999999996,,-1.086560159921646,-0.9062501651248076,0.0,0.0,-3.0,0.0,,0.48237664,0.68548387,0.51798561,0.82941176,0.49949648,,,541.1
Henry Blanco,81,111072,C,CHC,0.6228164957041198,,0.09,-3.0575572038906844,5.1961510181427,-0.1909428494982421,,,,,82.15832064234273,0.3150273461341858,,,,,0.717063491,0.391666666,0.325396825,0.291666666,0.1,0.336842105,58,128,120,15,12,3,6,47,35,29,3,0,0,6,1,22,0.171875,0.046875,0.342723,,0.19999999999999996,,-1.0554678440093994,-0.7281051680084423,0.0,0.0,1.0,1.0,,0.51252847,0.67256637,0.64383562,0.875,0.51480638,,,258.4
Joe Mather,3714,458628,LF,STL,0.6055181535499792,,0.63,0.2348148392198561,1.120221734046936,-0.1775689150672406,,,,,102.23491310383,0.3340656851252464,,,,,0.779806658,0.47368421,0.306122448,0.240601503,0.233082707,0.255319148,54,147,133,20,18,8,15,63,32,17,7,0,1,12,1,32,0.217687074,0.081632653,0.28363636,,0.24817518000000005,,-0.0294400714337825,-0.8382257073229492,0.0,0.0,3.0,0.0,,0.47404844,0.64686469,0.65384615,0.79081633,0.52422145,,,271.4
Darin Erstad,11,113889,CF,HOU,0.605167385225867,,-0.01,-9.575396951648187,4.666206359863281,0.813867584336549,,,,,75.79889883367926,0.2947922808833929,,,,,0.672177566,0.363354037,0.308823529,0.276397515,0.086956522,0.337301587,140,342,322,49,31,4,20,117,89,69,16,0,2,14,3,68,0.198830409,0.040935672,0.36486486,,0.19064124999999998,,0.0264076627790927,0.541075137331211,0.0,0.0,2.0,0.0,,0.47646573,0.58319871,0.65740741,0.90027701,0.51114781,,,623.1
Adam Dunn,319,276055,LF,- - -,0.5955698895443864,,0.7699999999999999,22.637050370723095,-37.56333899497986,-1.4903548827860504,,,,,129.52609813407815,0.3842967577675666,,,,,0.898133208,0.512572533,0.385560675,0.235976789,0.276595744,0.257861635,158,651,517,79,100,40,63,265,122,59,23,0,2,122,13,164,0.251920122,0.187403993,0.20166898,,0.27900287999999995,,2.660167872905731,-0.2478742847102424,0.0,0.0,-24.0,0.0,,0.3891791,0.60628019,0.47241379,0.81673307,0.46343284,,,1290.4
Todd Helton,432,115732,1B,COL,0.5913353717401085,,1.02,-3.338897051357187,-2.3190760612487793,-3.5942268376238644,,,,,100.563469883048,0.3478149462691785,,,,,0.778541583,0.387959866,0.390581717,0.264214046,0.12374582,0.297520661,83,361,299,39,29,7,23,116,79,56,16,0,0,61,8,50,0.138504155,0.168975069,0.19522472,,0.10909091000000004,,-0.9704781174659728,-0.9701858571057824,0.0,0.0,7.0,0.0,,0.41296928,0.6188579,0.8705036,0.89699571,0.51399317,,,715.1
Justin Upton,5222,457708,RF,ARI,0.5806511995872858,,0.84,5.221885513094419,-12.784990787506104,1.8407801978755745,,,,,106.45950252074611,0.3520023977959533,,,,,0.816001131,0.463483146,0.352517985,0.25,0.213483146,0.331838565,108,417,356,52,42,15,40,165,89,49,19,6,1,54,6,121,0.290167865,0.129496402,0.23717949,,0.31432545,,0.7571580410003662,0.4162852873159741,0.0,0.0,0.0,0.0,,0.43921808,0.62310385,0.51351351,0.74531835,0.52351863,,,860.1
Javier Valentin,759,123609,1B,CIN,0.578894703693402,,0.03,-1.084396279303978,2.268661066889763,0.4063823546748608,,,,,91.75240937606296,0.3257379809187518,,,,,0.737241601,0.410852713,0.326388888,0.255813953,0.15503876,0.292929292,94,144,129,10,18,4,12,53,33,21,8,0,0,14,0,27,0.1875,0.097222222,0.29597701,,0.22177418999999998,,0.3266059458255768,0.2441633908159281,0.0,0.0,-2.0,2.2699999809265137,,0.43130435,0.63876652,0.62135922,0.88965517,0.39478261,,,157.60000000000002
Dusty Ryan,2312,448767,C,DET,0.5765591418871681,,0.25,2.3470018303232583,1.7088082134723663,0.3598781579639762,,,,,132.26158203380714,0.3813915872573852,,,,,0.88,0.5,0.38,0.318181818,0.181818182,0.4,15,50,44,6,7,2,4,22,14,10,2,0,0,5,0,13,0.26,0.1,0.25233645,,0.36893204,,0.1070321202278137,-0.0249857072323582,0.0,0.0,-1.0,-0.3400000035762787,,0.47906977,0.7037037,0.37037037,0.72368421,0.50232558,,,122.1
Miguel Olivo,1638,400018,C,KCR,0.5752288932887971,,0.7,-7.456334276016475,2.2695902585983276,-0.6390890283510089,,,,,82.54256541901778,0.308520553982447,,,,,0.722046967,0.444444444,0.277602523,0.25490196,0.189542484,0.309859154,84,317,306,29,41,12,34,136,78,44,22,0,7,7,2,82,0.258675078,0.022082018,0.43326886,,0.32049307000000005,,-0.9067120552062988,-0.5759616971670153,0.0,0.0,-2.0,-2.700000047683716,,0.61986628,0.80188679,0.53571429,0.75529412,0.50620821,,,494.1
Adam Wainwright,2233,425794,P,STL,0.5744997825708236,,0.46,-3.207781762290959,6.884345531463623,-0.4623883909080177,,,,,66.35134938898814,0.279500975495293,,,,,0.635714285,0.35,0.285714285,0.266666666,0.083333334,0.375,25,65,60,5,6,1,3,21,16,13,2,0,0,2,0,20,0.307692307,0.03076923,0.44047619,,0.32692308000000003,,-0.5505042672157288,-0.2052892768524098,0.0,0.0,3.0,1.690000057220459,,0.57458564,0.69072165,0.48648649,0.7761194,0.5359116,,,132.0
Alex Cora,1386,133321,SS,BOS,0.5563042314728093,,0.81,-0.8905551420821154,0.2841089963912964,0.2306200412567705,,,,,94.91546533067591,0.329367530211217,,,,,0.719470726,0.34868421,0.370786516,0.269736842,0.078947368,0.292857142,75,179,152,14,9,0,10,53,41,31,8,2,1,16,1,13,0.072625698,0.089385474,0.27002967,,0.08865248000000003,,-0.9259057641029358,-0.6002086720929787,0.0,0.0,1.0,0.0,,0.43451464,0.61217949,0.8021978,0.96335079,0.4807396,,,421.0
Cliff Floyd,518,114260,,TBR,0.5555322700320764,,0.94,3.96622134459811,-8.20987606048584,-0.9952596572693436,,,,,114.18155195319832,0.3488771678708123,,,,,0.803876101,0.455284552,0.348591549,0.268292682,0.18699187,0.302197802,80,284,246,32,39,11,24,112,66,42,13,0,1,28,2,58,0.204225352,0.098591549,0.32209738,,0.25311203000000004,,0.4646520614624023,-1.19786150685481,,,,,,0.48103792,0.66239316,0.62790698,0.81290323,0.46706587,,,
Jason Kubel,2161,430585,RF,MIN,0.5418039344320835,,0.84,8.00386247406938,-20.43919563293457,0.4460595613345504,,,,,111.86685913247716,0.3471630773498017,,,,,0.805465155,0.470842332,0.334622823,0.272138228,0.198704104,0.295264623,141,517,463,74,78,20,47,218,126,79,22,5,0,47,2,91,0.176015473,0.09090909,0.24217962,,0.18350754999999996,,0.932123601436615,0.0904754129461313,0.0,0.0,-10.0,0.0,,0.43266332,0.62162162,0.64583333,0.88244767,0.50201005,,,368.2
Reggie Abercrombie,2187,430631,CF,HOU,0.5403487949775352,,0.42,1.1392427878495512,2.355244219303131,-0.4793053630273789,,,,,121.49071189935398,0.3642714589329089,,,,,0.848073959,0.509090909,0.33898305,0.309090909,0.2,0.483870967,34,60,55,10,5,2,7,28,17,10,5,0,5,1,0,23,0.383333333,0.016666666,0.47663551,,0.39705882000000003,,0.2240501940250396,0.0222879019217043,0.0,0.0,1.0,0.0,,0.6507177,0.83333333,0.43137255,0.70588235,0.48803828,,,109.1
Oscar Salazar,495,400073,1B,BAL,0.5362905482219011,,0.81,3.3866477554120245,-1.2557364851236343,-0.1944858573842793,,,,,130.92597774058697,0.3812798267983375,,,,,0.878513264,0.506172839,0.372340425,0.283950617,0.222222222,0.28125,34,94,81,13,15,5,8,41,23,15,3,0,0,12,0,13,0.138297872,0.127659574,0.26190476,,0.19310344999999995,,0.8858721852302551,0.4245783436533072,0.0,0.0,1.0,0.0,,0.42899408,0.59411765,0.68181818,0.86138614,0.50295858,,,135.1
Jake Peavy,1051,408241,P,SDP,0.5194280303413352,,0.47,-2.794135145222305,6.142954349517822,-0.4597136010415852,,,,,67.935260377012,0.2735926823795966,,,,,0.60800924,0.306122448,0.301886792,0.265306122,0.040816326,0.342105263,29,58,49,4,2,0,2,15,13,11,2,0,0,3,0,12,0.206896551,0.051724137,0.44705882,,0.28971963,,-0.4113840758800506,-0.0381647140039237,0.0,0.0,1.0,0.2599999904632568,,0.56315789,0.65714286,0.47368421,0.84057971,0.55263158,,,173.2
Freddy Sanchez,1624,408108,2B,PIT,0.4889032325310612,,1.16,-19.737740438266716,5.121922612190247,-0.0994118663948029,,,,,74.2677731558115,0.2939847370419956,,,,,0.669159343,0.37082601,0.298333333,0.270650263,0.100175747,0.288270377,145,608,569,75,52,9,37,211,154,117,26,2,0,21,1,63,0.103618421,0.034539473,0.3485309,,0.11897738000000002,,-0.6545799970626831,0.751066130680214,0.0,0.0,4.0,0.0,,0.49609756,0.63311383,0.7877907,0.92867756,0.51853659,,,1135.2
Willie Bloomquist,1066,217100,CF,SEA,0.4841473977293498,,1.28,-0.1097579050354329,-1.6699384599924088,2.045965110417455,,,,,90.88571725127748,0.3122070767377552,,,,,0.661811834,0.284848484,0.37696335,0.278787878,0.006060606,0.338235294,71,192,165,32,9,0,1,47,46,45,1,0,14,25,1,29,0.151041666,0.130208333,0.23564955,,0.11711711999999996,,0.2107280194759369,-0.0919254573287611,0.0,0.0,3.0,0.0,,0.45741758,0.64231738,0.75641026,0.92156863,0.54532967,,,389.4
Manny Parra,4279,448159,P,MIL,0.4816759219982703,,0.43,-3.1728698610650405,6.142954349517822,-0.0213983189314603,,,,,56.712567753809765,0.2668518499894575,,,,,0.61303602,0.358490566,0.254545454,0.226415094,0.132075472,0.342857142,32,58,53,2,6,0,6,19,12,6,5,1,0,2,0,18,0.310344827,0.034482758,0.43157895,,0.23809524000000004,,-0.221258208155632,0.2521032065385655,0.0,0.0,-2.0,0.0399999991059303,,0.56451613,0.7032967,0.63414634,0.84375,0.48924731,,,166.0
Anderson Hernandez,3366,435038,2B,WSN,0.4705178703955237,,0.58,2.3031606544595684,-0.5045198500156403,0.4117319344077259,,,,,116.55865338957086,0.3596705453736441,,,,,0.789309455,0.382716049,0.406593406,0.333333333,0.049382716,0.369863013,28,91,81,11,17,0,4,31,27,23,4,0,0,10,0,8,0.087912087,0.109890109,0.28104575,,0.16666667000000002,,1.1281818151474,0.6152532995857725,0.0,0.0,0.0,0.0,,0.44307692,0.5872093,0.6744186,0.9009901,0.52923077,,,162.0
Jason Marquis,105,150302,P,CHC,0.4683052929384242,,0.35,-4.411159417470811,6.99025821685791,-0.0267478986643254,,,,,47.07707940273593,0.2616826516966666,,,,,0.597867686,0.355932203,0.241935483,0.20338983,0.152542373,0.25,39,66,59,8,10,2,5,21,12,7,3,0,0,3,0,17,0.257575757,0.045454545,0.41441441,,0.28925619999999996,,-0.4336600005626678,-0.006704282363267,0.0,0.0,3.0,-0.8199999928474426,,0.56807512,0.73529412,0.54347826,0.81333333,0.47887324,,,167.0
Troy Tulowitzki,3531,453064,SS,COL,0.4617315402221814,,0.79,-13.294072024726272,4.4095224142074585,-4.10107812192291,,,,,82.60392366092974,0.3205055788807247,,,,,0.732272746,0.400530503,0.331742243,0.262599469,0.137931034,0.288888888,101,421,377,48,46,8,34,151,99,65,24,2,1,38,5,56,0.133016627,0.090261282,0.2826087,,0.15030675000000004,,-1.0487340688705444,-0.0417272457872488,0.0,0.0,2.0,0.0,,0.44353741,0.58589744,0.75384615,0.89059081,0.53061224,,,863.1
Bronson Arroyo,978,276520,P,CIN,0.4555259966321666,,0.37,-5.64351711336284,7.837562561035156,0.1679025245830416,,,,,37.43564876703721,0.2431436685415414,,,,,0.541235813,0.295081967,0.246153846,0.196721311,0.098360656,0.282051282,40,74,61,4,6,1,4,18,12,8,3,0,1,4,0,21,0.283783783,0.054054054,0.29245283,,0.29565217,,-0.5646300315856934,-0.1020164758005133,0.0,0.0,5.0,5.659999847412109,,0.45816733,0.57931034,0.5483871,0.76190476,0.57768924,,,200.0
Jeff Baker,2073,425557,2B,COL,0.4501286162376553,,0.35,-1.3606748625277445,-4.814931750297546,1.0127647570334375,,,,,94.32180395613312,0.3383238407698544,,,,,0.79051658,0.468227424,0.322289156,0.267558528,0.200668896,0.326923076,104,333,299,55,48,12,35,140,80,45,22,1,4,26,2,85,0.255255255,0.078078078,0.29390681,,0.25326797,,-0.1173320785164833,-0.0777808924231537,0.0,0.0,-3.0,0.0,,0.49675325,0.66468843,0.55487805,0.81696429,0.54707792,,,579.4
CC Sabathia,404,282332,P,- - -,0.4480927247694206,,0.43,-2.8270659965988703,5.613389492034912,-0.0213983189314603,,,,,58.07023619834627,0.2693342040566837,,,,,0.627450979,0.392156862,0.235294117,0.235294117,0.156862745,0.27027027,35,53,51,4,7,2,4,20,12,8,2,0,0,0,0,12,0.226415094,0.0,0.48275862,,0.30337079,,-0.0865396931767463,0.1557003564480318,0.0,0.0,-3.0,-0.7599999904632568,,0.64492754,0.7625,0.67857143,0.70491803,0.57971014,,,253.0
Brendan Ryan,6073,453895,SS,STL,0.4475206200016141,,0.06,-7.242938916987754,4.733381032943726,2.803004008019343,,,,,63.2877804929016,0.2748424987460292,,,,,0.596316845,0.289340101,0.306976744,0.243654822,0.045685279,0.289156626,80,218,197,30,10,0,9,57,48,39,9,0,7,16,0,31,0.142201834,0.073394495,0.28142077,,0.17647058999999998,,0.6150355935096741,1.013534404439643,0.0,0.0,-2.0,0.0,,0.45665446,0.598234,0.66990291,0.88191882,0.55311355,,,443.2
Brian Anderson,6144,435042,CF,CHW,0.4453913090932874,,0.78,-3.5628020227614003,1.3597325384616852,1.3948150218930095,,,,,79.14806152194058,0.306114266368107,,,,,0.708715396,0.436464088,0.272251308,0.232044198,0.20441989,0.265625,109,193,181,24,26,8,21,79,42,21,13,0,5,10,0,45,0.233160621,0.051813471,0.3047619,,0.27639751999999995,,-0.110975868999958,0.0485445240237877,0.0,0.0,2.0,0.0,,0.48275862,0.64204545,0.57291667,0.78761062,0.52773613,,,469.1
Raul Chavez,553,112223,C,PIT,0.4437010311330019,,0.5,-6.4190836173145405,6.953401863574982,0.222431105794385,,,,,56.63056766950344,0.2671655224374503,,,,,0.605850762,0.318965517,0.286885245,0.258620689,0.060344828,0.284313725,42,122,116,12,10,1,5,37,30,25,4,0,0,4,1,14,0.114754098,0.032786885,0.3566879,,0.13407820999999998,,-0.2088641077280044,0.3596831155940369,0.0,0.0,4.0,0.5699999928474426,,0.5327381,0.68715084,0.71428571,0.93495935,0.5327381,,,278.0
Micah Hoffpauir,4342,451687,1B,CHC,0.4428032928321799,,0.56,4.8179584428064,-2.944186210632324,0.5411546318791807,,,,,142.58981660550148,0.4069197528064251,,,,,0.934246575,0.534246575,0.4,0.342465753,0.191780822,0.489361702,33,80,73,14,8,2,10,39,25,15,8,0,1,6,0,24,0.3,0.075,0.38,,0.27972028000000004,,0.3568419218063354,-0.2130275742293835,0.0,0.0,-2.0,0.0,,0.52380952,0.69918699,0.49122807,0.87209302,0.45054945,,,121.2
Dan Haren,1757,429717,P,ARI,0.4345589815392965,,0.43,-7.372072331850806,9.002605438232422,-0.0320974783971905,,,,,31.20576036131978,0.2375712163746356,,,,,0.540131578,0.302631578,0.2375,0.210526315,0.092105263,0.258064516,34,85,76,8,6,0,7,23,16,9,7,0,0,3,0,15,0.176470588,0.035294117,0.29323308,,0.22619047999999997,,-0.5276979804039001,0.0236785885391641,0.0,0.0,0.0,0.7799999713897705,,0.51219512,0.66153846,0.69230769,0.79844961,0.5945122,,,216.0
Travis Ishikawa,4793,448170,1B,SFG,0.4250884831583169,,0.55,0.0708360194611545,0.8546699285507202,0.033130262279883,,,,,100.288835623394,0.335233562779658,,,,,0.768117408,0.431578947,0.336538461,0.27368421,0.157894737,0.353846153,33,104,95,12,15,3,9,41,26,17,6,0,1,9,1,27,0.259615384,0.086538461,0.29646018,,0.22705314,,0.6941400170326233,0.465662058592979,0.0,0.0,3.0,0.0,,0.4715262,0.657277,0.62686567,0.84285714,0.48519362,,,213.1
Ángel Pagán,2918,434636,LF,NYM,0.4241185295028238,,0.52,1.805016719194012,-0.9213476851582528,2.6251059910282493,,,,,93.7777384845295,0.3214132229869182,,,,,0.719780219,0.373626373,0.346153846,0.274725274,0.098901099,0.333333333,31,105,91,12,13,0,8,34,25,17,7,1,4,11,0,18,0.171428571,0.104761904,0.24324324,,0.13235293999999997,,0.3288418650627136,0.24791181457923,0.0,0.0,2.0,0.0,,0.3767313,0.51704545,0.71111111,0.94505495,0.48753463,,,195.39999999999998
Felipe Lopez,1311,150479,2B,- - -,0.4136578707806513,,-0.30000000000000004,-7.257778528759383,-5.672840967774391,-3.463302131742239,,,,,94.31779821816318,0.3247070673740271,,,,,0.730090612,0.386694386,0.343396226,0.282744282,0.103950104,0.328282828,143,532,481,64,46,6,36,186,136,100,28,2,8,43,2,82,0.154135338,0.080827067,0.2244898,,0.13654096000000004,,-2.331420123577118,-2.010155484015021,0.0,0.0,-12.0,0.0,,0.3992731,0.56281407,0.66985646,0.93571429,0.51661475,,,1054.1
Mike Rivera,493,407576,C,MIL,0.4059154110340707,,0.45,0.5008845945001106,1.3559911251068115,-1.1534957913681865,,,,,119.10129053426525,0.3617204246313675,,,,,0.812295464,0.43548387,0.376811594,0.306451612,0.129032258,0.352941176,21,69,62,8,14,1,6,27,19,13,5,0,2,6,0,10,0.144927536,0.086956521,0.31147541,,0.22641509000000004,,0.6540038585662842,0.4531752356285858,0.0,0.0,-1.0,1.830000042915344,,0.45689655,0.61818182,0.68421053,0.82352941,0.47413793,,,148.1
Cody Ransom,1126,285068,SS,NYY,0.4054506582975545,,0.43,5.141618562056213,-2.8369603734463453,0.3652277376968413,,,,,176.02570338668383,0.4448069477081299,,,,,1.05116279,0.65116279,0.4,0.302325581,0.348837209,0.333333333,33,51,43,9,8,4,7,28,13,6,3,0,0,6,0,12,0.235294117,0.117647058,0.24137931,,0.21111111000000005,,-0.2725458741188049,-0.5654876511316316,0.0,0.0,-3.0,0.0,,0.45918367,0.63302752,0.61904762,0.84057971,0.55612245,,,142.0
Victor Martinez,393,400121,C,CLE,0.3981540749970205,,0.56,-7.497032495276493,1.3288732767105105,-2.503284220583737,,,,,86.21172032555097,0.3091277942575257,,,,,0.701396347,0.364661654,0.336734693,0.278195488,0.086466166,0.306382978,73,294,266,30,35,2,19,97,74,55,17,0,0,24,4,32,0.108843537,0.081632653,0.35361842,,0.13552361000000002,,-0.5035198330879211,0.4341608822456433,0.0,0.0,-2.0,-2.5999999046325684,,0.45009242,0.57383966,0.83255814,0.88970588,0.43807763,,,529.1
Mike Hessman,1808,425634,3B,DET,0.3833337371592332,,0.37,4.919136079450621,-2.145031601190567,0.1839512637816369,,,,,223.99552396072036,0.5182879778646654,,,,,1.275985662,0.888888888,0.387096774,0.296296296,0.592592592,0.23076923,12,31,27,6,7,5,6,24,8,2,1,0,0,2,0,9,0.29032258,0.064516129,0.24193548,,0.32835821,,-0.1359460800886154,-0.692004523698835,0.0,0.0,-2.0,0.0,,0.4962963,0.71232877,0.46666667,0.73076923,0.54074074,,,70.0
Paul Konerko,242,117244,1B,CHW,0.3766793915294061,,0.93,-4.645789294965914,-9.342398643493652,-7.050397848011926,,,,,103.79762463680105,0.3428993008884729,,,,,0.78271414,0.438356164,0.344357976,0.239726027,0.198630137,0.244117647,122,514,438,59,62,22,42,192,105,63,19,1,2,65,4,80,0.155642023,0.126459143,0.21784473,,0.19754601000000005,,-0.740472137928009,-0.8072521505455378,0.0,0.0,-1.0,0.0,,0.43466667,0.61956522,0.60106383,0.86283892,0.53973333,,,995.2
Austin Kearns,332,400290,RF,WSN,0.3763386390638302,,-1.19,-13.410888083474363,5.72446084022522,0.0040367203764617,,,,,70.06381492746891,0.288970283266543,,,,,0.627218298,0.316293929,0.310924369,0.217252396,0.099041533,0.25,86,357,313,40,32,7,17,99,68,51,10,0,2,35,0,63,0.176470588,0.098039215,0.15555556,,0.16729322999999996,,-0.3188901245594024,1.0788516179631118,0.0,0.0,-6.0,0.0,,0.39612807,0.60869565,0.59183673,0.88709677,0.53090097,,,734.0
Ryan Shealy,4443,434626,1B,KCR,0.3732040411965319,,0.45,3.2535127357120066,-2.240214467048645,-1.553495797328651,,,,,149.39449724671314,0.4082850247998781,,,,,0.957170105,0.602739726,0.354430379,0.301369863,0.301369863,0.319148936,20,79,73,12,20,7,8,44,22,14,1,0,0,5,0,19,0.240506329,0.063291139,0.30769231,,0.15822784999999995,,0.4574598670005798,0.146565226285695,0.0,0.0,-2.0,0.0,,0.45797101,0.60227273,0.73076923,0.89622642,0.51014493,,,169.0
Greg Norton,1388,119853,LF,- - -,0.367020532510708,,0.19,3.548398477117086,-6.974039822816849,-0.6578125648666173,,,,,115.37611928133296,0.3551200440636388,,,,,0.811229945,0.438502673,0.372727272,0.262032085,0.176470588,0.308823529,117,220,187,29,35,7,19,82,49,30,12,0,0,33,4,44,0.2,0.15,0.19730942,,0.22102425999999997,,0.9324519783258438,0.2999489978482133,0.0,0.0,-6.0,0.0,,0.42545872,0.66431925,0.59090909,0.83745583,0.48853211,,,212.29999999999998
Augie Ojeda,297,324432,2B,ARI,0.3662521850294832,,1.16,-10.175469561705077,5.116880178451538,-0.2113083994481712,,,,,70.81576808501427,0.2978023736548603,,,,,0.64198488,0.298701298,0.343283582,0.242424242,0.056277056,0.269230769,105,272,231,27,17,0,11,69,56,45,9,2,0,26,2,24,0.088235294,0.095588235,0.31086957,,0.12592592999999996,,-0.7389078736305237,-0.140766911113365,0.0,0.0,11.0,0.0,,0.42948038,0.54244306,0.81118881,0.90839695,0.51219512,,,522.3
Travis Snider,2830,501983,LF,TOR,0.3658714817068088,,0.6,1.8285205129850788,-0.9233498871326448,0.8491790283005685,,,,,109.93744944223434,0.3461464047431946,,,,,0.803253424,0.465753424,0.3375,0.301369863,0.164383561,0.4,24,80,73,9,13,2,8,34,22,14,6,0,0,5,0,23,0.2875,0.0625,0.26896552,,0.27857142999999995,,0.527523934841156,0.2143958507728833,0.0,0.0,3.0,0.0,,0.49469965,0.73188406,0.41025641,0.84158416,0.48763251,,,159.0
Chase Headley,4720,452104,LF,SDP,0.3622656288994935,,1.01,3.939114686329937,-12.119892597198486,0.5289780471939594,,,,,107.3824479011244,0.333576254526341,,,,,0.756896098,0.419939577,0.336956521,0.268882175,0.151057402,0.363636363,91,368,331,34,38,9,30,139,89,59,19,2,4,30,1,104,0.282608695,0.081521739,0.24929178,,0.26550079000000004,,0.03872587159276,-0.4399867045770814,0.0,0.0,-2.0,0.0,,0.43289745,0.6064257,0.50568182,0.82339956,0.51410874,,,768.0
