Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Wade Boggs,1001124,111153,3B,BOS,8.650028275779421,,8.29,54.20971113219304,2.5769340991973877,-1.569621790200472,,,,,167.01913206754602,0.4272324976839454,,,,,0.965386666,0.489726027,0.475660639,0.366438356,0.123287671,0.378623188,155,719,584,128,58,5,56,286,214,158,45,6,2,125,18,34,0.047287899,0.173852573,,,2.83176589012146,-1.0832248043095136,,,,,2.0,,,,,,,,1313.2
Mike Greenwell,1005006,115108,LF,BOS,7.7714697222041345,,7.52,45.11756407421616,5.24794340133667,-0.4771804055199027,,,,,156.8376253524388,0.4116541277037726,,,,,0.946092889,0.530508474,0.415584415,0.325423728,0.205084746,0.316573556,158,693,590,86,119,22,69,313,192,123,39,8,16,87,18,38,0.054834054,0.125541125,,,4.528505802154541,-0.1463504281819334,,,,,13.0,,,,,,,,1276.0
Jose Canseco,1001918,111962,RF,OAK,7.59368501691421,,7.27,57.96911092383668,-10.865225315093994,1.298797701485455,,,,,169.44178398379148,0.4186014976212889,,,,,0.959477459,0.568852459,0.390625,0.306557377,0.262295082,0.325112107,158,705,610,120,124,42,76,347,187,111,34,0,40,78,10,128,0.181560283,0.110638297,,,5.761286735534668,-0.3248781323742102,,,,,-3.0,,,,,,,,1256.0
Kirby Puckett,1010557,120790,CF,MIN,7.1219935390624025,,7.75,37.896318409983024,6.0,-2.0424479618668556,,,,,149.93108143294663,0.4034637705554434,,,,,0.919720167,0.544901065,0.374819102,0.356164383,0.188736682,0.37567084,158,691,657,109,121,24,71,358,234,163,42,5,6,23,4,83,0.120115774,0.033285094,,,2.7823221683502197,-0.7735287722509221,,,,,6.0,,,,,,,,1349.2
Fred McGriff,293,118730,1B,TOR,6.61031824208462,,6.19,40.69570832004763,0.9807968139648438,0.3328950237482786,,,,,155.96902685684543,0.4072216495390861,,,,,0.927840731,0.552238805,0.375601926,0.281716417,0.270522388,0.327731092,154,623,536,100,82,34,73,296,151,78,35,4,6,79,3,149,0.239165329,0.126805778,,,1.5497441291809082,-2.433464861092024,,,,,10.0,,,,,,,,1315.0
Dave Henderson,1005630,115744,CF,OAK,6.399156965571821,,6.27,32.36577056361873,8.994855967815965,-1.562782327644527,,,,,151.42151341267328,0.391029307182799,,,,,0.88748669,0.524654832,0.362831858,0.303747534,0.220907298,0.326633165,146,570,507,100,94,24,63,266,154,91,38,1,2,47,1,92,0.161403508,0.08245614,,,1.6933262348175049,-2.724252393736119,,,,,9.0,,,,,,,,1154.2
Andy Van Slyke,1013363,123653,CF,PIT,6.392071479345723,,6.46,33.230422123585214,6.0,2.0598095823079348,,,,,143.52956453626166,0.3720699796771131,,,,,0.850947323,0.505962521,0.344984802,0.287904599,0.218057922,0.320712694,154,660,587,101,100,25,63,297,169,106,23,15,30,57,2,126,0.19090909,0.086363636,,,4.312935829162598,-0.2361770116385768,,,,,6.0,,,,,,,,1324.2
Barry Larkin,335,117501,SS,CIN,6.310540247635278,,7.04,20.217717987549342,18.89092493057251,4.797416272573173,,,,,121.7985796509349,0.3466697586161056,,,,,0.775923452,0.428571428,0.347352024,0.295918367,0.132653061,0.290843806,151,652,588,91,56,12,49,252,174,125,32,5,40,41,3,24,0.036809815,0.062883435,,,3.311971426010132,0.50957036109277,,,,,11.0,,,,,,,,1278.1
Kirk Gibson,1004669,114752,LF,LAD,6.166908635457483,,6.54,38.58792618594383,-0.577519416809082,4.15135654900223,,,,,150.2210427910926,0.3769948144269183,,,,,0.860183386,0.483394833,0.376788553,0.289667896,0.193726937,0.326732673,150,632,542,106,76,25,54,262,157,103,28,1,31,73,14,120,0.189873417,0.115506329,,,4.997310638427734,0.8097414707756903,,,,,6.0,,,,,,,,1281.2
Ozzie Smith,1012186,122439,SS,STL,5.829130226500641,,6.6,8.48083722957016,26.203702926635746,7.352483150549233,,,,,101.55454109308828,0.3155547088339128,,,,,0.685728276,0.335652173,0.350076103,0.269565217,0.066086956,0.283582089,153,669,575,80,51,3,31,193,155,124,27,1,57,74,2,43,0.064275037,0.110612855,,,2.280467987060547,1.3782157338782572,,,,,18.0,,,,,,,,1329.0
