Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Stan Coveleski,1002682,112743.0,CLE,5.733370304107666,,7.29,3.371428571428571,,3.593505123683385,,,,0.07279412,0.06176471,0.01102941,315.0,43,40,,,,,2.8285714285714287,2.4,1.17857143,0.1714285714285714,0.2870608397600686,0.69424631,,2,0.2680817610062893,1.3492063492063493,77.58906352108355,84.4985444241803,,,,,,99,84,4,6,,28,2,118
Sad Sam Jones,1006589,116726.0,BOS,5.593964099884033,,6.71,3.2243301375027973,,3.3673890365173635,,,,0.0779634,0.06205251,0.0159109,298.2,40,38,,,,,2.9531247988343376,2.350446268459983,1.25641026,0.0301339265187177,0.2951582867783985,0.69895157,,1,0.2710997442455243,1.32589276682358,77.3546758813283,82.66184501990038,,,,,,98,78,6,1,,25,5,107
Red Faber,1003889,113965.0,CHW,5.48537015914917,,11.42,2.476814363737146,,3.63232997796042,,,,0.09185185,0.06444444,0.02740741,330.2,43,39,,,,,3.374999792345122,2.3679434026937543,1.42528736,0.2721774026084775,0.2522281639928699,0.75067024,,1,0.23328025477707,1.1491934776802384,58.30001178171577,87.3385682641055,,,,,,124,87,7,10,,32,4,91
Burleigh Grimes,1005061,115162.0,BRO,5.362935543060303,,7.76,2.828004600449507,,3.298435044811902,,,,0.10853951,0.06065443,0.04788508,302.1,37,35,,,,,4.048511849064557,2.2624036803596055,1.78947368,0.1786108168704951,0.2980582524271845,0.71058091,,0,0.2670648464163822,1.28665940301153,75.21236258545976,83.85251537274519,,,,,,136,76,5,6,,30,2,95
Wilbur Cooper,1002602,112649.0,PIT,5.1665167808532715,,4.46,3.2477064220183487,,3.5002766396292126,,,,0.097313,0.05809731,0.03921569,327.0,38,38,,,,,3.688073394495413,2.2018348623853212,1.675,0.2477064220183486,0.2902097902097902,0.68355641,,0,0.2649572649572649,1.2874617737003058,85.89387805647141,88.72407769504451,,,,,,134,80,10,9,,29,2,118
Waite Hoyt,1006115,116241.0,NYY,5.1379828453063965,,5.72,3.0920899512705944,,3.465760165129491,,,,0.08492923,0.0674438,0.01748543,282.1,43,32,,,,,3.251476031232996,2.5820544953909086,1.25925926,0.095631647977441,0.295049504950495,0.69487983,,3,0.2699551569506726,1.3530107232363884,72.45517583398892,83.0425789049669,,,,,,102,81,5,3,,21,1,97
Urban Shocker,1011918,122176.0,SLB,4.700756072998047,,7.95,3.5540814113021284,,4.008811191795572,,,,0.09421842,0.06138473,0.03283369,326.2,47,38,,,,,3.636734467378922,2.3693876075347524,1.53488372,0.5785713925375557,0.2802768166089965,0.7016683,,4,0.2635599694423224,1.3193876729295584,80.26508951136138,92.29975633800365,,,,,,132,86,6,21,,30,4,129
Carl Mays,1008313,118494.0,NYY,4.5473103523254395,,6.06,3.047524568310754,,3.9026988538935248,,,,0.05,0.05428571,-0.00428571,336.2,49,38,,,,,1.8712870156294104,2.031683045540503,0.92105263,0.2940593881703359,0.260129659643436,0.67729084,,7,0.2524714828897338,1.211881114883809,71.41090069667042,93.28111336612044,,,,,,70,76,9,11,,30,1,114
Walter Johnson,1006511,116635.0,WAS,4.439086437225342,,4.77,3.511363636363636,,3.465907721085982,,,,0.12779267,0.08221626,0.04557641,264.0,35,32,,,,,4.875,3.136363636363636,1.55434783,0.2386363636363636,0.2948571428571429,0.67869416,,1,0.2585365853658536,1.3522727272727273,85.41562760370095,86.21109148566907,,,,,,143,92,2,7,,25,1,103
Eppa Rixey,1011008,121255.0,CIN,4.432218074798584,,5.09,2.780730897009967,,3.382209442620262,,,,0.06031746,0.05238095,0.00793651,301.0,40,36,,,,,2.272425249169435,1.973421926910299,1.15151515,0.0299003322259136,0.2904676258992806,0.67835366,,1,0.272497897392767,1.2956810631229236,76.81407360218765,89.40827372769422,,,,,,76,66,5,1,,21,2,93
