Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Rube Waddell,1013467,123767.0,PHA,9.186420440673828,,11.26,1.6214099216710185,,1.5953739656791988,,,,,,,383.0,46,46,,,,,8.201044386422977,2.1383812010443863,3.83516484,0.1174934725848564,0.2923353919423848,0.74876847,,0,0.2213314492523755,1.0391644908616189,61.0013534168957,63.18176879292516,,,,,,349,91,15,5,,39,8,69
Jack Chesbro,1002179,112233.0,NYH,8.540821075439453,,10.62,1.8211142880117337,,2.1077109855972824,,,,,,,454.2,55,51,,,,,4.730938204726135,1.741935405924267,2.71590909,0.0791788820874666,0.2425280912061231,0.71361722,,0,0.2086213633411248,0.9369501047016892,64.9612105386651,78.18050013558656,,,,,,239,88,7,4,,48,6,92
Cy Young,1014369,124692.0,BOS,7.676877021789551,,9.27,1.9657894736842103,,1.8309861685100357,,,,,,,380.0,43,41,,,,,4.7368421052631575,0.6868421052631579,6.89655172,0.1421052631578947,0.2691598188831125,0.72810011,,1,0.2338052338052338,0.936842105263158,74.36403065403077,72.44185411486534,,,,,,200,29,4,6,,40,10,83
Christy Mathewson,1008235,118422.0,NYG,6.712881088256836,,5.4,2.031731528552084,,2.181200906994035,,,,,,,367.2,48,46,,,,,5.189482940398094,1.9093380629766572,2.71794872,0.1713508518055974,0.2660568282603167,0.70861978,,1,0.2278786337155452,1.044424239576975,74.34529067144072,76.69340992651014,,,,,,212,78,4,7,,33,4,83
Noodles Hahn,1005205,115307.0,CIN,6.069302558898926,,6.62,2.0559909009096016,,2.3136849438251583,,,,,,,297.2,35,34,,,,,2.9630457101344256,1.058230610762295,2.8,0.0907054809224824,0.2559161651886854,0.6693712,,0,0.2350968512618481,0.9843224411217536,69.13768802047558,74.93488216198661,,,,,,98,35,7,3,,33,2,68
Kid Nichols,1009564,119761.0,STL,5.430974006652832,,8.55,2.0157728706624605,,2.215935529293698,,,,,,,317.0,36,35,,,,,3.804416403785489,1.4195583596214512,2.68,0.085173501577287,0.2585517201006888,0.70890841,,1,0.2306487426201008,1.003154574132492,74.94334295986854,79.2137888183189,,,,,,134,50,5,3,,35,3,71
Eddie Plank,1010385,120616.0,PHA,5.221606254577637,,8.82,2.166044899444859,,2.247119308829865,,,,,,,357.1,44,43,,,,,5.062500288237403,2.166044899444859,2.3372093,0.050373137196392,0.2769611500520804,0.73814134,,0,0.2358419127695643,1.1110075259426473,81.49183538467916,87.70200114377693,,,,,,201,86,19,2,,37,7,86
Jack Harper,1005380,115489.0,CIN,4.881513595581055,,5.07,2.2985242448458725,,2.6153310977747646,,,,,,,293.2,35,35,,,,,3.8308737414097873,2.6049941441586553,1.47058824,0.0612939798625565,0.2699503545820189,0.68799547,,0,0.2403360909710552,1.1816117229059522,77.29346082093403,85.07846678345433,,,,,,125,85,9,2,,31,6,75
Jake Weimer,1013738,124044.0,CHC,4.652397155761719,,6.12,1.9055374592833876,,2.323365733056581,,,,,,,307.0,37,37,,,,,5.188925081433225,2.8436482084690553,1.82474227,0.0293159609120521,0.2487073761371818,0.71471653,,0,0.2091820888978205,1.0618892508143325,71.68081316997463,84.18959474444601,,,,,,177,97,7,1,,31,5,65
Joe McGinnity,1008527,118713.0,NYG,4.610559463500977,,9.6,1.6102941176470589,,2.694789058086919,,,,,,,408.0,51,44,,,,,3.176470588235294,1.8970588235294117,1.6744186,0.1764705882352941,0.2290204969514997,0.7674772,,5,0.2106259776612969,0.9632352941176472,58.92401754886325,95.4866706707677,,,,,,144,86,13,8,,38,9,73
Jack Powell,1010487,120718.0,NYH,4.539188385009766,,3.05,2.4440650291835104,,2.6663338375371355,,,,,,,390.1,47,45,,,,,4.6575578858025395,2.1212639875932355,2.19565217,0.3458582588467232,0.2655793021696551,0.68408551,,0,0.235989847952758,1.1067464283095143,87.1825694719692,98.10721035660951,,,,,,202,92,10,15,,38,3,106
Bill Bernhard,1000891,110919.0,CLE,4.167203426361084,,5.35,2.133055997722031,,2.236955104375711,,,,,,,320.2,38,37,,,,,3.845114101156819,1.5436589457198908,2.49090909,0.0841995788574486,0.2943123970958732,0.72789836,,0,0.2631836132751729,1.1787941040042804,83.34760091138259,90.68927627006605,,,,,,137,55,4,3,,35,4,76
Bill Dinneen,1003317,113382.0,BOS,4.16378927230835,,5.19,2.198609598617199,,2.3969742531901037,,,,,,,335.2,37,37,,,,,4.1022837632735545,1.6891756672302871,2.42857143,0.2144984974260682,0.2573508630472186,0.69180523,,0,0.2301598812562227,1.030784445964161,83.17140455605083,93.8526693839505,,,,,,153,63,2,8,,37,5,82
Vic Willis,1014042,124364.0,BSN,4.157304763793945,,2.53,2.854285714285714,,2.612113988058908,,,,,,,350.0,43,43,,,,,5.04,2.802857142857143,1.79816514,0.18,0.3067484662576687,0.63377286,,0,0.265625,1.3314285714285714,106.15176975385718,93.97302325869808,,,,,,196,109,14,7,,39,2,111
Red Donahue,1003373,113433.0,CLE,3.782450437545776,,4.11,2.404332129963899,,2.1795611257587533,,,,,,,277.0,35,32,,,,,4.126353790613718,1.592057761732852,2.59183673,0.0649819494584837,0.2989905051760722,0.71944612,,0,0.2645602274653059,1.1913357400722022,93.94751710253036,88.44664858959666,,,,,,127,49,5,2,,30,6,74
Dummy Taylor,1012867,123149.0,NYG,3.781134605407715,,4.0,2.3385828377230244,,2.600055507881481,,,,,,,296.1,37,36,,,,,4.191226384490616,2.2778404263535954,1.84,0.1822272341082876,0.2438601586619126,0.7012394,,0,0.216563865172528,1.0326209932802966,85.57361953902657,92.02017264807864,,,,,,138,75,9,6,,29,5,77
Fred Glade,1004753,114840.0,SLB,3.741124868392944,,4.29,2.273356401384083,,2.165233118063851,,,,,,,289.0,35,34,,,,,4.858131487889273,1.806228373702422,2.68965517,0.0622837370242214,0.271829211695286,0.68943707,,1,0.2333063651244614,1.0588235294117647,90.84031339962914,89.87602650007562,,,,,,156,58,13,2,,30,6,73
Jesse Tannehill,1012822,123086.0,BOS,3.685540437698364,,5.28,2.04497026649103,,2.3361714749376143,,,,,,,281.2,33,31,,,,,3.706508608014992,1.0544377936594374,3.51515152,0.1597633020696117,0.2700957543352885,0.72390572,,0,0.2437398705283261,1.026035428847062,77.35936814175336,91.55255549772428,,,,,,116,33,15,5,,30,4,64
Bob Ewing,1003880,113955.0,CIN,3.672008752822876,,2.99,2.462264150943396,,2.5451867643392316,,,,,,,212.0,26,24,,,,,4.202830188679245,2.462264150943396,1.70689655,0.1273584905660377,0.2810446212383258,0.68412823,,0,0.2487937273823884,1.2075471698113207,82.79961288574334,82.71969319193475,,,,,,99,58,4,3,,22,0,58
Chief Bender,1000827,110850.0,PHA,3.6527669429779057,,1.24,2.872339923405887,,1.946469927368125,,,,,,,203.2,29,20,,,,,6.584286901345802,2.607200853553036,2.52542373,0.0441898449754751,0.2807183207885236,0.61242345,,0,0.2252677278745004,1.1096561071619324,108.06435834595368,76.39084600157975,,,,,,149,59,4,1,,18,4,65
Win Kellum,1006791,116936.0,CIN,3.643671989440918,,1.93,2.603857154121737,,2.6003208264552304,,,,,,,224.2,31,24,,,,,2.8041538582849475,1.8427296783015368,1.52173913,0.0400593408326421,0.266732555973894,0.62931696,,2,0.2453665912674488,1.121661543313979,87.56102154533193,84.57370995056486,,,,,,70,46,10,1,,22,1,65
Deacon Phillippe,1010287,120511.0,PIT,3.435328245162964,,0.22,3.239999307861476,,2.033828355804426,,,,,,,166.2,21,19,,,,,4.42799905407735,1.4039997000733062,3.15384615,0.0539999884643579,0.3192981893711535,0.61728395,,1,0.280244979881486,1.2539997321167564,117.43511105007872,70.62524151235863,,,,,,82,26,3,1,,17,3,60
Casey Patten,1010056,120283.0,WAS,3.2167809009552,,4.19,3.0698973090664845,,2.4821339551106516,,,,,,,357.2,45,39,,,,,3.77446390458994,1.987884323084035,1.89873418,0.0503261853945325,0.2982952083865048,0.65630397,,3,0.2667887822898145,1.246971038108973,121.06706869853488,101.19988285848316,,,,,,150,79,20,2,,37,2,122
Jack Taylor,1012879,,STL,3.1920406818389893,,0.0,2.2244318181818183,,2.8269191828641027,,,,,,,352.0,41,39,,,,,2.633522727272727,2.096590909090909,1.25609756,0.1278409090909091,0.2471141802917978,0.67272727,,1,0.2302968270214944,1.0767045454545454,82.70096252761743,101.9292237558634,,,,,,103,82,13,5,,39,2,87
