Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,bWAR,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Roger Clemens,BOS,21,6,0,31,31,228.1,8.23795583736867,2.1284670584588907,0.2759123964668932,0.2892690513219285,0.7985258,,,,1.9313867752682528,,2.177642110742473,,8.155840873718262,Roger Clemens,815,112388,3.87037037,0.22717391,0.05869565,0.16847826,0.2246798603026775,1.0817517766241689,46.98864934830518,54.946235339962854,,-0.2462553354742203,,27,7,4,,,920,193,59,49,7,54,3,7,8,0,209,6.9422502517700195,-13.318320274353027,20.26057243347168,55.72550201416016,5.747976779937744,1.1299262046813965,1.0189769268035889,0.8744709491729736,1.3322583436965942,24,4.651226043701172,1.492759486510967,0,0,1990,10.43,,,,,,,,,,
Dwight Gooden,NYM,19,7,0,34,34,232.2,8.62607430999506,2.7077363304917226,0.3868194757845318,0.325408618127786,0.68493151,,,,3.829512810266865,,2.4429695120449013,,6.787654399871826,Dwight Gooden,1004852,114947,3.18571429,0.22685656,0.07121058,0.15564598,0.2527593818984547,1.2851002584397224,104.53627064273302,65.62044665073856,,1.3865432982219636,,20,2,1,,,983,229,106,99,10,70,3,7,6,3,223,0.4766619503498077,-17.839670181274414,18.31633186340332,4.865199565887451,0.5066766738891602,1.0508792400360107,0.922280728816986,0.8742764592170715,0.9924687743186952,32,0.7287130355834961,-0.2751290915962937,0,0,1990,2.51,,,,,,,,,,
Erik Hanson,SEA,18,9,0,33,33,236.0,8.046610689752267,2.59322050665002,0.5720339352904455,0.2844311377245509,0.73622047,,,,3.241525633312525,,2.7362651139900143,,6.631039619445801,Erik Hanson,1005333,115446,3.10294118,0.21887967,0.07053942,0.14834025,0.2293064876957494,1.1567797358095675,80.85235385116944,68.55182115565658,,0.5052605193225106,,23,5,1,,,964,205,88,85,15,68,6,2,10,1,211,3.5390899181365967,-13.620162010192873,17.159252166748047,23.41840171813965,2.5194947719573975,0.9693285822868348,0.9234830141067504,0.8719090819358826,1.2426713705062866,28,2.7804343700408936,0.8706391491028369,0,0,1990,5.01,,,,,,,,,,
Frank Viola,NYM,20,12,0,35,35,249.2,6.560747930865337,2.162883933252309,0.5407209833130773,0.2800528401585205,0.76865672,,,,2.667556851011181,,2.876389807443791,,5.786524295806885,Frank Viola,1013435,123732,3.03333333,0.17913386,0.05905512,0.12007874,0.2379454926624738,1.149532757117431,72.81773393852387,77.25676141086582,,-0.2088329564326101,,25,7,3,,,1016,227,83,74,15,60,2,2,11,0,182,3.3450839519500732,-15.398469924926758,18.743555068969727,39.5447998046875,4.2473955154418945,0.9948689937591552,0.8957944512367249,0.8739885687828064,1.094185709953308,28,3.6234636306762695,-0.2611275111128988,0,0,1990,6.43,,,,,,,,,,
Ed Whitson,SDP,14,9,0,32,32,228.2,4.998542496418967,1.8498543096983575,0.511661830342099,0.2767123287671232,0.77614379,,,,2.5976677540445023,,3.06631652114212,,5.2001633644104,Ed Whitson,1013911,124223,2.70212766,0.13834423,0.05119826,0.08714597,0.2471264367816092,1.1457726457233326,67.75168790288375,78.64455739167144,,-0.4686487670976178,,27,6,3,,,918,215,73,66,13,47,8,1,2,0,127,2.8253819942474365,-13.939468383789062,16.764854431152344,31.361299514770508,3.4047272205352783,0.975372314453125,0.8923942446708679,0.8732812404632568,1.2364922761917114,26,2.8721983432769775,0.024523198211086,0,0,1990,6.97,,,,,,,,,,
Nolan Ryan Jr.,TEX,13,9,0,30,30,204.0,10.235294117647058,3.264705882352941,0.7941176470588235,0.24435318275154,0.6846473,,,,3.4411764705882355,,2.872024507148593,,5.181433200836182,Nolan Ryan Jr.,1011348,121597,3.13513514,0.28361858,0.09046455,0.19315403,0.185888738127544,1.0343137254901962,87.91939076486962,73.3493717298367,,0.5691519634396425,,17,5,2,,,818,137,86,78,18,74,2,7,9,1,232,1.4254801273345947,-12.531707763671877,13.95718765258789,14.561100006103516,1.5381853580474854,0.9539064168930054,0.9263429045677184,0.874013364315033,1.3918559551239014,25,2.149680852890014,-0.6553202928913042,0,0,1990,3.52,,,,,,,,,,
Greg Maddux,CHC,15,15,0,35,35,237.0,5.468354430379747,2.6962025316455698,0.4177215189873418,0.2957746478873239,0.66644562,,,,3.4556962025316458,,3.1458517595685485,,5.118382453918457,Greg Maddux,104,118120,2.02816901,0.14243323,0.0702275,0.07220574,0.2585470085470085,1.320675105485232,86.29146684652008,80.86168281191377,,0.3098444429630973,,22,8,2,,,1011,242,116,91,11,71,10,4,3,3,144,0.4252880215644836,-17.706777572631836,18.132070541381836,5.047398567199707,0.4985171854496002,1.0370389223098757,0.9432052969932556,0.8585314154624939,1.254985213279724,27,1.6774474382400513,-1.2673490201235862,0,0,1990,3.96,,,,,,,,,,
Bobby Witt,TEX,17,10,0,33,32,222.0,8.959458920623053,4.459459191260343,0.4864864572284011,0.3047775947281713,0.72399728,,,,3.364864662496441,,3.060551254033908,,5.042868096381426,Bobby Witt,1014170,124492,2.00909091,0.23165618,0.11530398,0.1163522,0.2345238095238095,1.382882799714066,85.96968323520919,78.16595179129666,,0.3043134084625332,,20,7,1,,,954,197,98,83,12,110,3,4,11,2,221,1.6521361377090216,-16.00099016726017,17.653121784329414,9.800499886274338,0.9098931178450584,1.0394299765975457,0.9324058822669316,0.8767454479679917,0.8938319683074951,25,0.9794115647673608,0.6100520594366468,0,0,1990,3.17,,,,,,,,,,
David Cone,NYM,14,10,0,31,30,211.2,9.907087090299692,2.763779660384034,0.8929134287394572,0.2888888888888888,0.74438202,,,,3.2314962182951783,,2.8319210653318656,,5.021809241210576,David Cone,1680,112552,3.58461538,0.27093023,0.0755814,0.19534884,0.2229219143576826,1.143307141560575,88.21189012634021,76.06288035431524,,0.3995751529633127,,19,6,2,,,860,177,84,76,21,65,1,1,10,4,233,1.6915179807692766,-13.785551889799535,15.477068200707436,19.012398898601532,2.1127859801054,0.9647305628505256,0.8927456977170541,0.864187075245765,1.2384666204452517,24,2.0455672591924667,-0.2922093311806444,0,0,1990,3.77,,,,,,,,,,
Ramon Martinez,LAD,20,6,0,33,33,234.1,8.56472336095196,2.5732576914070915,0.8449502867306867,0.2665615141955836,0.7482699,,,,2.918919172342372,,3.034472578552143,,4.883827209472656,Ramon Martinez,1008193,118378,3.32835821,0.23473684,0.07052632,0.16421053,0.217292377701934,1.1009958281642285,78.70761436401571,81.87901279236019,,-0.1155534062097709,,23,12,3,,,950,191,89,76,22,67,5,4,3,3,223,2.9698262214660645,-14.602755546569824,17.572582244873047,21.754199981689453,2.259127140045166,0.993998885154724,0.9346648454666138,0.8656666874885559,1.4781333208084106,21,2.151425838470459,0.8363302504146777,0,0,1990,3.92,,,,,,,,,,
