Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Eddie Collins Sr.,1002451,112506.0,2B,PHA,8.985520496812667,,9.41,51.57939286855032,11.0,4.630086051300168,,,,,163.56266611969914,0.4290480939344095,,,,,0.894078088,0.45318352,0.440894568,0.344569288,0.108614232,0.366396761,148,652,534,125,73,3,39,242,184,145,23,13,55,85,,37,0.056748466,0.130368098,2.297297297,,,,,,,,,11.0,,,,,,,,0.0
Tristram Speaker,1012309,122566.0,OF,BOS,8.573470319915195,,8.78,58.99660041153895,0.5679011344909668,3.797667915001512,,,,,180.13968224869774,0.4577791473350009,,,,,0.973570685,0.532692307,0.440878378,0.363461538,0.169230769,0.375757575,141,608,520,94,71,3,60,277,189,129,35,22,46,65,,22,0.03618421,0.106907894,2.954545454,,,,,,,,,4.0,,,,,,,,0.0
Home Run Baker,1000453,110480.0,3B,PHA,7.8830643362204595,,8.25,48.116581039464286,3.5987653732299805,1.2095269560813904,,,,,164.29434966959576,0.4302238353193274,,,,,0.905780642,0.492907801,0.412872841,0.336879432,0.156028369,0.341650671,149,644,564,116,117,12,55,278,190,135,34,9,34,63,,31,0.048136645,0.097826086,2.032258064,,,,,,,,,-1.0,,,,,,,,0.0
Joe Jackson,1006301,116432.0,OF,CLE,7.533835655366404,,7.98,60.22668911832119,-11.30864191055298,-0.68612308986485,,,,,186.30602608607475,0.4751266980054522,,,,,1.011168989,0.551136363,0.460032626,0.37310606,0.178030303,0.383838383,148,623,528,109,71,7,63,291,197,134,39,17,26,80,,26,0.041733547,0.128410914,3.076923076,,,,,,,,,-4.0,,,,,,,,0.0
Ty Cobb,1002378,112431.0,OF,DET,7.173390162718595,,6.97,53.64973638315641,-3.962962865829468,5.066440677270293,,,,,185.59921126684745,0.472925764443923,,,,,1.002393666,0.535046728,0.467346938,0.390186915,0.144859813,0.414758269,122,501,428,70,67,4,38,229,167,129,18,16,51,58,,31,0.061876247,0.115768463,1.870967741,,,,,,,,,-1.0,,,,,,,,0.0
Gavvy Cravath,1002735,112794.0,OF,PHI,5.840892496913334,,5.66,43.778792614072024,-10.888888835906982,-2.5691366754472256,,,,,166.13327741005045,0.4557995826874957,,,,,0.974137057,0.567619047,0.40651801,0.34095238,0.226666667,0.361173814,147,594,525,78,128,19,67,298,179,112,34,14,10,55,,63,0.106060606,0.092592592,0.873015873,,,,,,,,,-4.0,,,,,,,,0.0
Heinie Zimmerman,1014444,124771.0,3B,CHC,5.056331043775241,,4.32,25.97608534941065,2.8580245971679688,-0.1090638600289821,,,,,143.35101839349812,0.410296958950367,,,,,0.868475395,0.489932885,0.37854251,0.313199105,0.17673378,0.329145728,127,510,447,69,95,9,49,219,140,91,28,12,18,41,,40,0.078431372,0.080392156,1.025,,,,,,,,,-1.0,,,,,,,,0.0
Art Fletcher,1004149,114232.0,SS,NYG,4.949678365492733,,4.36,9.457136631044168,16.395061492919922,1.938372489064932,,,,,110.72842999470734,0.3529533381272023,,,,,0.73522192,0.390334572,0.344887348,0.297397769,0.092936803,0.31262525,136,594,538,76,71,4,33,210,160,127,20,9,32,24,,35,0.058922558,0.04040404,0.685714285,,,,,,,,,8.0,,,,,,,,0.0
Burt Shotton,1011933,122192.0,OF,SLB,4.93754222518773,,5.33,26.43322213404447,-1.604938268661499,2.3913496639579535,,,,,132.4001861683221,0.3812301210335848,,,,,0.778645021,0.373406193,0.405238828,0.29690346,0.076502733,0.334020618,147,655,549,105,28,1,32,205,163,131,23,8,43,99,,63,0.096183206,0.151145038,1.571428571,,,,,,,,,2.0,,,,,,,,0.0
Stuffy McInnis,1008569,118753.0,1B,PHA,4.904923928130618,,5.64,22.752805644371666,3.432098865509033,-1.879804877564311,,,,,135.12693908166835,0.3833547595775489,,,,,0.798361143,0.416206261,0.382154882,0.32412523,0.092081031,0.338582677,148,619,543,79,90,4,38,226,176,138,30,4,16,45,,31,0.050080775,0.072697899,1.451612903,,,,,,,,,8.0,,,,,,,,0.0
