Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Ted Williams,1014040,124341.0,OF,BOS,10.316609566252591,,9.54,86.01267206232453,-6.740740776062012,-1.1642496343702078,,,,,204.0062804599337,0.509435399074775,,,,,1.133024609,0.634469696,0.498554913,0.34280303,0.291666666,0.331848552,156,693,528,125,114,32,81,335,181,100,40,9,0,162,,47.0,0.067821067,0.233766233,3.44680851,,,,,,,,,0.0,,,,,,,,0.0
Ralph Kiner,1006923,117072.0,OF,PIT,8.118136153818423,,8.12,57.82703368932674,-0.5679011344909668,-0.3640253816265613,,,,,166.38538393921306,0.4724330599146678,,,,,1.055479406,0.638938053,0.416541353,0.313274336,0.325663717,0.290993071,152,666,565,118,127,51,78,361,177,99,23,4,1,98,,81.0,0.121621621,0.147147147,1.209876543,,,,,,,,,6.0,,,,,,,,0.0
Lou Boudreau,1001234,111272.0,SS,CLE,7.263674368559427,,7.27,23.39129047596243,28.135802268981937,-0.3215109053999185,,,,,131.46922786870164,0.381545564811218,,,,,0.811312346,0.423791821,0.387520525,0.306691449,0.117100372,0.307251908,150,623,538,79,67,4,52,228,165,113,45,3,1,67,,10.0,0.016051364,0.107544141,6.7,,,,,,,,,19.0,,,,,,,,0.0
Joe Gordon,1004874,114967.0,2B,CLE,6.807642155563556,,6.62,25.175353083821516,21.69753074645996,-0.284466493409127,,,,,133.62577159043326,0.384928654384613,,,,,0.842041281,0.496441281,0.3456,0.272241992,0.224199289,0.256198347,155,626,562,89,93,29,62,279,153,91,27,6,7,62,,49.0,0.07827476,0.099041533,1.265306122,,,,,,,,,15.0,,,,,,,,0.0
Johnny Mize,1009014,119207.0,1B,NYG,6.715965035402959,,7.54,47.06598481800621,-3.65432071685791,-0.0988365150988102,,,,,153.9685255884871,0.4482772012791001,,,,,0.998370614,0.61433447,0.384036144,0.302047781,0.312286689,0.255578093,154,664,586,137,138,51,79,360,177,98,26,2,2,74,,42.0,0.063253012,0.111445783,1.761904761,,,,,,,,,3.0,,,,,,,,0.0
Bob Elliott,1003733,113813.0,3B,BSN,6.327087079870513,,6.45,36.23137824972029,4.0,0.0303060275036841,,,,,142.64343282052835,0.4264952122608078,,,,,0.926774437,0.517117117,0.40965732,0.317117117,0.2,0.325581395,150,645,555,93,113,22,62,287,176,114,35,5,3,87,,60.0,0.093023255,0.13488372,1.45,,,,,,,,,4.0,,,,,,,,0.0
Pee Wee Reese,1010776,121010.0,SS,BRO,6.150806009837083,,5.82,20.702921769544012,19.76543235778809,0.8303060394246131,,,,,125.59136566413652,0.3990147492729921,,,,,0.840559935,0.426470588,0.414089347,0.283613445,0.142857143,0.309823677,142,590,476,81,73,12,40,203,135,95,24,4,7,104,,67.0,0.113559322,0.176271186,1.552238805,,,,,,,,,11.0,,,,,,,,0.0
Harry Walker,1013521,123825.0,OF,- - -,5.8821315769416245,,6.47,37.51256832529367,-0.079115942120552,2.0133002668153495,,,,,145.103334835692,0.4291393989119036,,,,,0.92353633,0.487329434,0.436206896,0.362573099,0.124756335,0.391120507,140,598,513,81,41,1,46,250,186,140,29,16,13,63,,39.0,0.065217391,0.10535117,1.615384615,,,,,,,,,1.0,,,,,,,,0.0
Whitey Kurowski,1007215,117369.0,3B,STL,5.779421971314331,,6.08,39.811095602160066,-4.0,0.2444775225594639,,,,,148.961081111666,0.4413572901585063,,,,,0.96353178,0.543859649,0.419672131,0.30994152,0.233918129,0.306976744,146,614,513,108,104,27,60,279,159,99,27,6,4,87,,56.0,0.091205211,0.141693811,1.553571428,,,,,,,,,-4.0,,,,,,,,0.0
Walker Cooper,1002601,112660.0,C,NYG,4.9751766824777155,,4.74,25.18798027067416,5.074073791503906,0.0683870913926512,,,,,134.95508785381426,0.4158195786150619,,,,,0.92589116,0.586407766,0.339483394,0.304854368,0.281553398,0.279176201,140,546,515,79,122,35,67,302,157,90,24,8,2,24,,43.0,0.078754578,0.043956043,0.558139534,,,,,,,,,1.0,,,,,,,,0.0
