Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Craig Biggio,549,110987,2B,HOU,9.324968586159748,,9.38,50.254096193802255,20.790918827056885,5.157080552657135,,,,,147.80414033904984,0.4014116511112306,,,,,0.916130334,0.500807754,0.41532258,0.308562197,0.192245557,0.340040241,162,744,619,146,81,22,67,310,191,124,37,8,47,84,6,107,0.143817204,0.112903225,0.785046728,,,5.783897876739502,-0.2920430334345756,,,,,19.0,,,,,,,,1384.1
Larry Walker,455,123833,RF,COL,9.08945555911021,,9.84,67.99585247600683,3.388221740722656,3.2051506096322555,,,,,176.95471793785293,0.4880287662836221,,,,,1.17187765,0.720070422,0.451807228,0.366197183,0.353873239,0.367205542,153,664,568,143,130,49,99,409,208,109,46,4,33,78,14,90,0.135542168,0.117469879,0.866666666,,,6.649087905883789,-1.2441300582757115,,,,,10.0,,,,,,,,1273.1
Mike Piazza,893,120536,C,LAD,9.064785897540284,,8.67,66.89945912786388,5.474279403686523,0.6229222933470737,,,,,182.57465017221065,0.4523049938908727,,,,,1.069768828,0.638489208,0.43127962,0.361510791,0.276978417,0.362612612,152,633,556,104,124,40,73,355,201,128,32,1,5,69,11,77,0.121642969,0.109004739,0.896103896,,,6.030755996704102,-1.3653300971280604,,,,,-2.0,,,,,,,,1200.0
Ken Griffey Jr.,327,115135,CF,SEA,8.997982122547977,,9.11,49.97907156328591,16.839282512664795,1.3195598657184746,,,,,154.14707519026112,0.421404103700635,,,,,1.02848385,0.646381578,0.382102272,0.304276315,0.342105263,0.291196388,157,704,608,125,147,56,93,393,185,92,34,3,15,76,23,121,0.171875,0.107954545,0.628099173,,,3.891761779785156,-2.066078047217649,,,,,15.0,,,,,,,,1332.2
Barry Bonds,1109,111188,LF,SFG,8.861925405468677,,8.17,61.206212307352885,6.940690994262695,4.009717899636598,,,,,165.3748892693268,0.4299840189334822,,,,,1.030963277,0.584586466,0.446376811,0.291353383,0.293233083,0.280487804,159,690,532,123,101,40,71,311,155,84,26,5,37,145,34,87,0.126086956,0.210144927,1.666666666,,,6.426700115203857,-0.4779798132685702,,,,,14.0,,,,,,,,1372.1
Jeff Bagwell,547,110432,1B,HOU,7.987175653881066,,7.67,59.10020903055075,-0.6416311264038086,1.9448059451242443,,,,,162.86787510681563,0.4243440509706304,,,,,1.017256333,0.591872791,0.425383542,0.286219081,0.30565371,0.290953545,162,717,566,109,135,43,85,335,162,77,40,2,31,127,27,122,0.170153417,0.177126917,1.040983606,,,6.7215681076049805,-1.7489759604266792,,,,,9.0,,,,,,,,1390.0
Frank Thomas,255,123245,1B,CHW,7.174477513738257,,7.27,65.46724231514534,-14.935644149780272,-0.169084981927881,,,,,179.22814552375758,0.454461554903537,,,,,1.06740704,0.611320754,0.456086286,0.347169811,0.264150943,0.344110854,146,649,530,110,125,35,70,324,184,114,35,0,1,109,9,69,0.106317411,0.167950693,1.579710144,,,7.09104061126709,0.0959833471576363,,,,,-4.0,,,,,,,,822.2
Nomar Garciaparra,190,114596,SS,BOS,6.386972676005286,,6.6,20.913540132610525,18.29833221435547,0.5672709658101667,,,,,121.71544038191988,0.373904812335968,,,,,0.875155784,0.53362573,0.341530054,0.305555555,0.228070175,0.314586994,153,734,684,122,98,30,85,365,209,124,44,11,22,35,2,92,0.125340599,0.047683923,0.380434782,,,2.559983968734741,0.4590715452984879,,,,,10.0,,,,,,,,1344.1
Ivan Rodriguez,1275,121358,C,TEX,6.192920757428471,,6.54,11.324305692703398,28.697187423706055,0.1548703589942306,,,,,113.50318219926616,0.3651296061463654,,,,,0.844210749,0.484087102,0.360123647,0.31323283,0.170854272,0.339430894,150,648,597,98,77,20,58,289,187,129,34,4,7,38,7,89,0.137345679,0.058641975,0.426966292,,,1.998424410820007,0.7985986014251907,,,,,21.0,,,,,,,,1201.0
Chuck Knoblauch,609,117197,2B,MIN,6.168851917809051,,6.76,18.7169566874833,18.75366246700287,8.154796958318911,,,,,111.55632172733225,0.3589094088111125,,,,,0.800466767,0.410801963,0.389664804,0.291325695,0.119476268,0.323754789,156,716,611,117,58,9,45,251,178,133,26,10,62,84,6,84,0.117318435,0.117318435,1.0,,,0.4242516756057739,-1.4842366645267644,,,,,17.0,,,,,,,,1325.2
Edgar Martinez,1086,118365,1B,SEA,6.052528308444946,,6.22,53.93418293144598,-15.95987606048584,-1.257318327727262,,,,,163.7708827861133,0.436153508912677,,,,,1.009257747,0.553505535,0.455752212,0.330258302,0.223247233,0.347926267,155,678,542,104,108,28,64,300,179,115,35,1,2,119,11,86,0.126843657,0.175516224,1.38372093,,,2.4158618450164795,-1.3620486053166083,,,,,0.0,,,,,,,,59.1
