Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Jeff D'Amico,MIL,2,4,0,10,10,47.1,6.084507205708119,3.0422536028540597,2.091549351962166,0.3141025641025641,0.56818182,,,,6.084507205708119,,5.795615776397247,,-0.0593553483486175,Jeff D'Amico,871,113026,2.0,0.14814815,0.07407407,0.07407407,0.3015075376884422,1.6056338459507538,139.19671036751967,130.33416725521212,,0.2888914293108726,,3,0,0,,,216,60,42,32,11,16,4,1,2,0,32,-1.046172022819519,-4.477417945861816,3.431246042251587,-13.874000549316406,-1.2546350955963137,0.9559061527252196,0.9278153777122498,0.8428400158882141,0.9235799908638,10,-1.017347812652588,-0.0770818233916594,0,0,2001,,,,,,,,,,
Bryce Florie,BOS,0,1,0,7,0,8.2,7.269238501619066,7.269238501619066,1.038462643088438,0.3666666666666666,0.45454545,,,,11.423089073972818,,5.356831591794972,,-0.0659481808543205,Bryce Florie,1004172,114255,1.0,0.15555556,0.15555556,0.0,0.3157894736842105,2.1923100242978135,250.78336226205573,124.1355198639568,,6.066257482177846,,0,0,0,,,45,12,11,11,1,7,3,0,0,0,7,-0.4930599629878998,-0.9096599221229552,0.4165999591350555,-3.927000045776367,-0.3575293123722076,0.7411178946495056,0.5337499976158142,0.5928571224212646,0.3667999804019928,6,-0.1175127178430557,-0.547779493487344,0,2,2001,,,,,,,,,,
Jonathan Johnson,TEX,0,0,0,5,0,10.1,9.58064810865098,6.096776069141533,1.7419360197547236,0.34375,0.54945055,,,,9.58064810865098,,5.758815082328013,,-0.0680572912096977,Jonathan Johnson,59,150282,1.57142857,0.20754717,0.13207547,0.0754717,0.2888888888888888,1.9354844663941373,203.692890396328,125.81596712960128,,3.8218330263229663,,0,0,0,,,53,13,11,11,2,7,1,1,0,0,11,-0.0153820002451539,-0.2373660057783126,0.2219839990139007,-5.404999732971191,-0.5029059648513794,0.2867735624313354,0.2857272624969482,0.2744399905204773,0.3086666464805603,3,-0.5606003403663635,0.506962201220127,0,0,2001,,,,,,,,,,
Bobby Bonilla,STL,0,0,0,1,0,1.0,0.0,9.0,9.0,0.5,0.76923077,,,,18.0,,19.04913682937622,,-0.070509448647499,Bobby Bonilla,1001168,111199,0.0,0.0,0.16666667,-0.16666667,0.6,4.0,420.18660292988505,436.1772843401357,,-1.04913682937622,,0,0,0,,,6,3,2,2,1,1,0,0,0,1,0,0.0,-0.0001559999946039,0.0001559999946039,-1.47599995136261,-0.1464290022850036,0.0,0.0,0.0,,0,0.0,,0,0,2001,,,,,,,,,,
Mac Suzuki,- - -,5,12,0,33,19,118.1,6.769014648221121,5.55211313842856,1.521126887240701,0.2897727272727273,0.66285714,,,,5.8563385158767005,,5.795615931338599,,-0.0720670183654874,Mac Suzuki,1485,123010,1.21917808,0.16420664,0.13468635,0.0295203,0.2646420824295011,1.6478874611774263,125.661624875547,126.92933674087584,,0.0607225845381016,,7,0,0,,,542,122,87,77,20,73,4,8,16,0,89,-1.6187660843133926,-9.904393821954727,8.285627916455269,-19.84980058670044,-1.7850153297185898,0.9120542483346272,0.8006834743558898,0.7607939297502692,0.929668952678812,29,-1.7453416138887403,-0.029515624339349,2,5,2001,,,,,,,,,,
Kurt Ainsworth,SFG,0,0,0,2,0,2.0,13.5,9.0,4.5,0.4,0.65217391,,,,13.5,,11.04913682937622,,-0.073069266974926,Kurt Ainsworth,1431,215128,1.5,0.25,0.16666667,0.08333333,0.3333333333333333,2.5,323.1118144972734,264.5099819127631,,2.45086317062378,,0,0,0,,,12,3,3,3,1,2,0,1,0,0,3,-0.0003000000142492,-0.0016000000759959,0.001300000003539,-2.044000148773194,-0.2162960171699524,0.0100000007078051,0.007999999448657,0.007999999448657,,0,-0.0695705413818359,0.0395705420803278,0,0,2001,,,,,,,,,,
Carlos Castillo,BOS,0,0,0,2,0,3.0,0.0,0.0,3.0,0.1818181818181818,0.625,,,,6.0,,7.382470162709554,,-0.0732220262289047,Carlos Castillo,1002060,112111,0.0,0.0,0.0,0.0,0.25,1.0,131.72445420221322,170.65276140926804,,-1.382470162709554,,0,0,0,,,12,3,2,2,1,0,0,0,0,0,0,0.0338599979877471,-0.1396999955177307,0.1735600084066391,0.6820000410079956,0.0617396980524063,0.7912856936454773,0.6753333210945129,0.574999988079071,0.5580000281333923,1,0.0559661015868186,-0.0131749854834134,0,0,2001,,,,,,,,,,
Gus Gandarillas,MIL,0,0,0,16,0,19.2,3.2033899340674816,4.576271334382117,0.9152542668764232,0.3194444444444444,0.68322981,,,,5.49152560125854,,5.184730118754542,,-0.0734108015894889,Gus Gandarillas,1004475,282861,0.7,0.07692308,0.10989011,-0.03296703,0.3086419753086419,1.779661074481934,125.63092995881212,116.4943000636136,,0.3067954825039978,,0,0,0,,,91,25,13,12,2,10,3,0,1,0,7,-0.0397899895906448,-0.3858399987220764,0.3460499942302704,-3.4769997596740723,-0.3541682362556457,0.234399989247322,0.2816380858421325,0.272112488746643,0.3570599853992462,10,-0.1240716427564621,-0.0456808803490798,1,1,2001,,,,,,,,,,
Juan Rincon,MIN,0,0,0,4,0,5.2,6.3529456313537365,7.941182039192171,1.588236407838434,0.3333333333333333,0.66037736,,,,6.3529456313537365,,6.578551069017186,,-0.0756004825234413,Juan Rincon,752,346799,0.8,0.14285714,0.17857143,-0.03571429,0.3043478260869565,2.117648543784579,138.56996421402147,150.6343300386638,,-0.2256054376634493,,0,0,0,,,28,7,5,4,1,5,0,0,0,0,4,-0.1476039886474609,-0.2762080132961273,0.1286040097475052,-0.9179999232292176,-0.0912131965160369,0.3705241680145263,0.26460000872612,0.1983000040054321,1.0425333976745603,3,-0.3181693851947784,-0.0801959614934141,0,1,2001,,,,,,,,,,
Terry Mulholland,- - -,1,1,0,41,4,65.2,5.756345714093005,2.3299494557043117,1.6446702040265728,0.3113207547169811,0.77306733,,,,4.659898911408623,,5.0136040175190715,,-0.0759646417573094,Terry Mulholland,665,119488,2.47058824,0.14736842,0.05964912,0.0877193,0.2932330827067669,1.4467006424307818,110.69982648158378,114.80330694864269,,-0.3537051061104481,,1,0,0,,,285,78,35,34,12,17,1,2,1,0,42,-0.0850179977715015,-3.489481985569,3.4044640362262726,-5.013599753379822,-0.4887226484715938,0.6905491173475046,0.7798309608911856,0.908029284419083,0.8702909043340972,33,-0.8783995313569903,0.7552830206907143,7,7,2001,,,,,,,,,,
