Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Dean Chance,1002130,112185,LAA,7.56346607208252,,9.36,1.649101916949932,,2.3928746579604603,,,,0.18938701,0.07868253,0.11070448,278.1,46,35,,,,,6.69341366291443,2.7808385266214537,2.40697674,0.2263473219343043,0.236409608091024,0.83027186,,4,0.1930348258706467,1.005988097485797,47.945175465294206,65.35217272057466,,,,,,207,86,2,7,,15,11,51
Don Drysdale,1003516,113581,LAD,6.85996150970459,,7.83,2.1846474412243753,,2.464809218716665,,,,0.1875,0.05379747,0.13370253,321.1,40,40,,,,,6.637967225258679,1.904564435939199,3.48529412,0.4201245079277645,0.2430406852248394,0.76588629,,0,0.2040472175379426,0.9647303515378296,66.862882627989,79.90480703638045,,,,,,237,68,10,15,,21,5,78
Whitey Ford,1004227,114299,NYY,6.797986030578613,,6.7,2.133514675907421,,2.453624585327501,,,,0.17269076,0.05722892,0.11546185,244.2,39,36,,,,,6.326974556139249,2.096729940115914,3.01754386,0.3678473579150726,0.2675496688741722,0.79377432,,1,0.2262540021344717,1.0994548808794948,60.531451714227735,65.49822706939128,,,,,,172,57,2,10,,12,8,58
Bob Veale,1013391,123684,PIT,6.484047889709473,,5.79,2.7353990858694748,,2.551215445165734,,,,0.21533161,0.10680448,0.10852713,279.2,40,38,,,,,8.045291429027866,3.990464548797822,2.01612903,0.2574493257288917,0.2757731958762887,0.73712256,,0,0.2147001934235976,1.2371870375305076,77.6637253126061,76.57859323597796,,,,,,250,124,3,8,,14,1,85
Juan Marichal,1008106,118283,SFG,6.38043737411499,,6.31,2.475836431226766,,2.53421875109903,,,,0.18916437,0.04775023,0.14141414,269.0,33,33,,,,,6.892193308550186,1.7397769516728625,3.96153846,0.6022304832713755,0.2746305418719212,0.76264881,,0,0.2326254826254826,1.0892193308550189,70.17119183663647,75.96286450800935,,,,,,206,52,1,18,,22,4,74
Sandy Koufax,1007124,117277,LAD,6.097883224487305,,7.3,1.7354260089686098,,2.0757027392964726,,,,0.25632184,0.06091954,0.1954023,223.0,29,28,,,,,9.0,2.1390134529147984,4.20754717,0.5246636771300448,0.2426850258175559,0.83686441,,1,0.1884944920440636,0.9282511210762332,53.1141013225438,67.99589195364226,,,,,,223,53,0,13,,15,7,43
Larry Jackson,1006304,116434,CHC,5.925319194793701,,6.0,3.1444566719793903,,2.947515871510854,,,,0.12333333,0.04833333,0.075,297.2,40,38,,,,,4.474803725509132,1.75363929783466,2.55172414,0.5139977252274004,0.2540983606557377,0.69953364,,0,0.2322524101665206,1.0851063088134008,85.10164920034484,83.72201549508885,,,,,,148,58,1,17,,19,3,104
Jim O'Toole,1009897,120115,CIN,5.857803821563721,,5.38,2.659090909090909,,2.454850721359253,,,,0.16328829,0.05743243,0.10585586,220.0,30,30,,,,,5.931818181818182,2.0863636363636364,2.84313725,0.3272727272727272,0.2719298245614035,0.74422583,,0,0.2317801672640382,1.1136363636363635,72.11156206493901,70.53118086398416,,,,,,145,51,0,8,,9,3,65
Bob Gibson,1004662,114756,STL,5.842152118682861,,6.01,3.0069607697567524,,3.0224841616032463,,,,0.20570949,0.07220823,0.13350126,287.1,40,36,,,,,7.674014464483378,2.6937356895737574,2.84883721,0.7830627004574876,0.2723970944309927,0.77096774,,1,0.2281021897810219,1.1693736326831814,78.65974867124635,82.8841363998435,,,,,,245,86,9,25,,17,2,96
Jim Bunning,1001653,111691,PHI,5.617939472198486,,5.48,2.6271983122525904,,2.7490476836114035,,,,0.19126638,0.04017467,0.1510917,284.1,41,39,,,,,6.932005185341172,1.456037618838785,4.76086957,0.7280188094193925,0.2669039145907473,0.7577955,,2,0.2285714285714285,1.0339977293202969,75.69690691892956,83.41336055416164,,,,,,219,46,14,23,,13,5,83
