fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,2.04,4.423492940499002,,4.058671017933868,3.3238997227358533,,0.21238938,0.05088496,0.16150443,215.2,33,33,,,,0.422955974,1.4605872916741989,0.3003194888178914,0.72,0.162790697,0,0.2614302461899179,1.2472951792392364,99.51460787539472,92.0858186615791,3.4287351700130952,,,1.4862362146377563,1.6716189022228254,192,46,5,35,20,3,1
,2.43,3.901140797579248,,3.64170418791312,3.8522511360024674,,0.16531165,0.05555556,0.1097561,175.1,29,29,,,,0.46594982,0.8726235994585161,0.3027027027027027,0.73586745,0.09090909,0,0.2665706051873199,1.2889734214223831,93.8502880465344,85.42912771453057,3.965906880478293,,,0.4340460002422333,-0.5243223828453142,122,41,3,17,16,1,0
,2.29,4.002353228569711,,3.4859135524710183,4.028627070174652,,0.20627063,0.09405941,0.11221122,141.2,24,24,,,,0.399509803,0.6352941632650335,0.3154034229828851,0.72192513,0.066666666,0,0.2555147058823529,1.3835295111105177,92.23689728662464,78.52178182113607,4.052706158298723,,,0.7521559596061707,-0.3659497551838918,125,57,5,10,14,0,0
,3.98,2.859375,,3.7283644994099943,3.767794202206036,,0.18272841,0.06508135,0.11764706,192.0,30,30,,,,0.460481099,0.9375,0.2807625649913345,0.79047619,0.103092783,0,0.2449528936742934,1.21875,66.93310872018289,88.50404861441841,3.87783365872251,,,2.231879949569702,0.4212837453761082,146,52,4,20,20,1,0
,2.84,3.719814329349632,,4.0602788686663205,3.367298398602896,,0.22983425,0.07513812,0.15469613,215.1,34,34,,,,0.462562396,1.2956656652790852,0.2759795570698466,0.77865267,0.16847826,0,0.2336561743341404,1.2120743320352734,85.81325334113802,92.7279211962113,3.432263482123111,,,1.628119945526123,0.6457154275574699,208,68,11,31,21,2,0
,2.93,4.263158158099721,,3.8034320241890023,4.372276154202662,,0.19571429,0.06428571,0.13142857,164.2,31,31,,,,0.327345309,1.0384616026140343,0.290650406504065,0.69370331,0.076923076,0,0.25,1.2570850979011998,93.44333991955212,86.52151285116253,4.03572182078009,,,0.4994980096817016,-0.642069336319912,137,45,7,19,10,0,0
,2.86,4.239999712456616,,4.060031095547151,3.5736778082493834,,0.14529915,0.03846154,0.10683761,225.0,35,35,,,,0.515775034,1.1599999213324703,0.2884615384615384,0.70422535,0.149484536,0,0.2676371780515117,1.2222221393349786,97.431731505066,93.66053516762236,3.7591241959064585,,,-0.159154012799263,-0.8660682571293624,136,36,7,29,18,3,0
,2.49,3.7438823584759833,,3.9352024092596785,4.47949960670815,,0.12114014,0.03325416,0.08788599,204.1,31,31,,,,0.377941176,0.9690048457231956,0.2840409956076135,0.70844687,0.076388888,0,0.2676579925650557,1.1941271836184837,87.83558617887162,92.61317136235438,4.542486822967514,,,0.0677780136466026,-0.5723753792070891,102,28,7,22,22,2,1
,3.6,3.605863102571491,,4.207327553508737,4.195280258686247,,0.17969662,0.08751459,0.09218203,204.2,32,32,,,,0.444810543,1.011400626331028,0.2583892617449664,0.74300699,0.106976744,0,0.2289780077619663,1.2312703277073385,80.65299819120393,92.47294679510826,4.236664964164557,,,2.360720157623291,-0.0020911978660271,154,75,9,23,18,1,0
,1.4,4.571428940499841,,3.8983381152930647,3.869610615285093,,0.18102372,0.07116105,0.10986267,189.0,29,29,,,,0.475298126,1.00000008073434,0.3101045296167247,0.68950564,0.108247422,0,0.2689189189189189,1.3544974638518046,106.5846167030287,90.37689514677903,3.942616908127259,,,-0.5148059725761414,-0.653112149385093,145,57,4,21,17,4,0
