fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,11.32,88.89718394237673,0.1600343585014343,2.6578183649107814,,,,,217.48459692413684,0.4984870913624764,,,,,1.176595485,0.664556962,0.512038523,0.364978902,0.29957806,0.377717391,144,623,474,121,94,34,68,315,173,105,28,6,16,146,23,75,0.120385232,0.234349919,,,,,,,,,1.0,,,,,,,
,9.67,78.96510648658787,-3.4247841835021973,0.1283333173487335,,,,,222.54613605808711,0.5242613218216403,,,,,1.256593405,0.73095238,0.525641025,0.388095238,0.342857142,0.366568914,132,546,420,96,87,38,67,307,163,96,28,1,0,119,33,43,0.078754578,0.217948717,,,,,,,,,2.0,,,,,,,
,8.29,57.14659653710164,3.0715569853782654,0.6356533206999302,,,,,169.83566516705042,0.4392203119045742,,,,,1.032826653,0.625641025,0.407185628,0.333333333,0.292307692,0.323886639,152,668,585,112,97,35,81,366,195,114,26,20,38,76,15,62,0.092814371,0.113772455,,,,,,,,,4.0,,,,,,,
,7.96,52.222208151247706,-0.5070867538452148,0.2615094187203794,,,,,163.54661040681182,0.4189486782659183,,,,,0.977777777,0.6,0.377777777,0.321951219,0.278048781,0.298449612,151,675,615,118,132,44,77,369,198,121,27,6,1,57,15,58,0.085925925,0.084444444,,,,,,,,,4.0,,,,,,,
,7.36,44.63967812667338,4.828532099723816,0.7171960093546659,,,,,154.4419692520684,0.4047636748807383,,,,,0.927257982,0.54020979,0.387048192,0.291958041,0.248251749,0.291576673,148,666,572,109,94,32,69,309,167,98,28,9,3,90,5,79,0.118618618,0.135135135,,,,,,,,,3.0,,,,,,,
,7.89,25.409142692112272,19.775959968566895,-0.6746411481872201,,,,,130.8325591381326,0.3705519961740732,,,,,0.817710327,0.415185783,0.402524544,0.316639741,0.098546042,0.31509121,155,718,619,110,61,6,41,257,196,155,27,8,5,75,2,13,0.018105849,0.104456824,,,,,,,,,15.0,,,,,,,
,6.84,31.93128731521943,11.693190097808838,1.7304284393321725,,,,,136.8257673952353,0.3959470227740515,,,,,0.905129666,0.528641571,0.376488095,0.322422258,0.206219313,0.339393939,150,677,611,97,75,29,63,323,197,134,29,5,10,44,5,92,0.135893648,0.064992614,,,,,,,,,18.0,,,,,,,
,5.81,17.345393864096998,22.80361032485962,-1.0855609418358654,,,,,125.06840309368968,0.358440531898808,,,,,0.803541912,0.441558441,0.361983471,0.28942486,0.152133581,0.312227074,141,624,539,87,62,13,47,238,156,109,25,9,2,59,1,71,0.113782051,0.094551282,,,,,,,,,15.0,,,,,,,
,6.66,37.79015537092325,-0.1746711730957031,0.4427357530221343,,,,,145.74270942477995,0.4023906604785602,,,,,0.939243626,0.579124579,0.360119047,0.284511784,0.294612795,0.267515923,156,674,594,113,102,43,83,344,169,86,34,6,8,70,11,85,0.126112759,0.103857566,,,,,,,,,-7.0,,,,,,,
,6.07,47.28849790736675,-6.615431308746338,0.2392347848508507,,,,,167.08036895715662,0.4390543402840711,,,,,1.033699112,0.611553784,0.422145328,0.350597609,0.260956175,0.32885906,134,579,502,82,102,29,70,307,176,106,38,3,1,66,19,34,0.058721934,0.113989637,,,,,,,,,1.0,,,,,,,
