Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Urban Shocker,1011918,122176.0,SLB,6.797895431518555,,7.08,2.9741379310344827,,3.64185261890806,,,,0.10340042,0.03955586,0.06384455,348.0,48,38,,,,,0.5689655172413793,0.2837055417700579,0.72115385,,3,0.2644927536231884,1.2126436781609196,70.20435422410223,81.13774125383533,,,,,,149,57,4,22,,29,2
Red Faber,1003889,113965.0,CHW,6.679292678833008,,9.58,2.8125,,3.437405126745051,,,,0.1010929,0.05669399,0.04439891,352.0,43,38,,,,,0.2556818181818182,0.2662284305669679,0.72127139,,2,0.2429090909090909,1.1846590909090908,70.71858543566103,81.28859509697367,,,,,,148,83,6,10,,31,4
Wilbur Cooper,1002602,112649.0,PIT,5.297653675079346,,6.5,3.176470368918139,,3.5407447748298844,,,,0.10311751,0.04876099,0.05435651,294.2,41,37,,,,,0.3970587961147673,0.3045148895292987,0.70563454,,0,0.2789518174133559,1.3269229853066158,77.33536864277679,84.30560474186835,,,,,,129,61,7,13,,27,4
Eppa Rixey,1011008,121255.0,CIN,4.502100944519043,,3.88,3.532978952804173,,3.648345681316125,,,,0.06139678,0.03453569,0.02686109,313.1,40,38,,,,,0.3734042795646686,0.2790697674418604,0.65252855,,0,0.2687400318979266,1.2191490153307984,90.36211934680078,91.3183718553392,,,,,,80,45,4,13,,26,2
Stan Coveleski,1002682,112743.0,CLE,4.337260723114014,,6.57,3.318072045157776,,3.815533500621001,,,,0.08426483,0.05503009,0.02923474,276.2,35,33,,,,,0.4554216532569496,0.282233502538071,0.70330969,,2,0.2661804922515952,1.2867468933291597,82.0864602116684,89.33328743961621,,,,,,98,64,2,14,,21,3
Grover Alexander,1000128,110127.0,CHC,4.283000946044922,,4.36,3.62686514600951,,3.634869439175053,,,,0.04733728,0.03353057,0.01380671,245.2,33,31,,,,,0.2930800117987482,0.2985884907709012,0.67681347,,1,0.2896622313203685,1.2903661630583776,87.57350316924669,85.88390515020629,,,,,,48,34,3,8,,20,1
Bullet Rogan,1016287,,KCM,4.2499566078186035,,0.0,2.8347671208506116,,2.9077883273610854,,,,0.1495564,0.05703422,0.09252218,193.2,26,21,,,,,0.1394147764352759,0.2621359223300971,0.60721063,,2,0.2232746955345061,1.0843371500521464,62.90127133879119,78.57612780468504,,,,,,118,45,5,3,,20,2
Lee Meadows,1008705,118890.0,PHI,4.17376184463501,,4.36,4.025316455696203,,4.104059806453528,,,,0.06037001,0.0691334,-0.00876339,237.0,33,33,,,,,0.3037974683544304,0.2925714285714286,0.65412186,,0,0.2793650793650793,1.4135021097046414,87.98233120488165,87.99903432419885,,,,,,62,71,11,8,,19,2
Bob Shawkey,1011825,122083.0,NYY,4.090909957885742,,7.26,2.913236732135863,,3.9580372136913873,,,,0.103751,0.07821229,0.02553871,299.2,39,34,,,,,0.4805338939605547,0.267591674925669,0.75221239,,1,0.2476190476190476,1.281423717228146,72.5072393623102,93.42057795679752,,,,,,130,98,0,16,,22,3
George Uhle,1013266,123550.0,CLE,4.082479476928711,,4.63,4.071926042378935,,3.91613461567722,,,,0.06492478,0.07046714,-0.00554236,287.1,50,40,,,,,0.187935048109797,0.3000931966449208,0.67125237,,3,0.2825150732127476,1.451276204847877,100.7362078078992,91.82207891729468,,,,,,82,89,13,6,,23,5
Johnny Morrison,1009217,119409.0,PIT,4.026125431060791,,6.27,3.4260770769629216,,3.852452403843097,,,,0.08448416,0.07067425,0.01380991,286.1,45,33,,,,,0.3143189978865066,0.2978515625,0.70558376,,1,0.2768014059753954,1.4039581905597294,83.41237379013717,91.89453887277696,,,,,,104,87,6,10,,20,5
Jack Quinn,1010605,120843.0,BOS,3.839988470077514,,5.22,3.48046875,,3.8106295585632326,,,,0.06129918,0.05397987,0.00731931,256.0,40,32,,,,,0.31640625,0.2659685863874345,0.65941101,,0,0.2550921435499515,1.2578125,86.69552012841321,89.82481269825111,,,,,,67,59,3,9,,16,4
Babe Adams,1000041,110044.0,PIT,3.8320462703704834,,4.06,3.5719851780723317,,3.1037806918564046,,,,0.05516266,0.02121641,0.03394625,171.1,27,19,,,,,0.0525291937951813,0.2932098765432099,0.63758389,,0,0.2776162790697674,1.2023348802008176,86.9646993202843,73.66713672054811,,,,,,39,15,4,1,,12,4
Elam Vangilder,1013355,123644.0,SLB,3.804750680923462,,3.93,3.416326530612245,,3.987208002440783,,,,0.06318957,0.04814443,0.01504514,245.0,43,30,,,,,0.4775510204081633,0.2710495963091119,0.68005638,,4,0.2629904559915164,1.2081632653061225,80.64219059836184,89.28983515161188,,,,,,63,48,6,13,,19,3
Dazzy Vance,1013342,123630.0,BRO,3.6777923107147217,,3.75,3.700135148959197,,3.7814094450744262,,,,0.1253508,0.08793265,0.03741815,245.2,36,30,,,,,0.3297150132735917,0.3033980582524271,0.68599311,,0,0.2678386763185109,1.4369061689577518,90.36753256996766,90.44800892191162,,,,,,134,94,8,9,,16,5
Pete Donohue,1003390,113455.0,CIN,3.653654575347901,,3.0,3.12396694214876,,3.5760931432739764,,,,0.06580259,0.04287139,0.02293121,242.0,33,30,,,,,0.2603305785123967,0.2834467120181406,0.66056911,,1,0.269109947643979,1.2396694214876034,79.90092141303322,89.47038675469439,,,,,,66,43,5,7,,18,2
Rube Curry,1014955,,KCM,3.495628833770752,,0.0,3.7421052631578946,,3.208368045405338,,,,0.13080685,0.05745721,0.07334963,190.0,25,21,,,,,0.2842105263157894,0.3018292682926829,0.6050695,,2,0.2652795838751625,1.3210526315789477,83.03439700739274,85.24575730072831,,,,,,107,47,2,6,,17,1
