Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,PB,WP,FP,TZ,Pos,Year,bWAR,TB,XBH,BatSpd,Squared-Up%,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,FRV,OAA,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,DRS
George Bell,CHC,149,603,25,63,86,2,0.053067993,0.102819237,0.182795699,0.279166666,0.284946236,0.323383084,0.467741935,0.3464932239035665,,113.92119647306922,-1.987464920282946,7.5309799707096,-11.128239631652832,1.6784691873919908,George Bell,1000808,110823,558,159,107,27,0,32,6,62,4,9,0,10,6,0.516129032,0.791125019,1.6625230868654373,,,,-1.987464920282946,81.217719840722,13.211866686956787,0.2870116829872131,-12.163158416748049,12.450169563293455,-0.9919999837875366,-0.004052173346281,1.106373310089111,2.259000062942505,4,0.1260242313146591,0.1333924414936321,145.0,1191.1,249.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96226415,-5.0,LF,1991,1.45,261,52,,,,,,,,,,,,,,,,,,
Gregg Jefferies,NYM,136,539,9,59,62,26,0.087198515,0.070500927,0.102880658,0.278280542,0.271604938,0.336431226,0.374485596,0.3228633688456976,,104.44889298730324,3.2059396963304607,5.92496249741549,-7.709991097450256,1.6761223768757534,Gregg Jefferies,1006379,116513,486,132,102,19,2,47,2,38,2,3,1,12,5,1.236842105,0.710916822,5.4399857717047855,,,,3.2059396963304607,62.775080462856806,1.987095637186084,0.6551957726478577,-9.23976230621338,9.89495849609375,7.150000095367432,0.811034619808197,1.0316903591156006,1.1703499555587769,12,0.1231477409601211,0.5119224299092794,123.0,1049.3000000000002,170.0,271.0,17.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89768191,-9.0,2B,1991,1.25,182,30,,,,,,,,,,,,,,,,,,
Brian Harper,MIN,123,469,10,54,69,1,0.029850746,0.046908315,0.136054422,0.306024096,0.310657596,0.336188436,0.446712018,0.3459057342903367,,109.73377469063128,-0.6047910687484546,4.7850428629874315,-4.437929153442383,1.6646103332857063,Brian Harper,1005376,115488,441,137,98,28,1,14,3,22,6,6,2,14,2,0.636363636,0.782900454,2.4098668091218665,,,,-0.6047910687484546,62.95684399168863,10.063402649871245,1.4904340505599976,-8.61905574798584,10.109490394592283,14.080000877380373,1.502117156982422,1.0584924221038818,5.985199928283691,1,0.6794918179512024,0.7285806627167077,114.0,992.0,643.0,33.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,36.0,1.9882869699999999,-11.0,C,1991,2.02,197,39,,,,,,,,,,,,,,,,,,
Mark Grace,CHC,160,703,8,87,58,3,0.099573257,0.07539118,0.100161551,0.284955752,0.273021001,0.346208869,0.373182552,0.3245830598766404,,99.01913159046772,-1.0049249306612182,-1.786801497739844,-4.631892204284668,1.662603685737178,Mark Grace,56,115007,619,169,128,28,5,70,7,53,3,7,4,6,4,1.320754716,0.719391421,3.5768221574373635,,,,-1.0049249306612182,82.8078254058232,3.524052989410365,0.2825082838535309,-11.861200332641602,12.14370822906494,4.008000373840332,0.3874556124210357,1.0533310174942017,2.2439000606536865,4,0.2661978900432586,0.0020067665760798,155.0,1404.1,1520.0,167.0,8.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99528024,5.0,1B,1991,2.14,231,41,,,,,,,,,,,,,,,,,,
Luis Rivera,BOS,129,468,8,64,40,4,0.074786324,0.183760683,0.125603865,0.305555555,0.258454106,0.317982456,0.384057971,0.3173322299854797,,90.24997854716136,-0.7943168522324413,-6.1816356566390755,6.812777519226074,1.6307872388781737,Luis Rivera,1011003,121248,414,107,74,22,3,35,0,86,3,4,12,10,4,0.406976744,0.702040427,4.55961725043249,,,,-0.7943168522324413,52.509672061062346,-0.2709900881285576,-0.5554879903793335,-7.535258293151856,6.979769706726074,-10.961999893188477,-1.1888885498046875,0.906165361404419,,0,-0.6834344863891602,0.0704249695406996,128.0,1103.2,180.0,386.0,24.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95932203,0.0,SS,1991,1.83,159,33,,,,,,,,,,,,,,,,,,
Luis Polonia,CAL,150,662,2,92,50,48,0.078549848,0.111782477,0.082781457,0.333333333,0.296357615,0.351515151,0.379139072,0.3299880214944118,,103.35937284334948,0.4914106894575525,3.117064405652523,-8.851868152618408,1.618611832958378,Luis Polonia,1010427,120658,604,179,141,28,8,52,4,74,1,3,2,11,23,0.702702702,0.730654223,7.006382946265526,,,,0.4914106894575525,80.73780700789725,6.077981489169939,0.7737160325050354,-11.414356231689451,12.188072204589844,6.389599800109863,0.5850481986999512,0.9875591993331908,1.2018799781799316,5,0.7417553067207336,0.0417076320351967,141.0,1254.2,246.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98069498,-2.0,LF,1991,2.34,229,38,,,,,,,,,,,,,,,,,,
Ron Karkovice,CHW,75,193,5,25,22,0,0.077720207,0.21761658,0.16766467,0.297520661,0.245508982,0.309782608,0.413173652,0.3226862820119806,,100.97897409637572,-0.0049159374029841,0.2181584770450066,9.117852926254272,1.5969997464914385,Ron Karkovice,1006700,116843,167,41,23,13,0,15,1,42,1,1,9,2,0,0.357142857,0.72295626,1.9688375275,,,,-0.0049159374029841,22.4515462598364,0.6851620829264797,-0.2680239081382751,-3.0697181224823,2.801693916320801,-3.260000228881836,-0.3795711100101471,0.9850867390632628,1.334399938583374,4,-0.2295011579990387,-0.0425803730071994,49.0,456.1,309.0,28.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,11.0,0.98826979,6.0,C,1991,1.8,69,18,,,,,,,,,,,,,,,,,,
Terry Steinbach,OAK,129,494,6,50,67,2,0.044534412,0.141700404,0.111842105,0.305912596,0.274122807,0.31174089,0.385964912,0.309302383539628,,94.3702886223114,-0.4044029654469341,-3.6878826320019265,2.9659323692321777,1.5914279575321983,Terry Steinbach,1012473,122722,456,125,87,31,1,22,4,70,7,9,0,15,2,0.314285714,0.697705802,2.7986934255821625,,,,-0.4044029654469341,52.3676812441706,-3.345239913308685,0.6364019513130188,-9.311605453491213,9.948007583618164,-1.7700001001358032,-0.1382165700197219,1.0705070495605469,1.9993000030517576,8,-0.1784843504428863,0.7729708151273251,114.0,997.1,639.0,53.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,38.0,1.94169113,-3.0,C,1991,1.71,176,38,,,,,,,,,,,,,,,,,,
Kelly Gruber,TOR,113,474,20,58,65,12,0.065400843,0.147679324,0.191142191,0.255813953,0.251748251,0.307855626,0.442890442,0.3302056996607473,,102.66660997996496,-0.377635266224388,1.1146748875206045,-1.2105633020401,1.5851330095849432,Kelly Gruber,1005107,115209,429,108,68,18,2,31,5,70,6,5,3,7,7,0.442857142,0.750746068,4.864457003946108,,,,-0.377635266224388,57.888818579219155,4.431481274269399,0.7550477981567383,-9.05202579498291,9.807073593139648,7.657999992370605,0.8541247844696045,1.101903200149536,2.5195999145507812,1,0.8678179383277893,-0.1825964070224324,109.0,977.1,97.0,231.0,13.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96187683,-2.0,3B,1991,1.93,190,40,,,,,,,,,,,,,,,,,,
Jim Gantner,MIL,140,567,2,63,47,4,0.047619047,0.059964726,0.077946769,0.29757085,0.283269961,0.319642857,0.36121673,0.3044706049266162,,88.77114345631266,-1.5879823814175325,-9.104900931982291,6.4119789600372314,1.583530160542962,Jim Gantner,1004483,114569,526,149,116,27,4,27,5,34,3,4,7,13,6,0.794117647,0.680859587,3.817407341279355,,,,-1.5879823814175325,57.99340264187861,-5.952399577333446,-1.9540516138076784,-10.503355979919434,8.549304008483887,-21.94499969482422,-2.1545727252960205,1.0352437496185305,1.8955999612808228,4,-1.811103343963623,-0.0764247039262706,136.0,1220.1,160.0,345.0,12.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9534275,5.0,3B,1991,1.64,190,33,,,,,,,,,,,,,,,,,,
