Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Van Mungo,1009321,119518.0,BRO,6.8366570472717285,,6.64,3.3497324016562136,,3.28489443513608,,,,0.18126428,0.08987053,0.09139376,311.2,45,37,,,,,6.872726824087748,3.4074864085813203,2.01694915,0.2310160277004285,0.2822410147991543,0.67307692,,3,0.2307046979865771,1.2609624845315055,83.66537998263064,75.28577486290885,,,,,,238,118,3,8,,22,2,116
Dizzy Dean,1003106,113168.0,STL,6.5876545906066895,,7.33,3.1714285714285713,,3.4756762005033948,,,,0.14965464,0.04067536,0.10897928,315.0,51,34,,,,,5.571428571428571,1.5142857142857142,3.67924528,0.6,0.2803103782735208,0.70707071,,11,0.2485966319165998,1.1523809523809525,76.39338658016995,77.2024829980075,,,,,,195,53,3,21,,28,2,111
Johnny Allen,1000150,110152.0,CLE,6.264062404632568,,7.25,3.4444444444444446,,3.433113002384641,,,,0.16019417,0.09417476,0.06601942,243.0,36,31,,,,,6.111111111111111,3.592592592592593,1.70103093,0.1851851851851851,0.3005249343832021,0.68923077,,1,0.2510729613733906,1.3621399176954732,68.66949846166158,71.93445313713364,,,,,,165,97,1,5,,19,4,93
Lefty Grove,1005099,115201.0,BOS,5.92537784576416,,11.2,2.8065793418092304,,3.8229820364796328,,,,0.12392755,0.06196378,0.06196378,253.1,35,30,,,,,4.618421701711392,2.309210850855696,2.0,0.4973684909535345,0.2667464114832535,0.75418994,,2,0.2418367346938775,1.1921054306981542,53.8682295265036,76.73741376984772,,,,,,130,65,4,14,,22,6,79
Carl Hubbell,1006123,116249.0,NYG,5.905147552490234,,9.7,2.3092105263157894,,3.415745122809159,,,,0.10232945,0.04742097,0.05490849,304.0,42,34,,,,,3.6414473684210527,1.6875,2.15789474,0.2072368421052631,0.2554455445544554,0.77553594,,3,0.2324561403508772,1.0592105263157894,58.82951768061872,80.12432395818408,,,,,,123,57,5,7,,25,3,78
Wes Ferrell,1004010,114087.0,BOS,5.539140701293945,,6.78,4.186046511627907,,4.330382734279696,,,,0.07904549,0.08873975,-0.00969426,301.0,39,38,,,,,3.169435215946844,3.558139534883721,0.8907563,0.3289036544850498,0.2902638762511374,0.6710646,,0,0.2713815789473684,1.4916943521594683,80.34510585103537,86.47623598799393,,,,,,106,119,6,11,,28,3,140
Paul Derringer,1003224,113285.0,CIN,5.150370121002197,,1.67,4.0165292150525245,,3.4519060412327147,,,,0.10024855,0.03479702,0.06545153,282.1,51,37,,,,,3.857143135090123,1.3388430716841748,2.88095238,0.3506493759172839,0.3109815354713314,0.63606195,,5,0.285099052540913,1.321133507243908,103.21891630370146,81.7534024424172,,,,,,121,42,4,11,,13,2,126
Tommy Bridges,1001421,111458.0,DET,4.890899658203125,,6.43,3.6040721493494265,,4.274178612107002,,,,0.13757862,0.09040881,0.04716981,294.2,39,38,,,,,5.345022255391099,3.512443196399865,1.52173913,0.6414026706469319,0.2803347280334728,0.70600632,,0,0.2508680555555556,1.3710406293193675,72.39920097695435,89.37786372669524,,,,,,175,115,5,21,,26,5,118
Schoolboy Rowe,1011259,121507.0,DET,4.752915859222412,,4.18,4.512228915703865,,3.978173708932626,,,,0.10994264,0.06118547,0.04875717,245.1,41,35,,,,,4.218750612243451,2.347826427683312,1.796875,0.5502718189882763,0.2952941176470588,0.63665595,,3,0.2714285714285714,1.3451088908602309,90.64240519742052,83.4316679828187,,,,,,115,64,2,15,,19,4,123
Cy Blanton,1001055,111083.0,PIT,4.7433061599731445,,3.01,3.5134365271916437,,3.470772829306472,,,,0.12802419,0.05544355,0.07258065,235.2,44,32,,,,,4.850069988623247,2.100424010821091,2.30909091,0.3437057472252695,0.2832080200501253,0.63837375,,3,0.2516059957173447,1.2305514406830635,86.42113299109397,78.714247040335,,,,,,127,55,3,9,,15,4,92
Claude Passeau,1010046,120274.0,PHI,4.476448059082031,,4.35,3.4785281772191623,,3.764691757867784,,,,0.08900524,0.05759162,0.03141361,217.1,49,21,,,,,3.519939226947962,2.2776077350839756,1.54545455,0.2898773481015969,0.2985074626865671,0.63470628,,3,0.2756696428571428,1.3895707797886072,76.71933690437015,77.06130443704048,,,,,,85,55,4,7,,8,2,84
Bobo Newsom,1009546,119749.0,WAS,4.0507049560546875,,2.99,4.316219062495794,,4.377948725702218,,,,0.12400636,0.11605723,0.00794913,285.2,43,38,,,,,4.91481878649156,4.599766300177999,1.06849315,0.40956823220763,0.298936170212766,0.66619586,,2,0.2651036970243463,1.54025659975519,88.5704250298161,93.43027306958832,,,,,,156,146,3,13,,24,4,137
Mel Harder,1005339,115451.0,CLE,3.5706369876861572,,1.61,5.167654967410831,,4.346412224506741,,,,0.0814743,0.06886518,0.01260912,224.2,36,30,,,,,3.3649846299419366,2.8442131991175894,1.18309859,0.5207714308243473,0.3278879813302217,0.6122449,,1,0.3081761006289308,1.624628822657152,103.023950758553,90.14226590348694,,,,,,84,71,6,13,,13,0,129
Lon Warneke,1013637,123937.0,CHC,3.489369630813598,,3.15,3.445215489582129,,3.912939349830307,,,,0.11035156,0.07421875,0.03613281,240.1,40,29,,,,,4.231623373073702,2.846047578350454,1.48684211,0.3744799445197966,0.2874543239951279,0.69871795,,1,0.2605932203389831,1.3398060237263836,86.02660078737091,90.94729960200075,,,,,,113,76,4,10,,13,4,92
John Whitehead,1013882,124198.0,CHW,3.4509177207946777,,2.7,4.643062867149395,,4.5536556402837185,,,,0.06763285,0.09468599,-0.02705314,230.2,34,32,,,,,2.7312134512643502,3.8236988317700904,0.71428571,0.3511560151625593,0.287221570926143,0.6387921,,1,0.2725321888412017,1.5260113251508751,91.01739139214308,92.6972306504216,,,,,,70,98,5,9,,15,1,119
Joe Bowman,1001269,111304.0,PHI,3.3823959827423096,,0.67,5.037642327204171,,4.305587959159299,,,,0.08820287,0.0584344,0.02976847,203.2,40,28,,,,,3.5351875980380147,2.342061783700185,1.50943396,0.6186578296566526,0.3041168658698539,0.57515879,,1,0.2868949232585596,1.4533549014156284,111.1057778504066,88.99083203694386,,,,,,80,53,7,14,,12,0,114
Danny MacFayden,1007904,118074.0,BSN,3.3801965713500977,,5.69,2.8687497811317613,,3.711271408271792,,,,0.07719928,0.05924596,0.01795332,266.2,37,31,,,,,2.9024997785568405,2.2274998300552498,1.3030303,0.1687499871253977,0.2762605042016807,0.72891566,,0,0.2569511025886865,1.2524999044418408,78.08306154406569,93.64831868553507,,,,,,86,66,5,5,,21,2,85
Vern Kennedy,1006851,116983.0,CHW,3.3292481899261475,,2.51,4.6257597598225635,,4.848400957026765,,,,0.0815486,0.12108731,-0.03953872,274.1,35,34,,,,,3.24787387391797,4.822600600666076,0.67346939,0.4264884884942789,0.282563025210084,0.64040599,,0,0.2650375939849624,1.5637911244790226,90.6782007033826,98.4750869109536,,,,,,99,147,3,13,,20,1,141
Larry French,1004338,114421.0,CHC,3.2849628925323486,,4.92,3.3883756432200323,,4.0271136792765345,,,,0.0985782,0.05118483,0.04739337,252.1,43,28,,,,,3.709379651525088,1.926024049830334,1.92592593,0.5706737925423212,0.2811428571428571,0.73097463,,3,0.2633165829145729,1.2523119336345383,84.60731691772806,93.79821835850144,,,,,,104,54,6,16,,16,4,95
Bucky Walters,1013583,123898.0,PHI,3.2819395065307617,,4.14,4.255813953488372,,4.751755934722664,,,,0.05694564,0.09922347,-0.04227783,258.0,40,33,,,,,2.302325581395349,4.011627906976744,0.57391304,0.3837209302325581,0.2837837837837837,0.66392177,,0,0.273339749759384,1.5465116279069768,93.86246362420158,98.83111778117232,,,,,,66,115,5,11,,15,4,122
Jim Weaver,1013699,124006.0,PIT,3.1904146671295166,,1.27,4.307237134324136,,4.0449382360919275,,,,0.11111111,0.07613169,0.03497942,225.2,38,31,,,,,4.307237134324136,2.9512550735183893,1.45945946,0.4785819038137928,0.2921492921492921,0.6359354,,0,0.2664437012263099,1.387001258275159,105.94650289787364,92.83717898877514,,,,,,108,74,1,12,,11,1,108
Red Lucas,1007808,117973.0,PIT,3.0976932048797607,,4.15,3.176469944433408,,3.723638528202944,,,,0.07270233,0.03566529,0.03703704,175.2,27,22,,,,,2.7153694686285585,1.3320680412140098,2.03846154,0.3586337034037719,0.2671875,0.69472617,,0,0.2542857142857143,1.1612900872122138,78.13265712516422,84.93406630392232,,,,,,53,26,3,7,,12,0,62
Fritz Ostermueller,1009883,120102.0,BOS,3.0300052165985107,,2.78,4.881917857112392,,4.337756476655088,,,,0.10895884,0.10169492,0.00726392,180.2,43,23,,,,,4.483393950409339,4.18450102038205,1.07142857,0.3985239067030524,0.3151326053042121,0.63680896,,2,0.2841677943166441,1.6273059523707971,93.70134944659702,86.6177643035593,,,,,,90,84,3,8,,7,1,98
Red Ruffing,1011296,121547.0,NYY,3.01692271232605,,3.81,3.85239852398524,,4.645874759631843,,,,0.08861859,0.07819288,0.01042572,271.0,33,33,,,,,3.3874538745387452,2.988929889298893,1.13333333,0.7306273062730627,0.2698072805139186,0.69601428,,0,0.2589792060491493,1.3431734317343174,79.88175528250146,99.96576990562129,,,,,,102,90,3,22,,25,3,116
Pete Appleton,1000283,110296.0,WAS,2.991291761398315,,3.76,3.52561921226982,,4.191457234058208,,,,0.08870968,0.08870968,0.0,201.2,38,20,,,,,3.4363630296807104,3.4363630296807104,1.0,0.3123966390618827,0.2727272727272727,0.6872214,,3,0.2525380710659898,1.3685947996996768,72.34702122451128,89.60339810328313,,,,,,77,77,3,7,,12,1,79
Ed Brandt,1001348,111387.0,BRO,2.981640100479126,,5.16,3.5,,4.087275712102906,,,,0.10337972,0.06461233,0.0387674,234.0,38,29,,,,,4.0,2.5,1.6,0.5384615384615384,0.2832722832722832,0.71090047,,2,0.2625400213447171,1.329059829059829,87.41857403129379,95.32663973772274,,,,,,104,65,4,14,,12,1,91
Bill Swift,1012787,123054.0,PIT,2.9486896991729736,,2.89,4.013977439636265,,4.282005312926849,,,,0.08192342,0.05609973,0.02582369,262.1,45,31,,,,,3.1562899525344985,2.16137246749645,1.46031746,0.6175349907132714,0.2719576719576719,0.66393958,,2,0.2606635071090047,1.2884372028462083,98.73309947378904,98.66839444304628,,,,,,92,63,5,18,,17,0,117
Elden Auker,1000366,110380.0,DET,2.8926358222961426,,0.67,4.890093687799314,,4.562997651341288,,,,0.06804124,0.08556701,-0.01752577,215.1,35,31,,,,,2.758514387989357,3.469040821259342,0.79518072,0.459752397998226,0.312267657992565,0.6264988,,0,0.2975113122171945,1.6068114111857197,98.23301560792176,95.1797086401686,,,,,,66,83,3,11,,14,2,117
Harry Kelley,1006773,116925.0,PHA,2.852570056915283,,6.23,3.862606816672689,,4.758530863976756,,,,0.08183633,0.0748503,0.00698603,235.1,35,27,,,,,3.1359778115560446,2.8682723886183337,1.09333333,0.8031162688131334,0.278588807785888,0.72244624,,3,0.2702702702702703,1.3810200389643827,76.26038600541075,97.4058887594243,,,,,,82,75,2,21,,20,1,101
