Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Curt Simmons,1011980,122241,STL,3.8500607013702393,,3.2,3.127767744324297,,3.5347046044468846,,,,0.11785714,0.07619048,0.04166667,195.2,30,29,,,,,0.6439521826550023,0.2867981790591806,0.71599045,,0,0.2629533678756476,1.3645653394356,72.57966685913803,84.16619895442497,,,,,,99,64,4,14,,6,2
Jim Kaat,1006660,116803,MIN,3.7975380420684814,,2.14,3.9019926631598327,,3.5257141357171067,,,,0.14104046,0.09479769,0.04624278,200.2,36,29,,,,,0.53820588457377,0.2758620689655172,0.666162,,0,0.2435233160621761,1.345514711434425,94.86489841529384,84.00027417754524,,,,,,122,82,11,12,,8,1
Bob Purkey,1010572,120807,CIN,3.649591207504273,,2.7,3.7266581841001862,,3.751153808683924,,,,0.11251212,0.04946654,0.06304559,246.1,36,34,,,,,0.9864683428500496,0.2623345367027677,0.69644209,,1,0.2515400410677618,1.201623989644505,90.72245498166504,93.5676062037757,,,,,,116,51,6,27,,13,1
Joey Jay,1006373,116507,CIN,3.5688624382019043,,4.46,3.5296501037834296,,3.794911496600355,,,,0.15213178,0.08914729,0.0629845,247.1,34,34,,,,,0.9097036349957291,0.2549800796812749,0.75985663,,0,0.2320855614973262,1.249326325394135,85.92645389580834,94.63285143851104,,,,,,157,92,5,25,,14,4
Don Drysdale,1003516,113581,LAD,3.5430684089660645,,5.35,3.6885245901639343,,3.893559193220295,,,,0.17382999,0.07927412,0.09455587,244.0,40,37,,,,,1.069672131147541,0.2824010914051841,0.76407507,,0,0.25,1.3073770491803278,87.34797256712693,94.39096143830854,,,,,,182,83,20,29,,10,3
Steve Barber,1000530,110550,BAL,3.539135217666626,,3.55,3.334228665951736,,3.6410013090259064,,,,0.14423077,0.125,0.01923077,248.1,37,34,,,,,0.471141007145354,0.2429530201342281,0.72774529,,1,0.2136563876651982,1.304698173633288,87.27702488579506,93.45893308290128,,,,,,150,130,2,13,,14,8
Bennie Daniels,1002968,113034,WAS,3.491910934448242,,3.63,3.438679245283019,,3.569170080940679,,,,0.12557078,0.0913242,0.03424658,212.0,32,28,,,,,0.5943396226415094,0.2541106128550074,0.71544058,,0,0.23203026481715,1.2452830188679245,87.41231130893613,88.93459501703309,,,,,,110,80,3,14,,12,1
Dick Donovan,1003395,113462,WAS,3.398793458938598,,4.26,2.4011852638848694,,3.285349362483086,,,,0.0923994,0.05216095,0.04023845,168.2,23,22,,,,,0.5335967253077487,0.2281639928698752,0.71604938,,0,0.2180094786729857,1.0256914830915616,61.03888697529827,81.71978280918523,,,,,,62,35,3,10,,11,2
Pedro Ramos,1010681,120913,MIN,3.238948106765747,,3.57,3.949558942070551,,4.117392855525614,,,,0.15494212,0.07034728,0.08459484,264.1,42,34,,,,,1.327868954661651,0.2732769044740024,0.72937969,,2,0.2548076923076923,1.3013872376171165,96.02132555557571,98.38511456411617,,,,,,174,79,4,39,,9,3
Warren Spahn,1012299,122557,MIL,3.224343776702881,,4.02,3.015228192849081,,3.6627194650460337,,,,0.10808271,0.06015038,0.04793233,262.2,38,34,,,,,0.8223349616861131,0.2473745624270711,0.76923077,,0,0.2369477911646586,1.1421318912307126,78.64711853525282,97.94531002958952,,,,,,115,64,4,24,,21,4
Bill Stafford,1012375,122636,NYY,3.1919052600860596,,3.56,2.6769230769230767,,3.3892716774573692,,,,0.12688442,0.0741206,0.05276382,195.0,36,25,,,,,0.6,0.2508090614886731,0.78110384,,2,0.2295081967213114,1.1641025641025642,70.50206234752402,87.40361467328263,,,,,,101,59,5,13,,8,3
Lew Burdette,1001662,111701,MIL,2.9805076122283936,,1.34,3.998776308526238,,3.774621545900192,,,,0.08170515,0.02930728,0.05239787,272.1,40,36,,,,,1.024479880696805,0.2730093071354705,0.69541029,,0,0.2706422018348624,1.204406454725993,104.30130465033255,100.86408620651386,,,,,,92,33,3,31,,14,3
Billy Pierce,1010326,120562,CHW,2.9440863132476807,,1.69,3.8,,3.540553728739421,,,,0.13874346,0.07068063,0.06806283,180.0,39,28,,,,,0.85,0.295221843003413,0.72332731,,3,0.2679830747531735,1.3555555555555556,96.52967389613828,88.14549826910904,,,,,,106,54,1,17,,5,1
