Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Steve Carlton,1001964,112008,PHI,8.828021049499512,,10.22,2.338815789473684,,2.4201754293943707,,,,0.23289902,0.0732899,0.15960912,304.0,38,38,,,,,0.4440789473684211,0.2730538922155688,0.78980892,,0,0.2139084507042253,1.0953947368421053,63.70045429341314,65.30795978655995,,,,5.984374046325684,0.3124200881304002,286,90,2,15,32,13,3
Mike Norris,1009637,119843,OAK,5.981761932373047,,5.87,2.532238793539061,,3.248309035234367,,,,0.15859031,0.07312775,0.08546256,284.1,33,33,,,,,0.5697537285462888,0.2323113207547169,0.77474892,,0,0.2055449330783939,1.0480655006592223,65.60083733220377,81.46780496170258,,,,6.2230939865112305,1.440745220524862,180,83,6,18,25,24,1
Jon Matlack,1008246,118428,TEX,5.167845271527767,,4.31,3.681818075832136,,3.097582716108896,,,,0.14416244,0.04873096,0.09543147,234.2,35,34,,,,,0.6519886175952742,0.3187660668380462,0.69847856,,1,0.2828175026680896,1.3338067797864106,94.31171311749696,79.40347243660428,,,,2.136634111404419,1.437875647674007,142,48,0,17,20,8,1
Len Barker,1000546,110566,CLE,5.166759014129639,,3.15,4.165088042698511,,3.288271551846811,,,,0.17775665,0.08745247,0.09030418,246.1,36,36,,,,,0.6211096204024096,0.2921646746347942,0.6651525,,0,0.2476489028213166,1.335588660865312,103.05090645170108,81.51130647601288,,,,2.0355100631713867,0.5016195326083313,187,92,3,17,23,8,1
Scott McGregor,1008546,118728,BAL,4.893547534942627,,4.46,3.321428370313592,,3.3476503306956182,,,,0.1147541,0.05593057,0.05882353,252.0,36,36,,,,,0.5714285368281448,0.2826603325415677,0.73045267,,0,0.2599795291709314,1.2380951631276471,85.02930891002578,84.43644536331806,,,,2.9881579875946045,0.6525697470015612,119,58,2,16,20,12,4
Tommy John,1006515,116550,NYY,4.689202308654785,,4.1,3.425879265641284,,3.5024122427456357,,,,0.07162534,0.05142332,0.02020202,265.1,36,36,,,,,0.4409547569637296,0.2745726495726496,0.69152326,,0,0.2629016553067186,1.228643168975862,87.26489909651175,88.02899088391494,,,,3.493502378463745,0.3141262192502805,78,56,6,13,24,16,6
Rick Reuschel,1010852,121089,CHC,4.678742408752441,,5.68,3.396887159533074,,3.2543577967914628,,,,0.12797075,0.06946984,0.05850091,257.0,38,38,,,,,0.4552529182879377,0.3112659698025551,0.72928821,,0,0.277120315581854,1.3891050583657587,87.52341979788861,86.8880649260723,,,,-0.1171181574463844,0.113816160126881,140,76,4,13,23,6,0
Jerry Reuss,1010853,121090,LAD,4.61681741476059,,5.2,2.511627920902762,,2.987877389084268,,,,0.12238148,0.04410143,0.07828004,229.1,37,29,,,,,0.4709302351692678,0.2432795698924731,0.73543016,,3,0.2226066897347174,1.0159883777262908,71.72824740649986,82.57232034293452,,,,2.6817339062690735,-0.3117263777230632,111,40,0,12,19,10,6
Nolan Ryan Jr.,1011348,121597,HOU,4.493290901184082,,1.68,3.3509269550294576,,2.8936390780334427,,,,0.20366599,0.09979633,0.10386965,233.2,35,35,,,,,0.3851640178194779,0.2906110283159464,0.70547945,,0,0.2326901248581157,1.296718859992242,98.80206075425968,83.68579622366742,,,,-0.7813060283660889,-1.307307347840862,200,98,3,10,20,4,2
Britt Burns,1001702,111757,CHW,4.450108751654625,,6.97,2.8361344537815127,,3.407874456373584,,,,0.1371134,0.06494845,0.07216495,238.0,34,32,,,,,0.6428571428571429,0.2602921646746348,0.76893052,,0,0.2358803986710963,1.1596638655462186,70.45420455106799,85.55964158101989,,,,3.5113399773836136,1.2537988739766843,133,63,4,17,21,11,1
