Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Fred Lynn,1007872,118040,CF,BOS,8.61271357783071,,8.85,56.429672073558066,7.220740914344788,-0.1715103220194578,,,,,174.50141051175856,0.4559423541559756,,,,,1.05936442,0.636534839,0.422829581,0.333333333,0.303201506,0.33014354,147,622,531,116,122,39,82,338,177,95,42,1,2,82,4,79,0.127009646,0.131832797,1.037974683,,,5.206246376037598,1.0888102573379497,,,,,9.0,,,,,,,,1218.1
George Brett,1001400,111437,3B,KCR,8.254048456005995,,8.61,38.663825281780646,19.07395029067993,-0.4523907676339149,,,,,145.68442829540845,0.4024775316694388,,,,,0.938504982,0.562790697,0.375714285,0.32868217,0.234108527,0.320338983,154,701,645,119,107,23,85,363,212,127,42,20,17,51,14,36,0.051355206,0.072753209,1.416666666,,,5.46176815032959,1.018812826669369,,,,,16.0,,,,,,,,1338.1
Dave Winfield,1014127,124448,RF,SDP,7.800415982307565,,8.33,48.90803457237364,4.400530815124512,-0.4279652386903763,,,,,160.9286214955932,0.406974265222463,,,,,0.952832675,0.557788944,0.395043731,0.308207705,0.249581239,0.303643724,159,686,597,97,118,34,71,333,184,113,27,10,15,85,24,71,0.103498542,0.123906705,1.197183098,,,7.311457633972168,1.2889116588846248,,,,,12.0,,,,,,,,1384.3
Darrell Porter,1010450,120678,C,KCR,7.543369919020439,,7.63,35.542143612970534,15.815843105316162,-0.7237750608474016,,,,,143.72786617550827,0.3994596036656507,,,,,0.904793272,0.484052532,0.42074074,0.290806754,0.193245778,0.292841648,157,679,533,101,112,20,53,258,155,102,23,10,3,121,8,65,0.095729013,0.17820324,1.861538461,,,4.3028411865234375,0.918164127888078,,,,,9.0,,,,,,,,1230.0
Mike Schmidt,1011586,121836,3B,PHI,7.526752735426658,,7.92,41.1059334977414,9.749876022338867,0.0007466487586498,,,,,151.59105252881918,0.4068395861518906,,,,,0.95010066,0.563770794,0.386329866,0.25323475,0.310536044,0.235897435,160,675,541,109,114,45,74,305,137,63,25,4,9,120,12,115,0.17037037,0.177777777,1.04347826,,,6.006159782409668,0.7240919066962528,,,,,6.0,,,,,,,,1353.1
Keith Hernandez,1005706,115826,1B,STL,7.44562782328386,,7.59,46.16798501116965,3.3086423873901367,0.0508305728435516,,,,,155.9742926284316,0.4092608797773826,,,,,0.930020198,0.513114754,0.416905444,0.344262295,0.168852459,0.376893939,161,698,610,116,105,11,70,313,210,140,48,11,11,80,5,78,0.111747851,0.11461318,1.025641025,,,5.250426292419434,0.3911226733462207,,,,,13.0,,,,,,,,1413.0
Buddy Bell,1000799,110815,3B,TEX,6.670749889266795,,6.91,6.43723210156022,35.64197492599487,-0.4024239219725132,,,,,107.77734099242684,0.3405680509313037,,,,,0.777534486,0.450746268,0.326788218,0.298507462,0.152238806,0.294975688,162,720,670,89,101,18,63,302,200,137,42,3,5,30,4,45,0.0625,0.041666666,0.666666666,,,0.6711186170578003,-0.1824877153432044,,,,,31.0,,,,,,,,1416.0
Gary Carter,1002015,112061,C,MON,5.916588547113239,,5.96,15.96301574647266,23.328737258911133,-0.0336015298962593,,,,,124.2436430313467,0.35957517337713,,,,,0.822670955,0.485148514,0.337522441,0.283168316,0.201980198,0.28271028,140,559,505,74,75,22,53,245,143,90,26,5,3,40,3,62,0.110912343,0.07155635,0.64516129,,,0.6953981518745422,-3.734821478374327,,,,,15.0,,,,,,,,1214.1
Jim Rice,1010897,121140,LF,BOS,5.872820060819126,,6.37,44.1840282191041,-9.627914428710938,0.4086145274341106,,,,,152.09201980094736,0.4213766600304877,,,,,0.976936731,0.596122778,0.380813953,0.324717285,0.271405493,0.3299389,158,688,619,117,130,39,84,369,201,117,39,6,9,57,4,97,0.140988372,0.082848837,0.587628865,,,2.289409875869751,-1.9669503760056712,,,,,0.0,,,,,,,,1105.0
Willie Wilson,1014113,124435,LF,KCR,5.808583131376196,,6.31,17.50041826932944,18.65868377685547,11.95395054668188,,,,,107.09522042678232,0.3429550407215571,,,,,0.770945219,0.420068027,0.350877192,0.31462585,0.105442177,0.362348178,154,640,588,113,49,6,37,247,185,148,18,13,83,28,3,92,0.14375,0.04375,0.304347826,,,0.6681458353996277,0.4407993080728772,,,,,25.0,,,,,,,,1251.1
