fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,11.27,87.19413680532664,0.3101601600646972,0.7372688697651029,,,,,198.3643964623925,0.5125453957231529,,,,,1.152344109,0.702127659,0.45021645,0.376432078,0.325695581,0.355018587,155,694,611,135,131,39,103,429,230,127,46,18,7,79,,34.0,0.048991354,0.113832853,,,,,,,,,5.0,,,,,,,
,10.36,56.4694257557199,29.35185146331787,-1.0139787448570132,,,,,164.10771980598352,0.4559294376409415,,,,,0.986958874,0.533928571,0.453030303,0.355357142,0.178571429,0.339587242,152,676,560,116,106,18,58,299,199,141,34,6,3,98,,9.0,0.013313609,0.144970414,,,,,,,,,20.0,,,,,,,
,8.3,68.80217841115052,-5.790123462677002,0.0231142127886414,,,,,181.2737180919104,0.5049328061293659,,,,,1.11179644,0.614931237,0.496865203,0.369351669,0.245579568,0.367945823,137,638,509,124,127,25,72,313,188,116,44,3,4,126,,41.0,0.064263322,0.197492163,,,,,,,,,0.0,,,,,,,
,6.92,49.17962839247682,1.0617284774780271,-0.8242003014311194,,,,,156.34970999577308,0.447896488044294,,,,,0.993756699,0.597643097,0.396113602,0.319865319,0.277777778,0.287619047,153,669,594,110,155,39,76,355,190,114,26,11,1,67,,30.0,0.044843049,0.100149476,,,,,,,,,2.0,,,,,,,
,6.05,37.04188026722758,12.0,-0.6495679980143905,,,,,143.31651716543465,0.4205771785827331,,,,,0.916567104,0.521505376,0.395061728,0.297491039,0.224014337,0.284210526,153,656,558,91,119,31,59,291,166,107,24,4,2,89,,52.0,0.079268292,0.135670731,,,,,,,,,12.0,,,,,,,
,6.52,27.278654765390986,22.25875186920166,-0.4110371423885226,,,,,132.97835266080514,0.4029987115708608,,,,,0.878701298,0.507272727,0.371428571,0.28,0.227272727,0.271111111,144,633,550,96,124,32,57,279,154,97,21,4,5,77,,68.0,0.10742496,0.121642969,,,,,,,,,16.0,,,,,,,
,6.31,42.84843719545928,1.0,0.4643367305397987,,,,,149.57892446899797,0.4201751982046488,,,,,0.897322956,0.474074074,0.423248882,0.283333333,0.190740741,0.282608695,151,675,540,99,100,23,52,256,153,101,24,5,6,131,,57.0,0.084444444,0.194074074,,,,,,,,,1.0,,,,,,,
,6.63,44.36734457387351,-4.567901134490967,0.1975171472877264,,,,,153.00266571385524,0.4351211630464687,,,,,0.959422492,0.564285714,0.395136778,0.289285714,0.275,0.252587991,152,658,560,110,125,40,70,316,162,92,26,4,4,94,,37.0,0.056231003,0.142857142,,,,,,,,,2.0,,,,,,,
,5.52,38.805434201843845,-4.201210021972656,-1.44543844088912,,,,,145.08943366690357,0.4287501109574369,,,,,0.94514033,0.554421768,0.390718562,0.307823129,0.246598639,0.299424184,146,673,588,138,100,25,81,326,181,100,42,14,2,76,,42.0,0.062407132,0.112927191,,,,,,,,,2.0,,,,,,,
,6.13,35.371301121071824,-0.6543207168579102,-0.4278505612164736,,,,,142.18867019665242,0.4221246769179159,,,,,0.924378109,0.533333333,0.391044776,0.264864864,0.268468469,0.235682819,156,670,555,104,123,40,64,296,147,83,19,5,1,112,,61.0,0.091044776,0.167164179,,,,,,,,,6.0,,,,,,,
,6.13,29.91184757841662,5.0,0.0672783181071281,,,,,138.88576029744016,0.4083369879382562,,,,,0.89121606,0.516423357,0.374792703,0.312043795,0.204379562,0.307203389,142,606,548,82,101,26,58,283,171,113,30,2,3,50,,50.0,0.08250825,0.08250825,,,,,,,,,5.0,,,,,,,
,5.82,36.0431877454351,-2.8641974925994873,1.0514235207810998,,,,,145.66761893024236,0.4232126622893739,,,,,0.92706013,0.537428023,0.389632107,0.299424184,0.238003839,0.278761061,142,605,521,100,107,30,60,280,156,96,26,4,8,74,,39.0,0.064462809,0.122314049,,,,,,,,,-2.0,,,,,,,
,5.11,19.94360885234503,11.962963104248049,-0.8237209981307387,,,,,125.3341729014877,0.4098161682243844,,,,,0.890737318,0.504743833,0.385993485,0.284629981,0.220113852,0.272727272,140,618,527,94,111,27,56,266,150,94,23,6,3,83,,49.0,0.079288025,0.134304207,,,,,,,,,6.0,,,,,,,
