Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Johnny Bench,1000826,110849,C,CIN,9.189874846305225,,8.58,39.43771856778203,19.957955837249756,-0.7779351864010096,,,,,156.32876547321553,0.4018963398160161,,,,,0.919726548,0.540892193,0.378834355,0.269516728,0.271375465,0.246478873,147,652,538,87,125,40,64,291,145,81,22,2,6,100,23,84,0.128834355,0.153374233,,,,,,,,,13.0,,,,,,,,1338.2
Joe Morgan,1009179,119371,2B,CIN,8.748638828952895,,9.29,43.1820232573716,10.669876337051392,5.846419700537808,,,,,150.1414581603753,0.392336048141739,,,,,0.851326182,0.434782608,0.416543574,0.291666666,0.143115942,0.292338709,149,680,552,122,73,16,43,240,161,118,23,4,58,115,1,44,0.064705882,0.169117647,,,,,,,,,7.0,,,,,,,,1337.2
Dick Allen,1000137,110157,1B,CHW,7.951734694309065,,8.6,61.38352443491927,-10.195677757263184,1.1326819186797366,,,,,198.75443303981595,0.4504529301070845,,,,,1.023128045,0.602766798,0.420361247,0.308300395,0.294466403,0.343930635,148,609,506,90,113,37,70,305,156,86,28,5,19,99,16,126,0.206896551,0.162561576,,,,,,,,,-2.0,,,,,,,,1217.1
Cesar Cedeno,1002100,112153,CF,HOU,7.824247686459302,,8.02,46.665525991274265,0.3301373720169067,3.8038103558355942,,,,,162.62853157640436,0.4125890380346332,,,,,0.921288013,0.536672629,0.384615384,0.320214669,0.21645796,0.327766179,139,625,559,103,82,22,69,300,179,110,39,8,55,56,5,62,0.0992,0.0896,,,,,,,,,2.0,,,,,,,,1217.1
Bobby Murcer,1009338,119535,CF,NYY,7.437822862592554,,8.18,46.004143133782314,0.1778739690780639,-0.8231127838953398,,,,,171.47130778394595,0.4015321884494292,,,,,0.897608405,0.536752136,0.360856269,0.292307692,0.244444444,0.282208588,153,654,585,102,96,33,70,314,171,101,30,7,11,63,7,67,0.102446483,0.096330275,,,,,,,,,2.0,,,,,,,,1328.1
Carlton Fisk,1004101,114182,C,BOS,6.582681383847532,,7.3,33.65839028812166,8.841768741607666,0.3904214167851023,,,,,164.60616107623,0.4068554228344377,,,,,0.908663586,0.538293216,0.37037037,0.29321663,0.245076586,0.318181818,131,514,457,74,61,22,59,246,134,75,28,9,5,52,6,83,0.161478599,0.101167315,,,,,,,,,1.0,,,,,,,,1143.1
Billy Williams,1013975,124290,LF,CHC,6.478158697485309,,6.17,50.126533355799126,-17.179258823394775,0.3642588088987395,,,,,169.9148712356474,0.4406356979930211,,,,,1.004733315,0.606271777,0.398461538,0.332752613,0.273519164,0.316872427,150,650,574,95,122,37,77,348,191,114,34,6,3,62,20,59,0.09076923,0.095384615,,,,,,,,,-10.0,,,,,,,,1297.2
Pete Rose,1011217,121454,LF,CIN,6.197840940011877,,6.08,26.97764900789813,4.274349212646484,1.1123492362676188,,,,,132.40206460535526,0.3649260993650181,,,,,0.79944766,0.417054263,0.382393397,0.306976744,0.110077519,0.322689075,154,729,645,107,57,6,48,269,198,150,31,11,10,73,4,46,0.063100137,0.100137174,,,,,,,,,12.0,,,,,,,,1408.0
Chris Speier,1012316,122573,SS,SFG,6.0174655142421765,,6.05,13.494577673621349,18.055760383605957,0.5405936874449253,,,,,117.97877751131249,0.3499785663525751,,,,,0.76121214,0.400355871,0.360856269,0.268683274,0.131672597,0.294372294,150,658,562,74,71,15,42,225,151,109,25,2,9,82,2,92,0.139817629,0.12462006,,,,,,,,,9.0,,,,,,,,1320.1
Richie Hebner,1005571,115686,3B,PIT,5.628494809897763,,5.31,27.67339167657051,4.855966806411743,0.0916014981921762,,,,,151.1964730667018,0.3953612095301913,,,,,0.886245501,0.508196721,0.37804878,0.299765807,0.208430914,0.301939058,124,492,427,63,72,19,47,217,128,81,24,4,0,52,7,54,0.109756097,0.105691056,,,,,,,,,2.0,,,,,,,,1041.0
Willie Davis,1003088,113146,CF,LAD,5.473405055564958,,5.65,16.432353427348936,11.192044019699097,3.0623848125105724,,,,,118.66961384469768,0.3406112505001918,,,,,0.757573482,0.440650406,0.316923076,0.289430894,0.151219512,0.293357933,149,654,615,81,79,19,48,271,178,130,22,7,20,27,4,61,0.093272171,0.041284403,,,,,,,,,13.0,,,,,,,,1318.0
Bobby Grich,1005033,115130,SS,BAL,5.432340224453839,,5.96,19.085172464836557,14.54640769958496,0.6144313762779348,,,,,134.91894922818275,0.3530818536820539,,,,,0.773312629,0.415217391,0.358095238,0.278260869,0.136956522,0.324929971,133,528,460,66,50,12,36,191,128,92,21,3,13,53,3,96,0.181818181,0.100378787,,,,,,,,,10.0,,,,,,,,1098.2
Joe Rudi,1011283,121533,LF,OAK,5.3300073088158175,,6.11,32.584592483246674,-4.211723327636719,-0.6857764587039128,,,,,150.85752298035783,0.3716685936986645,,,,,0.83049369,0.485666104,0.344827586,0.305227655,0.180438449,0.312741312,147,653,593,94,75,19,60,288,181,121,32,9,3,37,6,62,0.094946401,0.056661562,,,,,,,,,3.0,,,,,,,,1314.4
Ron Santo,1011447,121697,3B,CHC,5.294954594951876,,4.95,22.833330304377924,5.085962295532227,-1.0809188094572164,,,,,139.92566131961547,0.3942979973775369,,,,,0.877894653,0.487068965,0.390825688,0.301724137,0.185344828,0.32368421,133,547,464,68,74,17,47,226,140,93,25,5,1,69,5,75,0.137111517,0.126142595,,,,,,,,,2.0,,,,,,,,1148.1
Jimmy Wynn,1014313,124634,RF,HOU,5.219651603799273,,5.5,35.47976274551741,-12.746227264404297,1.0954160988912918,,,,,148.16104221620637,0.3902346581590842,,,,,0.859710473,0.470479704,0.389230769,0.27306273,0.197416974,0.293838862,145,652,542,117,90,24,56,255,148,92,29,3,17,103,6,99,0.15184049,0.15797546,,,,,,,,,-6.0,,,,,,,,1297.0
Roy White,1013890,124186,LF,NYY,5.126819197399664,,5.35,25.69021257939727,1.4810433387756348,2.305131427187007,,,,,135.04898298641257,0.350043830056132,,,,,0.75958508,0.37589928,0.3836858,0.269784172,0.106115108,0.286298568,155,666,556,76,54,10,39,209,150,111,29,0,23,99,10,59,0.088588588,0.148648648,,,,,,,,,9.0,,,,,,,,1370.1
Nate Colbert,1002407,112458,1B,SDP,4.956291888815169,,5.4,28.4432048504296,-6.346158981323242,1.0026342195924371,,,,,138.9730918682901,0.3737298707230784,,,,,0.840805395,0.507992895,0.3328125,0.250444049,0.257548846,0.255583126,151,643,563,87,111,38,67,286,141,74,27,2,15,70,14,127,0.197511664,0.108864696,,,,,,,,,3.0,,,,,,,,1362.2
John Mayberry Sr.,1008289,118480,1B,KCR,4.936536169658879,,4.94,39.155979708437386,-13.568791389465332,-0.5811266176169738,,,,,167.45741281520887,0.4022851167863254,,,,,0.900484655,0.50695825,0.393526405,0.298210735,0.208747515,0.307125307,149,588,503,65,100,25,52,255,150,98,24,3,0,78,13,74,0.12585034,0.132653061,,,,,,,,,-5.0,,,,,,,,1249.1
Mike Epstein,1003800,113871,1B,OAK,4.904624951467132,,5.24,34.12201253915202,-6.55603551864624,-0.246150461200159,,,,,163.88410313744163,0.390083596900557,,,,,0.866273763,0.49010989,0.376163873,0.27032967,0.21978022,0.266483516,138,537,455,63,70,26,46,223,123,77,18,2,0,68,9,68,0.126629422,0.126629422,,,,,,,,,1.0,,,,,,,,1101.2
Ted Simmons,1011986,122247,C,STL,4.883850844041472,,4.52,15.912220359296995,5.281686782836914,-0.7438608008087613,,,,,124.18270503776657,0.3584259924388701,,,,,0.800633725,0.464646464,0.335987261,0.303030303,0.161616161,0.312977099,152,629,594,70,96,16,58,276,180,122,36,6,1,29,8,57,0.090620031,0.046104928,,,,,,,,,-2.0,,,,,,,,1325.2
Willie Stargell,1012426,122685,1B,PIT,4.813992232485948,,3.87,37.66813039365061,-16.17329454421997,-0.0551718178903684,,,,,160.54525773427866,0.4098064445416419,,,,,0.930159236,0.557575757,0.372583479,0.292929292,0.264646465,0.329411764,138,569,495,75,112,33,63,276,145,82,28,2,1,65,15,129,0.226713532,0.1142355,,,,,,,,,-9.0,,,,,,,,1099.1
Bobby Bonds,1001157,111189,RF,SFG,4.8096027110662805,,5.02,20.53360900498771,-0.9798798561096193,6.824146779079456,,,,,117.96264707049284,0.3499536424702991,,,,,0.771836325,0.4456869,0.326149425,0.258785942,0.186900958,0.29059829,153,697,626,118,80,26,60,279,162,102,29,5,44,60,4,137,0.196556671,0.086083213,,,,,,,,,6.0,,,,,,,,1362.1
Reggie Jackson,1006308,116439,CF,OAK,4.756546899732989,,5.64,28.416828374759387,-3.20119047164917,-0.8881366334389895,,,,,151.13943749940898,0.3720671216859325,,,,,0.823298003,0.472945891,0.350352112,0.264529058,0.208416833,0.304843304,135,572,499,72,75,25,52,236,132,80,25,2,9,59,7,125,0.218531468,0.103146853,,,,,,,,,0.0,,,,,,,,1176.2
Dusty Baker Jr.,1000450,110481,CF,ATL,4.753995673692307,,5.14,23.38559904263652,1.4769136905670166,-1.5371996248140931,,,,,145.24926403124903,0.3998421028047382,,,,,0.887717836,0.504484304,0.383233532,0.320627802,0.183856502,0.34332425,127,503,446,62,76,17,46,225,143,97,27,2,4,45,2,68,0.135188866,0.08946322,,,,,,,,,3.0,,,,,,,,1044.1
Sal Bando,1000505,110526,3B,OAK,4.581170215626324,,5.63,9.913981603768596,13.689071416854858,0.361483005923219,,,,,115.11118045154667,0.3211358365063604,,,,,0.709024299,0.368224299,0.3408,0.235514018,0.132710281,0.237179487,152,631,535,64,77,15,38,197,126,88,20,3,3,78,17,55,0.087163232,0.123613312,,,,,,,,,10.0,,,,,,,,1344.2
Tony Perez,1010188,120404,1B,CIN,4.5185004085624545,,4.72,23.948707164264313,-3.143551826477051,0.1904214138048701,,,,,137.6682386997824,0.373063105950381,,,,,0.846045711,0.497087378,0.348958333,0.283495145,0.213592233,0.329815303,136,576,515,64,90,21,61,256,146,85,33,7,4,55,15,121,0.210069444,0.095486111,,,,,,,,,5.0,,,,,,,,1187.1
Bobby Tolan,1013100,123377,CF,CIN,4.436174177679321,,4.91,8.88022929417393,9.184266209602356,3.299023197090719,,,,,107.64161092853293,0.3266675892944743,,,,,0.720103495,0.385761589,0.334341906,0.283112582,0.102649007,0.316504854,149,667,604,88,82,8,41,233,171,130,28,5,42,44,5,88,0.131934032,0.065967016,,,,,,,,,11.0,,,,,,,,1323.2
Darrell Evans,1003864,113935,3B,ATL,4.293174938444738,,3.88,14.354925643329867,5.9986279010772705,0.218179443560075,,,,,124.77960810202826,0.3682135006906447,,,,,0.802537446,0.418660287,0.383877159,0.253588516,0.165071771,0.248571428,125,521,418,67,71,19,31,175,106,75,12,0,4,90,4,58,0.111324376,0.172744721,,,,,,,,,3.0,,,,,,,,1093.0
Rod Carew,1001942,111986,2B,MIN,4.2917190366386775,,5.42,12.371480708949743,9.249190330505373,0.4352498956141062,,,,,120.1599985147022,0.3384020247384515,,,,,0.748855059,0.379439252,0.369415807,0.317757009,0.061682243,0.356394129,142,591,535,61,51,0,27,203,170,143,21,6,12,43,9,60,0.101522842,0.072758037,,,,,,,,,6.0,,,,,,,,1184.1
Hank Aaron,1000001,110001,1B,ATL,4.251119974237271,,3.92,29.26873481125655,-11.039780139923096,0.9061744757345878,,,,,147.61340372534266,0.4034950432344736,,,,,0.904182496,0.514476614,0.389705882,0.265033407,0.249443207,0.234806629,129,544,449,75,77,34,44,231,119,75,10,0,4,92,15,55,0.101102941,0.169117647,,,,,,,,,-4.0,,,,,,,,1050.0
George Scott,1011682,121932,1B,MIL,4.166290156678044,,4.93,16.59417860488065,3.669891357421875,1.9107538263197057,,,,,123.30169351319245,0.3390407245576286,,,,,0.746179698,0.425605536,0.320574162,0.266435986,0.15916955,0.311627906,152,629,578,71,88,20,48,246,154,106,24,4,16,43,4,130,0.206677265,0.06836248,,,,,,,,,11.0,,,,,,,,1312.1
