Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
Willie Mays,1008315,118495,CF,SFG,10.490659573211971,,10.5,58.717466510002666,20.0,2.872326575801708,,,,,163.39542267900552,0.4275505025609791,,,,,0.998989567,0.615136876,0.383852691,0.304347826,0.31078905,0.285714285,162,706,621,130,141,49,90,382,189,99,36,5,18,78,11,85,0.1203966,0.110481586,,,,,,,,,20.0,,,,,,,
Frank Robinson,1011066,121311,RF,CIN,8.242601682404379,,8.72,62.40354154666706,-5.8497724533081055,0.0293787761474959,,,,,171.3122157415087,0.4470358778090372,,,,,1.044801116,0.623973727,0.420827389,0.341543513,0.282430214,0.329434697,162,701,609,134,136,39,92,380,208,116,51,2,18,76,16,62,0.088445078,0.108416547,,,,,,,,,3.0,,,,,,,
Hank Aaron,1000001,110001,CF,MIL,8.121724192210685,,8.57,54.45376199476235,2.155691146850586,0.2338923732168041,,,,,165.1493150848882,0.4295672657478823,,,,,1.00804834,0.618243243,0.389805097,0.322635135,0.295608108,0.304166666,156,667,592,127,128,45,79,366,191,112,28,6,15,66,14,73,0.109445277,0.098950524,,,,,,,,,6.0,,,,,,,
Brooks Robinson,1011055,121301,3B,BAL,6.253758214084502,,6.09,19.307978126968568,22.018737316131592,0.2802182768355123,,,,,121.90553555782026,0.3612655371601818,,,,,0.827871373,0.485804416,0.342066957,0.302839116,0.1829653,0.306715063,162,697,634,77,86,23,61,308,192,131,29,9,3,42,3,70,0.100430416,0.060258249,,,,,,,,,18.0,,,,,,,
Rocky Colavito,1002404,112455,LF,DET,6.042851967751637,,5.74,29.843333297830497,9.144012451171877,0.4952817648882046,,,,,133.3087895996331,0.3861574112772089,,,,,0.885247909,0.514143094,0.371104815,0.272878535,0.241264559,0.252485089,161,707,601,90,112,37,69,309,164,95,30,2,2,96,7,68,0.096181046,0.135785007,,,,,,,,,18.0,,,,,,,
Mickey Mantle,1008082,118258,CF,NYY,5.991484073474077,,5.97,59.54002034030294,-16.05555546283722,1.896818588313181,,,,,192.13897365864415,0.4716613362817203,,,,,1.090830311,0.604774535,0.486055776,0.320954907,0.283819628,0.335793357,123,502,377,96,89,30,46,228,121,75,15,1,9,122,9,78,0.155378486,0.243027888,,,,,,,,,-15.0,,,,,,,
Tommy Davis,1003084,113112,LF,LAD,5.764836824602602,,5.9,42.95115569761701,-11.061748504638672,1.2561276184860617,,,,,146.99935406249557,0.3956399801959339,,,,,0.90963213,0.535338345,0.374293785,0.345864661,0.189473684,0.34939759,163,711,665,120,153,27,63,356,230,167,27,9,18,33,6,65,0.091420534,0.046413502,,,,,,,,,-5.0,,,,,,,
Eddie Mathews,1008236,118416,3B,MIL,5.707616270208303,,5.65,29.845804452722646,3.95061707496643,0.0764246742473915,,,,,137.10530732203537,0.385263832110279,,,,,0.877295094,0.496268656,0.381026438,0.264925373,0.231343283,0.268408551,152,643,536,106,90,29,60,266,142,82,25,6,4,101,7,90,0.139968895,0.157076205,,,,,,,,,1.0,,,,,,,
Johnny Callison,1001851,111895,RF,PHI,5.600211907476717,,5.98,25.121824392624344,7.024692058563232,0.8705820164759643,,,,,128.92290681867718,0.3776188619535973,,,,,0.853830745,0.490878938,0.362951807,0.300165837,0.190713101,0.325773195,157,672,603,107,83,23,59,296,181,122,26,10,10,54,1,96,0.142857142,0.080357142,,,,,,,,,15.0,,,,,,,
Maury Wills,1014053,124371,SS,LAD,5.327538741532162,,6.01,18.183655355451744,7.906240463256836,15.622400890511926,,,,,102.70450738653554,0.3256637550860683,,,,,0.719736338,0.37266187,0.347074468,0.299280575,0.073381295,0.317610062,165,759,695,130,48,6,29,259,208,179,13,10,104,51,1,57,0.075098814,0.067193675,,,,,,,,,-2.0,,,,,,,
Ken Boyer,1001283,111321,3B,STL,5.213941352155149,,5.65,13.683083634652071,13.926830768585203,-0.3538132152170874,,,,,116.28059528623916,0.3702918720210402,,,,,0.838371984,0.469721767,0.368650217,0.291325695,0.178396072,0.317525773,160,691,611,92,98,24,56,287,178,122,27,5,12,75,7,104,0.150506512,0.10853835,,,,,,,,,10.0,,,,,,,
Willie Davis,1003088,113146,CF,LAD,5.209740871210551,,5.83,14.5231715681035,14.0,3.630306551232934,,,,,113.10826196603722,0.3420994248552588,,,,,0.787174796,0.453333333,0.333841463,0.285,0.168333333,0.291262135,157,666,600,103,85,21,49,272,171,122,18,10,32,42,10,72,0.108108108,0.063063063,,,,,,,,,14.0,,,,,,,
Norm Siebern,1011949,122209,1B,KCA,5.151267476084935,,5.51,34.390640611352076,-4.7736616134643555,0.3109543281025253,,,,,138.03344720194525,0.3997648592896455,,,,,0.907256267,0.495,0.412256267,0.308333333,0.186666667,0.323886639,162,719,600,114,117,25,56,297,185,129,25,6,3,110,9,88,0.122392211,0.152990264,,,,,,,,,5.0,,,,,,,
Clete Boyer,1001282,111319,3B,NYY,5.139691081551869,,4.61,0.7593318972532925,31.833552360534668,-0.1343329466762952,,,,,101.13284360014,0.3280640667484653,,,,,0.744637752,0.413427561,0.331210191,0.272084805,0.141342756,0.302222222,158,633,566,85,68,18,43,234,154,111,24,1,3,51,8,106,0.167456556,0.08056872,,,,,,,,,28.0,,,,,,,
John Romano,1011165,121419,C,CLE,4.925814284516655,,4.52,17.672782596710217,14.713785648345947,-0.330027082527522,,,,,126.36080835869544,0.3722285774601248,,,,,0.841940194,0.479302832,0.362637362,0.261437908,0.217864924,0.25065963,135,548,459,71,81,25,47,220,120,73,19,3,0,73,0,64,0.116788321,0.133211678,,,,,,,,,7.0,,,,,,,
Felipe Alou,1000177,110186,RF,SFG,4.772787557829333,,5.33,24.78531294899779,1.3827166557312012,-0.7722548519377597,,,,,133.800577209328,0.3807970826015916,,,,,0.869329247,0.513368983,0.355960264,0.315508021,0.197860962,0.32,154,606,561,96,98,25,58,288,177,119,30,3,10,33,2,66,0.108910891,0.054455445,,,,,,,,,9.0,,,,,,,
Carl Yastrzemski,1014326,124650,LF,BOS,4.75929404631317,,4.23,15.992628833147254,10.187222480773926,-0.1347484005964361,,,,,117.99839779707496,0.3665702792960153,,,,,0.831662283,0.469040247,0.362622036,0.295665634,0.173374613,0.314442413,160,719,646,99,94,19,68,303,191,123,43,6,7,66,7,82,0.114047287,0.091794158,,,,,,,,,19.0,,,,,,,
Al Kaline,1006678,116822,RF,DET,4.721475193516695,,4.38,30.62581775927376,2.555555820465088,0.8589107768493704,,,,,152.8438276690623,0.4169814681313448,,,,,0.968520379,0.592964824,0.375555555,0.3040201,0.288944724,0.275449101,100,452,398,78,94,29,51,236,121,70,16,6,4,47,3,39,0.086283185,0.1039823,,,,,,,,,8.0,,,,,,,
Eddie Bressoud,1001397,111435,SS,BOS,4.548559482719105,,4.85,0.4206447432077933,25.40788745880127,-0.7468351030838676,,,,,101.42588012246809,0.3404207409535399,,,,,0.773304224,0.444073455,0.329230769,0.277128547,0.166944908,0.323404255,153,657,599,79,68,14,63,266,166,103,40,9,2,46,4,118,0.179604261,0.07001522,,,,,,,,,16.0,,,,,,,
Bill White,1013855,124191,1B,STL,4.402545167768052,,4.32,20.316183838548397,-0.3239355087280273,-0.9476660139043817,,,,,124.9881866721532,0.3840479728027626,,,,,0.868281459,0.48208469,0.386196769,0.324104234,0.157980456,0.339015151,159,682,614,93,102,20,54,296,199,145,31,3,9,58,6,69,0.10117302,0.085043988,,,,,,,,,9.0,,,,,,,
Joe Cunningham,1002881,112944,1B,CHW,4.392182543859543,,4.29,25.01049245366987,-0.7755136489868164,-0.5130254437099211,,,,,131.4117353046961,0.3783406587273862,,,,,0.837413973,0.427756653,0.40965732,0.294676806,0.133079847,0.31477516,149,652,526,91,70,8,47,225,155,108,32,7,3,101,3,59,0.090490797,0.154907975,,,,,,,,,8.0,,,,,,,
Norm Cash,1002043,112090,1B,DET,4.29509509874966,,3.61,27.686881925585467,-3.81707763671875,0.0654593293438665,,,,,135.23663185561853,0.3891993259688057,,,,,0.89437854,0.512820512,0.381558028,0.24260355,0.270216962,0.214833759,148,629,507,94,89,39,57,260,123,66,16,2,6,104,12,82,0.130365659,0.165341812,,,,,,,,,5.0,,,,,,,
Tony Gonzalez,1004845,114925,CF,PHI,4.255460655663176,,4.56,18.98677953267887,5.993827160913497,0.2106326078064739,,,,,130.71055140886008,0.3804429516535614,,,,,0.865180815,0.494279176,0.370901639,0.302059496,0.19221968,0.332344213,118,490,437,76,63,20,40,216,132,92,16,4,17,40,5,82,0.167346938,0.081632653,,,,,,,,,6.0,,,,,,,
Bob Allison,1000166,110176,RF,MIN,4.192720401196889,,4.64,25.164437506076705,-1.8045053482055664,-0.3523732262547128,,,,,133.40141841663356,0.3882929527368702,,,,,0.881089105,0.510597302,0.370491803,0.265895953,0.244701349,0.288359788,149,613,519,102,102,29,61,265,138,77,24,8,8,84,0,115,0.187601957,0.137030995,,,,,,,,,6.0,,,,,,,
