Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Babe Ruth,1011327,121578.0,OF,NYY,13.142070019032916,,11.87,109.52205214778786,-4.72796630859375,-1.451769418083131,,,,,233.90282234010684,0.6010091150393252,,,,,1.381802202,0.849015317,0.532786885,0.376367614,0.472647703,0.365325077,142,615,457,158,137,54,99,388,172,73,36,9,14,150,,80.0,0.1300813,0.243902439,1.875,,,,,,,,,1.0,,,,,,,,4.0
George Sisler,1012021,122280.0,1B,SLB,9.8406972622536,,9.74,71.18730573339225,-0.6113896369934082,2.9019061415456235,,,,,173.22612716908242,0.4967397612043613,,,,,1.08151962,0.632329635,0.449189985,0.407290015,0.22503962,0.401349072,154,692,631,137,122,19,86,399,257,171,49,18,42,46,,19.0,0.027456647,0.066473988,2.421052631,,,,,,,,,6.0,,,,,,,,1.0
Rogers Hornsby,1006030,116156.0,2B,STL,9.687025668317862,,9.63,60.735827948407525,10.59876537322998,-2.361962668597698,,,,,183.29102071017823,0.4574319755007153,,,,,0.989555448,0.558573853,0.430981595,0.370118845,0.188455008,0.394339622,149,660,589,96,94,9,73,329,218,145,44,20,12,60,,50.0,0.075757575,0.09090909,1.2,,,,,,,,,6.0,,,,,,,,0.0
Tristram Speaker,1012309,122566.0,OF,CLE,8.632476837240143,,8.61,60.13364557438621,-0.6543209552764893,-1.7234322358854115,,,,,168.10418622308757,0.4857115223320252,,,,,1.04477463,0.561594202,0.483180428,0.387681159,0.173913043,0.387947269,150,674,552,137,107,8,69,310,214,145,50,11,10,97,,13.0,0.019287833,0.143916913,7.461538461,,,,,,,,,3.0,,,,,,,,0.0
Eddie Collins Sr.,1002451,112506.0,2B,CHW,8.119162148962102,,7.94,43.78389940989032,9.722222328186035,2.24692763062194,,,,,143.65906545757207,0.4374976709905741,,,,,0.93169129,0.493355481,0.438335809,0.372093023,0.121262458,0.381034482,153,706,602,117,76,3,54,297,224,170,38,13,20,69,,19.0,0.026912181,0.097733711,3.631578947,,,,,,,,,5.0,,,,,,,,0.0
Joe Jackson,1006301,116432.0,OF,CHW,7.639249875831648,,7.54,55.03712675235484,-4.265431880950928,-1.764022019226104,,,,,164.94664587741048,0.4761066320948126,,,,,1.033391535,0.589473684,0.443917851,0.38245614,0.207017544,0.37867647,146,649,570,105,121,12,74,336,218,144,42,20,9,56,,14.0,0.021571648,0.086286594,4.0,,,,,,,,,2.0,,,,,,,,0.0
Ross Youngs,1014390,124717.0,OF,NYG,6.697918519865514,,6.53,45.74204471324766,-3.6111111640930176,-2.208703729324043,,,,,162.2588131415843,0.4255649869565181,,,,,0.90381587,0.476764199,0.427051671,0.35111876,0.125645439,0.38076923,153,671,581,92,78,6,47,277,204,157,27,14,18,75,,55.0,0.081967213,0.111773472,1.363636363,,,,,,,,,3.0,,,,,,,,0.0
Oscar Charleston,1014838,,OF,ABC,6.417246730917379,,0.0,36.84933225946796,12.710461378097534,4.755997958127409,,,,,176.89202537124874,0.4354035555542289,,,,,0.935522858,0.51734104,0.418181818,0.352601156,0.164739884,,92,385,346,80,59,5,36,179,122,86,20,11,20,37,,,,0.096103896,,,,,,,,,,31.0,,,,,,,,2359.4
Dave Bancroft,1000503,110524.0,SS,- - -,6.221650990202075,,6.91,4.091040866128514,34.25925898551941,-2.115221601910889,,,,,108.03420744877856,0.3467778096278871,,,,,0.732133057,0.386623164,0.345509893,0.29853181,0.088091354,0.321616871,150,673,613,102,36,0,45,237,183,138,36,9,8,42,,44.0,0.0653789,0.062407132,0.954545454,,,,,,,,,25.0,,,,,,,,0.0
Edd Roush,1011247,121497.0,OF,CIN,5.935754430874387,,5.98,31.528248847640263,4.174801826477051,-1.2283603702671826,,,,,143.9049564043849,0.3938090553841529,,,,,0.838722265,0.452504317,0.386217948,0.33851468,0.113989637,0.347197106,149,650,579,81,90,4,42,262,196,154,22,16,36,42,,22.0,0.033846153,0.064615384,1.909090909,,,,,,,,,8.0,,,,,,,,0.0
Baby Doll Jacobson,1006316,116459.0,OF,SLB,5.821972096672315,,5.94,29.15284257010206,3.5535645484924316,0.6426257225684822,,,,,131.43617958703007,0.4209459683485045,,,,,0.902647502,0.500821018,0.401826484,0.354679802,0.146141216,0.367673179,154,673,609,97,122,9,57,305,216,159,34,14,11,46,,37.0,0.054977711,0.068350668,1.243243243,,,,,,,,,8.0,,,,,,,,0.0
Happy Felsch,1003977,114056.0,OF,CHW,5.40533562545452,,5.58,28.230258656033456,2.4938271045684814,-2.64960677921772,,,,,137.38171563257032,0.4261125370086338,,,,,0.923152934,0.539568345,0.383584589,0.338129496,0.201438849,0.336557059,142,613,556,88,115,14,69,300,188,119,40,15,8,37,,25.0,0.040783034,0.06035889,1.48,,,,,,,,,6.0,,,,,,,,0.0
Cristóbal Torriente,1016595,,OF,CAG,5.35672187398124,,0.0,36.32002198991343,6.8616557121276855,2.1624624603427947,,,,,220.7184127804996,0.4993497350206777,,,,,1.084987809,0.606060606,0.478927203,0.411255411,0.194805195,,66,261,231,53,58,2,32,140,95,63,21,9,8,30,,,,0.114942528,,,,,,,,,,15.0,,,,,,,,1573.0
Jimmie Lyons,1015807,,OF,DS,5.350654671568135,,0.0,34.149100740063716,9.322484135627748,4.714078633580357,,,,,206.89511031195832,0.4791804390160117,,,,,1.039595545,0.594713656,0.444881889,0.378854625,0.215859031,,59,254,227,64,46,8,28,135,86,58,15,5,21,26,,,,0.102362204,,,,,,,,,,22.0,,,,,,,,1446.7
Harry Hooper,1006002,116127.0,OF,BOS,5.249155255012388,,5.2,26.678267842543953,1.9938273429870603,-2.796191214118153,,,,,134.66257232889654,0.4142260579065012,,,,,0.880692383,0.470149253,0.41054313,0.311567164,0.158582089,0.318725099,139,631,536,91,53,7,54,252,167,113,30,17,16,88,,27.0,0.042789223,0.139461172,3.259259259,,,,,,,,,8.0,,,,,,,,0.0
Cy Williams,1013981,124310.0,OF,PHI,5.029259026548261,,5.84,24.77761946056856,2.370370388031006,-0.2059413199312985,,,,,133.8509865741787,0.3998397222151771,,,,,0.860827421,0.496610169,0.364217252,0.325423728,0.171186441,0.333962264,148,643,590,88,72,15,61,293,192,131,36,10,18,32,,45.0,0.069984447,0.049766718,0.711111111,,,,,,,,,6.0,,,,,,,,0.0
Del Pratt,1010512,120743.0,2B,NYY,4.8783190815568815,,4.66,8.668820584874677,15.753086566925049,-0.5004665292799473,,,,,110.40404275646893,0.3770212552954325,,,,,0.798440113,0.426829268,0.371610845,0.31358885,0.113240418,0.322344322,154,654,574,84,97,4,49,245,180,131,37,8,12,50,,24.0,0.036697247,0.076452599,2.083333333,,,,,,,,,11.0,,,,,,,,0.0
Zack Wheat,1013828,124134.0,OF,BRO,4.878169834959412,,4.69,29.93462954249062,-4.395061492919922,-1.2218427597545087,,,,,142.21485219293746,0.3978168226111814,,,,,0.847737167,0.463121783,0.384615384,0.32761578,0.135506003,0.329113924,148,643,583,89,73,9,48,270,191,143,26,13,8,48,,21.0,0.032659409,0.074650077,2.285714285,,,,,,,,,2.0,,,,,,,,0.0
George Burns,1001708,111747.0,OF,NYG,4.784469510759563,,4.6,15.381402310846712,7.364078044891357,-3.165221485774964,,,,,122.63052442865369,0.3643463761749321,,,,,0.764669329,0.399366085,0.365303244,0.286846275,0.11251981,0.303292894,154,714,631,115,46,6,50,252,181,131,35,9,22,76,,48.0,0.06722689,0.106442577,1.583333333,,,,,,,,,14.0,,,,,,,,0.0
Steve O'Neill,1009820,120031.0,C,CLE,4.541715764374561,,4.43,16.996126262662187,6.567901134490967,-0.3059147866442799,,,,,122.29046659437098,0.4026198752636153,,,,,0.847872444,0.439672801,0.408199643,0.321063394,0.118609407,0.344519015,149,576,489,63,55,3,47,215,157,110,39,5,3,69,,39.0,0.067708333,0.119791666,1.769230769,,,,,,,,,2.0,,,,,,,,0.0
Sam Rice,1010900,121137.0,OF,WAS,4.514933850920362,,4.6,16.43193418714111,3.222222328186035,1.8483341918326912,,,,,115.77556538156158,0.3818861985135114,,,,,0.80869421,0.427884615,0.380809595,0.338141025,0.08974359,0.347826086,153,686,624,83,80,3,41,267,211,170,29,9,63,39,,23.0,0.033527696,0.056851311,1.695652173,,,,,,,,,7.0,,,,,,,,0.0
Elmer Smith,1012135,122381.0,OF,CLE,4.189272638547075,,4.11,23.61441736188184,-1.5740737915039062,0.2474474557675421,,,,,133.02838973537828,0.4220950832823291,,,,,0.910361842,0.519736842,0.390625,0.315789473,0.203947369,0.322738386,129,525,456,82,103,12,59,237,144,85,37,10,5,53,,35.0,0.066666666,0.10095238,1.514285714,,,,,,,,,4.0,,,,,,,,0.0
Hi Myers,1009423,119618.0,OF,BRO,4.102403885636083,,4.05,17.58923258089689,0.3086419105529785,-2.504038624931127,,,,,126.89042243168188,0.3741433224053059,,,,,0.806859506,0.462199312,0.344660194,0.304123711,0.158075601,0.330152671,154,651,582,83,80,4,62,269,177,115,36,22,9,35,,54.0,0.082949308,0.05376344,0.648148148,,,,,,,,,4.0,,,,,,,,0.0
Joe Judge,1006644,116786.0,1B,WAS,4.027805543922302,,4.07,24.866765510523607,-6.358024597167969,-1.2365978085435927,,,,,133.6293357764123,0.4142673105583733,,,,,0.878105195,0.462474645,0.41563055,0.3326572,0.129817445,0.350220264,126,576,493,103,51,5,39,228,164,125,19,15,12,65,,34.0,0.059027777,0.112847222,1.911764705,,,,,,,,,-1.0,,,,,,,,0.0
Heinie Groh,1005078,115179.0,3B,CIN,4.027161475836585,,3.92,16.027098302334313,1.5061726570129397,-3.2640485763549805,,,,,126.5930981592287,0.3670653340114359,,,,,0.768131802,0.392727272,0.37540453,0.298181818,0.094545454,0.31477927,145,632,550,86,49,0,40,216,164,124,28,12,16,60,,29.0,0.045886075,0.094936708,2.068965517,,,,,,,,,-3.0,,,,,,,,0.0
Ray Chapman,1002151,112203.0,SS,CLE,3.994644296120457,,3.98,7.221904148012037,12.85185194015503,-0.1168643739074468,,,,,110.27523172255562,0.380828026369793,,,,,0.803356603,0.422988505,0.380368098,0.303448275,0.11954023,0.327411167,111,530,435,97,49,3,38,184,132,94,27,8,13,52,,38.0,0.071698113,0.098113207,1.368421052,,,,,,,,,6.0,,,,,,,,0.0
Larry Gardner,1004528,114617.0,3B,CLE,3.9070514951917663,,4.02,-2.638697828612002,16.75308656692505,-6.25328219588846,,,,,103.92719048714204,0.3693146804510723,,,,,0.780862839,0.413735343,0.367127496,0.309882747,0.103852596,0.319859402,154,683,597,72,118,3,45,247,185,140,31,11,3,53,,25.0,0.036603221,0.077598828,2.12,,,,,,,,,12.0,,,,,,,,0.0
Bobby Veach,1013388,123681.0,OF,DET,3.876026179775893,,4.26,13.729517404391531,0.3456792831420898,0.3946584118530154,,,,,114.76923258424434,0.3843741518850544,,,,,0.826527964,0.473856209,0.352671755,0.307189542,0.166666667,0.305699481,154,670,612,92,113,11,65,290,188,123,39,15,11,36,,22.0,0.03283582,0.053731343,1.636363636,,,,,,,,,7.0,,,,,,,,0.0
Wally Schang,1011521,121771.0,C,BOS,3.7569059586221343,,3.36,19.507436108535774,0.2469135522842407,-0.5142052974551916,,,,,131.88291834244657,0.4091846417131382,,,,,0.862276158,0.449612403,0.412663755,0.30490956,0.144702843,0.329479768,122,466,387,58,51,4,41,174,118,77,30,7,7,64,,37.0,0.079399141,0.137339055,1.729729729,,,,,,,,,-1.0,,,,,,,,0.0
Bartolo Portuondo,1016173,,3B,KCM,3.7511125728271777,,0.0,13.729418476499587,10.894983530044556,6.053182264789939,,,,,119.88957587898204,0.3522324552027027,,,,,0.735448235,0.373088685,0.36235955,0.305810397,0.067278288,,78,356,327,64,23,0,21,122,100,79,20,1,27,25,,,,0.070224719,,,,,,,,,,8.0,,,,,,,,707.0
Ben Taylor,1016528,,1B,ABC,3.7021561127062226,,0.0,21.074139942211673,2.37545394897461,3.283422139007598,,,,,143.76121721003634,0.3870630755424499,,,,,0.821815354,0.443148688,0.378666666,0.320699708,0.12244898,,93,375,343,57,64,4,29,152,110,81,20,5,13,31,,,,0.082666666,,,,,,,,,,4.0,,,,,,,,838.3000000000001
