Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Lefty Grove,1005099,115201.0,BOS,6.941372394561768,,9.75,3.0229007633587788,,3.440801338021082,,,,0.13575865,0.07364685,0.0621118,262.0,32,32,,,,,0.3091603053435114,0.2951191827468785,0.74030552,,0,0.2579098753595398,1.3435114503816794,62.97061660007747,70.1386596932644,,,,,,153,83,1,9,,21,3
Lefty Gomez,1004821,114917.0,NYY,6.611655235290527,,9.21,2.328143882752845,,3.2865708739669746,,,,0.16898955,0.08101045,0.0879791,278.1,34,34,,,,,0.3233533170490063,0.2623529411764705,0.76357827,,0,0.2210626185958254,1.1712575706441783,53.23852822661093,73.46764210186222,,,,,,194,93,1,10,,25,6
Claude Passeau,1010046,120274.0,PHI,5.733909606933594,,3.87,4.340935307810336,,3.8502863554441857,,,,0.10579937,0.06191223,0.04388715,292.1,50,34,,,,,0.4925884037231587,0.318924111431316,0.66894531,,2,0.2919463087248322,1.4606614471513109,98.4077684654536,81.65051935471871,,,,,,135,79,5,16,,18,1
Cliff Melton,1008755,118938.0,NYG,4.752752780914307,,4.89,2.6129032258064515,,3.2648594517861644,,,,0.14143426,0.05478088,0.08665339,248.0,46,27,,,,,0.3266129032258064,0.2613636363636363,0.70726172,,7,0.2290562036055143,1.092741935483871,67.86145347211038,78.33879297520683,,,,,,142,55,6,9,,14,2
Dizzy Dean,1003106,113168.0,STL,4.7174072265625,,4.53,2.6908788638798495,,3.109127090080013,,,,0.14669927,0.0403423,0.10635697,197.1,27,25,,,,,0.4104730470325194,0.2920489296636085,0.71492806,,1,0.2554278416347382,1.180743456278729,67.46509840911742,71.71993346435492,,,,,,120,33,2,9,,17,4
Tommy Bridges,1001421,111458.0,DET,4.553528785705566,,3.43,4.072011460513244,,4.019636919914229,,,,0.12825279,0.08457249,0.0436803,245.1,34,31,,,,,0.5502718189882763,0.3039806996381182,0.68235294,,0,0.2718940936863543,1.4592393422059473,87.06299609436675,84.36529889164862,,,,,,138,91,3,15,,18,3
Red Ruffing,1011296,121547.0,NYY,4.408036708831787,,6.23,2.984395555465603,,3.847937652436639,,,,0.12381853,0.06427221,0.05954631,256.1,31,31,,,,,0.5968791110931206,0.267538644470868,0.73119777,,0,0.2446916076845298,1.2093629048291987,68.24527822187649,86.30462408671302,,,,,,131,68,1,17,,22,4
Carl Hubbell,1006123,116249.0,NYG,4.396084308624268,,3.85,3.198725865943015,,3.5442923405972415,,,,0.14627415,0.05059798,0.09567617,261.2,39,32,,,,,0.6191082321180029,0.2852112676056338,0.71817563,,4,0.2536443148688047,1.2076432182054873,83.07624422436501,85.5961310179419,,,,,,159,55,3,18,,18,4
Monty Stratton,1012602,122860.0,CHW,3.95754075050354,,4.86,2.404857779622423,,3.546497094063194,,,,0.10615385,0.05692308,0.04923077,164.2,22,21,,,,,0.327935151766694,0.2537313432835821,0.73001159,,0,0.23240589198036,1.087044299374782,51.2118867937352,73.95174000904757,,,,,,69,37,2,6,,14,5
Mel Harder,1005339,115451.0,CLE,3.9196488857269287,,3.35,4.275320318611303,,4.043424506704284,,,,0.09152216,0.08285164,0.00867052,233.2,38,30,,,,,0.3466475934009165,0.3080568720379147,0.66974596,,2,0.2837552742616033,1.519257971078091,93.54997928936622,86.86094801193153,,,,,,95,86,4,9,,13,0
Van Mungo,1009321,119518.0,BRO,3.900916814804077,,4.31,2.906832298136646,,3.0264302792756457,,,,0.18345865,0.08421053,0.09924812,161.0,25,21,,,,,0.1677018633540372,0.2765072765072765,0.68134172,,3,0.2244224422442244,1.1925465838509317,73.42492769288901,70.16787466836907,,,,,,122,56,3,3,,14,0
Cy Blanton,1001055,111083.0,PIT,3.894664764404297,,2.34,3.30082369153021,,3.7195740158036026,,,,0.13829787,0.07350097,0.06479691,242.2,36,34,,,,,0.4821427864032891,0.2973651191969887,0.69053708,,0,0.2623294858342078,1.3434063963031817,84.14725697925448,88.48634413765757,,,,,,143,76,5,13,,14,4
Luke Hamlin,1005280,115388.0,BRO,3.854533672332764,,3.1,3.5870729207527408,,3.254203276518963,,,,0.11817027,0.06099111,0.05717916,185.2,39,25,,,,,0.1938958335542022,0.278816199376947,0.59893523,,1,0.2476319350473613,1.2441649319727974,90.60741825533722,75.92129080582696,,,,,,93,48,0,4,,11,1
Bucky Walters,1013583,123898.0,PHI,3.851121187210083,,1.73,4.749662391500238,,4.31671696178174,,,,0.07952468,0.0786106,0.00091408,246.1,37,34,,,,,0.5115021037000256,0.3075221238938053,0.644715,,0,0.290547263681592,1.534506311100077,107.67349517300148,92.22436850448186,,,,,,87,86,3,14,,15,3
Bill Lee,1007447,117616.0,CHC,3.797003984451294,,4.22,3.5361079753083264,,3.879657938986555,,,,0.09424084,0.06369983,0.03054101,272.1,42,33,,,,,0.4626683332179119,0.2891692954784437,0.70093458,,3,0.2693383038210624,1.329253465276858,90.02497666712868,92.4437624420608,,,,,,108,73,0,14,,17,2
Johnny Allen,1000150,110152.0,CLE,3.7254345417022705,,6.23,2.5491329479768785,,3.6223086406729816,,,,0.12201964,0.08415147,0.03786816,173.0,24,20,,,,,0.2080924855491329,0.2746858168761221,0.77171904,,0,0.2422839506172839,1.254335260115607,55.77858890501509,77.64634475187728,,,,,,87,60,5,4,,14,0
Paul Derringer,1003224,113285.0,CIN,3.4299330711364746,,2.18,4.041915521372523,,3.5057324954798306,,,,0.09761163,0.05711319,0.04049844,222.2,43,26,,,,,0.2829340864960766,0.288723667905824,0.64165498,,1,0.2643171806167401,1.3248500875609937,107.25444457186472,86.43133513676119,,,,,,94,55,0,7,,12,1
Russ Bauers,1000681,110700.0,PIT,3.395522356033325,,4.1,2.877441727630667,,3.4241443460140695,,,,0.14622057,0.09913259,0.04708798,187.2,34,19,,,,,0.0959147242543555,0.2852404643449419,0.73667712,,1,0.2406639004149377,1.3534633311447952,73.35406284166622,80.95501297117784,,,,,,118,80,4,2,,11,2
Elden Auker,1000366,110380.0,DET,3.341087579727173,,4.25,3.88258520487488,,4.514327306462836,,,,0.06753006,0.08973173,-0.02220167,252.2,39,32,,,,,0.463060620764894,0.265695067264574,0.67502987,,1,0.2556237218813906,1.3733507299608394,83.01290499940342,94.94219132175334,,,,,,73,97,6,13,,19,1
Lee Grissom,1005073,115173.0,CIN,3.258033275604248,,4.54,3.2593139372097064,,3.575902130333626,,,,0.15867945,0.09904153,0.05963791,223.2,50,30,,,,,0.2816691056847894,0.271137026239067,0.71734475,,6,0.2292161520190023,1.2786883210452349,86.487682429854,88.29332487213766,,,,,,149,93,4,7,,14,5
Danny MacFayden,1007904,118074.0,BSN,3.158388376235962,,2.83,2.926829268292683,,3.651562834949028,,,,0.06896552,0.0591133,0.00985222,246.0,32,32,,,,,0.1829268292682926,0.2790432801822323,0.70819672,,0,0.2623294858342078,1.2601626016260163,80.85099695982196,94.00535532619004,,,,,,70,60,2,5,,16,2
