Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Bob Feller,1003975,114055.0,CLE,9.634182929992676,,10.03,2.1813286652941972,,2.3496244502881605,,,,0.23015873,0.10119048,0.12896825,371.1,48,42,,,,,0.2666068368692908,0.2668004012036108,0.79501916,,4,0.2042772861356932,1.1579892914524752,64.98484469942409,66.11864286623299,,,,,,348,153,3,11,,36,10
Hal Newhouser,1009535,119739.0,DET,9.261884689331056,,9.7,1.937357496301916,,2.1582559909228505,,,,0.23384354,0.08333333,0.1505102,292.2,37,34,,,,,0.3075170629050661,0.2588383838383838,0.79,,1,0.1996285979572887,1.0694760076587295,54.017774444061814,56.545590884282255,,,,,,275,98,1,10,,29,6
Tex Hughson,1006169,116295.0,BOS,7.008098602294922,,5.97,2.7517985611510793,,2.614500533248023,,,,0.15248227,0.04521277,0.1072695,278.0,39,35,,,,,0.4856115107913669,0.2668918918918919,0.76056338,,3,0.2344186046511628,1.089928057553957,76.55517995493717,69.11231674021653,,,,,,172,51,2,15,,21,6
Spud Chandler,1002133,112187.0,NYY,5.251471519470215,,5.39,2.0984457617603174,,2.920498249179974,,,,0.13424125,0.08754864,0.04669261,257.1,34,32,,,,,0.2448186722053703,0.2436868686868686,0.78236131,,2,0.2134471718249733,1.1269430942786889,59.60541212168402,79.25609596815738,,,,,,138,90,1,7,,20,6
Dizzy Trout,1013196,123479.0,DET,5.216128826141357,,7.63,2.344994141287194,,3.0887826650435617,,,,0.13222417,0.0849387,0.04728546,276.1,38,32,,,,,0.3582629938077658,0.2647727272727272,0.78819233,,3,0.2341650671785028,1.2340169786711932,65.38357780558933,82.49071463804624,,,,,,151,97,3,11,,23,5
Johnny Sain,1011373,121623.0,BSN,5.070235252380371,,7.17,2.207547169811321,,3.0049444045660634,,,,0.11878453,0.0801105,0.03867403,265.0,37,34,,,,,0.2716981132075471,0.2523255813953488,0.77278732,,2,0.2256770310932798,1.1773584905660377,65.1321434388615,81.03259466457052,,,,,,129,87,2,8,,24,3
Harry Brecheen,1001375,111412.0,STL,4.665919780731201,,5.48,2.4899139278840057,,2.9373189908069484,,,,0.12264151,0.07023061,0.0524109,231.1,36,30,,,,,0.3112392409855007,0.2691292875989446,0.77262693,,3,0.2400906002265005,1.2060520588188153,72.79314411610022,78.31647953619509,,,,,,117,67,4,8,,14,5
Dave Ferriss,1004012,114092.0,BOS,4.577296257019043,,3.42,3.2518248175182483,,3.27925923723374,,,,0.09290096,0.06222612,0.03067485,274.0,40,35,,,,,0.4598540145985401,0.2745512143611404,0.72777101,,3,0.2567947516401124,1.2591240875912408,90.4659365701924,87.60593866759692,,,,,,106,71,3,14,,26,6
Bill Bevens,1000937,110965.0,NYY,4.432310581207275,,4.96,2.2349796545773275,,3.1392768938121502,,,,0.1183432,0.07692308,0.04142012,249.2,31,31,,,,,0.3965286483927516,0.2512437810945274,0.79175705,,0,0.227807486631016,1.1655539058817246,63.48359620355845,85.47040539390359,,,,,,120,78,1,11,,18,3
Fred Hutchinson,1006238,116367.0,DET,3.9722840785980225,,3.97,3.0869565217391304,,3.080944769163639,,,,0.16178195,0.07737397,0.08440797,207.0,28,26,,,,,0.6086956521739131,0.2677165354330709,0.74652778,,2,0.2337992376111817,1.207729468599034,86.07111564501037,82.27217691717343,,,,,,138,66,0,14,,16,3
Johnny Schmitz,1011585,121841.0,CHC,3.931610822677612,,5.41,2.607727011196575,,3.006463999243315,,,,0.14285714,0.0994709,0.04338624,224.1,41,31,,,,,0.2407132625719915,0.2514124293785311,0.74742268,,2,0.2167255594817432,1.239227536944697,78.7533861085104,82.98922364855673,,,,,,135,94,2,6,,14,2
Howie Pollet,1010423,120653.0,STL,3.8589916229248047,,6.8,2.0977443609022557,,3.38679998691817,,,,0.09879963,0.07940905,0.01939058,266.0,40,32,,,,,0.4060150375939849,0.2474226804123711,0.77763071,,5,0.2298387096774193,1.1804511278195489,61.32798643030368,91.45714860148202,,,,,,107,86,5,12,,22,4
Ewell Blackwell,1001013,111048.0,CIN,3.700284481048584,,3.65,2.454545904243203,,2.8975688197926432,,,,0.124533,0.09838107,0.02615193,194.1,33,25,,,,,0.0463121868725132,0.2568659127625202,0.74917219,,0,0.2222222222222222,1.2298458513922967,73.97286452339694,79.53452521593597,,,,,,100,79,4,1,,10,5
