Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Pos,Year,bWAR,TB,XBH,BatSpd,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,TZ
Chris Aguila,FLA,65,81,0,11,4,0,0.037037037,0.234567901,0.038461539,0.322033898,0.243589743,0.271604938,0.282051282,0.2482243768962813,,47.19499471923539,0.5533804699080065,-4.81787729186551,-1.833885908126831,-0.4025362465702897,Chris Aguila,2143,430894,78,19,16,3,0,3,0,19,0,0,0,0,1,0.157894736,0.55365622,3.3193418993065005,0.5,0.5,,-0.4466195300919935,4.498717670980047,-5.208551341947962,-0.6177739500999451,-1.1842200756072998,0.5664459466934204,-5.651000022888184,-0.5547710657119751,0.7042754292488098,0.4644818305969238,22,-0.5726544857025146,-0.3045221478183673,144.1,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,-2.0,1.2416062243282795,0.0,-2.701636053621769,0.3205948728136717,-1.13944173976779,-37.15472614303941,0.0,,,RF,2005,-0.44,22,3,,,,,,,,,,,,,,,
Jose Macias,CHC,112,190,1,15,13,4,0.031578947,0.126315789,0.062146892,0.283870967,0.254237288,0.274193548,0.31638418,0.2596443756934135,,48.99539466197959,-1.718262098962441,-13.887934217331324,3.672445625066757,-0.4039313488690709,Jose Macias,476,150197,177,45,36,8,0,6,0,24,0,3,4,6,3,0.25,0.590577728,3.2683822282196155,-0.2000000476837158,-1.0,,-0.5182620512787253,12.349188311156494,-10.420948879662294,-1.9568119049072263,-4.201054096221924,2.244241952896118,-16.558799743652344,-1.632564663887024,1.1405149698257446,1.1564610004425049,59,-1.3059841394424438,-0.4097424899118391,291.7,0.0,0.0,0.0,-1.0,1.0,-1.0,4.0,0.0,3.0,0.24817401170730613,-0.6753555834293365,4.475581884384155,-0.6411658758297564,3.407242566347122,232.05493774797236,0.0,,,2B,2005,-0.42,56,9,,,,,,,,,,,,,,,
Matt Diaz,KCR,34,97,1,7,9,0,0.041237113,0.154639175,0.123595506,0.324324324,0.280898876,0.322916666,0.404494382,0.3175106905400753,,89.88824232445965,-0.3538183709606528,-1.5515055425193385,-5.793344259262085,-0.4081354234013119,Matt Diaz,1771,429841,89,25,18,4,2,4,0,15,2,1,1,3,1,0.266666666,0.727411048,3.97571683853431,0.1000000014901161,0.0,,-0.4538183724507689,10.952296785851171,-0.6724574641984178,-0.3637660145759582,-1.8325278759002688,1.4687620401382446,-1.7699999809265137,-0.1697607636451721,0.9760096073150636,1.5304888486862185,9,0.0577953346073627,-0.4305027463475545,147.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-2.0,0.0,-5.0,-1.078799955546856,0.0,-2.868569016456604,-0.3336312808096409,-4.280998758971691,26.24807226422586,0.0,,,LF,2005,-0.24,36,7,,,,,,,,,,,,,,,
Cesar Izturis,LAD,106,478,2,48,31,8,0.052301255,0.10669456,0.065315316,0.285714285,0.256756756,0.301687763,0.322072072,0.2786016746504866,,65.89506204533212,-3.8254438334843144,-24.297480248777628,4.578815370798111,-0.4163519709521691,Cesar Izturis,656,285131,444,114,91,19,2,25,1,51,4,1,4,11,8,0.490196078,0.623759835,3.957628910239875,-0.3999999761581421,-1.5,,-1.9254438573261723,38.571147671387095,-18.713723787620165,-0.8117383718490601,-8.752500534057617,7.940762042999268,-25.152599334716797,-2.5983667373657227,1.0302380323410034,,0,-2.344557523727417,1.5566441033651808,918.0,0.0,0.0,0.0,-1.0,0.0,2.0,3.0,0.0,4.0,0.0,-0.318450003862381,-0.0602527000010013,0.235296793282032,-0.1434060037136078,-0.2075201310451675,0.0,,,SS,2005,-0.19,143,23,,,,,,,,,,,,,,,
Ramon Ortiz,CIN,30,61,0,1,0,0,0.016393442,0.37704918,0.037037037,0.129032258,0.074074074,0.09090909,0.111111111,0.0906838796355507,,-61.07723297071248,-0.0043193054152652,-12.343316928926102,6.202939987182617,-0.4165720485930818,Ramon Ortiz,27,150009,54,4,2,2,0,1,0,23,0,0,6,0,0,0.04347826,0.202020201,0.76785714,,,,-0.0043193054152652,-4.5693380968646995,-11.879750563390733,-1.1488600969314575,-1.276703953742981,0.1278439909219741,-11.286999702453612,-1.1447477340698242,0.9439340829849244,,0,-1.1581237316131592,-0.0589740696427427,171.1,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,P,2005,-0.45,6,2,,,,,,,,,,,,,,,
Norihiro Nakamura,LAD,17,41,0,1,3,0,0.048780487,0.170731707,0.051282051,0.15625,0.128205128,0.170731707,0.179487179,0.1604998838610765,,-11.97708869066832,-0.0071988423587754,-5.7725918061031765,0.2738815099000931,-0.4175423726915452,Norihiro Nakamura,8786,435518,39,5,3,2,0,2,0,7,0,0,0,3,0,0.285714285,0.350218886,0.4107142775,0.4000000059604645,-0.4000000059604645,,-0.0071988423587754,-0.7010194332969176,-5.614575353420972,-0.7616820335388184,-0.9647279977798462,0.2030460089445114,-7.177999973297119,-0.744550347328186,0.998516857624054,1.4633429050445557,7,-0.5708475708961487,-0.1919658235128569,77.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,0.13735580071806902,0.2533733770251274,-0.10483753972221166,0.2858843021094799,-27.63740729110745,0.0,,,3B,2005,-0.81,7,2,,,,,,,,,,,,,,,
Endy Chavez,- - -,98,130,0,19,11,2,0.053846153,0.107692307,0.086206896,0.245098039,0.215517241,0.260162601,0.301724137,0.2494735809845653,,42.834820045999045,0.2254778941860422,-9.106867681302726,0.6688139662146568,-0.4216412334693691,Endy Chavez,768,346795,116,25,18,4,3,7,0,14,0,0,7,3,2,0.5,0.561886738,6.830384117612237,0.5999999642372131,0.0999999940395355,,-0.4745220640907064,7.288982241951265,-8.290585309661589,-1.0998961925506592,-2.657922148704529,1.5580260157585144,-6.694999843835831,-0.6718152211979032,1.0489807393815782,1.1555416584014893,48,-0.7570158466696739,-0.2915221781553556,206.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,2.0,-0.7497642822563648,0.0,1.5738269910216331,-0.03522633388638501,0.7888414338231087,-34.40481526172393,0.0,,,CF,2005,-0.39999999999999997,35,7,,,,,,,,,,,,,,,
Raul Mondesi,ATL,41,155,4,17,17,0,0.077419354,0.225806451,0.147887324,0.25,0.211267605,0.270967741,0.359154929,0.268143235460708,,58.58968843905675,-0.6581376659451053,-8.718528142332202,-0.5546698570251465,-0.4237439269457571,Raul Mondesi,1314,119247,142,30,18,7,1,12,3,35,0,1,0,5,1,0.342857142,0.63012267,3.415208554186373,0.5,-0.699999988079071,,-0.4581376778660342,11.165109712380811,-7.410528522234513,-0.2099140435457229,-3.029216051101685,2.8193020820617676,-4.806000232696533,-0.517680287361145,1.0243346691131592,0.1796000003814697,2,-0.1537967473268509,-0.0511304604259246,339.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.849370002746582,0.0,-0.9315659999847412,0.2713530994951725,1.189157009124756,4.584741573455034,0.0,,,RF,2005,-0.35,51,12,,,,,,,,,,,,,,,
Tomas Perez,PHI,94,176,0,17,22,1,0.0625,0.15340909,0.044025157,0.278195488,0.232704402,0.289017341,0.276729559,0.252977939028489,,44.98306527679886,1.0409694717964155,-11.118788834642984,1.1436313390731812,-0.4255541451638305,Tomas Perez,965,120416,159,37,30,7,0,11,2,27,2,1,3,6,0,0.407407407,0.5657469,3.224907708300252,1.2999999821186066,-0.4000000059604645,,0.1409694956382736,10.46773650557232,-10.624601102765084,-1.0168416500091553,-3.380696058273315,2.363853931427002,-8.234999656677246,-0.8523095846176147,1.1084023714065552,1.4301961660385132,52,-0.9605897665023804,0.0431957981740827,280.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.1731366030871868,0.3744410276412964,1.4088163189589977,1.9563885442912579,23.245668239665754,0.0,,,1B,2005,-0.44,44,7,,,,,,,,,,,,,,,
Wily Mo Peña,CIN,99,335,19,42,51,2,0.059701492,0.346268656,0.237942122,0.33898305,0.254019292,0.304477611,0.491961414,0.3406986953607246,,103.77370863016522,0.1857113696169108,1.7732673820211249,-16.95552158355713,-0.4284551736119096,Wily Mo Pena,344,276377,311,79,43,17,0,20,0,116,3,1,0,7,1,0.172413793,0.796439025,2.61105572492806,0.1000000089406967,0.2000000029802322,,-0.1142886423040181,44.256997675133,4.1096505228998765,1.291126012802124,-5.951243877410889,7.242370128631592,0.6709997653961182,0.0524500273168087,0.9852339029312134,0.7470222115516663,18,-0.0358909256756305,1.3463675637215171,666.5999999999999,0.0,0.0,0.0,0.0,-1.0,-1.0,-17.0,0.0,-19.0,-0.022181034088134766,0.0,-14.390029907226562,-0.4285426698625088,-14.84075140953064,-98.95404614125243,0.0,,,RF,2005,-1.1,153,36,,,,,,,,,,,,,,,
