Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Pos,Year,bWAR,TB,XBH,BatSpd,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,TZ
Alex Rodriguez,NYY,162,715,48,124,130,21,0.127272727,0.194405594,0.289256198,0.346793349,0.320661157,0.42097902,0.609917355,0.4356509525502756,,173.76639237630283,2.1748662187019363,66.57838500586081,-0.1959264278411865,9.078447161892951,Alex Rodriguez,1274,121347,605,194,116,29,1,91,8,139,16,3,0,8,6,0.654676258,1.030896375,4.645842175008636,-2.299999952316284,3.0999999046325684,,1.374866266385652,150.6740547106995,64.98643317682877,6.265436172485352,-10.744138717651367,17.009572982788086,71.6760025024414,7.255834102630615,0.9729251861572266,,0,7.194278240203857,-0.7544858886130692,1390.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.2472279965877533,-5.696034446358681,3.4502367642708123,-2.4930279552936554,2.1906436655238326,0.0,,,3B,2005,9.36,369,78,,,,,,,,,,,,,,,
Andruw Jones,ATL,160,672,51,95,128,5,0.095238095,0.166666666,0.31228669,0.239534883,0.262798634,0.34672619,0.575085324,0.3825868968717607,,134.0497978295437,-0.8622388716321439,27.87199986129862,28.532065391540527,7.851414188587478,Andruw Jones,96,116662,586,154,76,24,3,64,13,112,15,7,0,19,3,0.571428571,0.921811514,3.5143301900248582,0.3000000119209289,-0.699999988079071,,-0.4622388954740017,112.08608471262131,31.55170475351487,3.893083333969116,-11.452385902404783,15.345470428466797,28.525999069213867,2.9215269088745117,1.0324251651763916,1.7890000343322754,1,4.2076592445373535,-0.4368451794772712,1366.1,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,15.0,8.41034984588623,0.0,17.064199447631836,0.7147061303257942,26.189249992370605,27.932744212359175,0.0,,,CF,2005,6.74,337,78,,,,,,,,,,,,,,,
Albert Pujols,STL,161,700,41,129,117,16,0.138571428,0.092857142,0.279187817,0.31557377,0.329949238,0.43,0.609137055,0.4319314087836561,,167.39545548539132,4.883596826693974,64.12761927307335,-9.919971108436584,7.722591228359675,Albert Pujols,1177,405395,591,195,114,38,2,97,27,65,9,3,0,19,2,1.492307692,1.039137055,5.085476236977862,2.299999952316284,0.5,,2.0835968743776903,145.35715721796484,61.467178093895626,4.448251724243164,-10.82551383972168,15.273765563964844,61.82999801635742,6.317392826080322,0.953416645526886,2.0742666721343994,6,6.301718711853027,-1.6361281275970434,1358.2,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,13.0,0.0,0.3984740078449249,4.600500106811523,-3.2705299258232117,1.72843399643898,1.5378806445740711,0.0,,,1B,2005,8.39,360,81,,,,,,,,,,,,,,,
Chase Utley,PHI,147,628,28,93,105,16,0.109872611,0.173566878,0.248618785,0.314769975,0.290976058,0.375796178,0.539594843,0.3884609048860222,,134.31574913280235,4.7147248417604715,31.7772933418078,19.102498054504395,7.153692218985605,Chase Utley,1679,400284,543,158,85,39,6,69,5,109,9,7,0,10,3,0.633027522,0.915391021,6.056019367839962,1.399999976158142,1.600000023841858,,1.7147248417604717,107.80158407927097,32.540288522248865,3.669329881668091,-9.967484474182127,13.63681411743164,39.62300109863281,3.947106122970581,1.0097815990447998,2.0773000717163086,6,3.0075442790985107,0.6262413683514763,1249.3,0.0,0.0,0.0,-2.0,0.0,2.0,23.0,0.0,23.0,0.0,-0.7025289833545685,19.042070388793945,-0.8179250229150057,17.521571844816208,78.00087453626145,0.0,,,2B,2005,7.26,293,73,,,,,,,,,,,,,,,
Derrek Lee,CHC,158,691,46,120,107,15,0.12301013,0.157742402,0.326599326,0.343049327,0.335016835,0.418234442,0.661616161,0.4436591371983111,,170.3282309363256,0.0017670417437329,61.02899248253445,-14.166331052780151,6.956587172569481,Derrek Lee,525,117601,594,199,100,50,3,85,23,109,5,7,0,12,3,0.779816513,1.079850603,4.972936474623308,-2.0999999046325684,0.6000000238418579,,1.5017669225344434,150.19844942395932,67.387055745771,4.799781799316406,-10.632914543151855,15.432696342468262,58.16399765014648,5.755417823791504,1.0003091096878052,,0,6.607557773590088,-1.809259174855533,1386.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.6085349917411804,-4.18602991104126,1.2938889861106873,-2.283614933490753,-2.4790688466998043,0.0,,,1B,2005,7.74,393,99,,,,,,,,,,,,,,,
Brian Roberts,BAL,143,640,18,92,73,27,0.1046875,0.1296875,0.201426025,0.340517241,0.31372549,0.387401574,0.515151515,0.3870221000815195,,140.1003967573845,3.461160380509682,34.79933194333755,11.50197958946228,6.810597527334302,Brian Roberts,166,406878,561,176,106,45,7,67,5,83,3,4,5,6,10,0.807228915,0.902553089,6.228014331300925,0.5,2.0,,0.961160380509682,109.09901579347972,32.39960630861644,2.645073175430298,-10.542255401611328,13.18733024597168,31.55590057373047,3.1348698139190674,0.9930391311645508,1.928599953651428,3,2.3133533000946045,0.3502609447220965,1208.0,0.0,0.0,0.0,2.0,0.0,-1.0,14.0,0.0,15.0,0.0,-0.3550699949264526,6.62755012512207,3.15816680341959,9.430649876594543,10.639059758657238,0.0,,,2B,2005,7.26,289,70,,,,,,,,,,,,,,,
Jim Edmonds,STL,142,567,29,88,89,5,0.160493827,0.245149911,0.269807281,0.310231023,0.263383297,0.38515901,0.533190578,0.3886745748974436,,138.8734265962975,4.000673205475323,31.679760681243256,10.853217720985413,6.11738203236912,Jim Edmonds,1153,113744,467,123,56,37,1,91,10,139,4,4,1,6,5,0.654676258,0.918349588,3.1575533881297755,3.3000001907348633,2.0,,-1.2993269852595404,97.43072664075216,29.479843550256096,3.4274096488952637,-9.588274002075195,13.015684127807615,35.612998962402344,3.749999046325683,1.0358030796051023,2.2317776679992676,9,3.15431547164917,0.1546239555264623,1153.1,0.0,0.0,0.0,0.0,5.0,0.0,-3.0,0.0,2.0,5.164340019226074,0.0,2.617539882659912,1.093759000301361,8.875629901885986,9.835342121568871,0.0,,,CF,2005,4.37,249,67,,,,,,,,,,,,,,,
Morgan Ensberg,HOU,150,624,36,86,101,6,0.136217948,0.190705128,0.273764259,0.300531914,0.283269961,0.387820512,0.55703422,0.3990064018140963,,143.978559165983,-2.8709695511497557,31.591109277615892,8.56296968460083,6.064974407368642,Morgan Ensberg,556,348563,526,149,80,30,3,85,9,119,8,5,0,12,7,0.714285714,0.944854732,3.4542741947142996,-1.2000000476837158,0.3000000119209289,,-1.9709695153869689,112.56365372653175,37.78172947879006,2.1424882411956787,-11.020796775817873,13.163284301757812,29.35700035095215,2.941272258758545,1.0405516624450684,0.0254000015556812,2,2.205028295516968,-0.1460356298752629,1286.1,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,14.0,0.0,0.2722389996051788,3.966629981994629,2.118458826094866,6.357329159975052,6.364735831652066,0.0,,,3B,2005,6.27,293,69,,,,,,,,,,,,,,,
Mark Teixeira,TEX,162,730,43,112,144,4,0.098630136,0.169863013,0.273291925,0.314583333,0.301242236,0.379452054,0.574534161,0.4043943502163065,,146.8604704046601,2.333642796962522,44.10460834753675,-9.77160096168518,5.9150846900197775,Mark Teixeira,1281,407893,644,194,107,41,3,72,5,124,11,3,0,18,0,0.580645161,0.953986215,3.89866413366316,1.3999999463558197,0.4000000059604645,,0.5336428446462378,134.9418194037999,47.45655546012775,3.1334238052368164,-11.773550033569336,14.906973838806152,60.553001403808594,5.653934478759766,0.9659115672111512,,0,4.01509952545166,-0.7710926084583565,1358.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0,0.0,-0.900052011013031,-0.0784927979111671,3.713804066181183,2.735257923603058,2.7147552563834787,0.0,,,1B,2005,7.23,370,87,,,,,,,,,,,,,,,
Brian Giles,SDP,158,674,15,92,83,13,0.176557863,0.094955489,0.181651376,0.314345991,0.300917431,0.422848664,0.482568807,0.3923598730474486,,147.05323475417012,3.2941300763050094,43.11999960455765,-6.264557853341103,5.897466211117463,Brian Giles,990,114789,545,164,103,38,8,119,9,64,2,8,0,14,5,1.859375,0.905417471,5.3523758924487215,1.4999998807907104,1.600000023841858,,0.194130171672441,117.87383970399574,37.0997740902491,4.27655553817749,-10.370039939880373,14.64659595489502,55.80699920654297,5.682521820068359,1.0630443096160889,2.1429333686828613,3,4.749325275421143,-0.7263927414781888,1354.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-4.0,0.0,-7.0,0.5554040074348449,0.0,-1.623289305716753,0.8561394321732221,-0.211746707558632,2.011481503318081,0.0,,,RF,2005,4.86,263,61,,,,,,,,,,,,,,,
David Wright,NYM,160,657,27,99,102,17,0.109589041,0.171993911,0.217391304,0.340182648,0.306086956,0.388127853,0.52347826,0.3928262243744071,,141.77920276683926,4.301675297901966,38.771684794310936,-2.68856430053711,5.764488961414048,David Wright,3787,431151,575,176,106,42,1,72,2,113,7,3,0,16,7,0.637168141,0.911606113,4.1756696839409075,4.300000384449959,-0.2000000029802322,,0.2016749164322391,115.15446048041012,36.41772293110517,2.473139524459839,-11.237902641296388,13.711041450500488,46.290000915527344,4.781272888183594,1.011017680168152,,0,3.872030019760132,-1.425841814576116,1404.1,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,-11.0,0.0,-0.8213469982147217,-2.831279993057251,-1.4439060389995575,-5.096536874771118,-4.684753886890603,0.0,,,3B,2005,4.78,301,70,,,,,,,,,,,,,,,
Jason Bay,PIT,162,707,32,110,101,21,0.134370579,0.200848656,0.253756261,0.349537037,0.305509181,0.401697312,0.559265442,0.4066527029846322,,149.70772263001646,9.302861009142362,53.43542555940828,-19.57424020767212,5.70496038823252,Jason Bay,1717,424726,599,183,101,44,6,95,9,142,6,7,0,12,1,0.669014084,0.960962754,6.358837289749138,4.500000238418579,1.2999999523162842,,3.5028608184074983,132.01229271106448,47.28341379575456,4.945579528808594,-11.03111457824707,15.976694107055664,49.45100021362305,4.932295799255371,0.9961608648300172,,0,4.946389675140381,0.0182497755897959,1402.2,0.0,0.0,0.0,0.0,-9.0,4.0,-3.0,0.0,-8.0,-7.260230183601379,0.0,-7.257300019264221,0.6703270375728609,-13.84720003604889,-32.59830472837132,0.0,,,LF,2005,5.67,335,82,,,,,,,,,,,,,,,
Grady Sizemore,CLE,158,706,22,111,81,22,0.07365439,0.186968838,0.1953125,0.334016393,0.2890625,0.348074179,0.484375,0.3591381279059819,,122.70488433816138,2.758280780981295,22.331803990735285,9.540467500686646,5.5870354272788045,Grady Sizemore,2197,429713,640,185,115,37,11,52,1,132,7,2,5,17,10,0.393939393,0.832449179,7.198047809283501,5.0,-2.200000047683716,,-0.0417191713349893,104.04935227460004,19.44031618661022,0.4088157415390014,-12.57106590270996,12.97988224029541,23.54960060119629,2.335883617401123,0.9743456840515136,0.895039975643158,5,2.5506255626678467,-2.1310457890508814,1370.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,9.0,-1.171929955482483,0.0,7.905499935150147,0.4577889963984489,7.191359877586365,7.544889971979706,0.0,,,CF,2005,6.61,310,70,,,,,,,,,,,,,,,
Placido Polanco,- - -,129,551,9,84,56,4,0.059891107,0.04537205,0.115768463,0.333333333,0.331337325,0.382513661,0.447105788,0.3648492501733081,,123.940054284439,0.6945680235512555,16.867068645001325,18.359315425157547,5.377770769181454,Placido Polanco,1176,135784,501,166,128,27,2,33,0,25,11,4,2,12,3,1.32,0.829619449,3.852003761322587,2.299999974668026,-0.8999999985098839,,-0.7054319526068866,83.82040445126307,17.787006597888592,1.8979998230934143,-8.729276180267334,10.627275943756104,32.31659984588623,3.265334129333496,0.974774242385284,3.099279975891114,5,1.8673564195632937,0.0797609134193531,1039.3,0.0,0.0,0.0,4.0,0.0,2.0,15.0,0.0,21.0,0.1872240006923675,1.032817006111145,10.928660169243813,4.598805518820882,16.747518248856068,134.52163814224727,0.0,,,2B,2005,6.08,224,38,,,,,,,,,,,,,,,
Travis Hafner,CLE,137,578,33,94,108,0,0.1366782,0.212802768,0.290123457,0.344311377,0.304526748,0.408304498,0.594650205,0.4226326429906534,,165.76079429814806,0.4782756434287876,46.891303218806534,-13.580050259828568,5.297914983634648,Travis Hafner,1573,400098,486,148,73,42,0,79,7,123,9,4,0,9,0,0.642276422,1.002954703,1.48306332125,0.0,0.699999988079071,,-0.2217243446502834,115.5731255916398,46.30397140062265,5.068735599517822,-8.645132064819336,13.713868141174316,55.51799774169922,5.478529453277588,1.0116419792175293,2.6603429317474365,7,6.367422103881836,-1.3570175302812857,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611020147800445,0.0540460301563143,0.415147989988327,62.272198498249054,0.0,,,1B,2005,5.44,289,75,,,,,,,,,,,,,,,
David Ortiz,BOS,159,713,47,119,148,1,0.143057503,0.173913043,0.304492513,0.302961275,0.299500831,0.396914446,0.603993344,0.4182334797964854,,157.1794422753782,-4.067796694347635,45.71444569254343,-17.020943880081177,5.291948282503146,David Ortiz,745,120074,601,180,92,40,1,102,9,124,1,9,0,13,0,0.822580645,1.00090779,2.495779602598496,-5.699999809265137,1.7000000476837158,,-0.067796932766214,139.96967393095656,54.52173805172604,8.66053581237793,-9.63938808441162,18.29992294311523,72.48100280761719,7.009165287017822,0.954830288887024,0.9928000569343568,3,5.759402751922607,3.310832988580435,78.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0388889014720916,0.7840459942817688,-1.1875046212226152,-0.3645660877227783,-6.400175640980403,0.0,,,1B,2005,5.23,363,88,,,,,,,,,,,,,,,
Vladimir Guerrero,LAA,141,594,32,95,108,13,0.102693602,0.08080808,0.248076923,0.298876404,0.317307692,0.393939393,0.565384615,0.3965769902291432,,148.30868056837434,-0.6280302234226838,34.411367379762595,-1.7535419464111328,5.286563467525816,Vladimir Guerrero,778,115223,520,165,102,29,2,61,26,48,8,5,0,17,1,1.270833333,0.959324008,5.016412920191742,-1.9999998807907104,-0.6000000238418579,,1.9719696812098848,105.9570463358475,34.77040690770875,4.798631191253662,-9.10880184173584,13.907434463500977,48.75600051879883,4.887264728546143,1.0268064737319946,3.646399974822998,2,4.174132823944092,0.4992221986559571,1040.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,8.0,-1.170609951019287,0.0,6.359859943389893,0.4594726040959358,5.6487202644348145,7.006697975736514,0.0,,,RF,2005,5.71,294,63,,,,,,,,,,,,,,,
Coco Crisp,CLE,145,656,16,86,69,15,0.06707317,0.123475609,0.164983165,0.322709163,0.299663299,0.345256609,0.464646464,0.3499151198106391,,116.45072198124356,5.45549309218768,18.633016987329665,11.421060562133787,5.235384111018416,Coco Crisp,1572,424825,594,178,116,42,4,44,1,81,0,5,13,7,6,0.543209876,0.809903073,5.232515076961179,3.299999833106994,1.899999976158142,,0.2554932829225436,91.67064551913492,13.05375079715004,0.3662440776824951,-10.155467987060549,10.52171230316162,4.264299392700195,0.429239422082901,0.913277506828308,,0,1.5245484113693235,-1.1235267340103658,1279.2,0.0,0.0,0.0,0.0,-4.0,1.0,14.0,0.0,11.0,-3.6741440296173096,0.0,21.868730008602142,-0.7373517863452435,17.457295894622803,-11.433689421672394,0.0,,,LF,2005,4.37,276,62,,,,,,,,,,,,,,,
Eric Chavez,OAK,160,694,27,92,101,6,0.083573487,0.185878962,0.1968,0.294979079,0.2688,0.328530259,0.4656,0.339921108017797,,110.31398764019158,6.275396327022463,15.015791878304825,13.08667290210724,5.16833715086994,Eric Chavez,906,136767,625,168,100,40,1,58,4,129,2,9,0,9,0,0.449612403,0.794130259,3.721375028567555,2.6000001430511475,2.700000047683716,,0.9753961362875998,91.23780780072826,8.066885640579654,0.688159167766571,-12.62336254119873,13.311522483825684,11.711999893188477,1.2150235176086426,1.0629056692123413,0.5576000213623047,1,1.0393627882003784,-0.3919307651154639,1348.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,0.0,-1.2331299781799316,11.48270034790039,1.1732750535011292,11.42287015914917,12.064805620018094,0.0,,,3B,2005,4.82,291,68,,,,,,,,,,,,,,,
Marcus Giles,ATL,152,654,15,104,63,16,0.097859327,0.165137614,0.169844021,0.334061135,0.291161178,0.364615384,0.461005199,0.3596725844087879,,118.94090928347416,3.494568154681474,19.050443609015787,11.009832859039308,5.150675542058263,Marcus Giles,89,279578,577,168,104,45,4,64,1,108,5,4,4,13,3,0.592592592,0.825620583,6.007522346008228,2.200000077486038,-0.4000000059604645,,1.6945680831559002,96.675082702426,18.297873635081345,2.8365559577941895,-10.022568702697754,12.859124183654783,17.707399368286133,1.7937874794006348,0.9433799982070924,0.7265333533287048,3,1.6818302869796753,1.3249707509743902,1282.0,0.0,0.0,0.0,-1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.9386769905686378,5.623600125312805,2.249344913288951,8.81161693483591,99.1429157089442,0.0,,,2B,2005,3.95,266,64,,,,,,,,,,,,,,,
Miguel Cabrera,FLA,158,685,33,106,116,1,0.093430656,0.182481751,0.23817292,0.35791757,0.323001631,0.385401459,0.561174551,0.3987757165931486,,146.46323222874236,-0.950519687263295,39.017798566056584,-9.981439590454102,5.149237695340518,Miguel Cabrera,1744,408234,613,198,120,43,2,64,12,125,2,6,0,20,0,0.512,0.94657601,2.841258945319325,-0.4999999701976776,-0.4000000059604645,,-0.0505197111051529,123.43662901179135,41.34429229752364,2.2831151485443115,-11.155506134033203,13.43862247467041,39.77199935913086,4.117278099060059,0.9810919165611268,1.5995999574661257,1,4.76171875,-2.4346022892437333,1343.2,0.0,0.0,0.0,0.0,9.0,2.0,-16.0,0.0,-5.0,12.230299949645996,0.0372692011296749,-16.80362367630005,-0.1658662036061287,-4.701930675655603,-1.048148368413413,0.0,,,LF,2005,5.18,344,78,,,,,,,,,,,,,,,
Randy Winn,- - -,160,683,20,85,63,19,0.070278184,0.133235724,0.19286872,0.332023575,0.306320907,0.359583952,0.499189627,0.3684585412521533,,127.49323767718082,3.7505348714767024,27.339652757461373,0.4885408878326416,5.07391373859189,Randy Winn,1235,133160,617,189,116,47,6,48,4,91,5,3,10,11,11,0.527472527,0.858773579,5.226419828014851,4.19999984651804,0.5999999865889549,,-1.0494649616302922,105.92392458901574,24.0712735293882,2.089318037033081,-11.487815380096436,13.577133655548096,14.673098921775818,1.557560384273529,1.0202109704346491,1.0319714375904627,7,2.420300677418709,-0.3723732412503335,1327.4,0.0,0.0,0.0,0.0,-3.0,-2.0,-5.0,0.0,-10.0,-2.0097100734710693,0.0,4.305846959352493,1.588027473539114,3.8841747045516968,6.774269140423108,0.0,,,LF,2005,3.69,308,73,,,,,,,,,,,,,,,
Geoff Jenkins,MIL,148,618,25,87,86,0,0.090614886,0.22330097,0.221189591,0.347368421,0.291821561,0.37540453,0.513011152,0.3789297862984668,,129.59432043936422,-2.5231640654383227,20.444283418380333,7.823429584503174,4.853325562893359,Geoff Jenkins,690,132961,538,157,89,42,1,56,9,138,19,5,0,13,0,0.405797101,0.888415682,2.0790273525,-2.099999949336052,-0.2000000029802322,,-0.2231641131220385,101.2077606710602,27.144893387239104,2.1880476474761963,-10.548988342285156,12.737035751342772,26.367000579833984,2.7248265743255615,1.0414814949035645,1.4089999198913574,2,2.631941795349121,-0.5310425876499987,1241.1,0.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,13.0,3.7951200008392334,0.0,9.69653034210205,0.933265742380172,14.424919843673706,15.095003191160425,0.0,,,RF,2005,4.64,276,68,,,,,,,,,,,,,,,
Chipper Jones Jr.,ATL,109,432,21,66,72,5,0.166666666,0.129629629,0.259776536,0.300353356,0.296089385,0.412037037,0.555865921,0.412091143656112,,153.50385638010368,-0.0949156081769615,28.930919079367495,5.371030926704407,4.850994447279502,Chipper Jones Jr.,97,116706,358,106,55,30,0,72,5,56,0,2,0,9,1,1.285714285,0.967902958,3.1854301265014557,-1.2999999523162842,0.800000011920929,,0.4050843322183937,82.60916424591696,30.83706284363424,5.867252349853516,-6.3460798263549805,12.213332176208496,41.64699935913086,4.259261131286621,1.0558466911315918,2.8077776432037354,9,4.474379539489746,1.0825373871195083,830.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-3.0,0.0,0.3868379890918731,0.1569360047578811,3.403504937887192,3.947278052568436,7.1003928810185215,0.0,,,3B,2005,4.07,199,51,,,,,,,,,,,,,,,
Carl Crawford,TBD,156,687,15,101,81,46,0.03930131,0.122270742,0.167701863,0.324863883,0.301242236,0.331378299,0.468944099,0.3433007309090198,,111.51365086471048,7.612646211637184,17.271260058216722,7.2424821853637695,4.784730272802247,Carl Crawford,1201,408307,644,194,131,33,15,27,1,84,5,6,5,11,8,0.321428571,0.800322398,8.557855492788837,1.0,1.0,,5.612646211637184,92.24004262773131,9.90802025882338,0.9028961658477784,-12.34188175201416,13.24477767944336,15.034499168395996,1.4804563522338867,0.998735010623932,3.47760009765625,1,0.4412314295768738,0.4628083369711309,1311.2,0.0,0.0,0.0,0.0,4.0,-3.0,13.0,0.0,14.0,-2.336849957704544,0.0,14.479876458644865,1.508905854076147,13.651962846517563,19.77891911394321,0.0,,,LF,2005,4.42,302,63,,,,,,,,,,,,,,,
Miguel Tejada,BAL,162,704,26,89,98,5,0.056818181,0.117897727,0.211009174,0.31569343,0.304281345,0.349431818,0.515290519,0.3667431887962835,,126.34917781793212,-2.1438677958212793,20.506994388736352,2.7399892807006836,4.715255584857159,Miguel Tejada,941,123173,654,199,118,50,5,40,9,83,7,3,0,26,1,0.48192771,0.864722337,4.1667449254852675,0.4000000953674316,-2.9000000953674316,,0.3561322041787207,108.18779083827468,23.818440404925063,-0.3146668076515198,-12.504568099975586,12.189902305603027,14.404999732971191,1.4082632064819336,0.9508933424949646,,0,1.449612021446228,-1.7805290587092018,1394.2,0.0,0.0,0.0,-1.0,0.0,1.0,4.0,0.0,4.0,0.0,-0.0504788011312484,-2.2868499755859375,-1.8808488845825195,-4.218188628554344,-4.033397350895626,0.0,,,SS,2005,5.87,337,81,,,,,,,,,,,,,,,
Victor Martinez,CLE,147,622,20,73,80,0,0.101286173,0.125401929,0.170018281,0.322368421,0.305301645,0.377813504,0.475319926,0.3666292352155215,,127.78463715444836,-4.468343827058561,16.634458192192028,9.354937553405762,4.712617440910355,Victor Martinez,393,400121,547,167,114,33,0,63,9,78,5,7,0,16,1,0.807692307,0.85313343,1.220825947786762,-3.099999964237213,-0.699999988079071,,-0.668343874742277,95.5276825834634,20.985443990361887,3.432392120361328,-9.53278636932373,12.96517848968506,28.749000549316406,2.841813087463379,0.9930877089500428,1.4828799962997437,5,2.1026570796966553,1.353625874394356,1233.0,0.0,-3.0,-1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C,2005,5.15,260,53,,,,,,,,,,,,,,,
Felipe Lopez,CIN,148,648,23,97,85,15,0.087962962,0.171296296,0.194827586,0.322295805,0.29137931,0.351937984,0.486206896,0.3599978416555591,,116.49888425453211,3.9304701845394447,17.35643382439769,8.039143800735474,4.663268728543287,Felipe Lopez,1311,150479,580,169,107,34,5,57,2,111,1,7,3,8,7,0.513513513,0.83814488,5.546646658416364,3.2999998927116394,0.800000011920929,,-0.1695297200931236,95.9626746770172,18.30452257359314,1.0205520391464231,-10.815289497375488,11.83584213256836,21.942298889160156,2.2298645973205566,0.984775722026825,0.9602400064468384,5,1.935410499572754,-0.8990810934761404,1224.1,0.0,0.0,0.0,-2.0,0.0,0.0,3.0,0.0,1.0,0.0,-2.473131977021694,5.557842001318932,-1.1755167919909582,1.9091899022459984,62.5323358186567,0.0,,,SS,2005,4.25,282,62,,,,,,,,,,,,,,,
Julio Lugo,TBD,158,690,6,89,57,39,0.088405797,0.104347826,0.107142857,0.324723247,0.295454545,0.362445414,0.402597402,0.3394348813109696,,108.89220124830598,5.898703432991169,13.390800303777969,8.78317129611969,4.560239384424773,Julio Lugo,565,150061,616,182,134,36,6,61,0,72,6,4,3,5,11,0.847222222,0.765042816,6.528612465913782,1.100000023841858,1.899999976158142,,2.8987034329911694,90.43414324486936,7.742592394001139,-0.1041669622063636,-11.553423881530762,11.449257850646973,3.1404004096984863,0.3507935106754303,0.9691606760025024,1.944266676902771,3,0.302215576171875,-0.4096971989674069,1338.2,0.0,0.0,0.0,-2.0,0.0,-1.0,-2.0,0.0,-5.0,0.0,-1.465109944343567,6.941579818725586,-3.5794490575790405,1.8970099687576296,2.2898566104166687,0.0,,,SS,2005,4.35,248,48,,,,,,,,,,,,,,,
Rafael Furcal,ATL,154,689,12,100,58,46,0.089985486,0.113207547,0.144480519,0.306967984,0.284090909,0.347953216,0.428571428,0.3381508951145122,,104.75026728207033,7.546762704732828,11.656869944941228,11.003737449645996,4.522894589437199,Rafael Furcal,88,279577,616,175,121,31,11,62,3,78,1,5,5,11,10,0.794871794,0.776524644,7.905674689398046,3.1999999582767487,-0.4000000059604645,,4.746762752416544,89.57055646640899,6.998848442860855,0.8219212889671326,-10.77284336090088,11.594765663146973,14.98349952697754,1.5821479558944702,0.917343258857727,3.9830000400543217,1,1.6003234386444092,-0.7043433559100722,1306.1,0.0,0.0,0.0,3.0,0.0,1.0,20.0,0.0,24.0,0.0,0.7340440154075623,0.8099169731140137,2.7399649173021317,4.283934056758881,3.930833482602884,0.0,,,SS,2005,6.46,264,54,,,,,,,,,,,,,,,
Mark Ellis,OAK,122,486,13,76,52,1,0.090534979,0.104938271,0.161290323,0.335135135,0.315668202,0.383817427,0.476958525,0.3758547508047425,,134.6807488683997,-0.5665582247311249,20.014596907241152,7.553280234336853,4.410397571494477,Mark Ellis,1443,407885,434,137,98,21,5,44,1,51,4,0,4,10,3,0.862745098,0.860775952,4.0681652550270835,0.699999988079071,0.0,,-1.266558212810196,78.3531181769733,20.109504099405253,0.3451381325721741,-7.950788497924805,8.295926094055176,23.629199981689453,2.338613271713257,0.9462327361106871,2.2039999961853027,2,2.5794458389282227,-2.214696111508307,1019.0,0.0,0.0,0.0,2.0,0.0,-2.0,7.0,0.0,7.0,0.0,-1.7966759949922562,5.4257095196371665,2.1649814048723783,5.794021604582667,-13.749268218818559,0.0,,,2B,2005,4.69,207,39,,,,,,,,,,,,,,,
Derek Jeter,NYY,159,752,19,122,70,14,0.102393617,0.155585106,0.140672783,0.3512476,0.308868501,0.389261744,0.449541284,0.3689581987189475,,128.54174265473273,0.1610155117232352,26.36958619688427,-8.1023268699646,4.378389150928457,Derek Jeter,826,116539,654,202,153,25,5,77,3,117,11,3,7,15,5,0.658119658,0.838803028,5.324763406557917,0.5,-0.699999988079071,,0.3610154998023063,116.9434560201296,26.821649875415247,2.1380014419555664,-11.560063362121582,13.698065757751465,27.895099639892575,2.8274500370025635,0.9581212997436525,,0,2.300220727920532,-0.0687689873866417,1352.2,0.0,0.0,0.0,-2.0,0.0,1.0,-26.0,0.0,-27.0,0.0,-1.8630800247192385,-18.788799285888672,5.6994268745183945,-14.95248031616211,-13.372333674229324,0.0,,,SS,2005,3.8,294,49,,,,,,,,,,,,,,,
