Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,PB,WP,FP,TZ,Pos,Year,bWAR,TB,XBH,BatSpd,Squared-Up%,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,FRV,OAA,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,DRS
John Valentin,BOS,135,621,27,108,102,20,0.130434782,0.107890499,0.234615384,0.296296296,0.298076923,0.398703403,0.532692307,0.4045325339325075,,138.20185831792188,1.646668914007023,32.627815112136034,30.362160205841064,8.2371748707313,John Valentin,1375,123608,520,155,89,37,2,81,2,67,10,6,4,7,5,1.208955223,0.93139571,5.499555138793836,,,,1.646668914007023,114.51160360536512,37.01491431555684,2.899824857711792,-9.553618431091309,12.453441619873049,39.98099899291992,3.698677539825439,0.9292352795600892,,0,2.98546838760376,0.135188911465431,134.0,1192.2,227.0,414.0,18.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97268589,23.0,SS,1995,8.3,277,66,,,,,,,,,,,,,,,,,,
Barry Bonds,SFG,144,635,33,109,104,31,0.188976377,0.130708661,0.282608695,0.294416243,0.294466403,0.431496062,0.577075098,0.4254632845010493,,162.88972337565485,1.658915010979399,52.15989246123686,5.533951759338379,7.732031891631158,Barry Bonds,1109,111188,506,149,79,30,7,120,22,83,5,4,0,12,10,1.445783132,1.00857116,6.538670172826873,,,,1.658915010979399,128.1825444858729,48.938747869080224,7.4496259689331055,-9.69362449645996,17.14324951171875,63.03900146484375,6.3952555656433105,1.048586368560791,1.267199993133545,1,5.920555591583252,1.1838911114173687,143.0,1257.0,281.0,12.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97993311,12.0,LF,1995,7.52,292,70,,,,,,,,,,,,,,,,,,
Albert Belle,CLE,143,631,50,121,126,5,0.115689381,0.126782884,0.373626374,0.292857142,0.316849816,0.40063593,0.69047619,0.455687777354167,,173.07335579125157,-0.0106084253638982,60.20510037924089,-7.615225315093994,7.187443626253222,Albert Belle,1000802,110839,546,173,70,52,1,73,5,80,6,4,0,24,2,0.9125,1.09111212,3.76836018375934,,,,-0.0106084253638982,143.28751750039794,64.5428944056008,4.469231605529785,-11.213162422180176,15.68239402770996,48.06999969482422,4.481478214263916,1.0365278720855713,,0,5.424703121185303,-1.1129699532798822,142.0,1265.0,304.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98107256,-1.0,LF,1995,6.96,377,103,,,,,,,,,,,,,,,,,,
Edgar Martinez,SEA,145,639,29,121,113,4,0.181533646,0.136150234,0.272015656,0.383458646,0.356164383,0.478873239,0.628180039,0.4691076182549999,,182.15615898583687,-0.7063967168796808,67.85227207187594,-17.054868698120117,7.03729616462001,Edgar Martinez,1086,118365,511,182,101,52,0,116,19,87,8,4,0,11,3,1.333333333,1.107053278,2.6427521797573688,,,,-0.7063967168796808,152.25893550762007,72.51596536883184,7.580419063568115,-8.798773765563965,16.379194259643555,80.33100128173828,7.456193923950195,1.045039415359497,,0,6.357868194580078,0.8958477439335191,7.0,56.0,30.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76774194,-2.0,3B,1995,7.05,321,81,,,,,,,,,,,,,,,,,,
Reggie Sanders,CIN,133,567,28,91,99,36,0.121693121,0.215167548,0.272727273,0.352941176,0.305785123,0.396825396,0.578512396,0.4163424415020917,,153.75946264844694,1.814835388562642,40.36128228908576,7.900549411773682,6.596156186346823,Reggie Sanders,1129,121673,484,148,78,36,6,69,4,122,8,6,0,9,12,0.56557377,0.975337792,7.054491596043045,,,,1.814835388562642,110.14105736062568,39.38321061775725,3.993514060974121,-8.70339584350586,12.69690990447998,53.79999923706055,5.302127838134766,0.9703822135925292,2.0876667499542236,3,4.353607177734375,-0.238203983987228,130.0,1138.0,264.0,12.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94847543,13.0,RF,1995,6.6,280,70,,,,,,,,,,,,,,,,,,
Bernie Williams,NYY,144,648,18,93,82,8,0.11574074,0.151234567,0.179078014,0.344444444,0.306737588,0.391640866,0.485815602,0.3870708405509475,,133.14879081602268,-1.2072493112646043,26.844767362415,16.18564748764038,6.365605105778416,Bernie Williams,857,124288,564,173,117,29,9,75,1,98,5,2,2,12,6,0.765306122,0.877456468,5.2341184431048715,,,,-1.2072493112646043,110.04955863773372,29.183448074455516,2.8079278469085693,-9.297060012817385,12.104988098144531,24.614599227905273,2.333913803100586,0.9277079701423644,,0,2.0157504081726074,1.010986385387191,143.0,1274.2,428.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98169336,14.0,CF,1995,6.43,274,56,,,,,,,,,,,,,,,,,,
Chuck Knoblauch,MIN,136,629,11,107,63,46,0.124006359,0.151033386,0.154275093,0.386206896,0.332713754,0.424483306,0.486988847,0.4039922315663042,,138.89701368468045,1.1370027529774234,33.08828536039748,10.608600735664368,6.351184494027219,Chuck Knoblauch,609,117197,538,179,126,34,8,78,3,95,10,3,0,15,18,0.821052631,0.911472153,7.258926060586881,,,,1.1370027529774234,115.70323957691966,37.20820324312028,3.504634141921997,-11.653539657592772,15.158174514770508,32.16349792480469,2.8928444385528564,1.080746293067932,,0,3.130819320678711,0.1119714845280643,136.0,1162.4,254.0,400.0,10.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98491704,9.0,2B,1995,6.68,262,53,,,,,,,,,,,,,,,,,,
Craig Biggio,HOU,141,673,22,123,77,33,0.118870728,0.126300148,0.180831826,0.3200883,0.30198915,0.40634441,0.482820976,0.3941698848028948,,144.5735531266998,2.902043061098084,40.83692119229338,-0.2560633420944214,6.156656830262781,Craig Biggio,549,110987,553,167,113,30,2,80,1,85,22,7,11,6,8,0.94117647,0.889165386,6.298633372500349,,,,2.902043061098084,118.28153240476487,34.29558732901453,3.97842788696289,-11.40992832183838,15.38835620880127,44.67010116577149,4.438624858856201,1.098199725151062,2.304800033569336,1,4.648150444030762,-1.0254688899849884,139.0,1271.1,299.0,419.0,10.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98626374,-2.0,2B,1995,6.29,267,54,,,,,,,,,,,,,,,,,,
Jim Thome,CLE,137,557,25,92,73,4,0.174147217,0.202872531,0.243362831,0.369085173,0.314159292,0.438061041,0.557522123,0.4326011987154234,,158.3235570527432,-0.6854616673663259,41.73941510999,1.0696187019348145,5.9974060849040844,Jim Thome,409,123272,452,142,85,29,3,97,3,113,5,3,0,8,3,0.858407079,0.995583164,3.7954637078225217,,,,-0.6854616673663259,115.75450822514838,46.244595287268815,4.310689926147461,-8.666379928588867,12.977069854736328,36.58399963378906,3.5136241912841797,1.0324536561965942,2.8291001319885254,8,4.015575408935547,0.159614344401568,128.0,1144.2,75.0,214.0,16.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94754098,0.0,3B,1995,5.9,252,57,,,,,,,,,,,,,,,,,,
Mike Piazza,LAD,112,475,32,82,93,1,0.082105263,0.168421052,0.260368664,0.365325077,0.345622119,0.4,0.605990783,0.4271755015978249,,167.89836845368654,0.0753412990598008,40.86023385285112,4.454046249389648,5.958056266898426,Mike Piazza,893,120536,434,150,101,17,0,39,10,80,1,1,0,10,0,0.4875,1.005990783,2.2469044931982554,,,,0.0753412990598008,96.56315941582614,37.28630367885522,3.5514719486236572,-7.858253955841064,11.4097261428833,52.6619987487793,5.22947883605957,1.057796597480774,1.8313000202178955,2,5.204222679138184,-1.846798428500804,110.0,941.0,805.0,52.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,37.0,0.98960739,-2.0,C,1995,6.2,263,49,,,,,,,,,,,,,,,,,,
Tim Salmon,CAL,143,638,34,111,105,5,0.142633228,0.173981191,0.26443203,0.361111111,0.329608938,0.429467084,0.594040968,0.4405781910666879,,162.99174110586296,-1.3752177733695137,51.10863187173242,-12.575770378112791,5.833627706289183,Tim Salmon,32,121640,537,177,106,34,3,91,2,111,6,4,0,9,5,0.819819819,1.023508052,3.5838790958510156,,,,-1.3752177733695137,136.83402064486734,57.21584388657799,4.676547527313232,-8.737483978271484,13.414031982421877,66.03099822998047,6.151881217956543,0.8865578174591064,,0,4.790352821350098,0.4845964659014852,142.0,1257.1,320.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98791541,-6.0,RF,1995,6.6,319,71,,,,,,,,,,,,,,,,,,
