Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
Frank White,1013872,124170,2B,KCR,4.208962502428278,,4.08,2.741172760765033,21.80202317237854,-0.9997038054279984,,,,,106.20542039320576,0.3339733612818981,,,,,0.755831007,0.444676409,0.311154598,0.271398747,0.173277662,0.287531806,129,515,479,58,56,17,44,213,130,86,22,5,5,27,3,72,0.139805825,0.052427184,,,-0.1611741036176681,-0.4861903858879288,,,,,18.0,,,,,,,
Von Hayes,1005531,115646,CF,PHI,4.134305307751221,,4.04,23.824149354307476,-5.344306826591492,4.444459492049646,,,,,127.69108815052576,0.3598481069490747,,,,,0.805936229,0.447415329,0.3585209,0.292335115,0.155080214,0.319654427,152,622,561,85,67,16,49,251,164,115,27,6,48,59,4,84,0.135048231,0.094855305,,,1.9046648740768433,-0.6926888593253548,,,,,-4.0,,,,,,,
Ozzie Smith,1012186,122439,SS,STL,4.047710665539582,,4.98,2.6241204696469342,20.576110363006592,4.208994004264241,,,,,97.08973299305384,0.3129035182233549,,,,,0.684101684,0.33737864,0.346723044,0.257281553,0.080097087,0.264483627,124,484,412,53,44,1,26,139,106,80,20,5,35,56,5,17,0.035123966,0.115702479,,,1.6018338203430176,0.7684059617734751,,,,,14.0,,,,,,,
Mike Easler,1003635,113701,1B,BOS,3.9538868841961463,,3.72,32.63276533759655,-16.332646369934082,-0.2578326642687898,,,,,142.18932720249958,0.3945397774318343,,,,,0.891746837,0.515806988,0.375939849,0.31281198,0.202995008,0.364253393,156,666,601,87,91,27,63,310,188,125,31,5,1,58,4,134,0.201201201,0.087087087,,,2.8614261150360107,0.267313017574637,,,,,-1.0,,,,,,,
George Vukovich,1013462,123763,RF,CLE,3.9420951098072856,,4.13,8.726849462699471,14.705074310302734,-1.4139656746119726,,,,,118.27677575265652,0.3539854236216049,,,,,0.793789646,0.439359267,0.354430379,0.304347826,0.135011441,0.33604336,134,474,437,38,60,9,36,192,133,97,22,5,1,34,3,61,0.128691983,0.071729957,,,-0.3656876683235168,-0.4658123737438868,,,,,20.0,,,,,,,
Tim Wallach,1013554,123865,3B,MON,3.889048126714375,,4.37,-2.192483579952113,18.96387505531311,-2.1960527078190353,,,,,100.00493326810532,0.3154305289828422,,,,,0.706230993,0.395189003,0.31104199,0.245704467,0.149484536,0.267665952,160,643,582,55,72,18,47,230,143,96,25,4,3,50,6,101,0.157076205,0.077760497,,,0.8622702956199646,1.1281742588068973,,,,,18.0,,,,,,,
Fred Lynn,1007872,118040,RF,CAL,3.8709277476450255,,3.81,22.421489762619455,-4.834016799926758,-0.4399660777999088,,,,,132.55050209794587,0.3720226900052216,,,,,0.840108549,0.473887814,0.366220735,0.270793036,0.203094778,0.293233082,142,600,517,84,79,23,55,245,140,85,28,4,2,77,8,97,0.161666666,0.128333333,,,1.950267672538757,-1.123210211011592,,,,,-1.0,,,,,,,
Willie Wilson,1014113,124435,CF,KCR,3.774019219613931,,4.27,11.459450367685957,6.0,7.380109852878377,,,,,105.9267647852154,0.3335487744579576,,,,,0.739847835,0.390018484,0.349829351,0.3012939,0.088724584,0.33127572,128,588,541,81,44,2,35,211,163,128,24,9,47,39,2,56,0.095238095,0.06632653,,,0.7082695364952087,-0.2281960011941435,,,,,6.0,,,,,,,
Rich Gedman,1004592,114676,C,BOS,3.7703972273622393,,3.31,8.499364192208452,12.064471244812012,-0.03208206340787,,,,,114.99655308456003,0.3531062183510355,,,,,0.817551399,0.505567928,0.311983471,0.26948775,0.236080178,0.27094972,133,486,449,54,72,24,54,227,121,67,26,4,0,29,8,72,0.148148148,0.059670781,,,0.3401118814945221,0.204045440905072,,,,,5.0,,,,,,,
Bob Brenly,1001386,111423,C,SFG,3.7640477948109567,,3.72,18.702289539500097,-2.1546435356140137,-2.3797850535192993,,,,,133.04561744509408,0.3624641723930836,,,,,0.816114265,0.464426877,0.351687388,0.290513833,0.173913044,0.288636363,145,567,506,74,80,20,48,235,147,99,28,0,6,48,3,52,0.091710758,0.084656084,,,0.0436478070914745,-1.4814127212139332,,,,,-8.0,,,,,,,
Lou Whitaker,1013846,124154,2B,DET,3.761291375432474,,4.35,9.723131580497382,6.098079204559326,-0.8238554681593087,,,,,114.32461064920024,0.3433674167240819,,,,,0.763610035,0.406810035,0.3568,0.288530465,0.11827957,0.303901437,143,629,558,90,56,13,39,227,161,122,25,1,6,62,5,63,0.100158982,0.098569157,,,2.470047950744629,1.3650905966791085,,,,,2.0,,,,,,,
Carmelo Martinez,1008157,118361,LF,SDP,3.738674890184471,,4.1,6.078208182871485,11.649995803833008,-1.0285880044975784,,,,,111.08109272967968,0.3309153666976483,,,,,0.73584268,0.395491803,0.340350877,0.25,0.145491803,0.270471464,149,570,488,64,66,13,43,193,122,79,28,2,1,68,4,82,0.143859649,0.119298245,,,1.3673914670944214,1.3609567763988812,,,,,18.0,,,,,,,
Tim Teufel,1012940,123212,2B,MIN,3.7189666398136887,,3.86,1.3822754107784565,13.727949142456056,-1.0375998200615868,,,,,103.17066557747827,0.3363024917347038,,,,,0.748878656,0.399647887,0.349230769,0.262323943,0.137323944,0.278350515,157,652,568,76,61,14,47,227,149,102,30,3,1,76,8,73,0.11196319,0.116564417,,,2.538914680480957,2.28260052212649,,,,,9.0,,,,,,,
Carney Lansford,1007331,117488,3B,OAK,3.686345106483243,,4.13,14.362035430957723,-0.1111111640930175,0.5645630395156331,,,,,118.1060453714544,0.3448651927069965,,,,,0.780925685,0.438860971,0.342064714,0.299832495,0.139028476,0.311320754,151,651,597,70,74,14,50,262,179,129,31,5,9,40,6,62,0.095238095,0.061443932,,,1.9602679014205933,0.8418504005968559,,,,,-1.0,,,,,,,
Willie McGee,1008513,118694,CF,STL,3.581101841080488,,4.2,6.555807677183904,8.0,4.6243836805806495,,,,,102.84200127525844,0.3213283130496839,,,,,0.718548845,0.394045534,0.324503311,0.290718038,0.103327496,0.327868852,145,604,571,82,50,6,36,225,166,130,19,11,43,29,2,80,0.132450331,0.048013245,,,0.7680360078811646,-0.3290370199142083,,,,,8.0,,,,,,,
Leon Durham,1003592,113658,1B,CHC,3.4945924593809328,,3.68,21.79360615271059,-6.640603065490723,0.0167672976967878,,,,,135.31814320134885,0.3808382409910916,,,,,0.87389855,0.505285412,0.368613138,0.279069767,0.226215645,0.295392953,137,548,473,86,96,23,57,239,132,75,30,4,16,69,11,86,0.156934306,0.125912408,,,3.067888021469116,0.2042382153617481,,,,,1.0,,,,,,,
