Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Cliff Lee,1636,424324,- - -,7.326830863952637,,5.07,3.178963969398965,,2.583336919949099,3.058880485528375,91.85483664772728,,0.21945433,0.02135231,0.19810202,212.1,28,28,,,,0.418530351,0.6781789801384458,0.2873194221508828,0.67849687,0.063241106,0,0.2366504854368932,1.0031397414547845,75.35428546309896,60.98118568317595,3.0800012725254056,0.28216504,,0.16402116,,2.1682302951812744,-1.0294327293440095,185,18,1,16,18,7,1
Justin Verlander,8700,434378,DET,6.6966166496276855,,4.44,3.3699852175659637,,2.9664011161953545,3.5160743575161115,95.93189064714218,,0.23675676,0.07675676,0.16,224.1,33,33,,,,0.409677419,0.5616642029276606,0.2861788617886179,0.71948262,0.056,0,0.2240566037735849,1.1634472774930114,79.97234306685604,70.48547738338009,3.4557413048318697,0.31686359,,0.20395118999999995,,1.2596120834350586,-1.371683868257798,219,71,6,14,22,4,0
Félix Hernández,4772,433587,SEA,6.68214225769043,,7.15,2.271027991117307,,3.0417943629489805,3.1398020869193735,94.89003831986692,,0.23176823,0.06993007,0.16183816,249.2,34,34,,,,0.538575667,0.6128170769681622,0.2626112759643917,0.7735697,0.084577114,0,0.2101841820151679,1.0574098582980054,58.577584918020584,75.28903832738843,3.182342682897116,0.31099656,,0.21640488999999996,,4.566497802734375,1.0866835808808375,232,70,8,17,30,6,1
Roy Halladay,1303,136880,PHI,6.1568803787231445,,8.53,2.4414893121620076,,3.0060339171188133,2.799082366443503,,,0.22054381,0.03021148,0.19033233,250.2,33,33,,,,0.511854951,0.8617021101748261,0.2899159663865546,0.8269066,0.112676056,0,0.2413793103448276,1.041223383127915,60.597587411760735,75.2237214773872,2.883465258808585,0.31559633,,0.20437536,,5.051715850830078,1.8875029260599483,219,30,6,24,25,9,4
Josh Johnson,4567,435178,FLA,6.046531677246094,,6.99,2.3030852356764213,,2.413595620738528,3.021903362742613,95.43153931957612,,0.25,0.06451613,0.18548387,183.2,28,28,,,,0.457489878,0.3430126946752117,0.2971887550200803,0.79212916,0.042168674,0,0.2243125904486251,1.1052631272867932,56.43553322899897,61.598415224792625,3.080834316797978,0.29756098,,0.2508859,,3.5117080211639404,0.5249754837707372,186,48,5,7,23,1,0
Ubaldo Jiménez,3374,434622,COL,5.974774360656738,,7.53,2.8827068992078693,,3.1003988183126303,3.599275390711824,96.0764868951613,,0.2393736,0.10290828,0.13646532,221.2,33,33,,,,0.488454706,0.4060150562264604,0.2706502636203866,0.76494024,0.050761421,0,0.2068095838587642,1.1548872710441542,63.1241888682569,73.04245076276838,3.6587330736764,0.26306914,,0.21988149999999995,,4.454738140106201,-0.2053885786539293,214,92,9,10,25,4,2
Jered Weaver,4235,450308,LAA,5.86284065246582,,5.16,3.008915168165225,,3.0555541657951215,3.317768206358399,90.86375684862011,,0.25745856,0.05966851,0.19779006,224.1,34,34,,,,0.360197368,0.9227339849040024,0.2756302521008403,0.75670498,0.078498293,0,0.2197414806110458,1.07429415633751,75.53776073282783,74.7684613614202,3.126051331259438,0.32632147,,0.24868650999999997,,2.65787410736084,-0.0715809296392766,233,54,0,23,27,0,0
Francisco Liriano,3201,434538,MIN,5.610623836517334,,4.21,3.615651790118484,,2.6552337755069795,2.9495785914910533,94.38194918144612,,0.24937965,0.0719603,0.17741936,191.2,31,31,,,,0.535645472,0.4226086507930695,0.3314393939393939,0.73099415,0.063380281,0,0.2493224932249322,1.2626085616286769,86.74240952922382,64.1539198544435,3.004408936449771,0.32166446,,0.265,,1.5544521808624268,-0.2382204641337266,201,58,10,9,20,0,0
CC Sabathia,404,282332,NYY,5.49483585357666,,4.76,3.180925598124723,,3.536467942431788,3.634620979663591,94.46946337983512,,0.20309278,0.07628866,0.12680412,237.2,34,34,,,,0.507352941,0.7573632376487435,0.28125,0.75572519,0.086206896,0,0.2350956130483689,1.1907433125255245,74.80301625033225,81.50149908278797,3.6784609887862416,0.29229836,,0.20526961,,3.293302059173584,0.7442679515427701,197,74,7,20,26,2,0
Adam Wainwright,2233,425794,STL,5.063146591186523,,6.15,2.422576030340921,,2.856424186967814,3.0172155987620815,91.31315612792967,,0.23406593,0.06153846,0.17252747,230.1,33,33,,,,0.516181229,0.586107104114739,0.2749196141479099,0.79111111,0.078947368,0,0.2188235294117647,1.0506512533019767,61.88217260004795,73.2592748079517,3.1056519513643503,0.26981132,,0.22137931,,3.1432721614837646,0.2885118318508293,213,56,4,15,25,5,2
Zack Greinke,1943,425844,KCR,4.883828163146973,,3.5,4.172727272727273,,3.3414787899364127,3.604553273828192,93.61429282868528,,0.19695321,0.05984766,0.13710555,220.0,33,33,,,,0.459787556,0.7363636363636363,0.3054711246200607,0.65285379,0.075313807,0,0.2555425904317386,1.2454545454545454,100.22149385728106,80.85232893236713,3.6460720603530863,0.27976879,,0.17513020999999995,,0.6129781007766724,-0.4680810652755226,181,55,7,18,21,3,0
Jon Lester,4930,452657,BOS,4.853431224822998,,5.16,3.2451923076923075,,3.1307270416846644,3.183399818078257,93.88606059867396,,0.26132404,0.09639954,0.16492451,208.0,32,32,,,,0.535580524,0.6057692307692307,0.2892249527410208,0.74459235,0.088607594,0,0.2174479166666666,1.2019230769230769,74.66331949536509,75.84261160458024,3.232596147895348,0.28370457,,0.23677068999999995,,2.898253917694092,-0.436183705282458,225,83,10,14,20,2,0
Colby Lewis,1259,407890,TEX,4.828627586364746,,3.67,3.716417910447761,,3.5455041178423374,3.7427054528573263,91.179407447466,,0.23222749,0.07701422,0.15521327,201.0,32,32,,,,0.378947368,0.9402985074626866,0.2751798561151079,0.71892393,0.08203125,0,0.2250970245795601,1.1890547263681592,83.72628885155694,81.29462247703412,3.5612442008422622,0.27237605,,0.21027721,,1.5315258502960205,0.0484771164126351,196,65,6,21,20,1,0
Clayton Kershaw,2036,477132,LAD,4.602033615112305,,5.62,2.9070147542537113,,3.1218881043948024,3.639566868862209,93.33701711683418,,0.25,0.09551887,0.15448113,204.1,32,32,,,,0.400749063,0.5725938152317915,0.2747663551401869,0.76153177,0.057777777,0,0.2105263157894736,1.1794453800928355,75.87833230391551,79.75722250305294,3.5415887465639515,0.26860025,,0.234375,,3.19173002243042,0.350208478095086,212,81,7,13,23,1,1
Roy Oswalt,571,400061,- - -,4.3949867859482765,,5.970000000000001,2.763779660384034,,3.271543223010725,3.3046988609410173,93.26666930292694,,0.23058542,0.06571087,0.16487455,211.2,33,32,,,,0.456790123,0.8078740545737946,0.2530973451327433,0.7778915,0.091346153,0,0.2084942084942085,1.0251968996638212,69.27897072503835,81.52683724005705,3.3354494134436083,0.25290698,,0.21283783999999994,,3.6942660212516785,0.7489150999920784,193,55,5,19,24,2,2
John Danks,6329,433579,CHW,4.313830375671387,,5.22,3.7183098591549295,,3.697560736159204,3.992214946952505,91.9127589873765,,0.18451025,0.07972665,0.1047836,213.0,32,32,,,,0.4544,0.7605633802816901,0.2740384615384615,0.71488646,0.074074074,0,0.2350746268656716,1.215962441314554,85.80178180720303,84.22356669403722,4.063530552323838,0.26358526,,0.18973074999999995,,1.8261641263961792,-0.6555329029045889,162,70,4,18,21,1,1
Tim Lincecum,5705,453311,SFG,4.29989767074585,,3.27,3.433280840226976,,3.1484860649878468,3.087470966039047,92.14128069196428,,0.25752508,0.08472687,0.17279822,212.1,33,33,,,,0.488656195,0.7629512978282169,0.310405643738977,0.76461169,0.099447513,0,0.2377450980392156,1.2715854963803614,89.2537401080212,81.73733593122617,3.192772695379584,0.30308319,,0.24855861999999995,,2.2892520427703857,0.609126710026608,231,76,5,18,22,1,1
David Price,3184,456034,TBR,4.297196477651596,,4.67,2.717252329932939,,3.418098009060611,3.8296885363759894,95.976889806466,,0.21835075,0.09175377,0.12659698,208.2,32,31,,,,0.43717728,0.6469648404602236,0.2700348432055749,0.78540773,0.065217391,0,0.2187902187902188,1.1932907057377458,68.8736429292631,83.96430305951938,3.8269670287464055,0.28975033,,0.20919975000000002,,2.179372224956751,0.6275256235070663,188,79,5,15,25,2,1
