fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,10.36,54.41026476406159,22.6100811958313,1.258410694077611,,,,,158.28316256230758,0.4307332074624309,,,,,1.026141051,0.606498194,0.419642857,0.315884476,0.290613718,0.332506203,148,672,554,134,132,41,77,336,175,98,34,2,15,100,5,121,0.180059523,0.148809523,,,5.264925956726074,0.2324662614821333,,,,,16.0,,,,,,,
,8.35,42.16618770926557,22.20187759399414,2.0313437883742154,,,,,139.59086045497165,0.4075989763697852,,,,,0.950816091,0.541420118,0.409395973,0.355029585,0.186390533,0.37521815,157,747,676,121,100,25,70,366,240,170,39,6,28,64,9,82,0.109772423,0.085676037,,,3.189635753631592,-0.5388562730444195,,,,,29.0,,,,,,,
,8.86,58.09837096134058,6.434499740600586,-0.2826119721867144,,,,,161.57701947298096,0.4762792848657678,,,,,1.161690496,0.698275862,0.463414634,0.372413793,0.325862069,0.357289527,160,697,580,138,147,42,103,405,216,113,59,2,5,103,22,61,0.087517934,0.147776183,,,8.869329452514648,2.216800028730372,,,,,18.0,,,,,,,
,7.84,43.70445040619206,18.968449115753177,-2.1696596203837544,,,,,149.85766349677735,0.4235850220457429,,,,,1.00803743,0.603907637,0.404129793,0.284191829,0.319715808,0.319209039,159,678,563,120,102,47,85,340,160,75,37,1,14,112,6,163,0.240412979,0.16519174,,,2.806243896484375,-1.3901763194362018,,,,,17.0,,,,,,,
,7.76,75.17394021293735,-15.717506408691406,0.5164263837505132,,,,,182.85131542984232,0.4711511503780504,,,,,1.122962437,0.647058823,0.475903614,0.333333333,0.31372549,0.335092348,152,664,510,108,137,43,73,330,170,97,29,1,2,137,6,96,0.144578313,0.206325301,,,6.19620943069458,-0.1620105633657855,,,,,-4.0,,,,,,,
,8.16,28.6678850787038,27.45255398750305,1.5330872267950326,,,,,127.36396973408372,0.3874793452490504,,,,,0.90741368,0.541158536,0.366255144,0.303353658,0.237804878,0.31047619,161,729,656,122,104,36,78,355,199,121,36,6,21,59,0,100,0.137174211,0.080932784,,,3.760208368301392,-0.2887218303809282,,,,,25.0,,,,,,,
,7.72,62.33479120984455,-0.9242277145385742,0.9006855273619294,,,,,174.4047888557604,0.455921854932084,,,,,1.127368204,0.6875,0.439868204,0.30625,0.38125,0.271468144,143,607,480,129,106,49,81,330,147,66,28,4,11,117,22,77,0.126853377,0.192751235,,,6.110551357269287,-0.5764198453854412,,,,,5.0,,,,,,,
,7.41,44.36348571830199,14.987653255462646,0.1611366246361285,,,,,154.37665544507615,0.4316302823073299,,,,,1.033300617,0.599243856,0.434056761,0.372400756,0.2268431,0.378494623,140,599,529,104,96,21,75,317,197,122,51,3,5,61,20,50,0.083472454,0.101836393,,,4.119929790496826,-0.3242242831871342,,,,,9.0,,,,,,,
,7.16,53.69620666674994,2.3654544353485107,-1.6374586336314678,,,,,158.5308287494179,0.4311473475139269,,,,,1.02071256,0.596252129,0.424460431,0.333901192,0.262350937,0.35745614,159,695,587,114,125,33,81,350,196,115,41,7,12,90,6,107,0.153956834,0.129496402,,,4.746099472045898,-0.1994432181195087,,,,,1.0,,,,,,,
,7.27,75.85109404145925,-21.254199981689453,-0.3533584976103157,,,,,178.97774160202226,0.471414478912326,,,,,1.134084274,0.664323374,0.4697609,0.344463971,0.319859403,0.362149532,162,711,569,115,137,41,99,378,196,97,57,1,0,123,18,104,0.146272855,0.17299578,,,6.53438138961792,0.37933481767302,,,,,-9.0,,,,,,,
,6.27,42.5828490730069,13.23605579137802,-0.0811590626835823,,,,,148.7030125235099,0.4275019579856146,,,,,1.027505063,0.636200716,0.391304347,0.313620071,0.322580645,0.317191283,153,644,558,118,122,44,89,355,175,86,42,3,13,56,3,110,0.170807453,0.086956521,,,1.369704246520996,-2.2905906421517903,,,,,13.0,,,,,,,
,6.18,42.04626257723747,8.154990673065186,2.0170975227374583,,,,,143.2760543930203,0.4134711624968425,,,,,0.969995914,0.553819444,0.41617647,0.315972222,0.237847222,0.358447488,154,680,576,103,79,25,77,319,182,105,42,10,28,100,9,116,0.170588235,0.147058823,,,4.7564778327941895,1.2041029824791956,,,,,15.0,,,,,,,
,6.07,59.30609992763091,-9.04423761367798,-1.8659303227905184,,,,,173.4820919487197,0.4509590581428906,,,,,1.080623066,0.64271457,0.437908496,0.325349301,0.317365269,0.305343511,141,612,501,105,109,43,70,322,163,93,24,3,4,101,7,71,0.116013071,0.165032679,,,4.370910167694092,-2.5393176513951214,,,,,-3.0,,,,,,,
,6.31,43.200845739937655,4.715825796127319,0.7154230405576527,,,,,148.57457503727534,0.4206574405303024,,,,,0.994072095,0.582857142,0.411214953,0.295238095,0.287619047,0.348765432,152,643,525,129,108,42,67,306,155,88,25,0,10,103,3,167,0.259720062,0.160186625,,,5.384498119354248,0.836693629013709,,,,,3.0,,,,,,,
,6.42,44.24480662983709,2.911298990249634,-0.2177396081387996,,,,,150.2876119465703,0.4180102048926801,,,,,0.966894795,0.542279411,0.424615384,0.323529411,0.21875,0.331868131,150,650,544,109,94,25,67,295,176,109,40,2,3,95,1,70,0.107692307,0.146153846,,,4.1060662269592285,-0.1871082714491736,,,,,1.0,,,,,,,
,6.42,51.198031821484,-5.691475868225098,1.3007063784170896,,,,,153.31738838798103,0.4304484158092075,,,,,1.025603756,0.59391771,0.431686046,0.314847942,0.279069768,0.304535637,156,688,559,111,123,35,79,332,176,97,37,7,6,114,13,69,0.100290697,0.165697674,,,5.780618190765381,-0.8506406356591203,,,,,-3.0,,,,,,,
,5.95,49.225793721780335,-3.73868179321289,-2.722472284687683,,,,,159.57898022236196,0.4392912057032477,,,,,1.074044221,0.66374781,0.410296411,0.345008756,0.318739054,0.334792122,154,641,571,101,123,44,83,379,197,114,28,11,9,58,23,74,0.115444617,0.090483619,,,4.53238582611084,-1.1157246307260769,,,,,3.0,,,,,,,
,5.49,33.28828192067698,10.11865520477295,-0.4285471229813993,,,,,139.81585978325845,0.4048428749028557,,,,,0.943399339,0.526732673,0.416666666,0.287128712,0.239603961,0.354545454,151,624,505,92,86,28,64,266,145,81,35,1,2,107,10,151,0.241987179,0.171474358,,,2.875405788421631,1.0279576197624367,,,,,1.0,,,,,,,
,5.66,37.92302293882391,3.437121868133545,-0.3253989070653915,,,,,140.98920018372593,0.4087442577590603,,,,,0.970284042,0.566493955,0.403790087,0.310880829,0.255613126,0.294478527,156,686,579,118,111,36,75,328,180,105,38,1,14,95,10,64,0.09329446,0.138483965,,,2.163050413131714,-1.742386574294989,,,,,1.0,,,,,,,
,5.39,51.39329731583132,-11.784978866577148,-0.8570877981837839,,,,,153.4245219329557,0.4348708230391734,,,,,1.039454515,0.615254237,0.424200278,0.310169491,0.305084746,0.313364055,159,719,590,152,132,47,85,363,183,98,37,1,9,107,11,116,0.161335187,0.148817802,,,4.4197821617126465,-0.3901055834719527,,,,,0.0,,,,,,,
,6.03,56.30683156510032,-17.933924674987793,-1.0801557314116508,,,,,159.81195198868932,0.4407885212164659,,,,,1.061073117,0.625429553,0.435643564,0.328178694,0.297250859,0.326710816,159,707,582,115,143,43,87,364,191,104,44,0,1,112,18,94,0.132956152,0.158415841,,,3.327171564102173,-1.0432959052213977,,,,,-2.0,,,,,,,
,5.11,39.3755356398248,5.259001731872559,-0.049670890206471,,,,,153.18112423711074,0.422526112783735,,,,,1.01227302,0.614107883,0.398165137,0.323651452,0.290456431,0.312997347,136,545,482,90,113,38,64,296,156,92,26,0,4,58,10,69,0.126605504,0.106422018,,,5.532293796539307,0.1922139400236773,,,,,-3.0,,,,,,,
,5.74,51.14795041037759,-12.047306537628174,-0.3523968416266143,,,,,153.70331313258734,0.427523173500428,,,,,1.039779718,0.63410596,0.405673758,0.319536423,0.314569537,0.362944162,156,705,604,106,138,50,89,383,193,104,38,1,7,91,19,168,0.238297872,0.129078014,,,4.967565536499023,-0.5699703843197357,,,,,-5.0,,,,,,,
,5.51,22.807309240233895,13.104474544525146,-0.5602568532340229,,,,,127.22476625352868,0.3919842130586456,,,,,0.942457027,0.55576923,0.386687797,0.271153846,0.284615384,0.272237196,145,631,520,100,118,40,65,289,141,76,22,3,6,94,17,117,0.185419968,0.148969889,,,3.5535190105438232,-0.1615247243180171,,,,,11.0,,,,,,,
,5.68,49.52489506359182,-15.891632080078123,0.7007063694763929,,,,,154.1012568089539,0.4242217222305193,,,,,1.00169308,0.57913669,0.42255639,0.323741007,0.255395683,0.331018518,153,665,556,100,145,37,68,322,180,112,31,0,3,96,8,95,0.142857142,0.144360902,,,4.3158860206604,-0.2154870461444167,,,,,0.0,,,,,,,
,5.0600000000000005,27.26521989031593,11.979766607284546,0.4618975738994777,,,,,141.31946563511545,0.4071719966344613,,,,,0.961402669,0.581947743,0.379454926,0.304038004,0.277909739,0.337979094,128,478,421,76,91,31,55,245,128,73,24,0,2,52,0,106,0.221757322,0.10878661,,,1.71422079205513,0.2680653110941418,,,,,3.0,,,,,,,
,5.11,30.80419665868071,2.412895679473877,0.0147102233022451,,,,,137.4389607537048,0.4043886243702961,,,,,0.960828969,0.583969465,0.376859504,0.286259541,0.297709924,0.275949367,146,606,524,89,118,41,73,306,150,77,31,1,2,77,3,91,0.150165016,0.127062706,,,2.9288004636764526,0.1073759372717604,,,,,11.0,,,,,,,
,5.57,18.90659831541164,9.245077848434448,6.055463262367994,,,,,113.58634609862384,0.3708271116804867,,,,,0.852960856,0.475409836,0.37755102,0.309836065,0.165573771,0.330097087,155,697,610,111,89,19,61,290,189,128,40,2,39,64,4,82,0.117647058,0.091822094,,,-0.3902028799057007,-0.8637526229678272,,,,,7.0,,,,,,,
,5.0,18.208210067481623,10.995200157165527,1.778309572255239,,,,,119.18666699847604,0.3783160873551058,,,,,0.881502354,0.518010291,0.363492063,0.319039451,0.19897084,0.338809034,136,631,583,107,69,21,69,302,186,117,43,5,20,37,1,79,0.125198098,0.058637083,,,0.9343478083610536,-0.2968899486545941,,,,,17.0,,,,,,,
,5.16,32.52911471192306,-1.425926685333252,0.3773270503152162,,,,,138.46080561725068,0.402732971975626,,,,,0.957341773,0.566108007,0.391233766,0.307262569,0.258845438,0.316901408,141,616,537,108,121,30,73,304,165,92,37,6,13,71,11,84,0.136363636,0.11525974,,,3.5631260871887207,1.418317952026269,,,,,-3.0,,,,,,,
,4.79,58.666242010996186,-24.812411785125732,-0.1813597753643989,,,,,181.5100389271463,0.4765884914999938,,,,,1.153805641,0.697038724,0.456766917,0.350797266,0.346241458,0.402777777,118,532,439,92,122,38,74,306,154,80,34,2,1,86,9,117,0.219924812,0.161654135,,,5.201892375946045,0.6185932232143196,,,,,-18.0,,,,,,,
,4.52,24.02164210796859,4.979681015014648,-1.0099694395903498,,,,,127.1418318694164,0.389596195266933,,,,,0.881887733,0.469775474,0.412112259,0.319516407,0.150259067,0.348979591,152,678,579,112,58,14,53,272,185,132,33,6,22,79,3,79,0.116519174,0.116519174,,,3.962398052215576,1.2246364430162575,,,,,-6.0,,,,,,,
,4.19,28.719223392373237,-2.359412670135498,-1.3435543468222022,,,,,130.61060742435413,0.3974067455246335,,,,,0.935355986,0.54368932,0.391666666,0.310679611,0.233009709,0.313229571,162,722,618,106,114,31,80,336,192,112,47,2,2,78,6,85,0.117728531,0.10803324,,,4.517908096313477,1.52685196779641,,,,,5.0,,,,,,,
