Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Kevin Brown,642,111554,SDP,9.561639569699764,,8.57,2.3813229571984436,,2.232537454760956,,,,0.24903101,0.04748062,0.20155039,257.0,36,35,,,,,0.2801556420233463,0.3064971751412429,0.75879765,,0,0.2312435765673176,1.066147859922179,60.03877019872998,52.70503211637097,,,,4.304326020181179,-1.1514639280648833,257,49,10,8,29,7,3,68
Curt Schilling,73,121811,PHI,8.252049446105957,,6.16,3.249379775636726,,2.7669437899356795,,,,0.27548209,0.05601469,0.2194674,268.2,35,35,,,,,0.7704714931922134,0.3047210300429184,0.74593796,,0,0.2309197651663405,1.1054590989279582,75.91459656707238,64.38847709254193,,,,3.974152088165283,-0.4538905923399907,300,61,6,23,25,15,2,97
Roger Clemens,815,112388,TOR,8.206381797790527,,8.13,2.646306760824664,,2.653356796737052,,,,0.28199792,0.09157128,0.19042664,234.2,33,33,,,,,0.4218749908561058,0.2705479452054795,0.74818986,,0,0.1951501154734411,1.0951704308082748,56.566218043456885,59.17203580133586,,,,4.260498046875,-0.769478217868345,271,88,7,11,24,5,3,69
Randy Johnson,60,116615,- - -,7.604318141937256,,5.6899999999999995,3.2783083902087533,,2.89767883872781,,,,0.32445759,0.08481262,0.23964497,244.1,34,34,,,,,0.8472032918517003,0.3202846975088968,0.7422452,,0,0.2221006564551422,1.1828103929716975,71.72411003021253,64.82064077058455,,,,3.550899922847748,-0.3121946991559161,329,86,14,23,21,10,6,89
Greg Maddux,104,118120,ATL,7.537934303283691,,6.55,2.2231075697211153,,2.8084749499165205,,,,0.20668693,0.04559271,0.16109423,251.0,34,34,,,,,0.4661354581673306,0.2618384401114206,0.75809199,,0,0.2149732620320855,0.9800796812749004,53.034884831539074,65.45144188210566,,,,4.934048175811768,-1.3972367216118655,204,45,7,13,27,9,5,62
Pedro Martínez,200,118377,BOS,5.735383987426758,,7.26,2.8887303222845553,,3.4002078698781486,,,,0.2639327,0.07045216,0.19348055,233.2,33,33,,,,,1.0014265117253125,0.2704507512520868,0.79876434,,0,0.2146118721461187,1.091298121751943,60.863187538229845,76.67948353261103,,,,4.851471900939941,1.2872852062665388,251,67,8,26,25,3,2,75
John Smoltz,115,122477,ATL,5.218474388122559,,3.32,2.8986085257624494,,2.709728755455033,,,,0.25403818,0.06461087,0.18942731,167.2,26,26,,,,,0.5367793566226758,0.3,0.75418994,,0,0.2290679304897314,1.127236648907619,69.14976649322173,63.08981558025691,,,,3.1824820041656494,0.7599804592073691,173,44,4,10,17,2,2,54
Jamie Moyer,1091,119469,SEA,5.198729038238525,,5.55,3.5334282417010474,,3.7323243731160303,,,,0.16221766,0.04312115,0.11909651,234.1,34,34,,,,,0.8833570604252619,0.2847503373819163,0.73680063,,0,0.2537960954446854,1.177809413900349,75.59132413886002,81.13648382914855,,,,1.951488018035889,0.4429726312618354,158,42,10,23,21,4,3,92
Scott Erickson,137,113884,BAL,5.158729076385498,,4.33,4.010610160738799,,3.827481167149813,,,,0.16878403,0.06261343,0.1061706,251.1,36,36,,,,,0.8236074437231462,0.3218249075215783,0.72198922,,0,0.2784313725490196,1.4045093122428531,88.88424991445906,84.12796381620534,,,,0.311604231595993,-0.3463548268998195,186,69,13,23,21,11,2,112
David Cone,1680,112552,NYY,5.1464996337890625,,3.95,3.553772244707098,,3.4473384516762833,,,,0.24133949,0.06812933,0.17321016,207.2,31,31,,,,,0.8667737182212435,0.2948490230905861,0.73706897,,0,0.2348484848484848,1.1797753386900258,78.23627495560682,76.30142555255208,,,,2.637131929397583,-0.5052697603499401,209,59,15,20,19,3,0,82
Mike Mussina,837,119608,BAL,5.078220844268799,,4.99,3.4894990202083056,,3.483255616357049,,,,0.20958084,0.0491018,0.16047904,206.1,29,29,,,,,0.959612230557284,0.281618887015177,0.73326772,,0,0.2392405063291139,1.1147010758998754,77.33524091289887,76.72170482323384,,,,2.1030056476593018,-0.0464993026382316,175,41,4,22,18,4,2,80
Tom Glavine,90,114849,ATL,4.832435131072998,,6.14,2.472383775763928,,3.5010708534311386,,,,0.16809422,0.07922912,0.0888651,229.1,33,33,,,,,0.5101744299195408,0.2747093023255814,0.8121632,,0,0.2354312354312354,1.2034883987845575,58.98166629132334,82.01565188749225,,,,3.7215399742126465,-0.2407259038351741,157,74,2,13,26,4,3,63
Al Leiter,883,117652,NYM,4.775749206542969,,6.74,2.4715027860732626,,3.1495149358729786,,,,0.22053232,0.08998733,0.13054499,193.0,28,28,,,,,0.3730570243129453,0.2723809523809524,0.8025248,,0,0.2135785007072135,1.150259158298248,60.880547034036546,74.78447593892196,,,,3.7865121364593506,0.347350878424209,174,71,11,8,21,4,2,53
Aaron Sele,34,121986,TEX,4.702466011047363,,2.88,4.231974820415656,,3.792757240795148,,,,0.17505241,0.08805031,0.0870021,212.2,33,33,,,,,0.5924764748581919,0.3328402366863905,0.69532238,,0,0.278879813302217,1.5188087411047302,87.19649128652644,81.3004435505807,,,,1.6519039869308472,-0.2284306237917075,167,84,13,14,18,3,2,100
