fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,10.2,89.81176853163034,4.197530746459961,-0.1717386681120842,,,,,201.9879981598109,0.5385525383447346,,,,,1.244916726,0.75595238,0.488964346,0.402777777,0.353174603,0.384976525,138,605,504,133,143,39,90,381,203,113,41,10,5,83,,39.0,0.064462809,0.137190082,,,,,,,,,0.0,,,,,,,
,6.87,54.739920424456486,-1.1511545181274414,2.3334724702872336,,,,,151.33673102555971,0.4532295928098435,,,,,1.021020221,0.598055105,0.422965116,0.356564019,0.241491086,0.372007366,153,700,617,144,102,18,87,369,220,133,43,26,41,58,,56.0,0.08,0.082857142,,,,,,,,,5.0,,,,,,,
,6.58,45.156707706089705,1.2222223281860352,-4.92949190386571,,,,,148.13240597944758,0.4536662930163784,,,,,1.018228958,0.599388379,0.418840579,0.386850152,0.212538227,0.388794567,153,696,654,122,129,24,79,392,253,174,43,12,7,35,,41.0,0.058908045,0.050287356,,,,,,,,,5.0,,,,,,,
,6.43,36.147664334378554,7.865740776062012,1.8651835587807,,,,,134.2236376631327,0.4205423406579278,,,,,0.941360358,0.547420965,0.393939393,0.334442595,0.21297837,0.343339587,150,670,601,116,113,18,72,329,201,129,34,20,27,53,,50.0,0.074626865,0.079104477,,,,,,,,,14.0,,,,,,,
,6.98,53.00182338142269,-8.395061492919922,-1.3449481293791905,,,,,154.74373203846784,0.4637458299325892,,,,,1.02603371,0.568935427,0.457098283,0.392670157,0.17626527,0.397748592,150,664,573,97,134,13,64,326,225,161,40,11,6,67,,27.0,0.04066265,0.100903614,,,,,,,,,-2.0,,,,,,,
,6.52,49.41081418808663,-0.6913580894470215,0.2876063691219315,,,,,163.42868243861614,0.4785006169533398,,,,,1.057213826,0.578088578,0.479125248,0.389277389,0.188811189,0.382716049,117,518,429,79,87,12,52,248,167,115,35,5,5,70,,12.0,0.023166023,0.135135135,,,,,,,,,2.0,,,,,,,
,5.53,45.25376080300618,-6.611111164093018,-1.040735006215982,,,,,146.61479434476044,0.4425550428871623,,,,,0.991525832,0.57835218,0.413173652,0.366720516,0.211631664,0.366548042,153,681,619,92,128,21,77,358,227,150,44,12,3,47,,36.0,0.052863436,0.069016152,,,,,,,,,0.0,,,,,,,
,0.0,56.337690795809934,-1.8827160596847536,3.5375310031231493,,,,,221.2526109662426,0.5622451116446576,,,,,1.299346404,0.776470588,0.522875816,0.42745098,0.349019608,,71,306,255,97,97,20,46,198,109,63,23,3,17,51,,,,0.166666666,,,,,,,,,0.0,,,,,,,
,5.53,51.51846380954888,-13.265431880950928,-1.7485673709306866,,,,,156.2801597211423,0.4562078811379852,,,,,1.014816728,0.568807339,0.446009389,0.350458715,0.218348624,0.349173553,145,649,545,99,130,22,59,310,191,132,21,16,4,86,,39.0,0.060092449,0.132511556,,,,,,,,,-7.0,,,,,,,
,0.0,50.86867457485019,-2.339311122894287,2.349595103878528,,,,,189.54996119941987,0.4842809451725876,,,,,1.106895319,0.667574931,0.439320388,0.370572207,0.297002724,,94,412,367,93,126,19,57,245,136,79,24,14,11,45,,,,0.1092233,,,,,,,,,0.0,,,,,,,
,5.61,44.42566191413674,-4.666666746139526,-1.4243218167684972,,,,,162.58522770408933,0.4776829150534167,,,,,1.065631598,0.597590361,0.468041237,0.378313253,0.219277108,0.370843989,121,490,415,97,102,12,55,248,157,102,31,12,13,65,,12.0,0.024489795,0.132653061,,,,,,,,,-2.0,,,,,,,
,5.07,37.32134946668968,-7.438271522521973,0.3674604020779952,,,,,137.82046584762566,0.4242053193088024,,,,,0.943907677,0.540584415,0.403323262,0.358766233,0.181818182,0.356896551,150,670,616,125,103,14,70,333,221,151,42,14,3,45,,22.0,0.03283582,0.067164179,,,,,,,,,-1.0,,,,,,,
,5.4,33.305803273519125,0.7654323577880859,-3.091862259316258,,,,,146.45911938392084,0.4490211706732954,,,,,0.983068404,0.527272727,0.455795677,0.370454545,0.156818182,0.391089108,130,524,440,104,68,5,49,232,163,114,34,10,14,69,,31.0,0.059160305,0.131679389,,,,,,,,,6.0,,,,,,,
,4.57,29.63398077854918,3.104938507080078,-2.3613575648050755,,,,,141.23980477105536,0.4332367173860829,,,,,0.957781939,0.534632034,0.423149905,0.341991341,0.192640693,0.362282878,122,532,462,112,57,12,57,247,158,101,37,8,6,59,,47.0,0.088345864,0.110902255,,,,,,,,,8.0,,,,,,,
,5.2,14.694815719973558,16.716049194335938,-0.2660696434322744,,,,,118.31938095854802,0.3850282296730449,,,,,0.82551894,0.425887265,0.399631675,0.319415448,0.106471817,0.331868131,128,560,479,75,49,2,39,204,153,114,29,8,7,64,,22.0,0.039285714,0.114285714,,,,,,,,,9.0,,,,,,,
,5.28,10.79384471654222,14.475902557373049,-1.147360950126313,,,,,111.42614506272524,0.3860738885825908,,,,,0.826708968,0.424342105,0.402366863,0.335526315,0.08881579,0.336650082,155,699,608,78,98,1,45,258,204,159,37,7,7,64,,4.0,0.00572246,0.09155937,,,,,,,,,5.0,,,,,,,
,0.0,44.21263671971324,-3.7160494327545166,2.950801524682902,,,,,183.005487715138,0.4740497487247305,,,,,1.068480023,0.616099071,0.452380952,0.359133126,0.256965945,,87,378,323,74,84,14,46,199,116,70,23,9,14,55,,,,0.145502645,,,,,,,,,0.0,,,,,,,
,4.43,31.40078165564255,-3.209876537322998,4.26784591388423,,,,,130.00866136119689,0.4162542847246905,,,,,0.90907556,0.490774907,0.418300653,0.343173431,0.147601476,0.349420849,133,620,542,109,44,5,57,266,186,129,39,13,46,66,,19.0,0.030645161,0.106451612,,,,,,,,,0.0,,,,,,,
,5.16,30.994495551564977,-0.4197530746459961,1.227304436499253,,,,,137.35419465127055,0.4272761953662532,,,,,0.903593251,0.442352941,0.46124031,0.345882352,0.096470589,0.347826086,118,533,425,80,80,3,32,188,147,115,26,3,19,87,,8.0,0.01500938,0.163227016,,,,,,,,,-4.0,,,,,,,
,4.29,-0.1635043315064255,23.413780212402344,-2.498393300920725,,,,,102.4258493330166,0.3684354718341384,,,,,0.821541297,0.480456026,0.341085271,0.307817589,0.172638437,0.303191489,153,660,614,97,121,18,60,295,189,129,32,10,3,31,,32.0,0.048484848,0.046969696,,,,,,,,,14.0,,,,,,,
,4.58,14.076997636717206,5.935985565185547,0.296799739007838,,,,,112.99983829454922,0.3828202132729516,,,,,0.830624595,0.442218798,0.388405797,0.349768875,0.092449923,0.354231974,152,709,649,111,87,1,45,287,227,182,31,13,26,37,,10.0,0.014104372,0.052186177,,,,,,,,,12.0,,,,,,,
,4.58,13.88753850794135,4.222222328186035,-0.527786435210146,,,,,113.46604759019274,0.3848185886588089,,,,,0.821770488,0.421487603,0.400282885,0.299173553,0.12231405,0.324863883,153,716,605,135,50,2,54,255,181,127,36,16,43,90,,52.0,0.072625698,0.125698324,,,,,,,,,8.0,,,,,,,
,4.51,27.905447488247894,1.4012346267700195,-1.5201086995657531,,,,,146.86019816275746,0.4586687766322212,,,,,1.018159806,0.56779661,0.450363196,0.358757062,0.209039548,0.353658536,103,420,354,87,47,11,44,201,127,83,25,8,8,54,,15.0,0.035714285,0.128571428,,,,,,,,,5.0,,,,,,,
,3.72,13.665224368993329,8.09876537322998,-2.1611080662114546,,,,,118.7756063553896,0.3877558045800077,,,,,0.846650745,0.45972495,0.386925795,0.318271119,0.141453831,0.330508474,145,578,509,86,71,6,44,234,162,118,22,16,14,57,,31.0,0.053633217,0.098615916,,,,,,,,,14.0,,,,,,,
,0.0,39.334681697291515,-2.592592477798462,2.104957861942239,,,,,210.5859402408755,0.517167201731354,,,,,1.18366228,0.71491228,0.46875,0.403508771,0.311403509,,60,256,228,58,73,17,33,163,92,59,12,4,10,28,,,,0.109375,,,,,,,,,0.0,,,,,,,
,4.22,11.774623305695332,10.84106159210205,-1.251819791039452,,,,,116.4804128134691,0.385144750943175,,,,,0.846413228,0.472111553,0.374301675,0.33067729,0.141434263,0.324947589,120,542,502,89,48,11,43,237,166,123,26,6,21,32,,14.0,0.025830258,0.05904059,,,,,,,,,6.0,,,,,,,
,0.0,30.34117503188268,4.382716178894043,2.1254668636247516,,,,,165.6540166015229,0.4681887229941538,,,,,1.047344972,0.603636363,0.443708609,0.389090909,0.214545454,,72,302,275,56,86,13,30,166,107,77,14,3,10,27,,,,0.089403973,,,,,,,,,0.0,,,,,,,
,3.67,9.551033888536832,8.660289287567139,-1.0098448684439063,,,,,111.00564978988844,0.3833098027133202,,,,,0.840365167,0.463620981,0.376744186,0.319796954,0.143824027,0.323321554,150,658,591,114,106,6,59,274,189,130,39,14,15,52,,19.0,0.028875379,0.079027355,,,,,,,,,4.0,,,,,,,
,0.0,32.58566597595319,-2.1847643852233887,6.136324630002491,,,,,149.0547503920587,0.4209734143280401,,,,,0.939858793,0.544736842,0.395121951,0.347368421,0.197368421,,87,410,380,94,58,10,49,207,132,83,33,6,30,30,,,,0.073170731,,,,,,,,,0.0,,,,,,,
,3.81,7.886559824433073,9.488148093223572,0.2598588962573558,,,,,108.26179723761096,0.3708965865413794,,,,,0.820909504,0.470989761,0.349919743,0.30887372,0.162116041,0.314453125,147,633,586,87,99,20,52,276,181,129,29,3,5,35,,54.0,0.085308056,0.055292259,,,,,,,,,8.0,,,,,,,
,4.05,25.148959608136963,-2.407407283782959,-0.2122763259103521,,,,,136.71615287981544,0.4406392541270034,,,,,1.003382588,0.613138686,0.390243902,0.330900243,0.282238443,0.298387096,102,462,411,83,105,25,61,252,136,75,31,5,10,37,,14.0,0.03030303,0.08008658,,,,,,,,,2.0,,,,,,,
,4.11,19.475480532508858,-4.925925970077515,-3.447225026320666,,,,,122.78135451904784,0.4028218726197038,,,,,0.872933467,0.462057335,0.410876132,0.34232715,0.119730185,0.365630712,150,673,593,117,61,3,52,274,203,151,36,13,12,65,,43.0,0.063893016,0.096582466,,,,,,,,,-1.0,,,,,,,
,0.0,34.331563931948295,-3.1666667461395264,1.1194347894052044,,,,,185.320830144422,0.4776694017487603,,,,,1.076733709,0.624031007,0.452702702,0.372093023,0.251937984,,77,296,258,60,62,12,35,161,96,61,17,6,5,38,,,,0.128378378,,,,,,,,,0.0,,,,,,,
,3.71,26.425740526137577,-1.5370369255542755,-0.0694580260897055,,,,,145.67348847054316,0.4414928696657482,,,,,0.987947532,0.564263322,0.42368421,0.313479623,0.250783699,0.318681318,108,388,319,64,61,13,44,180,100,56,21,10,6,56,,33.0,0.085051546,0.144329896,,,,,,,,,3.0,,,,,,,
,3.55,12.182708443017027,6.826164722442627,-0.1522052283398807,,,,,115.47881237787614,0.395629416770788,,,,,0.864031324,0.470967741,0.393063583,0.322580645,0.148387096,0.352798053,122,533,465,93,55,5,48,219,150,102,32,11,3,46,,49.0,0.091932457,0.086303939,,,,,,,,,3.0,,,,,,,
,0.0,30.2551435615153,2.505446672439575,0.6820360156707466,,,,,200.39310950173152,0.52695700051128,,,,,1.211134869,0.737704918,0.473429951,0.404371584,0.333333334,,50,207,183,47,64,15,30,135,74,44,14,1,3,24,,,,0.115942028,,,,,,,,,0.0,,,,,,,
,3.53,18.767514334088364,2.765432357788086,-1.3288030752446502,,,,,131.55263352160696,0.4184115084863844,,,,,0.936032629,0.543175487,0.392857142,0.289693593,0.253481894,0.296992481,98,426,359,61,66,25,39,195,104,65,12,2,2,59,,68.0,0.159624413,0.138497652,,,,,,,,,7.0,,,,,,,
,0.0,24.174813871027915,2.4170660972595215,3.5146091777132824,,,,,143.63974303845794,0.4125079504317707,,,,,0.927626719,0.549848942,0.377777777,0.323262839,0.226586103,,83,360,331,71,72,14,41,182,107,66,21,6,17,29,,,,0.080555555,,,,,,,,,0.0,,,,,,,
,3.33,16.068377832838003,-1.3086419105529783,-4.798964797751978,,,,,124.25250826254732,0.3972508099206783,,,,,0.877864133,0.494444444,0.383419689,0.338888888,0.155555556,0.337837837,134,590,540,91,83,8,52,267,183,131,28,16,22,35,,14.0,0.023728813,0.059322033,,,,,,,,,2.0,,,,,,,
,3.65,13.82919316767665,-3.77847671508789,-3.793431714759208,,,,,116.9351905688672,0.3924311910356794,,,,,0.889236621,0.541666666,0.347569955,0.290064102,0.251602564,0.276119402,156,696,624,101,138,33,79,338,181,102,34,12,13,54,,55.0,0.079022988,0.077586206,,,,,,,,,1.0,,,,,,,
