fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,10.55,77.51716219102337,16.814814567565918,-0.8136030645109713,,,,,171.83742154610977,0.4969294497068378,,,,,1.138822282,0.679401993,0.459420289,0.380398671,0.299003322,0.381526104,156,712,602,156,149,39,94,409,229,135,47,8,2,87,,65.0,0.091292134,0.122191011,,,,,,,,,12.0,,,,,,,
,7.9,64.26721874827258,-1.8496294021606443,-2.7599112750031054,,,,,173.72807402944227,0.4802240279901449,,,,,1.087780728,0.62475822,0.463022508,0.353965183,0.270793037,0.36231884,149,638,517,123,118,33,65,323,183,118,23,9,9,103,,70.0,0.109717868,0.161442006,,,,,,,,,4.0,,,,,,,
,7.21,62.229567465617606,0.592592716217041,0.0190499448217451,,,,,160.27015074714893,0.4749306985233203,,,,,1.083657565,0.634862385,0.44879518,0.328440366,0.306422019,0.294623655,150,674,545,138,151,42,81,346,179,98,37,2,6,113,,38.0,0.056379821,0.167655786,,,,,,,,,7.0,,,,,,,
,7.86,50.81443380447344,9.864197731018066,-1.0268346518278122,,,,,157.83995117076338,0.4537923776500571,,,,,1.040038971,0.641996557,0.398042414,0.364888123,0.277108434,0.349705304,143,629,581,114,157,34,84,373,212,128,41,9,4,31,,38.0,0.060413354,0.049284578,,,,,,,,,16.0,,,,,,,
,8.07,66.50056590757674,-4.746913433074951,-1.3538581780157983,,,,,181.12281477603773,0.4854689155306135,,,,,1.127708377,0.697394789,0.430313588,0.344689378,0.352705411,0.320610687,135,587,499,121,154,46,78,348,172,94,26,6,5,72,,60.0,0.10221465,0.12265758,,,,,,,,,1.0,,,,,,,
,7.43,61.58429642508567,-6.65432071685791,-1.0204053814522922,,,,,155.92267463464088,0.483795265467386,,,,,1.087438111,0.622257053,0.465181058,0.398119122,0.224137931,0.378194207,154,731,638,152,122,32,73,397,254,181,35,6,2,76,,19.0,0.025991792,0.103967168,,,,,,,,,0.0,,,,,,,
,0.0,60.502426532607984,7.221116781234741,2.595919595565647,,,,,220.99860680355928,0.6020029141657376,,,,,1.421413715,0.869918699,0.551495016,0.451219512,0.418699187,,66,301,246,86,81,22,55,214,111,56,29,4,16,48,,,,0.159468438,,,,,,,,,20.0,,,,,,,
,7.52,56.15762081858368,-3.65432071685791,-2.28768402710557,,,,,159.2715763353599,0.4491169626221937,,,,,1.014969151,0.584086799,0.430882352,0.300180831,0.283905968,0.291111111,154,692,553,127,126,35,77,323,166,89,32,10,4,122,,68.0,0.098265895,0.176300578,,,,,,,,,3.0,,,,,,,
,7.78,46.54489273316523,7.537036895751953,-4.063431384507567,,,,,155.93081844123677,0.4435592422222589,,,,,0.990965457,0.561467889,0.429497568,0.35412844,0.207339449,0.363070539,147,635,545,101,106,18,66,306,193,127,37,11,9,68,,45.0,0.070866141,0.107086614,,,,,,,,,3.0,,,,,,,
,0.0,54.243421352484745,6.1111113131046295,5.4598654843866825,,,,,182.16177104596497,0.4840775072850563,,,,,1.110226937,0.665782493,0.444444444,0.363395225,0.302387268,,99,432,377,109,128,26,56,251,137,81,24,6,31,53,,,,0.122685185,,,,,,,,,0.0,,,,,,,
