Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
CC Sabathia,404,282332,- - -,7.349384069442749,,6.73,2.703557393780656,,2.9067218305475757,3.0617142299008657,94.87655461743272,,0.24535679,0.05767351,0.18768328,253.0,35,35,,,,0.466374269,8.92885402419664,2.098814292540246,4.25423729,0.675889348445164,0.296943231441048,0.77743902,0.087557603,0,0.2330198537095089,1.1146245395411476,63.21109845916039,67.76100631035888,3.1523063796419124,0.33492537,,0.26696833,,4.759317994117737,0.1518779053885106,251,59,7,19,25,10,5,76
Tim Lincecum,5705,453311,SFG,7.1343334200792015,,7.82,2.6167402640012676,,2.6165997431805623,3.1254765890834952,94.49760135252085,,0.28556034,0.09051724,0.1950431,227.0,34,33,,,,0.4390681,10.506608635762666,3.330396699637977,3.1547619,0.4361233773335445,0.304270462633452,0.77942323,0.056122448,0,0.2171837708830549,1.1718062461689178,60.832311428054865,61.5971575272749,3.168204331096097,0.30550514,,0.25550660999999997,,5.118879958987236,1.0152613093872187,265,84,6,11,26,2,1,66
Cliff Lee,1636,424324,CLE,6.746829509735107,,6.79,2.5388060279688145,,2.8320182731970034,3.5213656888344342,91.07533134095634,,0.19079686,0.03815937,0.15263749,223.1,31,31,,,,0.458893871,6.850746424677753,1.3701492849355503,5.0,0.4835821005654884,0.3014925373134328,0.78323455,0.051063829,0,0.2511737089201878,1.1104477864837143,59.11414558199092,67.0021634896485,3.5951231647316733,0.31772053,,0.15897755999999996,,5.816143989562988,1.2887220502371592,170,34,5,12,23,4,2,63
Roy Halladay,1303,136880,TOR,6.661683216691017,,6.23,2.780487613547507,,3.03039227076221,3.108600473464664,87.27493896484376,,0.20871327,0.03951368,0.1691996,246.0,34,33,,,,0.537062937,7.536584847247189,1.4268291701099047,5.28205128,0.6585365400507253,0.2837078651685393,0.74450773,0.09375,0,0.235042735042735,1.0528454560070235,64.02351291926901,69.50274399901834,3.124597273960538,0.31812421,,0.18181818000000005,,4.28631404042244,-0.8258777526440237,206,39,12,18,23,9,2,76
Dan Haren,1757,429717,ARI,6.083142280578613,,6.06,3.3333333333333335,,3.007018280029297,3.164135218860099,91.52763911862004,,0.2338252,0.04540295,0.18842225,216.0,33,33,,,,0.442276422,8.583333333333334,1.6666666666666667,5.15,0.7916666666666666,0.3032786885245901,0.73410922,0.089201877,0,0.2443113772455089,1.1296296296296295,73.76046740629498,67.72710742384774,3.202285013609562,0.31453218,,0.21218344,,2.713079929351806,-0.4820536835309355,206,40,6,19,23,1,1,80
Brandon Webb,1692,425630,ARI,5.462778568267822,,5.64,3.295588383196141,,3.282018286761116,3.3278026134864005,87.59697808159723,,0.19385593,0.06885593,0.125,226.2,34,34,,,,0.643712574,7.266176796685468,2.5808824687680625,2.81538462,0.5161764937536124,0.2876304023845007,0.70996979,0.095588235,0,0.2376009227220299,1.195588288950675,72.92524185699098,73.97647729641436,3.222173858694032,0.33231707,,0.22689075999999997,,3.837517976760864,1.2744768034838638,183,65,12,13,24,3,1,83
Ervin Santana,3200,429722,LAA,5.345852851867676,,5.08,3.493150684931507,,3.2964018416731324,3.4789189490621495,95.29778022670024,,0.23857302,0.05239688,0.18617614,219.0,32,32,,,,0.387722132,8.794520547945206,1.9315068493150684,4.55319149,0.9452054794520548,0.2892561983471074,0.74275362,0.089494163,0,0.2351543942992874,1.1187214611872147,80.93490584768593,77.20281413132962,3.318199337135068,0.28947368,,0.22961513,,3.416813850402832,0.5060240736961927,214,47,8,23,22,2,1,85
Johan Santana,755,276371,NYM,5.208318710327148,,7.13,2.534850530074681,,3.5075516918922127,3.6105835308857017,91.97537055335968,,0.21369295,0.0653527,0.14834025,234.1,34,34,,,,0.412462908,7.911806199930066,2.419630051434923,3.26984127,0.8833570029048131,0.2739520958083832,0.82641196,0.093877551,0,0.229654403567447,1.1479373612627766,60.55397766649805,81.93655915973353,3.69164334102665,0.29701121,,0.22590012000000004,,3.9684879779815674,0.6562596450505893,206,63,4,23,28,3,2,66
A.J. Burnett,512,150359,TOR,5.041775405406952,,2.42,4.0662648733545845,,3.448283325734654,3.494349959107694,95.12041168304646,,0.24137931,0.08986416,0.15151515,221.1,35,34,,,,0.48538961,9.39307185744909,3.4969877910849427,2.68604651,0.7725903259373711,0.3137254901960784,0.70508232,0.097435897,0,0.2447795823665893,1.3418674082070128,93.62982247571844,78.99143774427279,3.560837680388474,0.26987812,,0.23685917999999995,,1.0324698686599731,0.5777825437874635,231,86,9,19,19,1,0,100
John Danks,6329,433579,CHW,4.914738178253174,,6.39,3.3230769230769233,,3.4397105877216045,3.819539666634339,91.72974889905149,,0.19776119,0.07089552,0.12686567,195.0,33,33,,,,0.428076256,7.338461538461538,2.6307692307692307,2.78947368,0.6923076923076923,0.2934973637961335,0.76126126,0.073529411,0,0.2449528936742934,1.2256410256410255,73.52530450654996,75.86477429881735,3.917417410435091,0.28685548,,0.22556894000000005,,3.0024118423461914,-0.2957073934152743,159,57,4,15,19,0,0,72
Ryan Dempster,517,133225,CHC,4.802844047546387,,6.89,2.961290468340989,,3.4078247452179187,3.695092327692712,91.82369070643324,,0.21845794,0.08878505,0.1296729,206.2,33,33,,,,0.480902777,8.14354878793772,3.3096775822634585,2.46052632,0.6096774493643212,0.2797202797202797,0.76663858,0.076502732,0,0.2250970245795601,1.209677478897463,65.53749719284406,77.5395370143246,3.800933363915586,0.28939109,,0.24881677000000002,,3.700814008712769,0.1637279892584908,187,76,7,14,21,1,0,68
Ben Sheets,710,282656,MIL,4.773299217224121,,4.38,3.0857143648475036,,3.3790771098945385,3.880787476302187,93.5908910419314,,0.19458128,0.05788177,0.13669951,198.1,31,31,,,,0.40609137,7.169748083028023,2.1327731639387157,3.36170213,0.7714285912118759,0.2784380305602716,0.75536062,0.069958847,0,0.2369109947643979,1.1495798614137758,72.79125044587528,77.66520332091561,3.880250294229537,0.30457227,,0.18115941999999996,,2.437152147293091,0.5832354321587565,158,47,1,17,18,5,3,68
Javier Vazquez,801,134320,CHW,4.761573314666748,,3.08,4.6655997721875115,,3.736818250498049,3.7912182701696975,92.62187879862236,,0.2247191,0.06853933,0.15617978,208.1,33,33,,,,0.382352941,8.639999578125021,2.6351998713281315,3.27868852,1.0799999472656276,0.3160535117056856,0.68292683,0.098039215,0,0.2600243013365735,1.319999935546878,103.2295224866921,82.35991981490237,3.6560752470965254,0.2986014,,0.21437994999999999,,0.1858939826488495,-0.3634496683985221,200,61,6,25,17,1,0,108
Aaron Cook,1571,346871,COL,4.749261379241943,,4.35,3.96056791866478,,3.76135583460805,4.022659746212371,92.19091399898376,,0.10835214,0.05417607,0.05417607,211.1,32,32,,,,0.559109874,4.0883281741055795,2.0441640870527897,2.0,0.5536277735767972,0.3075862068965517,0.68939956,0.076470588,0,0.2829736211031175,1.3438486127847042,84.99280151850901,83.24156307343019,4.226485792456896,0.26455026,,0.10641297000000005,,1.995642066001892,0.0867544980975076,96,48,4,13,18,2,1,93
Cole Hamels,4972,430935,PHI,4.647189617156982,,4.3,3.0879766086785683,,3.721461108466517,3.5765528394702115,90.94369984781406,,0.21444201,0.05798687,0.15645514,227.1,33,33,,,,0.395061728,7.7595309653974285,2.0982405161533864,3.69811321,1.108504423628204,0.2594339622641509,0.76034649,0.111553784,0,0.2244186046511627,1.082111461160866,71.01828479648229,84.8608659097693,3.6337818351125177,0.30860742,,0.22567163999999995,,2.590847969055176,-0.2346696948822271,196,53,1,28,23,2,2,78
Rich Harden,1772,425848,- - -,4.492067813873291,,5.9,2.067567460984541,,2.9495858570012494,3.4983846484628502,92.2858662299791,,0.30420168,0.10252101,0.20168067,148.0,25,25,,,,0.299711815,11.006756189358882,3.709459268236971,2.96721311,0.6689188844361752,0.2507374631268436,0.84370678,0.064705882,0,0.1807909604519774,1.0608107561260556,47.76238198495332,68.40187706526505,3.252163106991074,0.31339511,,0.29792978999999997,,3.959526300430298,0.5727906797466886,181,61,3,11,14,0,0,34
Josh Beckett,510,277417,BOS,4.2989702224731445,,3.34,4.026768407481416,,3.2410048893485945,3.1924839338046627,94.86874842330978,,0.23724138,0.04689655,0.19034483,174.1,27,27,,,,0.407554671,8.879540590856456,1.7552580237739506,5.05882353,0.9292542478803268,0.3150406504065041,0.71278826,0.105263157,0,0.2536656891495601,1.187380427847084,89.25822932209225,77.143148672257,3.208022758081581,0.29296236,,0.18606557,,1.4390720129013062,-0.921569345642166,172,34,9,18,16,1,0,78
Derek Lowe,199,117955,LAD,4.2913641929626465,,4.47,3.241706629995428,,3.25524104666655,3.3178250910640013,88.75588156960227,,0.17273796,0.05287897,0.11985899,211.0,34,34,,,,0.603100775,6.270143086964842,1.9194315572341352,3.26666667,0.597156484472842,0.2795031055900621,0.70780399,0.094594594,0,0.2409937888198757,1.1327015856270577,77.18929307154944,76.21270875665368,3.368591176892098,0.26612398,,0.20780255000000003,,1.5707800388336182,-1.4792856554707556,147,45,1,14,20,1,0,76
Jon Lester,4930,452657,BOS,4.270571231842041,,6.13,3.2091920695301734,,3.635980293911072,4.024843342562378,92.84227380087208,,0.17391304,0.07551487,0.09839817,210.1,33,33,,,,0.474683544,6.503962594247818,2.8240890211865524,2.3030303,0.599049186312299,0.2974683544303797,0.77399381,0.07,0,0.2531328320802005,1.274168110569017,71.13565338115015,86.4565853784851,4.146373041095224,0.32152062,,0.17004049,,3.114556074142456,0.9301203090874436,152,66,10,14,20,2,2,75
Mark Buehrle,225,279824,CHW,4.234164714813232,,4.44,3.7865850135445,,3.941469424229027,3.978634671320804,87.26719851460221,,0.15250545,0.05664488,0.09586057,218.2,34,34,,,,0.495762711,5.7621945858285875,2.140243703307761,2.69230769,0.9054877206302064,0.3118741058655221,0.71750563,0.098654708,0,0.2787456445993031,1.335365729414244,83.78073171505494,86.83385071590534,4.121150075069547,0.30576441,,0.14248021,,1.7261618375778198,0.6698421077829924,140,52,5,22,24,1,0,92
Ricky Nolasco,3830,445060,FLA,4.227290958166122,,4.23,3.5180529854384908,,3.772520563857455,3.685704331016776,92.26415579964684,,0.21428571,0.0483871,0.16589862,212.1,34,32,,,,0.387096774,7.883829581826015,1.7802195829929712,4.42857143,1.1868130553286476,0.2706270627062706,0.75697211,0.106870229,0,0.2341463414634146,1.1020406942337442,81.32379272185291,88.5041762645084,3.5579441040391613,0.31231454,,0.20423000999999996,,1.5339619666337967,0.5792503573411196,186,42,6,28,23,1,1,83
Ubaldo Jiménez,3374,434622,COL,4.18082332611084,,3.82,3.986577079143727,,3.8266491347285823,4.162456483802222,96.02152571097884,,0.19815668,0.11866359,0.07949309,198.2,34,34,,,,0.544014084,7.791946109235466,4.666107263088681,1.66990291,0.4983221348929659,0.2989510489510489,0.70815451,0.069182389,0,0.2410596026490066,1.4345637216615683,85.55095162719228,84.6968920228868,4.306382001525052,0.25158028,,0.19788731999999998,,0.5558501482009888,-1.2876291770926476,172,103,10,11,18,1,0,88
Gil Meche,1089,219194,KCR,4.1805739402771,,4.9,3.97939787752899,,3.607454107691064,3.9381150855089313,93.17195936825054,,0.20654628,0.08239278,0.1241535,210.1,34,34,,,,0.39158576,7.830428081589304,3.1236133877378096,2.50684932,0.8129952653016217,0.3027823240589198,0.71485623,0.079166666,0,0.2509225092250922,1.3169572426230949,89.62225524889301,84.13789228839396,4.008290665270241,0.2733564,,0.20309597999999995,,1.221165895462036,-0.4931923012663359,183,73,0,19,21,0,0,93
Zack Greinke,1943,425844,KCR,4.18037223815918,,5.23,3.469522327744167,,3.56200181637366,3.712048680045635,94.08789826718838,,0.21504113,0.06580494,0.14923619,202.1,32,32,,,,0.426666666,8.140033153553622,2.4909391070983764,3.26785714,0.9341021651618912,0.3083475298126065,0.75236457,0.091304347,0,0.2553729456384324,1.2751235905384546,78.13906154111527,83.08670205852796,3.685370523463198,0.27469553,,0.19862069000000004,,1.972243905067444,0.2639485272077144,183,56,4,21,23,1,0,78
