Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Frank Sullivan,1012691,122945,BOS,6.41367244720459,,6.35,2.729916493647452,,2.9509213809762396,,,,0.13215401,0.04994797,0.08220604,240.2,31,30,,,,,4.74930677661954,1.795013584864078,2.64583333,0.5983378616213594,0.2490170380078637,0.77535624,,0,0.227373068432671,1.0554015059154531,66.61053221583367,70.62761778358082,,,,,,127,48,7,16,,14,3,73
Billy Pierce,1010326,120562,CHW,5.91365385055542,,3.54,3.2568093385214008,,2.87669508336583,,,,0.16101695,0.06685499,0.09416196,257.0,37,34,,,,,5.988326848249027,2.4863813229571985,2.4084507,0.6303501945525292,0.2621722846441947,0.73508006,,2,0.2303030303030303,1.1634241245136188,87.79860702070489,76.03161371614537,,,,,,171,71,1,18,,16,4,93
Connie Johnson,1006438,116572,BAL,5.412689685821533,,2.85,3.1983471074380163,,2.762246744297753,,,,0.17933131,0.0668693,0.11246201,242.0,35,30,,,,,6.582644628099174,2.4545454545454546,2.68181818,0.6322314049586777,0.2693370165745856,0.73094868,,0,0.2309368191721132,1.1487603305785123,90.27707288582954,76.37647688017164,,,,,,177,66,3,17,,14,3,86
Don Drysdale,1003516,113581,BRO,5.070748329162598,,6.0,2.6877828054298645,,3.04017202757063,,,,0.16245884,0.06695939,0.09549945,221.0,34,29,,,,,6.027149321266968,2.484162895927602,2.42622951,0.6923076923076923,0.2654867256637168,0.78358209,,0,0.2336892052194543,1.167420814479638,66.87749606201578,77.036926762577,,,,,,148,61,7,17,,9,4,66
Willard Nixon,1009610,119815,BOS,4.664050102233887,,1.85,3.675392670157068,,3.121383086299397,,,,0.11866502,0.06922126,0.04944376,191.0,29,29,,,,,4.523560209424084,2.6387434554973823,1.71428571,0.4712041884816754,0.3078125,0.71875,,0,0.2774798927613941,1.3769633507853405,89.68034825645216,74.78691897115057,,,,,,96,56,7,10,,11,1,78
Curt Simmons,1011980,122241,PHI,4.593661308288574,,3.68,3.438679245283019,,2.9989144505194902,,,,0.1040724,0.05656109,0.04751131,212.0,32,29,,,,,3.9056603773584904,2.1226415094339623,1.84,0.4669811320754717,0.2784636488340192,0.6943336,,0,0.2572115384615384,1.2452830188679245,89.37238355810845,79.39599538300111,,,,,,92,50,2,11,,9,2,81
Johnny Podres,1010406,120637,BRO,4.533214092254639,,5.77,2.663265306122449,,3.027890191759382,,,,0.13920817,0.05619413,0.08301405,196.0,31,27,,,,,5.005102040816326,2.020408163265306,2.47727273,0.6887755102040817,0.249185667752443,0.77604167,,3,0.2276422764227642,1.0816326530612246,66.26745087530288,76.73132973872457,,,,,,109,44,1,15,,10,6,58
Jack Sanford,1011432,121684,PHI,4.246241092681885,,4.59,3.08028122674714,,3.3057572672117095,,,,0.190091,0.0950455,0.0950455,236.2,33,33,,,,,7.149294699116819,3.5746473495584095,2.0,0.8366195924498405,0.252199413489736,0.75710992,,0,0.2174887892376681,1.2169012253815863,80.0575033688635,87.37093923479684,,,,,,188,94,3,22,,15,3,81
Bob Friend,1004355,114442,PIT,4.186336517333984,,3.11,3.3790613718411553,,3.4853424867568035,,,,0.12456446,0.05923345,0.06533101,277.0,40,38,,,,,4.646209386281589,2.2093862815884475,2.10294118,0.9097472924187726,0.2698237885462555,0.72985469,,0,0.253012048192771,1.2310469314079422,88.67842930826816,92.93501641041418,,,,,,143,68,1,28,,17,3,104
Mike Fornieles,1004232,114314,- - -,3.997942566871643,,0.27,3.751371847696055,,3.021361182191474,,,,0.13442211,0.06909548,0.06532663,182.1,40,22,,,,,5.281536680308919,2.714808573990566,1.94545455,0.5429617147981132,0.2935483870967741,0.67911715,,2,0.2615176151761517,1.3601465178781018,96.6332004885442,75.57370440349662,,,,,,107,55,3,11,,8,2,76
Jim Bunning,1001653,111691,DET,3.9168219566345215,,6.26,2.693267037885255,,3.631025300741881,,,,0.16836263,0.066605,0.10175763,267.1,45,30,,,,,6.127182511188955,2.42394033409673,2.52777778,1.1109726531276676,0.231162196679438,0.82137161,,1,0.2144288577154308,1.069825517826643,69.64736575009428,92.43985366351365,,,,,,182,72,11,33,,14,1,80
