Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Sandy Koufax,1007124,117277,LAD,9.984525680541992,,8.05,2.0377357255476483,,1.9273710391980632,,,,0.29452583,0.05474171,0.23978412,335.2,43,41,,,,,0.6971201166347217,0.2337023370233702,0.79029734,,2,0.1769041769041769,0.8550148439066886,62.841970953149136,63.06933343575864,,,,,,382,71,5,26,,27,8
Sam McDowell,1008476,118659,CLE,8.700642585754395,,8.2,2.1758241758241756,,2.081344471222315,,,,0.29121864,0.11827957,0.17293907,273.0,42,35,,,,,0.2967032967032967,0.2624223602484472,0.77785102,,4,0.1820040899795501,1.1355311355311355,62.98311132775229,56.81582701269588,,,,,,325,132,6,9,,14,3
Bob Veale,1013391,123684,PIT,7.989520072937012,,4.04,2.8421052631578947,,2.107467471029526,,,,0.24511545,0.10568384,0.13943162,266.0,39,37,,,,,0.169172932330827,0.3004172461752434,0.73235294,,0,0.221,1.2781954887218046,80.48796543070415,63.01744017288356,,,,,,276,119,7,5,,14,7
Jim Bunning,1001653,111691,PHI,7.261569976806641,,7.97,2.597938144329897,,2.465695515367174,,,,0.22502099,0.05205709,0.1729639,291.0,39,39,,,,,0.711340206185567,0.2784503631961259,0.79715061,,0,0.2264995523724261,1.0824742268041236,73.64459442913616,73.23340494954414,,,,,,268,62,12,23,,15,7
Juan Marichal,1008106,118283,SFG,6.826473236083984,,10.3,2.133182991195437,,2.5883480068262656,,,,0.20815265,0.03989592,0.16825672,295.1,39,37,,,,,0.8227991537468115,0.235645933014354,0.82980525,,1,0.2030825022665457,0.9142212819409016,60.45764396367511,76.69456298777072,,,,,,240,46,4,27,,24,10
Chris Short,1011931,122188,PHI,6.47990608215332,,6.84,2.8150226141427637,,2.6584975221663414,,,,0.19490132,0.07319079,0.12171053,297.1,47,40,,,,,0.5448430866082768,0.279123414071511,0.76642336,,2,0.231729055258467,1.1737668964585717,79.79835824030505,78.69882591302539,,,,,,237,89,5,18,,15,5
Jim Maloney,1008039,118216,CIN,6.459108829498291,,8.19,2.53785936171361,,2.6190695975588776,,,,0.23282443,0.10496183,0.1278626,255.1,33,33,,,,,0.4582246069760683,0.2603550295857988,0.79426172,,0,0.202572347266881,1.1710184400499524,67.90386990765464,73.22697901315755,,,,,,244,110,5,13,,14,5
Sonny Siebert,1011951,122212,CLE,5.350539207458496,,5.12,2.4328617317002332,,2.268125346357418,,,,0.2574124,0.06199461,0.19541779,188.2,39,27,,,,,0.667844396937319,0.257201646090535,0.77464789,,1,0.2011577424023155,0.9805651859793968,70.42352180624276,62.22253256512089,,,,,,191,46,5,14,,4,1
Bob Gibson,1004662,114756,STL,5.0813822746276855,,6.29,3.0702341137123748,,3.3332954188254367,,,,0.2189781,0.08353609,0.13544201,299.0,38,36,,,,,1.0234113712374582,0.256441717791411,0.79831933,,1,0.2171581769436997,1.157190635451505,80.23134032664053,90.18236525519592,,,,,,270,103,11,34,,20,6
Mickey Lolich,1007712,117875,DET,5.0517897605896,,2.84,3.435020017921038,,2.923534597411487,,,,0.2226601,0.07093596,0.15172414,243.2,43,37,,,,,0.8495210797009018,0.2829912023460411,0.7356236,,3,0.2320085929108485,1.1819423717577766,98.15103894940374,80.14788138073713,,,,,,226,72,12,23,,7,3
Whitey Ford,1004227,114299,NYY,4.557668685913086,,3.82,3.241473869340739,,2.987910461380086,,,,0.162,0.05,0.112,244.1,37,36,,,,,0.8103684673351849,0.2862745098039215,0.74655436,,1,0.2539515279241306,1.1909960807804991,95.80849212908277,84.80913195484727,,,,,,162,50,1,22,,9,2
Mel Stottlemyre Sr.,1012579,122839,NYY,4.50520133972168,,6.85,2.6288659793814433,,3.2354549655389953,,,,0.13047138,0.07407407,0.05639731,291.0,37,37,,,,,0.5567010309278351,0.2521739130434782,0.76923077,,0,0.2287282708142726,1.161512027491409,77.7015936720187,92.12582387781198,,,,,,155,88,7,18,,18,4
Jim Kaat,1006660,116803,MIN,4.278381824493408,,0.42,2.825977518895308,,3.3533075452400496,,,,0.13811659,0.05650224,0.08161435,264.1,45,42,,,,,0.8511980478600326,0.2788018433179723,0.71333333,,2,0.2550143266475644,1.2484238035280475,79.51855866579002,91.02024672915424,,,,,,154,63,5,25,,7,2
Bob Shaw,1011819,122080,SFG,4.265781402587891,,5.26,2.6425531914893616,,2.9129865879708152,,,,0.15273478,0.05469556,0.09803922,235.0,42,33,,,,,0.6510638297872341,0.2620320855614973,0.75040783,,2,0.2332968236582694,1.1319148936170214,74.89396862132591,85.89531315159557,,,,,,148,53,3,17,,6,1
Denny McLain,1008603,118787,DET,4.026363372802734,,4.55,2.614221299892526,,3.1208728669907684,,,,0.21793417,0.07037457,0.14755959,220.1,33,29,,,,,1.021180195270518,0.2483333333333333,0.81280788,,1,0.2129742962056303,1.071104560372632,74.69782862674731,85.78655483318664,,,,,,192,62,2,25,,13,4
Joe Horlen,1006025,116151,CHW,3.969630718231201,,1.14,2.8767123287671232,,2.9008035509553673,,,,0.14044944,0.04382022,0.09662921,219.0,34,34,,,,,0.6575342465753424,0.2644978783592644,0.70530099,,0,0.2393867924528301,1.1050228310502284,88.30289190963907,85.40260178360779,,,,,,125,39,3,16,,7,4
Ken Johnson,1006477,116604,- - -,3.8636032342910767,,2.28,3.4236301265331965,,2.992746091360473,,,,0.15894737,0.05052632,0.10842105,231.1,37,34,,,,,0.7391928682287584,0.2731034482758621,0.7008965,,2,0.2424581005586592,1.1455328074890114,98.71696554317346,89.66179265567982,,,,,,151,48,7,19,,9,1
Fred Newman,1009542,119745,CAL,3.847364902496338,,4.38,2.9347823796356765,,3.1770884029332627,,,,0.10440613,0.06130268,0.04310345,260.2,36,36,,,,,0.517902772876884,0.2456140350877192,0.72862454,,0,0.229826353421859,1.1086955656401445,89.44053176399075,93.21132500634882,,,,,,109,64,1,15,,10,2
Tony Cloninger,1002359,112412,MIL,3.771801471710205,,2.71,3.2903225806451615,,3.248424702818676,,,,0.17881356,0.10084746,0.0779661,279.0,40,38,,,,,0.6451612903225806,0.2744860943168077,0.74486804,,1,0.2334593572778828,1.3118279569892473,94.59175760088104,96.7720231092476,,,,,,211,119,3,20,,16,1
George Brunet,1001590,111632,CAL,3.755514144897461,,4.05,2.5583756345177666,,2.776125155850716,,,,0.17669173,0.08646617,0.09022556,197.0,41,26,,,,,0.4111675126903553,0.2430555555555555,0.75335893,,2,0.2052341597796143,1.1065989847715736,77.96914646588287,80.99155488447309,,,,,,141,69,3,9,,8,3
Sammy Ellis,1003753,113821,CIN,3.7214200496673584,,3.84,3.788874549614981,,3.4654087113277043,,,,0.16621253,0.09445958,0.07175295,263.2,44,39,,,,,0.7509481089326989,0.2544529262086514,0.70717131,,2,0.2240161453077699,1.236409512687171,101.37647830089352,95.87193008732328,,,,,,183,104,6,22,,15,2
Claude Osteen,1009878,120095,LAD,3.5112929344177246,,4.04,2.7909407665505226,,3.0956391196633053,,,,0.13857998,0.0667237,0.07185629,287.0,40,40,,,,,0.5958188153310104,0.2579933847850055,0.77748861,,0,0.2325367647058823,1.1533101045296168,86.07014952166652,99.0976897420491,,,,,,162,78,3,19,,9,1
Earl Wilson,1014073,124420,BOS,3.475050926208496,,1.98,3.979768171842339,,3.67042091987581,,,,0.16768916,0.07873211,0.08895706,230.2,36,36,,,,,1.053468045487678,0.2747875354107649,0.69265708,,0,0.2463768115942029,1.2919073150425022,106.23526681232796,94.8123485822438,,,,,,164,77,4,27,,8,1
