fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,8.83,37.154565724785854,24.567901134490967,-0.7227617255412042,,,,,146.32200210715257,0.4038469116563703,,,,,0.861638536,0.476265822,0.385372714,0.308544303,0.167721519,0.330357142,152,717,632,107,64,10,64,301,195,131,32,22,33,78,,62.0,0.086471408,0.10878661,,,,,,,,,18.0,,,,,,,
,8.32,63.33376604169163,-4.580724716186523,2.3895513575989753,,,,,169.13105328314933,0.4620491542446781,,,,,0.996762334,0.577044025,0.419718309,0.352201257,0.224842768,0.32721202,154,713,636,125,117,28,81,367,224,143,47,6,15,70,,9.0,0.01262272,0.098176718,,,,,,,,,2.0,,,,,,,
,6.51,30.616556053806505,8.7853814214468,1.682652500225231,,,,,133.33497516305107,0.3981511933218629,,,,,0.825733161,0.405360134,0.420373027,0.323283082,0.082077052,0.338053097,150,702,597,110,43,2,38,242,193,155,29,7,12,99,,30.0,0.042735042,0.141025641,,,,,,,,,9.0,,,,,,,
,7.13,24.587075510043597,19.067901611328125,-1.5346275623887775,,,,,139.08688145752268,0.3979002984433338,,,,,0.822216956,0.410147991,0.412068965,0.279069767,0.131078224,0.284705882,133,586,473,81,51,11,39,194,132,93,27,1,9,106,,37.0,0.063139931,0.180887372,,,,,,,,,11.0,,,,,,,
,6.02,45.68182641310559,-4.660493850708008,0.4036169657483697,,,,,162.49162911898637,0.4474354189010672,,,,,0.949399656,0.5,0.449399656,0.355421686,0.144578314,0.373362445,132,586,498,94,97,6,50,249,177,127,34,10,5,81,,34.0,0.058020477,0.138225255,,,,,,,,,1.0,,,,,,,
,5.93,36.09043623285047,-3.87295913696289,1.9220362894702705,,,,,139.7050384399955,0.4133882147900631,,,,,0.864382626,0.440972222,0.423410404,0.307291666,0.133680556,0.311111111,152,696,576,114,92,9,52,254,177,125,36,7,13,114,,27.0,0.038793103,0.163793103,,,,,,,,,1.0,,,,,,,
,5.52,31.798850410093568,1.5185185819864273,-0.1935699156019836,,,,,142.69813211828685,0.4039715490092529,,,,,0.84587034,0.44402985,0.40184049,0.272388059,0.171641791,0.265560165,154,657,536,83,93,18,51,238,146,95,28,5,2,113,,36.0,0.05479452,0.171993911,,,,,,,,,8.0,,,,,,,
,5.54,22.996139689268873,8.88888931274414,-0.4657925975043326,,,,,132.55171301279117,0.3872564700231597,,,,,0.825326729,0.47285464,0.352472089,0.288966725,0.183887915,0.295597484,149,632,571,90,89,24,54,270,165,111,27,3,2,55,,70.0,0.110759493,0.087025316,,,,,,,,,0.0,,,,,,,
,5.08,16.116508708041607,9.629509449005129,0.4685868443921208,,,,,117.43212240068132,0.3757397445627453,,,,,0.750589344,0.333333333,0.417256011,0.257657657,0.075675676,0.27734375,153,726,555,128,39,1,35,185,143,108,29,5,6,148,,42.0,0.057851239,0.203856749,,,,,,,,,3.0,,,,,,,
,4.73,30.29361835489984,-0.640443354845047,-0.2613529218360781,,,,,143.12781703322958,0.4182465791489776,,,,,0.894007415,0.510763209,0.383244206,0.322896281,0.187866928,0.323595505,133,573,511,84,102,21,51,261,165,114,27,3,1,45,,45.0,0.078534031,0.078534031,,,,,,,,,-1.0,,,,,,,
,5.55,24.44457204715021,1.129629671573639,0.2289351110812276,,,,,129.1012102709709,0.3954642973105354,,,,,0.839758709,0.460396039,0.37936267,0.325082508,0.135313531,0.331541218,145,673,606,126,75,12,47,279,197,150,24,11,4,50,,36.0,0.053491827,0.074294205,,,,,,,,,2.0,,,,,,,
,5.18,21.97711036764092,3.3888888359069824,0.6289351170416921,,,,,125.09588639045286,0.3886939976066134,,,,,0.819589024,0.438220757,0.381368267,0.299835255,0.138385502,0.29845626,154,688,607,102,124,8,59,266,182,123,42,9,6,75,,16.0,0.023255813,0.109011627,,,,,,,,,10.0,,,,,,,
,4.38,31.461257334776327,-5.0987653732299805,-0.2894841977395117,,,,,148.26946206058992,0.429187620135973,,,,,0.910212106,0.498891352,0.411320754,0.308203991,0.190687361,0.303341902,135,532,451,73,79,21,44,225,139,95,23,0,1,71,,41.0,0.077067669,0.133458646,,,,,,,,,0.0,,,,,,,
,4.52,22.007859268473176,-0.0061726570129394,-0.3060563059989363,,,,,130.52424321107662,0.3765847506932914,,,,,0.793472649,0.420035149,0.3734375,0.295254833,0.124780316,0.310861423,140,641,569,79,50,2,52,239,168,116,35,15,11,69,,33.0,0.051482059,0.107644305,,,,,,,,,6.0,,,,,,,
,4.34,19.30693064024381,3.1358025670051575,0.5386470900848508,,,,,124.96612814882285,0.3840051207063145,,,,,0.816214611,0.455056179,0.361158432,0.297752808,0.157303371,0.302469135,144,608,534,64,110,12,48,243,159,111,24,12,5,45,,36.0,0.059210526,0.074013157,,,,,,,,,4.0,,,,,,,
,4.77,6.213983134422767,18.35802459716797,-1.8024105716031045,,,,,112.52977655786128,0.3574531118582635,,,,,0.751904948,0.40518962,0.346715328,0.285429141,0.119760479,0.287878787,134,561,501,71,54,10,37,203,143,106,24,3,7,47,,29.0,0.051693404,0.083778966,,,,,,,,,13.0,,,,,,,
,3.62,28.40260097823215,-8.567901134490967,-1.375944548053667,,,,,139.38375331274045,0.3930295041009037,,,,,0.824118065,0.437168141,0.386949924,0.284955752,0.152212389,0.272900763,152,663,565,77,111,18,46,247,161,115,24,4,2,90,,23.0,0.034690799,0.135746606,,,,,,,,,-2.0,,,,,,,
,3.41,11.036273327348596,9.135802567005156,2.0486270310357213,,,,,112.11504246716169,0.3656735569992516,,,,,0.754668423,0.375241779,0.379426644,0.28820116,0.087040619,0.322727272,144,600,517,74,72,7,29,194,149,120,20,2,13,73,,70.0,0.116666666,0.121666666,,,,,,,,,10.0,,,,,,,
,3.67,31.278236563215373,-6.364197254180908,-0.1673331288620829,,,,,164.27311139597907,0.424040250113753,,,,,0.906234571,0.508108108,0.398126463,0.305405405,0.202702703,0.310126582,102,429,370,60,61,15,38,188,113,75,16,7,3,56,,39.0,0.09090909,0.13053613,,,,,,,,,-2.0,,,,,,,
