Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Rickey Henderson,194,115749,LF,OAK,10.203203829659016,,9.94,69.44732191093203,9.26474905014038,8.752321514999494,,,,,189.56661604363055,0.447451348021879,,,,,1.015876305,0.576687116,0.439189189,0.325153374,0.251533742,0.325062034,136,594,489,119,61,28,64,282,159,95,33,3,65,97,2,60,0.101010101,0.163299663,,,6.231077671051025,-0.6766616674498378,,,,,16.0,,,,,,,,994.1
Barry Bonds,1109,111188,LF,PIT,9.90985735592072,,9.74,52.334637993231375,21.467079162597656,5.014173404197209,,,,,165.42519305025905,0.4195817157183543,,,,,0.970344307,0.564547206,0.405797101,0.300578034,0.263969172,0.300733496,151,621,519,104,114,33,68,293,156,88,32,3,52,93,15,83,0.133655394,0.149758454,,,5.633291721343994,-0.3099310143266844,,,,,28.0,,,,,,,,1286.0
Lenny Dykstra,1003619,113686,CF,PHI,8.99234526041861,,8.91,35.36018837250423,27.2096529006958,4.263417740934528,,,,,138.63890907047758,0.3844242866834004,,,,,0.858675063,0.440677966,0.417997097,0.325423728,0.115254238,0.34141791,149,691,590,106,60,9,47,260,192,145,35,3,33,89,14,48,0.069464544,0.128798842,,,3.321928024291992,-0.4561493207643594,,,,,25.0,,,,,,,,1288.2
Cecil Fielder,1004026,114106,1B,DET,6.504844523823541,,6.54,49.53055829930348,-9.031412124633787,-0.6646765328478068,,,,,165.37732077153117,0.4185512245061534,,,,,0.969037597,0.591623036,0.377414561,0.27748691,0.314136126,0.313043478,159,673,573,104,132,51,77,339,159,82,25,1,0,90,11,182,0.270430906,0.133729569,,,2.5118441581726074,-2.785028446941942,,,,,1.0,,,,,,,,1226.1
Darryl Strawberry,1012606,122864,RF,NYM,6.468567698745236,,6.31,29.25308445903302,11.503087520599363,-0.3945426318095997,,,,,140.99075828494648,0.3816438913345337,,,,,0.879158718,0.518450184,0.360708534,0.276752767,0.241697417,0.2825,152,621,542,92,108,37,56,281,150,94,18,1,15,70,15,110,0.177133655,0.112721417,,,2.447075366973877,-0.5448819743857447,,,,,18.0,,,,,,,,1263.0
Ryne Sandberg,1011411,121665,2B,CHC,6.349373568131126,,7.11,34.964159633392065,1.8052124977111816,1.9902950378600508,,,,,141.94243986128689,0.3961323906277967,,,,,0.913423667,0.559349593,0.354074074,0.305691056,0.253658537,0.296,155,675,615,116,100,40,73,344,188,115,30,3,25,50,8,84,0.124444444,0.074074074,,,3.1269006729125977,-1.15692023722683,,,,,0.0,,,,,,,,1316.0
Cal Ripken Jr.,1010978,121222,SS,BAL,6.195816725555253,,7.51,7.391865764399132,30.68104839324951,-0.0646765239071101,,,,,109.40442772753134,0.3326033252407108,,,,,0.756498559,0.415,0.341498559,0.25,0.165,0.248076923,161,695,600,78,84,21,53,249,150,97,28,4,3,82,18,66,0.094964028,0.117985611,,,2.21781587600708,0.4869618410468908,,,,,22.0,,,,,,,,1406.1
Alan Trammell,1013157,123437,SS,DET,6.163299826749478,,6.68,20.79076854609111,18.165616512298584,-1.8247678563930096,,,,,131.12054208057694,0.3678030894513716,,,,,0.825987708,0.4490161,0.376971608,0.30411449,0.14490161,0.314516129,146,637,559,71,89,14,52,251,170,118,37,1,12,68,7,55,0.086342229,0.106750392,,,3.5727219581604004,1.9889826872396488,,,,,11.0,,,,,,,,1213.1
Eddie Murray,1009386,119579,1B,LAD,5.922206871153205,,5.15,41.636104377652856,-7.813442230224609,-0.6842148214345798,,,,,156.33480990284943,0.4065791208965656,,,,,0.933666749,0.519713261,0.413953488,0.329749103,0.189964158,0.334745762,155,645,558,96,95,26,51,290,184,133,22,3,8,82,21,64,0.099224806,0.127131782,,,4.398043155670166,0.9506298074068508,,,,,1.0,,,,,,,,1285.0
Julio Franco,87,212297,2B,TEX,5.881526243090541,,6.78,20.90817863479954,14.472455382347109,1.9195917185861615,,,,,124.84262803348815,0.3583649305472696,,,,,0.785295387,0.402061855,0.383233532,0.295532646,0.106529209,0.328571428,157,670,582,96,69,11,39,234,172,133,27,1,31,82,3,83,0.123880597,0.122388059,,,1.7182729244232178,-0.2432949709248038,,,,,13.0,,,,,,,,1309.2
Mark McGwire,1008559,118743,1B,OAK,5.717544282814247,,5.7,31.769755836445967,2.629836082458496,-0.2810413744300604,,,,,143.2220311848714,0.3787962864153087,,,,,0.859283438,0.489483747,0.369799691,0.235181644,0.254302103,0.222811671,156,650,523,87,108,39,55,256,123,68,16,0,2,110,9,116,0.178461538,0.169230769,,,3.1590042114257812,-1.9769603186954592,,,,,12.0,,,,,,,,1334.2
Edgar Martinez,1086,118365,3B,SEA,5.50109649867744,,5.55,20.827084768503017,14.014742016792296,-1.6715569616062569,,,,,134.47783316922698,0.3761659682639496,,,,,0.830452936,0.433264887,0.397188049,0.301848049,0.131416838,0.326139088,144,572,487,71,49,11,40,211,147,107,27,2,1,74,3,62,0.108391608,0.129370629,,,3.515533685684204,1.4123757608324494,,,,,13.0,,,,,,,,1196.1
Fred McGriff,293,118730,1B,TOR,5.467158556861856,,5.22,42.56027851953595,-11.557612419128418,-0.4965382183436304,,,,,157.3582268939362,0.4078087688416473,,,,,0.929927394,0.52962298,0.400304414,0.299820466,0.229802514,0.315789473,153,658,557,91,88,35,57,295,167,110,21,1,5,94,12,108,0.164133738,0.142857142,,,3.860993862152099,-1.3864142541831144,,,,,-2.0,,,,,,,,1299.0
Dave Magadan,1007961,118132,1B,NYM,5.419889829385278,,4.62,29.202764617226705,3.9517626762390137,-0.2875873134471476,,,,,146.80263486043935,0.3904337527380652,,,,,0.873894965,0.456762749,0.417132216,0.328159645,0.128603104,0.355,144,541,451,74,72,6,40,206,148,108,28,6,2,74,4,55,0.101663585,0.136783733,,,3.287905693054199,0.157672803953246,,,,,10.0,,,,,,,,1023.2
Roberto Kelly,1006815,116959,CF,NYY,5.400250532889173,,5.45,6.247094455156837,24.62093555927277,1.4420931198401377,,,,,106.13079039428224,0.3318829532942114,,,,,0.740677368,0.418096723,0.322580645,0.285491419,0.132605304,0.348547717,162,687,641,85,61,15,51,268,183,132,32,4,42,33,0,148,0.215429403,0.048034934,,,0.2176283895969391,-1.1751892743732626,,,,,23.0,,,,,,,,1389.1999999999998
Barry Larkin,335,117501,SS,CIN,5.353925211669998,,5.67,9.43029298307799,18.296295166015625,3.7076028203591704,,,,,107.21507307815456,0.340529662930308,,,,,0.753332237,0.395765472,0.357566765,0.301302931,0.094462541,0.316725978,158,681,614,85,67,7,38,243,185,147,25,6,30,49,3,49,0.07195301,0.07195301,,,2.2093565464019775,-0.1467314519880056,,,,,10.0,,,,,,,,1344.0
Jose Canseco,1001918,111962,RF,OAK,5.171242403094254,,5.42,35.966207453921534,-4.461933135986328,-0.372400323394686,,,,,156.5769566118718,0.3985803287308495,,,,,0.913845119,0.542619542,0.371225577,0.274428274,0.268191268,0.326460481,131,563,481,83,101,37,53,261,132,79,14,2,19,72,8,158,0.280639431,0.127886323,,,2.530168294906616,-2.522773786689962,,,,,4.0,,,,,,,,742.0
Ron Gant,1032,114567,CF,ATL,5.056281466082713,,5.56,30.679708510923337,-4.8868332877755165,0.0563874584622681,,,,,141.6687566097949,0.3950663991390712,,,,,0.896273291,0.539130434,0.357142857,0.302608695,0.236521739,0.30802603,152,631,575,107,84,32,69,310,174,105,34,3,33,50,0,86,0.1362916,0.079239302,,,2.083064556121826,-1.1414962563054347,,,,,-5.0,,,,,,,,1244.2
Ken Griffey Jr.,327,115135,CF,SEA,5.010246662981794,,5.21,22.59527227037959,4.06904935836792,-1.4096054843394086,,,,,131.59402533945445,0.3718938832982964,,,,,0.847103384,0.480737018,0.366366366,0.299832495,0.180904523,0.315261044,155,666,597,91,80,22,57,287,179,122,28,7,16,63,12,81,0.121621621,0.094594594,,,2.5808181762695312,0.2048928425298597,,,,,2.0,,,,,,,,1332.2
Bip Roberts,1011023,121280,LF,SDP,5.007433829601617,,5.77,22.852019492075954,3.1084787845611572,4.182646178640425,,,,,125.48394784710771,0.3647196256345318,,,,,0.808654525,0.433453237,0.375201288,0.309352517,0.12410072,0.335390946,149,629,556,104,44,9,48,241,172,124,36,3,46,55,1,65,0.103338632,0.087440381,,,3.726423978805542,-2.032673217882298,,,,,5.0,,,,,,,,1195.6
Matt Williams,77,124326,3B,SFG,4.970877450113204,,4.99,16.114936022074314,8.411182403564453,-0.4011880992911756,,,,,121.35638157251384,0.3521964412188274,,,,,0.806575525,0.487844408,0.318731117,0.277147487,0.210696921,0.305986696,159,664,617,87,122,33,62,301,171,109,27,2,7,33,9,138,0.207831325,0.049698795,,,2.4378840923309326,0.020431645575099,,,,,7.0,,,,,,,,1371.2
Carlton Fisk,1004101,114182,C,CHW,4.964466358607039,,4.87,19.831920940831584,11.140603065490724,0.3684871804434806,,,,,132.74623926588117,0.3705590497448198,,,,,0.829446434,0.451327433,0.378119001,0.28539823,0.165929203,0.306629834,137,521,452,65,65,18,39,204,129,90,21,0,7,61,8,73,0.140115163,0.117082533,,,2.573455572128296,0.5640344433454656,,,,,6.0,,,,,,,,970.0
Tony Fernandez,1004002,114079,SS,TOR,4.871592714989659,,4.48,6.491208615918087,17.543209075927734,-0.2381941854255274,,,,,108.18127427546256,0.3349578258040901,,,,,0.742428788,0.390551181,0.351877607,0.275590551,0.11496063,0.301587301,161,721,635,84,66,4,48,248,175,127,27,17,26,71,4,70,0.097087378,0.098474341,,,0.7285778522491455,0.5454644328776229,,,,,9.0,,,,,,,,1384.0
Willie McGee,1008513,118694,CF,- - -,4.778079577506498,,5.279999999999999,18.04486700287633,4.793552070856094,2.3404320230474696,,,,,120.2587454846748,0.3545802792757523,,,,,0.791499105,0.418566775,0.37293233,0.324104234,0.094462541,0.385068762,154,665,614,99,77,3,45,257,199,154,35,7,31,48,6,104,0.156390977,0.072180451,,,4.309119701385498,1.6257445171164877,,,,,3.0,,,,,,,,1321.0
