Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Barry Bonds,1109,111188,LF,SFG,10.455425501924834,,9.92,78.44427749655203,1.9475321769714355,0.950924166943878,,,,,193.05652040815204,0.4671833293184803,,,,,1.135636935,0.677179962,0.458456973,0.33580705,0.341372912,0.320665083,159,674,539,129,123,46,88,365,181,93,38,4,29,126,43,79,0.117210682,0.18694362,1.594936708,,,7.785324573516846,-0.425327087534626,,,,,9.0,,,,,,,,1371.0
Ken Griffey Jr.,327,115135,CF,SEA,8.447089429555197,,8.77,54.23283046937387,8.012567820958793,-0.2006771580781787,,,,,164.00432217703468,0.4300917421912287,,,,,1.024942683,0.616838487,0.408104196,0.30927835,0.307560137,0.298013245,156,691,582,113,109,45,86,359,180,94,38,3,17,96,25,91,0.131693198,0.138929088,1.054945054,,,3.3919801712036133,-2.502471835900252,,,,,8.0,,,,,,,,1209.1
John Olerud,1093,119976,1B,TOR,8.107142443620406,,7.76,65.65042752191398,-6.427502632141113,-0.6363623775541782,,,,,179.31918493936166,0.4541185034133332,,,,,1.07166512,0.59891107,0.47275405,0.362976406,0.235934664,0.375266524,158,679,551,109,107,24,80,330,200,120,54,2,0,114,33,65,0.095729013,0.167893961,1.753846153,,,5.859864234924316,-0.2730364181271794,,,,,4.0,,,,,,,,1205.1
Mike Piazza,893,120536,C,LAD,7.431850040252651,,7.03,36.3049744893609,16.520780563354492,-0.9232242135331036,,,,,150.05157906695712,0.4012971988460361,,,,,0.931675037,0.561243144,0.370431893,0.31809872,0.243144424,0.321759259,149,602,547,81,112,35,61,307,174,113,24,2,3,46,6,86,0.142857142,0.07641196,0.53488372,,,3.7991726398468018,-1.4344192064747627,,,,,8.0,,,,,,,,1244.1
Chris Hoiles,1005935,116057,C,BAL,7.013063681359915,,6.78,40.995617793840694,12.917008876800535,-0.0767524277325719,,,,,166.34417689925246,0.4329757605108522,,,,,1.000725536,0.584725536,0.416,0.310262529,0.274463007,0.337792642,126,503,419,80,82,29,57,245,130,73,28,0,1,69,4,94,0.186878727,0.137176938,0.734042553,,,4.046924591064453,-0.4283818115368234,,,,,6.0,,,,,,,,1040.0
Kenny Lofton,246,117863,CF,CLE,6.955861874128118,,7.6,28.390355115136728,20.134772777557373,8.358481474220753,,,,,124.77292180957208,0.3682180513586212,,,,,0.815366451,0.407732864,0.407633587,0.32513181,0.082601054,0.376278118,148,657,569,116,42,1,37,232,185,148,28,8,70,81,6,83,0.126331811,0.123287671,0.975903614,,,1.4587076902389526,-0.7386294956398991,,,,,18.0,,,,,,,,1245.0
Lenny Dykstra,1003619,113686,CF,PHI,6.804840786158824,,6.57,44.06343574536243,-3.5611634254455566,2.617402895586565,,,,,143.39560270075637,0.3996581876777229,,,,,0.902386468,0.481946624,0.420439844,0.30455259,0.177394034,0.313059033,161,773,637,143,66,19,69,307,194,125,44,6,37,129,9,64,0.082794307,0.166882276,2.015625,,,4.69611930847168,0.4557978745848769,,,,,-6.0,,,,,,,,1422.1
Rick Wilkins,1013960,124271,C,CHC,6.654009168781884,,6.62,27.3117084274556,21.38909387588501,0.0981976285111159,,,,,144.05110638763517,0.4001096069690383,,,,,0.936538116,0.560538116,0.376,0.302690582,0.257847534,0.330188679,136,500,446,78,73,30,54,250,135,81,23,1,2,50,13,99,0.198,0.1,0.505050505,,,2.2899956703186035,-1.2585886390097083,,,,,14.0,,,,,,,,1077.1
Jay Bell,48,110826,SS,PIT,6.554076581287221,,6.19,21.29190013511956,19.327159881591797,-0.7776293787173927,,,,,125.48104931328628,0.3711292817970175,,,,,0.829527952,0.437086092,0.39244186,0.309602649,0.127483443,0.375527426,154,701,604,102,51,9,50,264,187,137,32,9,16,77,6,122,0.174037089,0.109843081,0.63114754,,,0.2629581689834595,-1.393243201111448,,,,,11.0,,,,,,,,1349.0
Frank Thomas,255,123245,1B,CHW,6.273234952418116,,6.2,58.36131474554157,-17.353017807006836,0.1443684445694089,,,,,169.97191417420504,0.4339546192477344,,,,,1.032592879,0.606557377,0.426035502,0.31693989,0.289617487,0.284796573,153,676,549,106,128,41,77,333,174,97,36,0,4,112,23,54,0.079881656,0.165680473,2.074074074,,,6.453854084014893,-0.1775270404097302,,,,,-8.0,,,,,,,,1300.2
