Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Ted Williams,1014040,124341,OF,BOS,9.85251040473403,,9.0,81.45840516261487,-7.697530746459961,-0.4292717478238046,,,,,186.363077973806,0.5107786984476325,,,,,1.140587636,0.650176678,0.490410958,0.342756183,0.307420495,0.317894736,155,730,566,150,159,43,85,368,194,109,39,3,1,162,,48,0.065753424,0.221917808,3.375,,,,,,,,,-1.0,,,,,,,,0.0
Jackie Robinson,1011070,121314,2B,BRO,9.568135688165768,,9.32,56.096919255093624,16.74074077606201,7.2233589007519186,,,,,155.92009640535002,0.4418123111107117,,,,,0.96013903,0.52782462,0.43231441,0.34232715,0.18549747,0.34,156,704,593,122,124,16,66,313,203,137,38,12,37,86,,27,0.038352272,0.12215909,3.185185185,,,,,,,,,10.0,,,,,,,,0.0
Stan Musial,1009405,119602,OF,STL,9.155955052535806,,9.09,69.77865299821829,-1.6146931648254397,0.4271822022274136,,,,,177.47953472475862,0.4770337719361759,,,,,1.062463172,0.624183006,0.438280166,0.338235294,0.285947712,0.317843866,157,721,612,128,123,36,90,382,207,117,41,13,3,107,,38,0.052704576,0.148404993,2.815789473,,,,,,,,,3.0,,,,,,,,0.0
Ralph Kiner,1006923,117072,OF,PIT,7.829726412850695,,8.06,67.22168637871737,-10.567901134490969,1.0394171001389625,,,,,179.92495735195382,0.4841895383158545,,,,,1.089343305,0.657559198,0.431784107,0.309653916,0.347905282,0.267281105,152,667,549,116,127,54,78,361,170,92,19,5,6,117,,61,0.091454272,0.175412293,1.918032786,,,,,,,,,-4.0,,,,,,,,0.0
Vern Stephens,1012501,122749,SS,BOS,7.450726792657004,,6.87,30.83052442053888,19.567901611328125,-0.5985521050170064,,,,,134.03254608395494,0.4239491225127261,,,,,0.930342855,0.539344262,0.390998593,0.290163934,0.249180328,0.277108433,155,711,610,113,159,39,72,329,177,105,31,2,2,101,,73,0.102672292,0.142053445,1.383561643,,,,,,,,,10.0,,,,,,,,0.0
Eddie Joost,1006604,116744,SS,PHA,6.987930012380072,,6.98,31.86424170006734,14.88888931274414,-0.2040372863411903,,,,,136.20126112835604,0.4172107217761971,,,,,0.882536872,0.453333333,0.429203539,0.262857142,0.190476191,0.272511848,144,682,525,128,81,23,51,238,138,87,25,3,2,149,,80,0.117302052,0.218475073,1.8625,,,,,,,,,6.0,,,,,,,,0.0
Pee Wee Reese,1010776,121010,SS,BRO,6.844916721123039,,7.44,22.78343769248146,21.567901611328125,5.01188865955919,,,,,119.26651048672268,0.3836830464599899,,,,,0.806249436,0.410048622,0.396200814,0.278768233,0.131280389,0.287822878,155,743,617,132,73,16,46,253,172,126,27,3,26,116,,59,0.079407806,0.156123822,1.966101694,,,,,,,,,12.0,,,,,,,,0.0
Bobby Doerr,1003355,113419,2B,BOS,5.815417519941706,,5.39,20.026227804374372,17.00617265701294,-0.5824938132427633,,,,,125.46803439804016,0.4097384334384621,,,,,0.890084498,0.497227356,0.392857142,0.308687615,0.188539741,0.304081632,139,623,541,91,109,18,57,269,167,110,30,9,2,75,,33,0.052969502,0.120385232,2.272727272,,,,,,,,,11.0,,,,,,,,0.0
Enos Slaughter,1012060,122319,OF,STL,5.687980456757254,,5.95,38.148941163189626,-2.481481552124023,0.4386524106375873,,,,,146.44604112255968,0.4278174642427468,,,,,0.928773256,0.51056338,0.418209876,0.336267605,0.174295775,0.343629343,151,654,568,92,96,13,60,290,191,131,34,13,3,79,,37,0.056574923,0.120795107,2.135135135,,,,,,,,,4.0,,,,,,,,0.0
Cass Michaels,1008836,119026,2B,CHW,5.632124867502666,,5.35,20.884071102623142,12.65432071685791,-2.1232976210303605,,,,,126.35907108041955,0.3973728585063963,,,,,0.837218714,0.420677361,0.416541353,0.308377896,0.112299465,0.330693069,154,672,561,73,83,6,42,236,173,131,27,9,5,101,,50,0.074404761,0.150297619,2.02,,,,,,,,,6.0,,,,,,,,0.0
