Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Christy Mathewson,1008235,118422,NYG,10.79373264312744,,11.77,1.428327570667068,,1.2871451739935833,,,,,,,390.2,56,44,,,,,0.1151877073118603,0.24940320099314,0.75851393,,5,0.2055268614303932,0.8370306731328516,60.71298830642389,48.3977129400872,,,,,,259,42,3,5,,34,11,62
Ed Walsh,1013570,123878,CHW,9.143926620483398,,10.29,1.415948275862069,,1.417948650491649,,,,,,,464.0,66,49,,,,,0.0387931034482758,0.2470155308298562,0.73050346,,6,0.2076924940053769,0.8599137931034483,62.82638772440511,69.51723048888022,,,,,,269,56,9,2,,42,11,73
Cy Young,1014369,124692,BOS,6.386789798736572,,9.42,1.2642140468227423,,1.5325764327543636,,,,,,,299.0,36,33,,,,,0.0301003344481605,0.2483246220911319,0.75112108,,2,0.2143163309044149,0.8929765886287625,52.18279008702819,69.4017111820209,,,,,,150,37,2,1,,30,3,42
Addie Joss,1006630,116772,CLE,5.843859672546387,,8.53,1.1630769230769231,,1.676522921048678,,,,,,,325.0,42,35,,,,,0.0553846153846153,0.2262666010821446,0.71592649,,2,0.2020026121027427,0.8061538461538461,49.04260891335663,76.96681006524891,,,,,,130,30,2,2,,29,9,42
Mordecai Brown,1001547,111577,CHC,5.658940315246582,,9.21,1.4695838737420293,,1.873817052863008,,,,,,,312.1,44,31,,,,,0.0288153700733731,0.2194112080886396,0.7651913,,5,0.19547307332513,0.8420491476996812,62.90382104585843,73.8482328083184,,,,,,123,49,5,1,,27,9,51
Rube Waddell,1013467,123767,SLB,5.608961582183838,,3.34,1.8903149178813696,,1.5060391648495577,,,,,,,285.2,43,36,,,,,0.0,0.279946752289289,0.71028037,,3,0.2168037367645774,1.095682535734942,81.60544966595431,71.43964801675612,,,,,,232,90,8,0,,25,5,60
Rube Vickers,1013422,123719,PHA,4.831310749053955,,6.21,2.2145110410094637,,1.8929364129195831,,,,,,,317.0,53,34,,,,,0.0,0.2634888316665668,0.67052023,,1,0.2279910876211202,1.056782334384858,90.79417960068436,83.71024815078047,,,,,,156,71,11,0,,21,6,78
Bill Donovan,1003393,113465,DET,4.520304203033447,,4.37,2.0769227721987837,,1.7755889028789358,,,,,,,242.2,29,28,,,,,0.0741758132928137,0.2768460472287079,0.71750563,,0,0.2348152522854053,1.0837910497783336,83.88373154732676,77.72289349986045,,,,,,141,53,6,2,,25,6,56
Walter Johnson,1006511,116635,WAS,4.511964797973633,,4.81,1.6501951894927454,,1.6017884610894255,,,,,,,256.1,36,30,,,,,0.0,0.2563221926194873,0.70930233,,1,0.2115917502559424,0.9635891532026196,72.15791834381196,76.5475573422207,,,,,,160,53,11,0,,23,6,47
Eddie Plank,1010385,120616,PHA,4.491153240203857,,7.6,2.1702994116989287,,1.725116562017544,,,,,,,244.2,34,28,,,,,0.0367847357915072,0.2658870486589069,0.70422535,,1,0.2264675291067073,1.0136238306993113,88.9815182331304,76.82969284932027,,,,,,135,46,9,1,,21,4,59
Hooks Wiltse,1014116,124436,NYG,4.285709381103516,,6.86,2.2363636363636363,,2.2890170935428507,,,,,,,330.0,44,38,,,,,0.109090909090909,0.2438116508468267,0.73890187,,2,0.2222965067691793,1.0272727272727271,95.0596502453886,90.98362907396216,,,,,,118,73,9,4,,30,7,82
George McQuillan,1008682,118867,PHI,4.2568793296813965,,9.09,1.526413259346736,,2.312445059234831,,,,,,,359.2,48,42,,,,,0.025023168186012,0.2254228718761748,0.76129392,,2,0.2059095158279001,0.9842446153164748,66.09599586173036,93.70011326201764,,,,,,114,91,6,1,,32,7,61
Orval Overall,1009910,120128,CHC,4.139126300811768,,1.56,1.92,,1.8566938612196184,,,,,,,225.0,37,27,,,,,0.12,0.2573471008737092,0.71013289,,4,0.2063789868667917,1.08,82.18335718431345,73.11529459219123,,,,,,167,78,2,3,,16,4,48
Vic Willis,1014042,124364,PIT,3.970670223236084,,5.02,2.0678335599447,,2.288228008706678,,,,,,,304.2,41,38,,,,,0.0590809588555628,0.2371992337475051,0.70372751,,0,0.217636762870179,1.01094085152852,88.11724429423438,91.17896556807412,,,,,,97,69,6,2,,25,7,70
Bob Ewing,1003880,113955,CIN,3.919691562652588,,2.04,2.2065832750520373,,2.30885679297606,,,,,,,293.2,37,32,,,,,0.1532349496563915,0.2481694790099481,0.67549669,,3,0.2297375102956443,1.0351872154565114,92.51914937746932,90.57902506511032,,,,,,95,57,5,5,,23,4,72
Bugs Raymond,1010731,120960,STL,3.850890636444092,,3.81,2.0256938577991175,,2.2953829221653477,,,,,,,324.1,48,37,,,,,0.05549846185751,0.2331559886977834,0.6691993,,2,0.2051068222068131,1.0205550486019903,87.55227485587955,92.78820586453362,,,,,,145,95,14,2,,23,5,73
George Mullin,1009302,119502,DET,3.818275213241577,,-0.64,3.096330058503453,,2.1183401393224153,,,,,,,290.2,39,30,,,,,0.0309633005850345,0.3003965061534597,0.62764831,,0,0.2685869156140471,1.2798164241814272,125.05603139708997,91.56609127793718,,,,,,121,71,7,1,,26,1,100
Nap Rucker,1011281,121530,BRO,3.718374490737915,,5.66,2.0790001268920975,,2.2421383142700204,,,,,,,333.1,42,35,,,,,0.0270000016479493,0.262686582160328,0.7531894,,1,0.2199170229189292,1.1700000714111372,93.09688443826494,93.75033908043775,,,,,,199,125,19,1,,30,6,77
Jack Pfiester,1010266,120496,CHC,3.5557384490966797,,2.83,2.0,,2.18843989296565,,,,,,,252.0,33,29,,,,,0.0357142857142857,0.2548202450291223,0.72284908,,0,0.2230385725531356,1.0873015873015872,85.60766373365986,87.31529595753642,,,,,,117,70,11,1,,18,3,56
Tully Sparks,1012306,122563,PHI,3.291055679321289,,1.48,2.597468555109999,,2.275821863463858,,,,,,,263.1,33,31,,,,,0.1025316534911841,0.2738516074555003,0.69326357,,2,0.2526167617687131,1.146835531642134,112.47430525007404,92.1142736597349,,,,,,85,51,8,3,,24,2,76
Tom Hughes,1006163,116288,WAS,3.28825044631958,,4.11,2.214716688993461,,1.9491479446547075,,,,,,,276.1,43,31,,,,,0.0977080892202997,0.2645882900895965,0.71664465,,4,0.2232721456150981,1.0892642539003787,96.84269292300608,91.7365103888945,,,,,,165,77,6,3,,24,3,68
Ed Summers,1012719,122978,DET,3.248473882675171,,3.66,1.6445182724252492,,2.293829335564395,,,,,,,301.0,40,32,,,,,0.0897009966777408,0.2643467282160541,0.68461088,,1,0.2420031790823525,1.0830564784053156,66.41957569888403,98.65383128640843,,,,,,103,55,20,3,,23,5,55
Jack Chesbro,1002179,112233,NYH,3.161724328994751,,2.26,2.9307157287798007,,2.354025123868466,,,,,,,288.2,45,31,,,,,0.1870669614114766,0.2774752723240893,0.63736903,,1,0.2497603642911662,1.1709006103162798,114.95346627857998,98.16979864026514,,,,,,124,67,14,6,,20,3,94
Glenn Liebhardt,1007601,117761,CLE,3.1298720836639404,,2.24,2.198473282442748,,2.0477031911602457,,,,,,,262.0,38,26,,,,,0.0687022900763358,0.2706559716549382,0.7025066,,0,0.2310478331459972,1.1564885496183206,92.7014054341892,92.61809542931398,,,,,,146,81,3,2,,19,3,64
Chief Bender,1000827,110850,PHA,3.096949815750122,,2.86,1.7524033962094316,,1.4881576938212575,,,,,,,138.2,18,17,,,,,0.0649038294892382,0.2816636271715664,0.67548747,,1,0.2363096169710281,1.0240381986079807,71.84792748459746,67.11446197506761,,,,,,85,21,3,1,,14,2,27
Red Ames,1000210,110219,NYG,2.9228556156158447,,1.79,1.8104961906176569,,1.4189223497791486,,,,,,,114.1,18,15,,,,,0.0,0.2845119689579972,0.73387097,,1,0.2294345945124111,1.0758020842800569,76.95758053487609,53.99907938909168,,,,,,81,27,1,0,,5,0,23
Frank Smith,1012139,122386,CHW,2.8895184993743896,,3.46,2.0257557406021074,,2.077622069869345,,,,,,,297.2,41,35,,,,,0.0604703206149882,0.2289943639837377,0.67321178,,1,0.2023906694933873,0.960806205327036,89.88387341799002,98.78729545087496,,,,,,129,73,2,2,,24,3,67
Kaiser Wilhelm,1013947,124260,BRO,2.864039659500122,,5.85,1.870481927710843,,2.42643951048334,,,,,,,332.0,42,36,,,,,0.0813253012048192,0.2390387551806879,0.69840365,,0,0.2212536598349747,1.0512048192771084,83.75951382373209,102.00328093636476,,,,,,99,83,6,3,,33,6,69
Harry Howell,1006097,116223,SLB,2.802255392074585,,3.76,1.886947703155342,,2.224468220902974,,,,,,,324.1,41,32,,,,,0.027749230928755,0.2584556021907229,0.72133845,,1,0.2337427434280033,1.0760535104595006,81.460086018215,102.45444116986472,,,,,,117,70,17,1,,27,2,68
Jack Powell,1010487,120718,SLB,2.758644342422486,,4.55,2.109375,,2.1089508056640627,,,,,,,256.0,33,32,,,,,0.03515625,0.2452839131671248,0.72419106,,1,0.2236751548520303,0.99609375,91.06233768818257,97.46752045858685,,,,,,85,47,6,1,,23,5,60
Billy Campbell,1001873,111940,CIN,2.710206985473633,,-0.17,2.6024100571797932,,2.3496323215406054,,,,,,,221.1,35,24,,,,,0.1219879714303028,0.2662548947397964,0.6210443,,2,0.2454180867554898,1.115964034936474,109.11564840713646,92.28868962246516,,,,,,73,44,10,3,,19,2,64
Joe Lake,1007262,117417,NYH,2.666569471359253,,-1.83,3.1745051902925994,,2.439009618315088,,,,,,,269.1,38,27,,,,,0.2004950646500589,0.2771768702705083,0.54500919,,0,0.249130036275456,1.221534745738322,124.51578696628196,101.50320355587576,,,,,,118,77,6,6,,19,2,95
Howie Camnitz,1001866,111910,PIT,2.649764060974121,,2.46,1.5591546950201574,,2.371560800193304,,,,,,,236.2,38,26,,,,,0.2281689797590474,0.2426247251720299,0.726979,,2,0.2142688703635491,1.0605632207318685,66.44075123593018,94.730052119423,,,,,,118,69,5,6,,17,3,41
Ed Reulbach,1010850,121087,CHC,2.5451788902282715,,4.11,2.0257557406021074,,2.571463021558416,,,,,,,297.2,46,35,,,,,0.1209406412299765,0.2399345680469785,0.77784325,,1,0.2128617128218478,1.118700931377283,86.71010812399813,103.71015355492834,,,,,,133,106,12,4,,25,7,67
Andy Coakley,1002372,112425,- - -,2.5428784489631653,,4.07,1.7817263584044332,,2.5770267560925975,,,,,,,262.2,36,31,,,,,0.1027919052925634,0.2547855922013126,0.73976222,,2,0.2392885498535814,1.1535536038387677,74.76542635850075,101.96864719002345,,,,,,68,70,4,3,,22,5,52
Doc White,1013864,124173,CHW,2.4972872734069824,,3.69,2.554054054054054,,2.1720842516100087,,,,,,,296.0,41,37,,,,,0.0912162162162162,0.2714038983469036,0.73356808,,0,0.2423483280688378,1.135135135135135,113.32475416264408,102.9786333383546,,,,,,126,69,9,3,,24,5,84
Jimmy Dygert,1003616,113684,PHA,2.4531664848327637,,3.53,2.865921360176779,,2.247786328480126,,,,,,,238.2,41,27,,,,,0.1131284747438202,0.2623035964059708,0.68450313,,1,0.2146924046068731,1.1773741260375363,117.50177528070228,98.25897081147453,,,,,,164,97,11,3,,15,5,76
Johnny Lush,1007847,118015,STL,2.3784732818603516,,2.3,2.1183507629464464,,2.4841169746713296,,,,,,,250.2,38,32,,,,,0.2154255013165877,0.2593861282174719,0.66999287,,1,0.2381773247470816,1.1090423956668778,91.5569880041773,100.9454580455818,,,,,,93,57,11,6,,23,3,59
George Winter,1014145,124463,- - -,2.294174909591675,,0.6299999999999999,2.6470587740307456,,2.2138834015950017,,,,,,,204.0,29,23,,,,,0.1323529387015372,0.2835319941990507,0.64662273,,1,0.2570129633145591,1.176470566235887,108.87034409123112,97.05905994177792,,,,,,80,41,7,3,,13,0,60
Eddie Cicotte,1002236,112288,BOS,2.260999917984009,,2.41,2.430868584637905,,2.1686624330151156,,,,,,,207.1,39,24,,,,,0.0,0.2879246581381617,0.72556391,,2,0.2529769834410047,1.2395500520871856,100.33862968071962,95.65734590805886,,,,,,95,59,9,0,,17,2,56
Frank Corridon,1002640,112703,PHI,2.2249279022216797,,2.39,2.505600428203198,,2.398738356523446,,,,,,,208.1,27,24,,,,,0.0,0.2487771138755091,0.70258621,,1,0.232527790132526,1.0848001853906566,108.4962768238433,97.43674315930016,,,,,,50,48,6,0,,18,2,58
Cecil Ferguson,1003989,114065,BSN,2.1109001636505127,,2.17,2.4663461538461537,,2.5482536902794473,,,,,,,208.0,37,20,,,,,0.0432692307692307,0.2547440356336567,0.72699149,,0,0.22264631043257,1.2115384615384617,100.86258530490105,98.1373884214714,,,,,,98,84,8,1,,13,3,57
Doc Crandall,1002730,112789,NYG,2.058946132659912,,1.22,2.9347821219432464,,2.5157345101925532,,,,,,,214.2,32,24,,,,,0.1257763766547105,0.2695752777785317,0.69900688,,0,0.2464648168370772,1.1972047703800226,124.74686921308084,100.62055840907786,,,,,,77,59,9,3,,13,0,70
Heinie Berger,1000870,110898,CLE,2.016352415084839,,2.8,2.122073957628683,,2.2064894950498837,,,,,,,199.1,29,24,,,,,0.0451505097367804,0.246683697261553,0.73436083,,0,0.212849410982305,1.0936456802909051,89.4799313134677,99.31352068274914,,,,,,101,66,4,1,,16,0,47
Bob Spade,1012298,122556,CIN,2.005563497543335,,0.06,2.743315899756351,,2.694721278125963,,,,,,,249.1,35,28,,,,,0.0721925236777987,0.266007124682505,0.6778058,,1,0.2464849373583095,1.2633691643614775,115.02364600908118,106.75781801830276,,,,,,74,85,5,2,,22,2,76
Vive Lindaman,1007612,117776,BSN,1.978064775466919,,0.75,2.3608372609678927,,2.8215816012645933,,,,,,,270.2,43,30,,,,,0.2327586031940176,0.25581194644356,0.67678684,,1,0.2437380964806622,1.1674875969731675,96.5477409787047,109.3152839877356,,,,,,68,70,10,7,,21,2,71
Irv Young,1014380,124701,- - -,1.917254388332367,,-1.04,2.4217552315431954,,2.410298547988726,,,,,,,174.2,32,18,,,,,0.1545801211623316,0.2762988952402595,0.63870353,,1,0.2531990638881936,1.1851142622445423,100.80922996352496,94.50269241530742,,,,,,63,40,7,3,,10,2,47
