Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Honus Wagner,1013485,123784.0,SS,PIT,10.781245171765566,,10.18,53.87512573682519,22.85185146331787,6.093018993735313,,,,,165.51846403523666,0.4435983171016712,,,,,0.932403844,0.505474452,0.426929392,0.363138686,0.142335766,,147,616,548,114,101,6,52,277,199,147,32,14,57,54,,,,0.087662337,,,,,,,,,14.0,,,,,,,,0.0
Cy Seymour,1011777,122034.0,OF,CIN,8.651133391922125,,7.95,55.40311322935959,0.3209877014160156,-0.9794094506651164,,,,,174.0649366944214,0.4662178884545335,,,,,0.98840246,0.559380378,0.429022082,0.376936316,0.182444062,,149,643,581,95,121,8,69,325,219,150,40,21,21,51,,,,0.079315707,,,,,,,,,4.0,,,,,,,,0.0
Mike Donlin,1003380,113444.0,OF,NYG,7.398179736809883,,6.41,48.576159720304815,-5.801815032958984,0.9868469312787056,,,,,159.46232182734894,0.4318370815501156,,,,,0.907700106,0.495049504,0.412650602,0.356435643,0.138613861,,150,676,606,124,80,7,54,300,216,162,31,16,33,56,,,,0.082840236,,,,,,,,,-2.0,,,,,,,,0.0
George Davis,1003049,113106.0,SS,CHW,6.855692299658196,,7.22,19.201184569294043,23.320987701416016,1.454334232956171,,,,,125.6873935926412,0.3399824249627924,,,,,0.693420195,0.34,0.353420195,0.278181818,0.061818182,,151,654,550,74,55,1,31,187,153,122,29,1,31,60,,,,0.091743119,,,,,,,,,14.0,,,,,,,,0.0
Frank Chance,1002131,112183.0,1B,CHC,6.319784703908299,,5.57,38.38137047001901,1.4506173133850098,2.777791256085038,,,,,159.90582701568914,0.4290899717587465,,,,,0.88336546,0.433673469,0.449691991,0.31632653,0.117346939,,118,502,392,92,70,2,30,170,124,94,16,12,38,78,,,,0.155378486,,,,,,,,,5.0,,,,,,,,0.0
Roy Thomas,1012992,123262.0,OF,PHI,5.781648168176692,,5.52,25.092026139526205,4.370370388031006,-1.9826977364718912,,,,,133.87968696085758,0.3818545596552546,,,,,0.774950182,0.357651245,0.417298937,0.316725978,0.040925267,,147,675,562,118,31,0,17,201,178,161,11,6,23,93,,,,0.137777777,,,,,,,,,8.0,,,,,,,,0.0
Elmer Flick,1004158,114241.0,OF,CLE,5.6665090935127616,,5.2,41.15323582949944,-8.469135761260986,2.815649561583996,,,,,163.33541870909974,0.4032627611874259,,,,,0.845244206,0.462,0.383244206,0.308,0.154,,132,573,500,72,64,4,51,231,154,103,29,18,35,53,,,,0.092495636,,,,,,,,,-2.0,,,,,,,,0.0
Bill Dahlen,1002924,112991.0,SS,NYG,5.662529487129244,,5.42,4.972354762343107,27.02469158172607,3.0880779046565294,,,,,102.64819138166504,0.3324654979336542,,,,,0.673238797,0.336538461,0.336700336,0.242307692,0.094230769,,148,601,520,67,81,7,31,175,126,95,20,4,37,62,,,,0.103161397,,,,,,,,,18.0,,,,,,,,0.0
Harry Davis,1003053,113111.0,1B,PHA,5.627865852607158,,5.92,26.56531084039724,4.370370388031006,3.1942498926073313,,,,,133.673600886056,0.3620990629942139,,,,,0.756102121,0.421746293,0.334355828,0.285008237,0.136738056,,150,657,607,93,83,8,61,256,173,112,47,6,36,43,,,,0.06544901,,,,,,,,,9.0,,,,,,,,0.0
Sherry Magee,1007965,118135.0,OF,PHI,5.492278866066647,,5.12,26.739143400679666,0.3456788063049316,4.854334283620119,,,,,127.63094706408708,0.3709251099870405,,,,,0.773767295,0.419568822,0.354198473,0.298507462,0.12106136,,155,669,603,100,98,5,46,253,180,134,24,17,48,44,,,,0.065769805,,,,,,,,,8.0,,,,,,,,0.0
John Titus,1013085,123363.0,OF,PHI,5.470494826906874,,5.52,30.876544554560223,-3.2592592239379883,-2.851837817579508,,,,,144.86430176098952,0.4010673604064602,,,,,0.833587665,0.436131386,0.397456279,0.30839416,0.127737226,,147,635,548,99,89,2,52,239,169,117,36,14,11,69,,,,0.108661417,,,,,,,,,4.0,,,,,,,,0.0
Dan McGann,1008501,118684.0,1B,NYG,5.343191966972434,,4.85,27.52345340169169,0.8024692535400391,-0.1670654658228159,,,,,140.04952523926107,0.3978828464989113,,,,,0.824958995,0.433808553,0.391150442,0.299389002,0.134419551,,136,584,491,88,75,5,42,213,147,105,23,14,22,55,,,,0.094178082,,,,,,,,,5.0,,,,,,,,0.0
