fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,10.07,77.90517443308977,4.222222328186035,4.108925104141235,,,,,189.8926457337756,0.4828729110206672,,,,,1.031313235,0.567241379,0.464071856,0.38275862,0.184482759,,153,675,580,136,90,10,75,329,222,147,53,12,52,82,,,,0.121481481,,,,,,,,,8.0,,,,,,,
,9.29,69.46834553438485,-0.9382715225219728,1.1372535675764084,,,,,186.039687812774,0.4833152389451627,,,,,1.036351578,0.578671328,0.45768025,0.395104895,0.183566433,,154,653,572,121,90,3,73,331,226,153,44,26,35,54,,,,0.082695252,,,,,,,,,6.0,,,,,,,
,8.85,71.1411597960719,-1.4567902088165283,6.471106305718422,,,,,187.31313333968788,0.4853149233959281,,,,,1.03999362,0.584086799,0.455906821,0.408679927,0.175406872,,140,609,553,120,83,7,60,323,226,166,30,23,61,43,,,,0.070607553,,,,,,,,,2.0,,,,,,,
,9.04,54.76574370455761,13.59876537322998,3.047451674938202,,,,,166.0316200970471,0.4407975758421477,,,,,0.945151282,0.540727902,0.40442338,0.34662045,0.194107452,,149,644,577,116,130,10,71,312,200,129,40,21,40,50,,,,0.077639751,,,,,,,,,9.0,,,,,,,
,8.36,33.2298839302233,28.827160835266113,0.2742221653461456,,,,,139.46899828203817,0.4189578688929207,,,,,0.891279333,0.49641577,0.394863563,0.324372759,0.172043011,0.339181286,145,634,558,91,102,7,62,277,181,119,35,20,26,59,,38.0,0.059936908,0.093059936,,,,,,,,,20.0,,,,,,,
,8.78,53.612838945678064,6.0,5.800285026431084,,,,,158.41448123746613,0.4283676856423016,,,,,0.884933026,0.434622467,0.450310559,0.348066298,0.086556169,,153,673,543,137,64,0,36,236,189,153,25,11,63,101,,,,0.150074294,,,,,,,,,6.0,,,,,,,
,7.17,50.62834344780213,3.055555582046509,-0.2722367793321609,,,,,162.4377736736166,0.4605483762833124,,,,,0.98855289,0.570915619,0.417637271,0.371633752,0.199281867,0.399585921,145,619,557,95,99,14,69,318,207,138,41,14,23,38,,60.0,0.096930533,0.061389337,,,,,,,,,0.0,,,,,,,
,6.02,27.238611126112033,13.0,-2.261188507080078,,,,,139.43538232636283,0.4199015418545003,,,,,0.872830536,0.441422594,0.431407942,0.341004184,0.10041841,0.352941176,143,568,478,73,63,1,35,211,163,128,23,11,16,74,,18.0,0.03169014,0.13028169,,,,,,,,,13.0,,,,,,,
,5.57,26.055575798677495,11.413579940795898,0.315156951546669,,,,,135.87213653984412,0.394720520707373,,,,,0.832018007,0.448742746,0.383275261,0.315280464,0.133462282,,143,590,517,88,86,3,45,232,163,118,24,18,25,56,,,,0.094915254,,,,,,,,,7.0,,,,,,,
,4.86,30.46093951916608,5.0,2.0868284702301025,,,,,134.25207953918056,0.4095371441020594,,,,,0.864183306,0.471326164,0.392857142,0.329749103,0.141577061,0.329545454,143,629,558,98,90,10,51,263,184,133,33,8,36,56,,20.0,0.031796502,0.089030206,,,,,,,,,5.0,,,,,,,
