Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
Eddie Collins Sr.,1002451,112506,2B,PHA,9.961787601455132,,9.69,55.53601484653951,11.06172839552164,7.482803050428629,,,,,171.92218530180833,0.4215255602611249,,,,,0.866362995,0.450087565,0.41627543,0.34676007,0.103327495,,153,660,571,104,56,3,43,257,198,155,30,10,67,62,,,,0.093939393,,,,,,,,,11.0,,,,,,,
Ty Cobb,1002378,112431,OF,DET,9.713917326393991,,9.88,67.3288940511292,-3.7037038803100586,9.4154756590724,,,,,187.878493142117,0.457866263731815,,,,,0.947201415,0.516579406,0.430622009,0.37696335,0.139616056,,156,651,573,116,107,9,52,296,216,164,33,10,76,48,,,,0.073732718,,,,,,,,,4.0,,,,,,,
Honus Wagner,1013485,123784,SS,PIT,9.688873308102291,,9.19,48.19682204726097,15.34567928314209,2.144183609634638,,,,,174.1308167654132,0.4398549817343976,,,,,0.909101653,0.488888888,0.420212765,0.339393939,0.149494949,,137,591,495,92,100,5,54,242,168,114,39,10,35,66,,,,0.111675126,,,,,,,,,7.0,,,,,,,
Donie Bush,1001749,111794,SS,DET,6.360267004191184,,6.48,17.884820300987123,17.691357612609863,4.842010106891394,,,,,119.0593843455966,0.3495711947862918,,,,,0.693717466,0.313909774,0.379807692,0.27255639,0.041353384,,157,676,532,114,33,0,20,167,145,125,18,2,53,88,,,,0.130177514,,,,,,,,,8.0,,,,,,,
Tristram Speaker,1012309,122566,OF,BOS,6.290687378340752,,6.32,32.45462673409526,4.4938271045684814,2.568735871464014,,,,,148.7167122893114,0.3910826374800379,,,,,0.804644586,0.443014705,0.361629881,0.308823529,0.134191176,,143,606,544,73,77,7,46,241,168,122,26,13,35,38,,,,0.06270627,,,,,,,,,8.0,,,,,,,
Nap Lajoie,1007259,117414,2B,CLE,5.992036863556926,,6.46,25.73208700024025,11.753086417913435,-1.433246448636055,,,,,151.506460532953,0.393607247576994,,,,,0.809134996,0.430703624,0.378431372,0.324093816,0.106609808,,128,521,469,56,47,1,41,202,152,111,33,7,13,35,,,,0.067178502,,,,,,,,,12.0,,,,,,,
Home Run Baker,1000453,110480,3B,PHA,5.907999564897253,,5.69,28.76299306287324,3.5061726570129395,0.1259606704115867,,,,,146.6809597309898,0.3818054837988807,,,,,0.78997712,0.447319778,0.342657342,0.304990757,0.142329021,,148,606,541,73,85,4,50,242,165,115,27,19,20,26,,,,0.04290429,,,,,,,,,-1.0,,,,,,,
Mike Mitchell,1009007,119198,OF,CIN,5.813190340005687,,5.47,32.02364699512514,-1.1419754028320312,2.5972526483237743,,,,,147.04915568685595,0.3927876770496368,,,,,0.807796531,0.430210325,0.377586206,0.309751434,0.120458891,,145,595,523,83,86,4,38,225,162,124,17,17,37,57,,,,0.095798319,,,,,,,,,6.0,,,,,,,
Fred Clarke,1002280,112352,OF,PIT,5.664848540010027,,5.25,24.09901997958242,4.4938273429870605,0.5216135904192924,,,,,133.98473149131257,0.3742562442455651,,,,,0.75637507,0.372727272,0.383647798,0.287272727,0.085454545,,152,660,550,97,68,3,30,205,158,128,16,11,31,80,,,,0.121212121,,,,,,,,,12.0,,,,,,,
Al Bridwell,1001422,111459,SS,NYG,5.622548119722039,,5.47,16.08347409584725,13.950616836547852,1.225769404321909,,,,,124.97278856953017,0.3607977999193795,,,,,0.723975696,0.338235294,0.385740402,0.294117647,0.044117647,,145,566,476,59,55,0,16,161,140,124,11,5,32,67,,,,0.118374558,,,,,,,,,5.0,,,,,,,
