fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,7.41,2.427444502840192,,2.473162433655502,2.9234585777062505,,0.2838934,0.05793743,0.22595597,211.1,30,30,,,,0.409594095,0.6388011849579454,0.3088235294117647,0.7918552,0.075376884,0,0.2276119402985074,1.1025235266311204,56.74617919195983,55.8578290530463,2.824662158033852,,,4.390121936798096,1.33668276733896,245,50,9,15,23,3,1
,8.02,2.217857082425333,,2.2118791531056763,3.083539892140607,,0.27503338,0.06275033,0.21228304,186.2,29,29,,,,0.412133891,0.337499990803855,0.2916666666666667,0.7815735,0.040229885,0,0.2121212121212121,1.0392856859674269,48.0204391004162,51.088641609490665,2.9651863071462774,,,5.101240158081055,0.1320622500302848,206,47,9,7,21,3,0
,8.09,3.2481203007518795,,3.230770108215791,2.9577431798541456,,0.19047619,0.02987862,0.16059757,266.0,36,36,,,,0.584049079,0.8796992481203008,0.28375,0.71040373,0.142857142,0,0.245631067961165,1.0714285714285714,69.39577271295863,71.40969997014281,2.9318806036643745,,,4.599621772766113,0.7319649664547061,204,32,9,26,23,9,2
,7.19,2.9027982979281104,,3.0536132991625897,3.3398649376723655,,0.22451193,0.06073753,0.1637744,226.1,34,34,,,,0.464114832,0.6759941241750393,0.2832278481012658,0.78505458,0.086734693,0,0.2289719626168224,1.1134020868765355,62.62118567593371,65.47936404522916,3.3914200762882314,,,5.466808319091797,0.6708151880910656,207,56,10,17,27,1,0
,6.67,2.3402886952810817,,2.641473872034859,3.3448764719942035,,0.25396825,0.05616606,0.1978022,207.2,29,29,,,,0.370437956,0.6067415135913915,0.2527472527472527,0.80152672,0.062222222,0,0.1979166666666666,0.9534509499293295,56.2675789256128,62.97456863974238,3.1717659798460662,,,4.583316326141357,-0.0749027437432676,208,46,5,14,20,5,3
,6.57,3.395962893845595,,3.087422611682045,3.316805573954549,,0.22807018,0.04678363,0.18128655,214.2,31,31,,,,0.408196721,0.8804348243303394,0.2869127516778523,0.72470817,0.095022624,0,0.2364532019704433,1.0807453928287762,75.97141417521563,69.78550384522376,3.310141398440251,,,3.5249438285827637,0.0525822211963205,195,40,3,21,20,2,1
,4.51,2.3886255924170614,,2.8229911822278355,2.857041706074188,,0.2161215,0.06542056,0.15070094,211.0,32,32,,,,0.624787775,0.4691943127962085,0.2888146911519199,0.77526132,0.106796116,0,0.2314465408805031,1.1374407582938388,59.18978077580148,65.06930402356588,2.936931340305594,,,3.225224018096924,0.0983371884245638,185,56,5,11,25,0,0
,6.03,3.2384392349499116,,3.3133138892159018,3.41041256156004,,0.25692964,0.06076759,0.19616205,230.2,34,34,,,,0.357027463,1.0924855250433436,0.2796052631578947,0.75523203,0.105660377,0,0.2257696693272519,1.1054913051033834,73.34785822696391,74.62989611145517,3.207962043057351,,,2.5892279148101807,-0.6677296554454015,241,57,4,28,22,4,1
,7.44,2.699999828338634,,3.38152196566264,3.5775435409119933,,0.16752844,0.0630817,0.10444674,240.0,34,34,,,,0.579242636,0.5624999642372154,0.2531293463143254,0.74493927,0.090361445,0,0.2198660714285714,1.074999931653345,59.919252714169744,75.60927152738736,3.638914707384785,,,4.365285873413086,-0.4959848644027342,162,61,10,15,27,3,2
,5.96,2.9464285714285716,,2.66247436886742,2.709630616177761,,0.28826152,0.04754829,0.24071322,168.0,24,24,,,,0.415094339,0.9107142857142856,0.297423887587822,0.77963918,0.108280254,0,0.225705329153605,1.0476190476190477,65.22036025373718,59.13650044697519,2.671638359696302,,,2.9563682079315186,-0.2198381071121766,194,32,3,17,16,3,2
,3.09,4.017599803828134,,3.34832197244629,3.227734434584544,,0.20089286,0.05580357,0.14508929,208.1,33,33,,,,0.522273425,0.9071999557031272,0.3198757763975155,0.67980692,0.123529411,0,0.2686390532544379,1.3295999350781282,89.87811358010967,75.56542250147383,3.3914169344566565,,,0.9675660133361816,0.3491523848164188,180,50,1,21,20,1,0
,5.11,3.8677685950413223,,4.105902153204296,4.289847785813257,,0.17581301,0.06808943,0.10772358,242.0,34,34,,,,0.368998628,1.115702479338843,0.2722143864598025,0.743083,0.10067114,0,0.2445175438596491,1.1983471074380163,83.43819669265434,87.59041471909318,4.2409174254391715,,,2.0316460132598877,-0.008389445858508,173,67,5,30,22,9,0
,5.44,3.1121495327102804,,3.466101427167376,3.880085509145093,,0.18522602,0.10363837,0.08158765,214.0,32,32,,,,0.553542009,0.3785046728971962,0.2859424920127795,0.73013601,0.063829787,0,0.2341220423412204,1.3177570093457944,72.75247481403618,78.79212996918841,4.107411939471939,,,2.7051360607147217,-0.3180729215479765,168,94,10,9,21,3,1
,3.68,1.2024294469249763,,0.8574323818587688,1.1791943157531144,,0.44771242,0.06535948,0.38235294,82.1,77,0,,,,0.453900709,0.2186235358045411,0.2430555555555555,0.83916084,0.055555555,55,0.1307420494699646,0.692307863381047,29.796019764587196,18.866709734728783,1.053296094945929,,,6.3198323249816895,-0.0225099610440424,137,20,3,2,0,0,0
,2.28,4.013513513513513,,3.594585050978103,4.071436614375394,,0.18172043,0.07311828,0.10860215,222.0,35,35,,,,0.393343419,0.7702702702702703,0.2850746268656716,0.70086139,0.078512396,0,0.2447552447552447,1.2522522522522523,95.59547794234258,84.3701997697097,4.166765067842608,,,1.206123948097229,0.2985742081851932,169,68,4,19,23,5,3
,5.8,3.133928486035797,,3.3797362641412385,3.4442935679725744,,0.17135207,0.05354752,0.11780455,186.2,26,26,,,,0.556537102,0.7232142660082609,0.293594306049822,0.7761194,0.105633802,0,0.2553191489361702,1.1785713964579063,69.54913514141253,75.57007001645452,3.5645769563066207,,,3.429949998855591,0.3790803007985186,128,40,2,15,17,9,2
,3.14,3.874622100780918,,3.720343694720536,4.352611141288717,,0.16207627,0.05826271,0.10381356,220.2,34,33,,,,0.375527426,0.8157099159538774,0.2836879432624113,0.71705426,0.0729927,0,0.2505694760820046,1.2462234827073126,92.37209645580168,86.99249557153931,4.2773526722936595,,,0.7658098042011261,-0.2559492563110727,153,55,11,20,21,0,0
,4.03,3.9118109296228383,,3.6031755174855262,3.5688934627065425,,0.21640091,0.06605923,0.15034169,211.2,33,33,,,,0.444084278,1.020472416423349,0.2911813643926789,0.71366025,0.114832535,0,0.2441717791411043,1.2141731991703737,87.511500448987,81.21140321706025,3.593602662626993,,,2.975911855697632,1.827499272527704,190,58,5,24,21,1,1
,5.29,3.3021584183796797,,4.05454361556992,4.845078323334743,,0.15256008,0.09195402,0.06060606,231.2,35,35,,,,0.39341917,0.7381295288142814,0.2392550143266475,0.71823204,0.064406779,0,0.2155272305909617,1.1827338648837022,73.28254716773972,90.38411785567364,4.814617714467016,,,2.482873916625977,-1.4228761480755048,146,88,6,19,23,4,1
,4.49,3.75,,3.670410876803928,4.064294226626279,,0.14922049,0.06792873,0.08129176,216.0,31,31,,,,0.52616279,0.6666666666666666,0.2859237536656892,0.71877455,0.07960199,0,0.2536057692307692,1.2592592592592593,86.76297957505976,83.50767077902347,4.166951281878971,,,1.9877082109451296,-0.5981422965997676,134,61,5,16,18,4,0
