fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,4.08,18.591601313819456,-0.5679011344909668,-0.7402043957263231,,,,,128.02764093610492,0.3602272995082848,,,,,0.75096988,0.386404293,0.364565587,0.33273703,0.053667263,,133,612,559,86,38,0,25,216,186,161,20,5,19,21,,,,0.034313725,,,,,,,,,6.0,,,,,,,
,4.24,5.819099873758455,12.518518447875977,0.2765519637614488,,,,,108.37793333264112,0.3297402448307684,,,,,0.681660899,0.352941176,0.328719723,0.263757115,0.089184061,,138,587,527,67,74,2,35,186,139,104,25,8,20,43,,,,0.073253833,,,,,,,,,4.0,,,,,,,
,3.18,14.885553134349204,1.6419754028320312,-0.1245603132992982,,,,,118.657156309825,0.3820334986636513,,,,,0.784316929,0.387033398,0.397283531,0.302554027,0.084479371,,136,594,509,93,44,4,29,197,154,125,19,6,24,74,,,,0.124579124,,,,,,,,,5.0,,,,,,,
,3.83,13.599184812837208,4.8518518805503845,1.132418503984809,,,,,119.49967840684656,0.3478245020758175,,,,,0.718775215,0.371257485,0.34751773,0.265469061,0.105788424,,127,571,501,89,37,4,35,186,133,98,21,10,25,58,,,,0.101576182,,,,,,,,,11.0,,,,,,,
,3.25,23.129883425717725,-7.407407522201538,-2.3893611822277308,,,,,136.17087602190102,0.370051622586493,,,,,0.735793103,0.322,0.413793103,0.286,0.036,,138,626,500,89,24,0,11,161,143,132,4,7,17,107,,,,0.170926517,,,,,,,,,-4.0,,,,,,,
,3.98,21.381506859750058,-3.950854539871216,-1.3240041956305504,,,,,134.79511396173845,0.3836765318534837,,,,,0.80402769,0.427495291,0.376532399,0.329566854,0.097928437,,129,579,531,82,69,5,35,227,175,140,23,7,15,34,,,,0.058721934,,,,,,,,,0.0,,,,,,,
,3.32,18.10650908261053,-2.3213677406311035,2.603929126635194,,,,,120.25832119066,0.3768013786255982,,,,,0.779022445,0.39085239,0.388170055,0.311850311,0.079002079,,129,565,481,77,62,0,27,188,150,123,16,11,35,53,,,,0.093805309,,,,,,,,,4.0,,,,,,,
,3.81,9.083583865493615,8.950617283582687,-1.747470311820507,,,,,119.89707069332223,0.3461137543442428,,,,,0.698287534,0.328395061,0.369892473,0.276543209,0.051851852,,115,483,405,54,55,2,16,133,112,96,13,1,10,53,,,,0.109730848,,,,,,,,,9.0,,,,,,,
,3.12,-9.726222353622042,21.518518447875977,-0.2111588530242443,,,,,88.50210333745196,0.325010222947898,,,,,0.683141404,0.373897707,0.309243697,0.275132275,0.098765432,,138,611,567,91,62,3,42,212,156,114,31,8,16,24,,,,0.039279869,,,,,,,,,13.0,,,,,,,
,3.5,16.59220367795647,-3.3333332538604736,-1.8675815407186749,,,,,125.23950331348313,0.3962986237100894,,,,,0.832242238,0.448347107,0.383895131,0.320247933,0.128099174,,120,540,484,92,44,6,44,217,155,111,32,6,10,43,,,,0.079629629,,,,,,,,,0.0,,,,,,,
,3.58,-0.332222396163079,14.841376781463625,2.301130374893546,,,,,95.6569751719404,0.3024775975025617,,,,,0.630060728,0.331983805,0.298076923,0.261133603,0.070850202,,131,538,494,55,54,2,26,164,129,103,19,5,27,26,,,,0.048327137,,,,,,,,,7.0,,,,,,,
,3.23,15.227699396409808,-1.981481432914734,1.9083962701261044,,,,,120.45704848975384,0.3692981737783585,,,,,0.770331814,0.402515723,0.367816091,0.3081761,0.094339623,,129,536,477,65,63,0,30,192,147,117,15,15,29,31,,,,0.05783582,,,,,,,,,2.0,,,,,,,
,2.89,16.19011752972382,-6.271605014801025,0.0279513336718082,,,,,120.82537673951344,0.3926489073683906,,,,,0.819975351,0.427435387,0.392539964,0.320079522,0.107355865,,128,573,503,86,60,3,39,215,161,122,27,9,22,58,,,,0.10122164,,,,,,,,,0.0,,,,,,,
,2.64,14.301498880688571,-4.0864198207855225,0.6921960432082415,,,,,117.84741834741396,0.3797264040600169,,,,,0.795805296,0.421259842,0.374545454,0.322834645,0.098425197,,127,563,508,92,58,2,35,214,164,129,22,11,24,37,,,,0.06571936,,,,,,,,,-1.0,,,,,,,
,2.66,10.549261247710252,-2.0740737915039062,2.0927521996200085,,,,,110.42346748159218,0.3710601956054971,,,,,0.786755672,0.443850267,0.342905405,0.306595365,0.137254902,,133,599,561,89,92,6,57,249,172,115,43,8,28,30,,,,0.050083472,,,,,,,,,2.0,,,,,,,
,2.49,15.445014552458318,-8.765431880950928,4.45141750946641,,,,,112.74231398579572,0.3753838304089447,,,,,0.774106445,0.390825688,0.383280757,0.282568807,0.108256881,,137,637,545,109,58,5,37,213,154,117,20,12,47,87,,,,0.136577708,,,,,,,,,-2.0,,,,,,,
,3.09,17.20488675729383,-6.222222328186035,2.475995860993862,,,,,123.71832369796006,0.3483164557704219,,,,,0.717544635,0.354581673,0.362962962,0.314741035,0.039840638,,126,551,502,70,35,0,16,178,158,142,12,4,34,28,,,,0.050816696,,,,,,,,,0.0,,,,,,,
,2.5,15.241947834626846,-6.1522634625434875,1.2441515605896711,,,,,118.29191358381408,0.3754372419739452,,,,,0.786162263,0.417647058,0.368515205,0.307843137,0.109803921,,128,565,510,81,69,6,33,213,157,124,16,11,27,49,,,,0.086725663,,,,,,,,,-1.0,,,,,,,
