fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,7.92,2.620393022152274,,2.5719469511902373,,,0.22376973,0.06035283,0.1634169,271.1,35,35,,,,,0.4975429788896723,0.2716378162450066,0.73134328,,0,0.2174776564051638,1.0466830074419773,60.8328358987305,63.784849029978886,,,,3.955749988555908,-1.570946892034665,241,65,5,15,25,13,4
,4.35,3.2879655441685207,,2.5161891844794058,,,0.2494824,0.07556936,0.17391304,232.2,34,34,,,,,0.5028653185198914,0.3012618296529968,0.70887036,,0,0.2297297297297297,1.1905443865812813,90.75022333698551,67.19422962586235,,,,1.2598400115966797,-0.8197331035265218,241,73,5,13,24,5,2
,5.51,2.5106034639191885,,2.5327291090936517,,,0.20848485,0.06666667,0.14181818,204.1,30,30,,,,,0.3523653984447984,0.2674616695059625,0.72710104,,0,0.2151238591916558,1.0766720508035508,66.59954259081826,64.28166987652381,,,,2.2758419513702393,-0.8258982828952739,172,55,3,8,25,3,1
,3.79,3.4789913735916156,,3.0111928992415886,,,0.17404737,0.03192585,0.14212152,238.0,33,33,,,,,0.7941175961459123,0.2945113788487282,0.66368078,,0,0.2572038420490928,1.1428570695856517,85.11401612831816,75.28703698480807,,,,0.2386460602283477,-0.6837025657215617,169,31,3,21,20,7,0
,3.49,3.3536121673003803,,3.061053918251067,,,0.18504673,0.06168224,0.12336449,263.0,37,37,,,,,0.6159695817490495,0.2736572890025575,0.68507891,,0,0.2324649298597194,1.1330798479087452,86.70685402968515,79.23175694068503,,,,2.010010004043579,-1.3852613762703656,198,66,6,18,23,7,2
,7.050000000000001,2.6470588235294117,,3.1036298839985825,,,0.17023445,0.07441386,0.09582059,238.0,34,34,,,,,0.453781512605042,0.2627939142461964,0.75321726,,0,0.2239467849223946,1.1554621848739497,64.2991098606894,75.98085633377505,,,,3.356353998184204,-0.0484869270221652,167,73,6,12,27,6,0
,7.57,2.888889070291971,,3.267253383920468,,,0.15768463,0.07285429,0.08483034,243.0,34,34,,,,,0.5185185510780461,0.2765957446808511,0.76676177,,0,0.2402597402597402,1.213991845777965,70.46805424288411,79.37520026268278,,,,2.515176296234131,-0.1172841348676763,158,73,5,14,25,5,1
,8.52,2.554054001389498,,3.058433422857693,,,0.19413549,0.06976744,0.12436805,246.2,34,34,,,,,0.6202702574803067,0.2595204513399153,0.76148268,,0,0.218954248366013,1.0945945720240706,66.8543701800295,79.60119591936369,,,,4.213523864746094,0.312439610348699,192,69,2,17,25,9,1
,4.31,3.052547844869719,,3.0802530227836633,,,0.14253136,0.05017104,0.09236032,209.1,33,33,,,,,0.5159235794146004,0.2813852813852814,0.71669477,,0,0.2493975903614458,1.1990446151209695,73.81454104416217,74.31214179009244,,,,2.324187994003296,0.3846873656630118,125,44,3,12,21,2,2
,4.27,3.406044609760688,,3.3406190194742593,,,0.18579767,0.07976654,0.10603113,253.2,35,35,,,,,0.6741129956818028,0.2636612021857923,0.74060427,,0,0.2250530785562632,1.1590012908213454,85.21561686762377,83.33732709225278,,,,3.0414741039276123,0.5367077092736485,191,82,4,19,25,15,3
,5.17,2.913295054643669,,2.7459041250525154,,,0.29721816,0.10541728,0.19180088,173.0,27,27,,,,,0.6242775117093576,0.2301790281329923,0.7459926,,0,0.1683168316831683,1.0057804355317428,71.89044674385508,68.88194026959921,,,,3.034778118133545,-0.7753920045350515,203,72,5,12,16,2,2
,3.25,3.4237557388677153,,3.0579778987825987,,,0.17934166,0.0692395,0.11010216,207.2,34,31,,,,,0.5634028431048139,0.2967542503863987,0.68454764,,0,0.2506112469437653,1.280898771503252,83.28340670329672,79.06550945727506,,,,1.3630059510469437,0.6856585618900153,158,61,2,13,16,6,3
,2.64,3.19736820707032,,3.0662570260348203,,,0.13100437,0.03165939,0.09934498,228.0,35,35,,,,,0.5921052235315407,0.292,0.69672131,,0,0.2644067796610169,1.1535086947318165,88.72739449427974,82.64091037429385,,,,0.7969921231269836,-1.242435014666912,120,29,2,15,20,6,3
