Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Sandy Koufax,1007124,117277,LAD,9.16897964477539,,10.67,1.8810289389067525,,1.852020676726314,,,,0.25289256,0.04793388,0.20495868,311.0,40,40,,,,,8.855305466237942,1.6784565916398717,5.27586207,0.5209003215434084,0.2375757575757575,0.82866293,,0,0.186248912097476,0.8745980707395499,61.900522520019166,61.563261483226405,,,,,,306,58,3,18,,20,11,65
Juan Marichal,1008106,118283,SFG,6.707560062408447,,7.79,2.4087138454525165,,2.6159597922790954,,,,0.19527559,0.0480315,0.14724409,321.1,41,40,,,,,6.9460585310723735,1.7085063322395757,4.06557377,0.7562241142699762,0.2489270386266094,0.77410274,,0,0.2145816072908036,0.9958506854584048,73.34679025915388,80.22879544375218,,,,,,248,61,2,27,,18,5,86
Dick Ellsworth,1003754,113824,CHC,6.589705944061279,,10.23,2.105504439782348,,2.626966092490396,,,,0.15948276,0.06465517,0.09482759,290.2,37,37,,,,,5.728210608231389,2.3222475438775896,2.46666667,0.4334862081904834,0.2364253393665158,0.80242511,,0,0.2059095106186519,1.02522928603781,61.39188523391412,77.14355039135604,,,,,,185,75,2,14,,19,4,68
Larry Jackson,1006304,116434,CHC,6.553955078125,,5.05,2.5527272727272727,,2.540848504846746,,,,0.13587922,0.04795737,0.08792185,275.0,37,37,,,,,5.007272727272727,1.767272727272727,2.83333333,0.36,0.2716186252771618,0.71190951,,0,0.2401500938086304,1.1272727272727272,74.43192082603994,74.63255067207403,,,,,,153,54,6,11,,13,4,78
Gary Peters,1010228,120455,CHW,6.4874091148376465,,5.95,2.3333333333333335,,2.343227853892762,,,,0.19325153,0.06952965,0.12372188,243.0,41,30,,,,,7.0,2.5185185185185186,2.77941176,0.3333333333333333,0.2599431818181818,0.77916993,,1,0.212860310421286,1.0699588477366255,67.05198171161604,66.79715213488396,,,,,,189,68,8,9,,13,4,63
Jim Maloney,1008039,118216,CIN,6.3673014640808105,,5.03,2.768309315162897,,2.371174115944296,,,,0.26237624,0.08712871,0.17524753,250.1,33,33,,,,,9.527298292443737,3.163782074471882,3.01136364,0.6111851734775227,0.2618296529968454,0.76224329,,0,0.1997816593886462,1.0825567451791414,82.3365166059449,71.08266974049006,,,,,,265,88,6,17,,13,6,77
Don Drysdale,1003516,113581,LAD,5.77610445022583,,4.33,2.6257929812533667,,2.5551402645141694,,,,0.19826224,0.0450237,0.15323855,315.1,42,42,,,,,7.163848242332555,1.6268499992548031,4.40350877,0.7135307014275453,0.2838569880823402,0.7523511,,0,0.2393661384487072,1.0909091612936692,86.40906804094612,84.70137965775297,,,,,,251,57,10,25,,17,3,92
Bob Friend,1004355,114442,PIT,5.658933162689209,,5.84,2.3449129737938836,,2.583248677419404,,,,0.13333333,0.04074074,0.09259259,268.2,39,38,,,,,4.823820974661704,1.4739452978132983,3.27272727,0.4354838379902926,0.2551487414187643,0.74212894,,0,0.2289039767216295,1.0421835439083929,71.75764211452896,79.62512066532793,,,,,,144,44,5,13,,12,4,70
Bill Monbouquette,1009048,119243,BOS,5.4325408935546875,,2.85,3.813749709033989,,3.1577802712440532,,,,0.15963303,0.03853211,0.12110092,266.2,37,36,,,,,5.87249955196384,1.4174998918533408,4.14285714,1.0462499201774658,0.269276393831554,0.70537802,,0,0.2461832061068702,1.124999914169318,100.27305041634128,82.53265973439056,,,,,,174,42,0,31,,13,1,113
Camilo Pascual,1010039,120266,MIN,5.414731025695801,,6.09,2.464429883529544,,2.9662787150335888,,,,0.19980218,0.08011869,0.11968348,248.1,31,31,,,,,7.320806418720116,2.935570890674898,2.49382716,0.761073934619418,0.2613636363636363,0.82049307,,0,0.221143473570658,1.151678017466421,66.42708708603242,79.44836683654893,,,,,,202,81,3,21,,18,3,68
Steve Barber,1000530,110550,BAL,5.388143062591553,,3.86,2.7487111240102924,,2.803772565527671,,,,0.16423358,0.08394161,0.08029197,258.2,39,36,,,,,6.262886105339907,3.201030676062619,1.95652174,0.4175257403559938,0.2982673267326732,0.7525587,,0,0.253,1.333762781692758,78.98583558585662,80.0289127609344,,,,,,180,92,4,12,,11,2,79
Joe Nuxhall,1009665,119872,CIN,5.367958068847656,,4.85,2.608896132914372,,2.3824045403280323,,,,0.19248292,0.04441913,0.14806378,217.1,35,29,,,,,6.998467404167124,1.6150309394231823,4.33333333,0.5797546962031938,0.2769230769230769,0.75660893,,2,0.2328931572629051,1.072086065201144,77.5951656104042,71.41669094928295,,,,,,169,39,6,14,,14,2,63
Whitey Ford,1004227,114299,NYY,5.177357196807861,,4.31,2.7400992168841385,,2.976555113086118,,,,0.17696629,0.05243446,0.12453184,269.1,38,37,,,,,6.315594536476856,1.8712872700672163,3.375,0.868811946816922,0.2691823899371069,0.77981651,,1,0.2376237623762376,1.0990099840077303,77.71262153871317,83.88668259547867,,,,,,189,56,2,26,,13,3,82
Curt Simmons,1011980,122241,STL,5.052314281463623,,4.79,2.4756443203046685,,2.8099758311248486,,,,0.13481953,0.05095541,0.08386412,232.2,32,32,,,,,4.912606698104577,1.8567332402285015,2.64583333,0.5028652525618859,0.2620320855614973,0.73937908,,0,0.2353603603603603,1.1045843581914927,69.63188364124888,79.5631967492867,,,,,,127,48,6,13,,11,6,64
Ray Herbert,1005684,115802,CHW,4.939119338989258,,2.77,3.2448066074440103,,2.7327394816352983,,,,0.1147541,0.03825137,0.07650273,224.2,33,33,,,,,4.206230787427421,1.4020769291424735,3.0,0.4807120899917052,0.2864651773981603,0.72342126,,0,0.2619589977220957,1.179525035627795,93.24459141431429,77.99037779482151,,,,,,105,35,2,12,,14,7,81
Jim O'Toole,1009897,120115,CIN,4.774695873260498,,4.37,2.8805125286940703,,2.722273603229397,,,,0.15287958,0.05968586,0.09319372,234.1,33,32,,,,,5.607397722524457,2.1891895218074935,2.56140351,0.4992888383069722,0.264945652173913,0.73258607,,0,0.2324022346368715,1.1308678816354498,85.67372379718906,81.52525598143092,,,,,,146,57,3,13,,12,5,75
Dean Chance,1002130,112185,LAA,4.758359909057617,,1.89,3.193548387096774,,2.8580625810930806,,,,0.15879017,0.08506616,0.07372401,248.0,45,35,,,,,6.096774193548387,3.2661290322580645,1.86666667,0.3629032258064516,0.2807692307692307,0.6984127,,3,0.2390396659707724,1.2862903225806452,92.72882854870662,82.44277425234124,,,,,,168,90,10,10,,6,2,88
Al Downing,1003450,113515,NYY,4.730434894561768,,3.83,2.561669310026942,,2.416411739894573,,,,0.24186704,0.11315417,0.12871287,175.2,24,22,,,,,8.760909040292141,4.0986708960431075,2.1375,0.3586337034037719,0.2383073496659243,0.77090119,,0,0.1818181818181818,1.1043641025449484,72.65212747435993,68.00031990465888,,,,,,171,80,0,7,,10,4,50
Juan Pizarro,1010382,120612,CHW,4.66450834274292,,4.41,2.3897511564395004,,2.7305830763379864,,,,0.18649886,0.07208238,0.11441648,214.2,32,28,,,,,6.833849798239274,2.6413039097489217,2.58730159,0.5869564243886493,0.2583201267828843,0.77887198,,1,0.219059405940594,1.1180122369307606,68.67323607295485,77.928410116868,,,,,,163,63,3,14,,10,3,57
Bob Gibson,1004662,114756,STL,4.430891036987305,,2.28,3.3926696827536422,,3.1308626926316947,,,,0.1875,0.08823529,0.09926471,254.2,36,33,,,,,7.20942307585149,3.3926696827536422,2.125,0.6714658747116583,0.2711640211640211,0.72780679,,0,0.2288049029622063,1.2565443269457934,95.42484703683984,88.58870837839683,,,,,,204,96,13,19,,14,2,96
Turk Farrell,1003950,114028,HOU,4.27927827835083,,3.8,3.0247122291171684,,2.4048952193737323,,,,0.1780303,0.04419192,0.13383838,202.1,34,26,,,,,6.271829769198834,1.5568371767514837,4.02857143,0.5337727463147944,0.2475083056478405,0.67328918,,1,0.2132450331125827,0.9686986877564788,96.73087178741534,77.508941505136,,,,,,141,35,2,12,,12,0,68
Ken Johnson,1006477,116604,HOU,4.066754341125488,,4.13,2.6517857142857144,,2.630816037314279,,,,0.16104461,0.05440696,0.10663765,224.0,37,32,,,,,5.946428571428571,2.0089285714285716,2.96,0.4821428571428571,0.2738944365192582,0.7177814,,1,0.2369337979094076,1.1339285714285714,84.80461098646045,84.73393218819794,,,,,,148,50,8,12,,6,1,66
Jack Kralick,1007135,117288,- - -,3.793540120124817,,3.8700000000000006,3.0269058554859405,,3.218940643258461,,,,0.14113786,0.0536105,0.08752735,223.0,33,32,,,,,5.2062780714358174,1.9775784922508144,2.63265306,0.8475336395360633,0.2717086834733893,0.75976231,,0,0.2488425925925926,1.1838565123678346,84.02981355119036,88.90157258523965,,,,,,129,49,1,21,,11,4,75
Jack Sanford,1011432,121684,SFG,3.7553751468658447,,2.44,3.513482080241416,,3.182430138892712,,,,0.13344595,0.06418919,0.06925676,284.1,42,42,,,,,5.001172690794087,2.4056273702553836,2.07894737,0.6647128259916192,0.2727272727272727,0.7116451,,0,0.2475067996373526,1.227432678682937,106.9876497390038,97.47815936447708,,,,,,158,76,5,21,,11,0,111
Don Nottebart,1009651,119858,HOU,3.7281439304351807,,2.95,3.1709844559585494,,2.5515691831321914,,,,0.1505102,0.0497449,0.10076531,193.0,31,27,,,,,5.5025906735751295,1.8186528497409329,3.02564103,0.466321243523316,0.2597402597402597,0.66326531,,0,0.2284946236559139,1.0829015544041452,101.40868539376396,82.19960273442345,,,,,,118,39,1,10,,9,2,68
Jim Bouton,1001241,111279,NYY,3.5516605377197266,,4.76,2.526738328722955,,3.3132550410831274,,,,0.14741036,0.08665339,0.06075697,249.1,40,30,,,,,5.342246752157105,3.140374779984244,1.70114943,0.6497327131001884,0.231283422459893,0.78967944,,1,0.2089715536105033,1.1149734212460023,71.66144140236452,93.43591129322547,,,,,,148,87,3,18,,12,6,70
Chris Short,1011931,122188,PHI,3.401576042175293,,1.94,2.9545454545454546,,2.741656585654827,,,,0.19300362,0.08323281,0.10977081,198.0,38,27,,,,,7.272727272727272,3.136363636363636,2.31884058,0.5454545454545454,0.2957264957264957,0.74937552,,0,0.2443857331571994,1.2828282828282829,92.2802479906289,86.2169473279394,,,,,,160,69,3,12,,6,3,65
Orlando Pena,1010150,120375,KCA,3.3936164379119873,,3.81,3.691244239631336,,3.5389381571299476,,,,0.14004376,0.05798687,0.08205689,217.0,35,33,,,,,5.308755760368664,2.19815668202765,2.41509434,0.9953917050691244,0.2755681818181818,0.7549505,,0,0.2546728971962617,1.2488479262672811,97.02268976153812,92.52623443139052,,,,,,128,53,5,24,,9,3,89
Dick Stigman,1012534,122793,MIN,3.2942728996276855,,3.93,3.24896265560166,,3.611810406016117,,,,0.19338677,0.08116232,0.11222445,241.0,33,33,,,,,7.20746887966805,3.024896265560166,2.38271605,1.1950207468879668,0.2572254335260115,0.81640942,,0,0.2290076335877862,1.2074688796680495,87.5736521072466,96.84824911369309,,,,,,193,81,0,32,,15,3,87
Ralph Terry,1012929,123200,NYY,3.257324695587158,,3.06,3.223880597014926,,3.5163437558643853,,,,0.10614525,0.03631285,0.0698324,268.0,40,37,,,,,3.828358208955224,1.3097014925373134,2.92307692,0.9738805970149254,0.2443693693693693,0.74879227,,1,0.2386032977691561,1.0634328358208955,91.4332631380826,99.19575981744296,,,,,,114,39,4,29,,18,3,96
Dave Wickersham,1013917,124231,KCA,3.1130330562591553,,3.07,4.089760958157646,,3.745509796696725,,,,0.11568627,0.07745098,0.03823529,237.2,38,34,,,,,4.468442528357428,2.991584404578278,1.49367089,0.7952312974195422,0.2812105926860025,0.71381362,,1,0.2618025751072961,1.3590460797169954,107.49752194176416,97.95587679534891,,,,,,118,79,9,21,,4,1,108
Dick Radatz,1010630,120866,BOS,2.8907737731933594,,5.69,1.9722927220745348,,2.1843199162817952,,,,0.29944547,0.09426987,0.2051756,132.1,66,0,,,,,11.01763520607154,3.468514787096596,3.17647059,0.6120908447817521,0.2707006369426751,0.86608443,,25,0.1938144329896907,1.095718178930297,51.856525111727066,56.93794411364135,,,,,,162,51,5,9,,0,0,29
Bob Bruce,1001573,111615,HOU,2.7493486404418945,,2.42,3.5929557412310693,,2.7667016160356273,,,,0.16942149,0.08264463,0.08677686,170.1,30,25,,,,,6.499022884873845,3.17025506579212,2.05,0.3698630910090806,0.2935606060606061,0.71298819,,0,0.2462006079027355,1.3033270826034271,114.90340727201038,89.07957881418785,,,,,,123,60,8,7,,1,1,68
