Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Mike Schmidt,1011586,121836,3B,PHI,9.40197548000361,,9.74,44.674657563189925,21.93231773376465,0.5524809308699332,,,,,156.56711495648017,0.4172488132934399,,,,,0.941089434,0.545774647,0.395314787,0.28169014,0.264084507,0.310776942,162,686,568,108,116,36,71,310,160,89,28,7,23,106,14,138,0.20116618,0.15451895,0.768115942,,,3.8398547172546382,-1.3671057918323326,,,,,18.0,,,,,,,,1433.1
Joe Morgan,1009179,119371,2B,CIN,8.604085410065396,,8.63,52.21255955057672,7.332427740097046,7.190155618765857,,,,,161.77345137851583,0.4170851762158961,,,,,0.920703125,0.494140625,0.4265625,0.29296875,0.201171875,0.300469483,149,641,512,107,67,22,56,253,150,94,31,3,58,120,8,69,0.107644305,0.187207488,1.739130434,,,3.9509260654449463,-1.5232997199412583,,,,,4.0,,,,,,,,1214.2
Johnny Bench,1000826,110849,C,CIN,7.96960421611476,,7.85,33.70005224285956,18.40555477142334,-0.3920663637691177,,,,,142.34985709400718,0.3872960409388741,,,,,0.870240726,0.507246376,0.36299435,0.280193236,0.22705314,0.280876494,160,708,621,108,129,33,73,315,174,101,38,2,5,80,15,90,0.127118644,0.11299435,0.888888888,,,3.9984984397888184,0.6974002719587369,,,,,10.0,,,,,,,,1409.1
Jimmy Wynn,1014313,124634,CF,LAD,7.440211846575372,,7.72,36.926814451360144,12.24554193019867,-1.9634645769838244,,,,,152.1396889448496,0.3984329528074998,,,,,0.884046413,0.497196261,0.386850152,0.271028037,0.226168224,0.275609756,150,656,535,104,108,32,53,266,145,92,17,4,18,108,4,104,0.158536585,0.164634146,1.038461538,,,5.009511947631836,0.1209346330536451,,,,,14.0,,,,,,,,1279.0
Bobby Grich,1005033,115130,2B,BAL,6.836083878825305,,7.33,29.34718180601942,11.955198764801024,-0.6334062765236013,,,,,139.11915838326098,0.369937638985664,,,,,0.806985762,0.431271477,0.375714285,0.262886597,0.16838488,0.295154185,160,707,582,92,82,19,54,251,153,99,29,6,17,90,6,117,0.165487977,0.127298444,0.769230769,,,2.488085985183716,-1.3777555439749114,,,,,8.0,,,,,,,,1441.2
Darrell Evans,1003864,113935,3B,ATL,6.818083651755255,,7.24,18.341298557399103,23.909464597702023,0.2031485185143537,,,,,122.46807461796986,0.3690384785448291,,,,,0.799583752,0.418563922,0.38101983,0.239929947,0.178633975,0.242950108,160,710,571,99,79,25,49,239,137,88,21,3,4,126,9,88,0.123943661,0.177464788,1.431818181,,,4.317174434661865,0.5094312948706028,,,,,20.0,,,,,,,,1425.0
Rod Carew,1001942,111986,2B,MIN,6.573538142426638,,7.47,41.69434465305082,-3.4737179279327393,1.694595236913301,,,,,153.47822066835977,0.4012542773863513,,,,,0.878534632,0.445742904,0.432791728,0.363939899,0.081803005,0.39090909,153,690,599,86,55,3,38,267,218,180,30,5,38,74,9,49,0.071014492,0.107246376,1.510204081,,,4.833745956420898,0.2903507017092446,,,,,-7.0,,,,,,,,1285.1
Willie Stargell,1012426,122685,LF,PIT,6.040310564294802,,5.37,41.43510076632604,-4.516213417053223,-0.6376218348159455,,,,,161.16126486949344,0.4158235685261962,,,,,0.944013144,0.537401574,0.40661157,0.301181102,0.236220472,0.335958005,140,605,508,90,96,25,66,273,153,87,37,4,0,87,21,106,0.175206611,0.143801652,0.820754716,,,4.934845447540283,0.552523181212333,,,,,2.0,,,,,,,,1186.1
Reggie Smith,1012201,122360,RF,STL,5.954131545530382,,5.53,35.17387348723756,1.6502060890197754,-0.2148440948221832,,,,,152.04689878003262,0.4068497951432834,,,,,0.916656136,0.528046421,0.388609715,0.309477756,0.218568665,0.317129629,143,598,517,79,100,23,58,273,160,102,26,9,4,71,10,70,0.117056856,0.118729096,1.014285714,,,3.6535897254943848,0.096262916816757,,,,,8.0,,,,,,,,1155.0
Dave Concepcion,1002494,112549,SS,CIN,5.797398290712121,,5.51,10.585325638990671,23.56742000579834,6.04408065933967,,,,,106.1163589611552,0.3317262755479185,,,,,0.73218294,0.397306397,0.334876543,0.281144781,0.116161616,0.302970297,160,653,594,70,82,14,40,236,167,127,25,1,41,44,10,79,0.120980091,0.067381316,0.556962025,,,0.8883498311042786,0.4242393553167569,,,,,14.0,,,,,,,,1397.1
